name,bs_timestamp,rs_timestamp,seq_number,stored,accelx,accely,accelz,breathing_signal,breathing_rate,activity
RESpeckT5,20140625155715.720,0,0,0,0.958252,0.214600,0.053223,0.000000,nan,0.000000
RESpeckT5,20140625155715.720,0,1,0,0.957764,0.219971,0.057617,0.000000,nan,0.000000
RESpeckT5,20140625155715.720,0,2,0,0.961914,0.213867,0.058594,0.000000,nan,0.000000
RESpeckT5,20140625155715.733,0,3,0,0.960693,0.213867,0.069092,0.000000,nan,0.000000
RESpeckT5,20140625155715.733,0,4,0,0.922852,0.180420,0.044922,0.000000,nan,0.000000
RESpeckT5,20140625155715.733,0,5,0,0.955078,0.318115,0.118164,0.000000,nan,0.000000
RESpeckT5,20140625155715.737,0,6,0,0.964844,0.161377,0.071045,0.000000,nan,0.000000
RESpeckT5,20140625155715.737,0,7,0,0.981689,0.136230,0.044189,0.000000,nan,0.000000
RESpeckT5,20140625155715.737,0,8,0,0.947998,0.205811,0.096680,0.000000,nan,0.000000
RESpeckT5,20140625155717.043,780463255,0,0,0.942871,0.189209,0.102051,0.000000,nan,0.000000
RESpeckT5,20140625155717.043,780463255,1,0,0.946289,0.224121,0.112549,0.000000,nan,0.000000
RESpeckT5,20140625155717.070,780463255,2,0,0.979736,0.169922,0.100586,0.000000,nan,0.000000
RESpeckT5,20140625155717.070,780463255,3,0,0.951172,0.190430,0.087402,0.000000,nan,0.000000
RESpeckT5,20140625155717.070,780463255,4,0,0.955322,0.220459,0.113770,0.000000,nan,0.000000
RESpeckT5,20140625155717.084,780463255,5,0,0.950928,0.203613,0.128418,0.000000,nan,0.000000
RESpeckT5,20140625155717.084,780463255,6,0,0.945801,0.214355,0.134521,0.000000,nan,0.000000
RESpeckT5,20140625155717.084,780463255,7,0,0.947998,0.200928,0.125000,0.000000,nan,0.000000
RESpeckT5,20140625155717.088,780463255,8,0,0.951416,0.215820,0.126953,0.000000,nan,0.000000
RESpeckT5,20140625155717.088,780463255,9,0,0.947266,0.214600,0.138184,0.000000,nan,0.000000
RESpeckT5,20140625155717.088,780463255,10,0,0.945801,0.215088,0.137695,0.000000,nan,0.000000
RESpeckT5,20140625155717.093,780463255,11,0,0.946777,0.210938,0.138916,0.000000,nan,0.000000
