(6, 48396, 48582, 46309, array([-7904.,  -128.,  1584.]), array([ 8328.,   453., -2100.]), array([ 310.,  338.,  -63.]))
(6, 49820, 49590, 48857, array([-7952.,  -176.,  1456.]), array([ 8334.,   451., -2053.]), array([ 314.,  339.,  -67.]))
(6, 50769, 50598, 48857, array([-7984.,  -304.,  1456.]), array([ 8347.,   443., -2015.]), array([ 314.,  339.,  -67.]))
(6, 51718, 51606, 51404, array([-8016.,  -320.,  1456.]), array([ 8343.,   442., -1973.]), array([ 309.,  340.,  -75.]))
(6, 53141, 52614, 51404, array([-8000.,  -400.,  1424.]), array([ 8281.,   461., -2009.]), array([ 309.,  340.,  -75.]))
(6, 54090, 53622, 53951, array([-7936.,  -288.,  1536.]), array([ 8331.,   467., -2056.]), array([ 308.,  341.,  -82.]))
(6, 55039, 54630, 53951, array([-7984.,  -288.,  1472.]), array([ 8366.,   475., -2044.]), array([ 308.,  341.,  -82.]))
(6, 56463, 55638, 56498, array([-8016.,  -400.,  1472.]), array([ 8360.,   472., -2027.]), array([ 304.,  338.,  -97.]))
(6, 57412, 57654, 56498, array([-8048.,  -336.,  1456.]), array([ 8343.,   447., -2044.]), array([ 304.,  338.,  -97.]))
(6, 58366, 58662, 56498, array([-8032.,  -352.,  1456.]), array([ 8396.,   446., -2071.]), array([ 304.,  338.,  -97.]))
(6, 59790, 59670, 59044, array([-7968.,  -288.,  1392.]), array([ 8396.,   454., -2068.]), array([ 304.,  338.,  -97.]))
(6, 60739, 60678, 59044, array([-7952.,  -272.,  1520.]), array([ 8380.,   459., -2008.]), array([ 304.,  338.,  -97.]))
(6, 62163, 61686, 61590, array([-8032.,  -384.,  1472.]), array([ 8402.,   466., -2013.]), array([ 302.,  337., -107.]))
(6, 63112, 62694, 61590, array([-8000.,  -432.,  1504.]), array([ 8432.,   463., -2054.]), array([ 302.,  337., -107.]))
(6, 64066, 63702, 64135, array([-7952.,  -320.,  1520.]), array([ 8458.,   485., -2086.]), array([ 297.,  334., -111.]))
(6, 65490, 64710, 64135, array([-7936.,  -272.,  1520.]), array([ 8418.,   480., -2119.]), array([ 297.,  334., -111.]))
(6, 902, 182, 1145, array([-7888.,  -320.,  1600.]), array([ 8401.,   487., -2087.]), array([ 300.,  333., -121.]))
(6, 1852, 2198, 1145, array([-7904.,  -464.,  1488.]), array([ 8428.,   492., -2068.]), array([ 300.,  333., -121.]))
(6, 3276, 3206, 1145, array([-7936.,  -416.,  1424.]), array([ 8476.,   495., -2065.]), array([ 300.,  333., -121.]))
(6, 4226, 4214, 3691, array([-7904.,  -368.,  1568.]), array([ 8522.,   483., -2097.]), array([ 298.,  331., -130.]))
(6, 5650, 5222, 3691, array([-7984.,  -384.,  1600.]), array([ 8489.,   469., -2111.]), array([ 298.,  331., -130.]))
(6, 6599, 6230, 6237, array([-7936.,  -432.,  1520.]), array([ 8531.,   461., -2103.]), array([ 296.,  329., -146.]))
(6, 7548, 7238, 6237, array([-7952.,  -432.,  1488.]), array([ 8483.,   477., -2115.]), array([ 296.,  329., -146.]))
(6, 8971, 8246, 8784, array([-8000.,  -368.,  1472.]), array([ 8547.,   486., -2121.]), array([ 293.,  324., -146.]))
(6, 9921, 9254, 8784, array([-7904.,  -400.,  1472.]), array([ 8517.,   521., -2132.]), array([ 293.,  324., -146.]))
(6, 10870, 11270, 8784, array([-7920.,  -400.,  1440.]), array([ 8581.,   498., -2082.]), array([ 293.,  324., -146.]))
(6, 12294, 12278, 11332, array([-7984.,  -560.,  1488.]), array([ 8534.,   505., -2092.]), array([ 291.,  322., -158.]))
(6, 13243, 13286, 11332, array([-7936.,  -512.,  1584.]), array([ 8558.,   473., -2122.]), array([ 291.,  322., -158.]))
(6, 14192, 14294, 13879, array([-8016.,  -512.,  1488.]), array([ 8621.,   504., -2144.]), array([ 290.,  317., -158.]))
(6, 15616, 15302, 13879, array([-7968.,  -432.,  1632.]), array([ 8627.,   529., -2157.]), array([ 290.,  317., -158.]))
(6, 16564, 16310, 16425, array([-7984.,  -416.,  1568.]), array([ 8683.,   516., -2169.]), array([ 287.,  313., -168.]))
(6, 17989, 17318, 16425, array([-8032.,  -496.,  1472.]), array([ 8643.,   513., -2133.]), array([ 287.,  313., -168.]))
(6, 18938, 18326, 18972, array([-8016.,  -544.,  1568.]), array([ 8664.,   534., -2134.]), array([ 279.,  312., -181.]))
(6, 19887, 19334, 18972, array([-7984.,  -592.,  1584.]), array([ 8669.,   507., -2146.]), array([ 279.,  312., -181.]))
(6, 21311, 21350, 18972, array([-7952.,  -624.,  1616.]), array([ 8676.,   526., -2166.]), array([ 279.,  312., -181.]))
(6, 22260, 22358, 21518, array([-8000.,  -576.,  1552.]), array([ 8675.,   515., -2160.]), array([ 279.,  307., -181.]))
(6, 23209, 23366, 21518, array([-7984.,  -560.,  1552.]), array([ 8720.,   503., -2172.]), array([ 279.,  307., -181.]))
(6, 24633, 24374, 24066, array([-8016.,  -496.,  1584.]), array([ 8728.,   490., -2184.]), array([ 280.,  304., -188.]))
(6, 25582, 25382, 24066, array([-7952.,  -448.,  1504.]), array([ 8698.,   507., -2204.]), array([ 280.,  304., -188.]))
(6, 27006, 26390, 26613, array([-7968.,  -544.,  1504.]), array([ 8766.,   511., -2170.]), array([ 279.,  296., -197.]))
(6, 27955, 27398, 26613, array([-8016.,  -656.,  1520.]), array([ 8730.,   516., -2150.]), array([ 279.,  296., -197.]))
(6, 28904, 28406, 29160, array([-7920.,  -656.,  1472.]), array([ 8779.,   515., -2167.]), array([ 274.,  291., -205.]))
(6, 30328, 29414, 29160, array([-7888.,  -640.,  1600.]), array([ 8794.,   515., -2202.]), array([ 274.,  291., -205.]))
(6, 31278, 31430, 29160, array([-7920.,  -512.,  1648.]), array([ 8808.,   549., -2215.]), array([ 274.,  291., -205.]))
(6, 32227, 32438, 31706, array([-7904.,  -512.,  1680.]), array([ 8784.,   535., -2211.]), array([ 277.,  284., -209.]))
(6, 33651, 33446, 31706, array([-8048.,  -544.,  1616.]), array([ 8843.,   520., -2196.]), array([ 277.,  284., -209.]))
(6, 34600, 34454, 34253, array([-7984.,  -464.,  1616.]), array([ 8907.,   534., -2189.]), array([ 273.,  282., -215.]))
(6, 36024, 35462, 34253, array([-7808.,  -592.,  1648.]), array([ 8888.,   539., -2165.]), array([ 273.,  282., -215.]))
(6, 36973, 36470, 36798, array([-7968.,  -512.,  1664.]), array([ 8896.,   506., -2174.]), array([ 274.,  274., -220.]))
(6, 37922, 37478, 36798, array([-7856.,  -624.,  1552.]), array([ 8895.,   519., -2204.]), array([ 274.,  274., -220.]))
(6, 39345, 38486, 39345, array([-8016.,  -608.,  1616.]), array([ 8917.,   517., -2214.]), array([ 269.,  266., -233.]))
(6, 40294, 40502, 39345, array([-7936.,  -528.,  1632.]), array([ 8923.,   541., -2262.]), array([ 269.,  266., -233.]))
(6, 41243, 41510, 39345, array([-8000.,  -560.,  1632.]), array([ 8948.,   565., -2232.]), array([ 269.,  266., -233.]))
(6, 42667, 42519, 41891, array([-7936.,  -656.,  1664.]), array([ 8950.,   539., -2227.]), array([ 269.,  260., -233.]))
(6, 43616, 43527, 41891, array([-8000.,  -624.,  1616.]), array([ 9004.,   543., -2215.]), array([ 269.,  260., -233.]))
(6, 44565, 44535, 44437, array([-7968.,  -672.,  1584.]), array([ 8989.,   536., -2211.]), array([ 266.,  255., -238.]))
(6, 45990, 45543, 44437, array([-7872.,  -672.,  1664.]), array([ 8990.,   542., -2221.]), array([ 266.,  255., -238.]))
(6, 46939, 46551, 46984, array([-7904.,  -688.,  1600.]), array([ 9035.,   548., -2235.]), array([ 266.,  247., -250.]))
(6, 48363, 47559, 46984, array([-7952.,  -640.,  1664.]), array([ 9060.,   525., -2281.]), array([ 266.,  247., -250.]))
(6, 49312, 48567, 49530, array([-7952.,  -560.,  1600.]), array([ 9131.,   553., -2274.]), array([ 266.,  244., -250.]))
(6, 50261, 50583, 49530, array([-8000.,  -608.,  1600.]), array([ 9095.,   568., -2297.]), array([ 266.,  244., -250.]))
(6, 51684, 51591, 49530, array([-7888.,  -720.,  1696.]), array([ 9141.,   525., -2288.]), array([ 266.,  244., -250.]))
(6, 52633, 52599, 52076, array([-7984.,  -672.,  1584.]), array([ 9133.,   543., -2294.]), array([ 266.,  235., -256.]))
(6, 53582, 53607, 52076, array([-7872.,  -576.,  1744.]), array([ 9136.,   560., -2295.]), array([ 266.,  235., -256.]))
(6, 55006, 54615, 54621, array([-7952.,  -592.,  1584.]), array([ 9167.,   552., -2297.]), array([ 262.,  228., -261.]))
(6, 55955, 55623, 54621, array([-7856.,  -592.,  1648.]), array([ 9188.,   546., -2300.]), array([ 262.,  228., -261.]))
(6, 57379, 56631, 57166, array([-7984.,  -704.,  1728.]), array([ 9225.,   545., -2291.]), array([ 260.,  221., -265.]))
(6, 58328, 57639, 57166, array([-7952.,  -768.,  1680.]), array([ 9212.,   524., -2301.]), array([ 260.,  221., -265.]))
(6, 59277, 59655, 57166, array([-8016.,  -704.,  1648.]), array([ 9230.,   550., -2322.]), array([ 260.,  221., -265.]))
(6, 60701, 60663, 59713, array([-7936.,  -640.,  1712.]), array([ 9254.,   557., -2290.]), array([ 259.,  212., -269.]))
(6, 61650, 61671, 59713, array([-7904.,  -608.,  1616.]), array([ 9286.,   547., -2308.]), array([ 259.,  212., -269.]))
(6, 62600, 62679, 62261, array([-7856.,  -592.,  1840.]), array([ 9251.,   578., -2319.]), array([ 255.,  204., -277.]))
(6, 64023, 63687, 62261, array([-8032.,  -736.,  1360.]), array([ 9305.,   547., -2304.]), array([ 255.,  204., -277.]))
