(6, 45189, 45236, 44839, array([-8160.,    80.,  2400.]), array([ 8474.,   653., -3844.]), array([ 375.,  190.,   73.]))
(6, 46613, 46244, 44839, array([-8000.,    48.,  2272.]), array([ 8425.,   634., -3863.]), array([ 375.,  190.,   73.]))
(6, 47562, 47252, 47384, array([-8000.,    96.,  2416.]), array([ 8425.,   606., -3809.]), array([ 373.,  199.,   70.]))
(6, 48511, 48260, 47384, array([-8064.,    32.,  2400.]), array([ 8500.,   608., -3792.]), array([ 373.,  199.,   70.]))
(6, 49934, 49268, 49929, array([-8000.,    32.,  2368.]), array([ 8498.,   601., -3834.]), array([ 369.,  210.,   65.]))
(6, 50883, 50276, 49929, array([-8048.,    48.,  2352.]), array([ 8460.,   595., -3827.]), array([ 369.,  210.,   65.]))
(6, 51833, 52292, 49929, array([-7936.,     0.,  2320.]), array([ 8501.,   618., -3808.]), array([ 369.,  210.,   65.]))
(6, 53256, 53300, 52474, array([-8048.,    32.,  2384.]), array([ 8506.,   619., -3833.]), array([ 370.,  216.,   58.]))
(6, 55629, 55316, 55018, array([-8064.,   -16.,  2320.]), array([ 8500.,   598., -3828.]), array([ 370.,  231.,   54.]))
(6, 56578, 56324, 55018, array([-7920.,    64.,  2384.]), array([ 8455.,   613., -3863.]), array([ 370.,  231.,   54.]))
(6, 57527, 57332, 57563, array([-8096.,    96.,  2400.]), array([ 8460.,   624., -3878.]), array([ 369.,  239.,   45.]))
(6, 58951, 58340, 57563, array([-8064.,    64.,  2352.]), array([ 8500.,   637., -3838.]), array([ 369.,  239.,   45.]))
(6, 59900, 59348, 60106, array([-8096.,    32.,  2352.]), array([ 8494.,   619., -3821.]), array([ 369.,  244.,   45.]))
(6, 60849, 60356, 60106, array([-7984.,    48.,  2368.]), array([ 8461.,   599., -3813.]), array([ 369.,  244.,   45.]))
(6, 62272, 62372, 60106, array([-8016.,    48.,  2384.]), array([ 8482.,   615., -3798.]), array([ 369.,  244.,   45.]))
(6, 63221, 63380, 62652, array([-8048.,   -48.,  2224.]), array([ 8498.,   613., -3777.]), array([ 365.,  250.,   39.]))
(6, 64644, 64388, 62652, array([-8048.,   -80.,  2224.]), array([ 8448.,   609., -3799.]), array([ 365.,  250.,   39.]))
(6, 57, 65396, 65196, array([-8016.,     0.,  2240.]), array([ 8435.,   601., -3842.]), array([ 366.,  262.,   35.]))
(6, 1006, 868, 65196, array([-7920.,   -32.,  2224.]), array([ 8483.,   624., -3839.]), array([ 366.,  262.,   35.]))
(6, 2429, 1876, 2206, array([-7952.,   -96.,  2288.]), array([ 8486.,   611., -3823.]), array([ 356.,  269.,   27.]))
(6, 3377, 2884, 2206, array([-7984.,   -32.,  2240.]), array([ 8454.,   599., -3829.]), array([ 356.,  269.,   27.]))
(6, 4326, 3892, 4751, array([-7936.,   -80.,  2256.]), array([ 8425.,   612., -3849.]), array([ 356.,  276.,   21.]))
(6, 5749, 4900, 4751, array([-7952.,    16.,  2368.]), array([ 8487.,   632., -3834.]), array([ 356.,  276.,   21.]))
(6, 6698, 6916, 4751, array([-8080.,   -64.,  2336.]), array([ 8445.,   615., -3819.]), array([ 356.,  276.,   21.]))
(6, 8122, 7924, 7296, array([-8032.,   -32.,  2320.]), array([ 8509.,   616., -3816.]), array([ 354.,  280.,   16.]))
(6, 9071, 8932, 7296, array([-8016.,   -48.,  2336.]), array([ 8454.,   592., -3819.]), array([ 354.,  280.,   16.]))
(6, 10020, 9940, 9841, array([-7968.,     0.,  2272.]), array([ 8482.,   601., -3824.]), array([ 351.,  290.,    6.]))
(6, 11443, 10948, 9841, array([-8000.,    48.,  2240.]), array([ 8495.,   599., -3840.]), array([ 351.,  290.,    6.]))
(6, 12391, 11956, 12386, array([-8032.,   -80.,  2224.]), array([ 8443.,   617., -3820.]), array([ 352.,  296.,   -1.]))
(6, 13340, 12964, 12386, array([-8048.,  -160.,  2192.]), array([ 8501.,   624., -3826.]), array([ 352.,  296.,   -1.]))
(6, 14764, 13972, 12386, array([-8000.,   -80.,  2240.]), array([ 8482.,   616., -3841.]), array([ 352.,  296.,   -1.]))
(6, 15713, 15988, 14932, array([-7984.,   -96.,  2240.]), array([ 8475.,   621., -3829.]), array([ 348.,  299.,   -7.]))
(6, 17136, 16996, 14932, array([-7952.,  -144.,  2192.]), array([ 8473.,   609., -3822.]), array([ 348.,  299.,   -7.]))
(6, 18085, 18004, 17476, array([-8096.,  -176.,  2160.]), array([ 8463.,   613., -3792.]), array([ 342.,  307.,  -16.]))
(6, 19034, 19012, 17476, array([-8000.,  -128.,  2272.]), array([ 8450.,   630., -3812.]), array([ 342.,  307.,  -16.]))
(6, 20457, 20020, 20021, array([-8000.,  -128.,  2208.]), array([ 8460.,   614., -3824.]), array([ 338.,  311.,  -21.]))
(6, 21406, 21028, 20021, array([-8000.,  -144.,  2192.]), array([ 8450.,   616., -3814.]), array([ 338.,  311.,  -21.]))
(6, 22354, 22037, 22566, array([-8064.,  -224.,  2176.]), array([ 8477.,   620., -3790.]), array([ 338.,  319.,  -21.]))
(6, 23778, 23045, 22566, array([-8016.,  -176.,  2144.]), array([ 8502.,   621., -3793.]), array([ 338.,  319.,  -21.]))
(6, 24727, 24053, 22566, array([-8000.,   -96.,  2112.]), array([ 8454.,   615., -3836.]), array([ 338.,  319.,  -21.]))
(6, 25676, 26069, 25112, array([-8048.,  -208.,  2160.]), array([ 8469.,   609., -3822.]), array([ 335.,  324.,  -36.]))
(6, 27099, 27077, 25112, array([-8064.,  -240.,  2208.]), array([ 8464.,   621., -3813.]), array([ 335.,  324.,  -36.]))
(6, 28048, 28085, 27657, array([-8064.,  -208.,  2240.]), array([ 8488.,   636., -3819.]), array([ 332.,  325.,  -45.]))
(6, 29471, 29093, 27657, array([-8064.,  -160.,  2256.]), array([ 8452.,   606., -3843.]), array([ 332.,  325.,  -45.]))
(6, 30421, 30101, 30202, array([-8096.,  -208.,  2160.]), array([ 8477.,   587., -3828.]), array([ 330.,  330.,  -51.]))
(6, 31370, 31109, 30202, array([-8112.,  -224.,  2160.]), array([ 8508.,   607., -3829.]), array([ 330.,  330.,  -51.]))
(6, 32794, 32117, 32748, array([-8048.,  -256.,  2176.]), array([ 8472.,   610., -3834.]), array([ 323.,  333.,  -61.]))
(6, 33743, 33125, 32748, array([-8016.,  -272.,  2144.]), array([ 8485.,   612., -3819.]), array([ 323.,  333.,  -61.]))
(6, 34692, 34133, 32748, array([-8032.,  -256.,  2160.]), array([ 8477.,   590., -3812.]), array([ 323.,  333.,  -61.]))
(6, 36115, 36149, 35292, array([-8048.,  -320.,  2144.]), array([ 8501.,   595., -3851.]), array([ 322.,  334.,  -71.]))
(6, 37069, 37157, 35292, array([-8032.,  -304.,  2208.]), array([ 8494.,   576., -3829.]), array([ 322.,  334.,  -71.]))
(6, 38492, 38165, 37838, array([-8096.,  -304.,  2176.]), array([ 8520.,   594., -3840.]), array([ 320.,  338.,  -79.]))
(6, 39441, 39173, 37838, array([-8032.,  -240.,  2160.]), array([ 8475.,   616., -3873.]), array([ 320.,  338.,  -79.]))
(6, 40390, 40181, 40384, array([-8000.,  -256.,  2096.]), array([ 8483.,   625., -3866.]), array([ 316.,  339.,  -85.]))
(6, 42762, 42197, 42929, array([-7984.,  -304.,  2192.]), array([ 8507.,   628., -3826.]), array([ 309.,  341.,  -93.]))
(6, 43712, 43205, 42929, array([-7984.,  -288.,  2160.]), array([ 8510.,   619., -3838.]), array([ 309.,  341.,  -93.]))
(6, 45135, 45221, 42929, array([-8000.,  -384.,  2160.]), array([ 8509.,   628., -3861.]), array([ 309.,  341.,  -93.]))
(6, 46084, 46229, 45475, array([-8032.,  -416.,  2160.]), array([ 8509.,   603., -3833.]), array([ 305.,  346., -100.]))
(6, 48456, 48245, 48020, array([-8032.,  -304.,  2160.]), array([ 8500.,   611., -3860.]), array([ 297.,  343., -118.]))
(6, 49405, 49253, 48020, array([-8048.,  -272.,  2160.]), array([ 8509.,   611., -3868.]), array([ 297.,  343., -118.]))
(6, 50827, 50261, 50565, array([-8032.,  -336.,  2160.]), array([ 8507.,   614., -3861.]), array([ 297.,  346., -118.]))
(6, 51781, 51269, 50565, array([-8016.,  -288.,  2224.]), array([ 8513.,   609., -3845.]), array([ 297.,  346., -118.]))
(6, 52730, 52277, 53112, array([-8016.,  -320.,  2304.]), array([ 8527.,   613., -3833.]), array([ 295.,  347., -126.]))
(6, 54153, 53285, 53112, array([-8064.,  -320.,  2176.]), array([ 8537.,   620., -3825.]), array([ 295.,  347., -126.]))
(6, 55103, 55301, 53112, array([-8000.,  -368.,  2176.]), array([ 8510.,   606., -3850.]), array([ 295.,  347., -126.]))
(6, 56051, 56309, 55658, array([-8016.,  -416.,  2192.]), array([ 8508.,   599., -3831.]), array([ 291.,  347., -131.]))
(6, 57475, 57317, 55658, array([-8016.,  -496.,  2160.]), array([ 8531.,   600., -3841.]), array([ 291.,  347., -131.]))
(6, 58423, 58325, 58204, array([-8064.,  -496.,  2128.]), array([ 8544.,   601., -3877.]), array([ 289.,  346., -142.]))
(6, 59847, 59333, 58204, array([-8032.,  -416.,  2160.]), array([ 8500.,   604., -3892.]), array([ 289.,  346., -142.]))
(6, 60796, 60341, 60749, array([-8032.,  -432.,  2176.]), array([ 8551.,   611., -3876.]), array([ 285.,  346., -149.]))
(6, 61745, 61349, 60749, array([-8064.,  -480.,  2144.]), array([ 8546.,   589., -3831.]), array([ 285.,  346., -149.]))
