(6, 2590, 2489, 2243, array([-7920.,   848.,   256.]), array([ 9883., -1092.,   464.]), array([ 319.,  282.,  -53.]))
(6, 4013, 3497, 2243, array([-7952.,   912.,   272.]), array([ 9906., -1107.,   426.]), array([ 319.,  282.,  -53.]))
(6, 4962, 4505, 4788, array([-7936.,   960.,   272.]), array([ 9877., -1078.,   439.]), array([ 321.,  280.,  -61.]))
(6, 5911, 5513, 4788, array([-7920.,   976.,   352.]), array([ 9909., -1088.,   450.]), array([ 321.,  280.,  -61.]))
(6, 7344, 6521, 7333, array([-8000.,   944.,   160.]), array([ 9890., -1075.,   476.]), array([ 314.,  281.,  -74.]))
(6, 8297, 8537, 7333, array([-7840.,   896.,   320.]), array([ 9846., -1093.,   514.]), array([ 314.,  281.,  -74.]))
(6, 9247, 9545, 7333, array([-7952.,   768.,   320.]), array([ 9830., -1091.,   500.]), array([ 314.,  281.,  -74.]))
(6, 10670, 10553, 9876, array([-7936.,   704.,   320.]), array([ 9864., -1067.,   479.]), array([ 321.,  279.,  -79.]))
(6, 11619, 11561, 9876, array([-7888.,   736.,   256.]), array([ 9856., -1079.,   444.]), array([ 321.,  279.,  -79.]))
(6, 13043, 12569, 12421, array([-7968.,   864.,   224.]), array([ 9834., -1069.,   414.]), array([ 323.,  273.,  -91.]))
(6, 13993, 13577, 12421, array([-7920.,   992.,   320.]), array([ 9819., -1070.,   427.]), array([ 323.,  273.,  -91.]))
(6, 14942, 14585, 14966, array([-7968.,   912.,   288.]), array([ 9847., -1047.,   442.]), array([ 324.,  273., -107.]))
(6, 16365, 15593, 14966, array([-8000.,   848.,   320.]), array([ 9856., -1044.,   457.]), array([ 324.,  273., -107.]))
(6, 17315, 16601, 17510, array([-7840.,   736.,   400.]), array([ 9789., -1067.,   490.]), array([ 324.,  265., -107.]))
(6, 18264, 18617, 17510, array([-7920.,   704.,   288.]), array([ 9815., -1078.,   490.]), array([ 324.,  265., -107.]))
(6, 19687, 19625, 17510, array([-7952.,   672.,   352.]), array([ 9779., -1073.,   472.]), array([ 324.,  265., -107.]))
(6, 20637, 20633, 20056, array([-7920.,   784.,   336.]), array([ 9821., -1055.,   447.]), array([ 321.,  263., -117.]))
(6, 22061, 21641, 20056, array([-7952.,   880.,   336.]), array([ 9807., -1053.,   418.]), array([ 321.,  263., -117.]))
(6, 23010, 22649, 22600, array([-7936.,   896.,   336.]), array([ 9830., -1065.,   423.]), array([ 321.,  258., -136.]))
(6, 23958, 23657, 22600, array([-7984.,   896.,   448.]), array([ 9800., -1075.,   455.]), array([ 321.,  258., -136.]))
(6, 26331, 25673, 25145, array([-7856.,   704.,   416.]), array([ 9761., -1071.,   504.]), array([ 320.,  255., -136.]))
(6, 27281, 27689, 27691, array([-7952.,   576.,   352.]), array([ 9711., -1052.,   470.]), array([ 322.,  248., -145.]))
(6, 28704, 28697, 27691, array([-7952.,   576.,   288.]), array([ 9708., -1068.,   428.]), array([ 322.,  248., -145.]))
(6, 29653, 29705, 27691, array([-7920.,   720.,   336.]), array([ 9712., -1065.,   409.]), array([ 322.,  248., -145.]))
(6, 31076, 30713, 30236, array([-8000.,   832.,   368.]), array([ 9767., -1065.,   411.]), array([ 322.,  240., -152.]))
(6, 32026, 31721, 30236, array([-7904.,   880.,   464.]), array([ 9728., -1062.,   437.]), array([ 322.,  240., -152.]))
(6, 32975, 32729, 32781, array([-7936.,   816.,   384.]), array([ 9717., -1046.,   453.]), array([ 321.,  237., -157.]))
(6, 34398, 33737, 32781, array([-8016.,   688.,   384.]), array([ 9688., -1061.,   466.]), array([ 321.,  237., -157.]))
(6, 35347, 34745, 35326, array([-8048.,   656.,   416.]), array([ 9660., -1066.,   489.]), array([ 325.,  231., -168.]))
(6, 36297, 35753, 35326, array([-7920.,   608.,   496.]), array([ 9666., -1044.,   496.]), array([ 325.,  231., -168.]))
(6, 37720, 37769, 35326, array([-8016.,   656.,   464.]), array([ 9673., -1055.,   422.]), array([ 325.,  231., -168.]))
(6, 38669, 38777, 37870, array([-7984.,   752.,   416.]), array([ 9699., -1048.,   410.]), array([ 322.,  226., -175.]))
(6, 39619, 39785, 37870, array([-8000.,   864.,   400.]), array([ 9662., -1065.,   416.]), array([ 322.,  226., -175.]))
(6, 41042, 40793, 40415, array([-7984.,   768.,   432.]), array([ 9652., -1049.,   446.]), array([ 321.,  218., -182.]))
(6, 41991, 41801, 40415, array([-7968.,   832.,   480.]), array([ 9636., -1061.,   478.]), array([ 321.,  218., -182.]))
(6, 43414, 42809, 42959, array([-7920.,   688.,   560.]), array([ 9624., -1077.,   481.]), array([ 321.,  210., -190.]))
(6, 44363, 43817, 42959, array([-7984.,   608.,   448.]), array([ 9625., -1073.,   478.]), array([ 321.,  210., -190.]))
(6, 45313, 44825, 45504, array([-8096.,   512.,   384.]), array([ 9603., -1067.,   482.]), array([ 321.,  204., -190.]))
(6, 46736, 45833, 45504, array([-8000.,   608.,   480.]), array([ 9635., -1041.,   484.]), array([ 321.,  204., -190.]))
(6, 47685, 47849, 45504, array([-7984.,   720.,   464.]), array([ 9624., -1071.,   439.]), array([ 321.,  204., -190.]))
(6, 48634, 48857, 48051, array([-7936.,   752.,   464.]), array([ 9634., -1072.,   435.]), array([ 324.,  194., -203.]))
(6, 50058, 49865, 48051, array([-8064.,   752.,   496.]), array([ 9587., -1058.,   450.]), array([ 324.,  194., -203.]))
(6, 51007, 50873, 50596, array([-8032.,   672.,   528.]), array([ 9595., -1035.,   461.]), array([ 320.,  190., -213.]))
(6, 52430, 51881, 50596, array([-7984.,   576.,   512.]), array([ 9581., -1043.,   466.]), array([ 320.,  190., -213.]))
(6, 53379, 52889, 53139, array([-8064.,   640.,   496.]), array([ 9576., -1049.,   448.]), array([ 322.,  180., -213.]))
(6, 54328, 53897, 53139, array([-7968.,   672.,   624.]), array([ 9549., -1047.,   459.]), array([ 322.,  180., -213.]))
(6, 55752, 54905, 55685, array([-8048.,   608.,   528.]), array([ 9546., -1060.,   453.]), array([ 318.,  170., -218.]))
(6, 56701, 56921, 55685, array([-8048.,   592.,   496.]), array([ 9587., -1038.,   437.]), array([ 318.,  170., -218.]))
(6, 57650, 57929, 55685, array([-7904.,   704.,   576.]), array([ 9575., -1043.,   427.]), array([ 318.,  170., -218.]))
(6, 59074, 58937, 58230, array([-8000.,   736.,   496.]), array([ 9579., -1047.,   420.]), array([ 324.,  162., -223.]))
