(6, 44910, 44609, 43101, array([-7632.,  -176.,  3840.]), array([ 6510.,   528., -5076.]), array([ 336.,  329., -129.]))
(6, 45858, 45618, 45646, array([-7568.,  -144.,  3696.]), array([ 6528.,   536., -5066.]), array([ 332.,  333., -132.]))
(6, 46807, 46626, 45646, array([-7584.,  -112.,  3792.]), array([ 6580.,   539., -4973.]), array([ 332.,  333., -132.]))
(6, 48230, 47634, 48192, array([-7520.,  -288.,  3728.]), array([ 6634.,   509., -4908.]), array([ 319.,  336., -141.]))
(6, 49180, 48642, 48192, array([-7568.,  -304.,  3728.]), array([ 6678.,   523., -4904.]), array([ 319.,  336., -141.]))
(6, 50129, 49650, 48192, array([-7456.,  -208.,  3696.]), array([ 6588.,   521., -4994.]), array([ 319.,  336., -141.]))
(6, 51552, 51666, 50738, array([-7472.,  -272.,  3616.]), array([ 6561.,   523., -5054.]), array([ 319.,  341., -149.]))
(6, 52501, 52674, 50738, array([-7472.,  -368.,  3648.]), array([ 6584.,   531., -4999.]), array([ 319.,  341., -149.]))
(6, 53924, 53682, 53284, array([-7504.,  -288.,  3760.]), array([ 6642.,   535., -4987.]), array([ 312.,  341., -160.]))
(6, 54873, 54690, 53284, array([-7552.,  -288.,  3792.]), array([ 6569.,   544., -5041.]), array([ 312.,  341., -160.]))
(6, 55822, 55698, 55830, array([-7600.,  -160.,  3744.]), array([ 6556.,   538., -5096.]), array([ 304.,  341., -167.]))
(6, 57246, 56706, 55830, array([-7536.,  -192.,  3664.]), array([ 6560.,   554., -5125.]), array([ 304.,  341., -167.]))
(6, 58195, 57714, 58376, array([-7616.,  -160.,  3776.]), array([ 6572.,   577., -5088.]), array([ 304.,  344., -167.]))
(6, 59149, 58722, 58376, array([-7632.,  -208.,  3824.]), array([ 6637.,   579., -5007.]), array([ 304.,  344., -167.]))
(6, 60572, 59730, 58376, array([-7632.,  -288.,  3808.]), array([ 6660.,   579., -4961.]), array([ 304.,  344., -167.]))
(6, 61521, 61746, 60921, array([-7600.,  -256.,  3760.]), array([ 6573.,   585., -5063.]), array([ 301.,  348., -174.]))
(6, 62470, 62754, 60921, array([-7600.,  -240.,  3760.]), array([ 6566.,   593., -5063.]), array([ 301.,  348., -174.]))
(6, 63894, 63762, 63466, array([-7616.,  -320.,  3824.]), array([ 6645.,   579., -5011.]), array([ 288.,  348., -185.]))
(6, 64842, 64770, 63466, array([-7568.,  -400.,  3808.]), array([ 6690.,   557., -4965.]), array([ 288.,  348., -185.]))
(6, 730, 242, 476, array([-7632.,  -352.,  3888.]), array([ 6662.,   559., -5007.]), array([ 288.,  346., -185.]))
(6, 1679, 1250, 476, array([-7648.,  -256.,  3808.]), array([ 6577.,   534., -5112.]), array([ 288.,  346., -185.]))
(6, 2628, 2258, 476, array([-7664.,  -192.,  3792.]), array([ 6557.,   573., -5141.]), array([ 288.,  346., -185.]))
(6, 4062, 3266, 3020, array([-7712.,  -240.,  3872.]), array([ 6610.,   570., -5087.]), array([ 284.,  348., -194.]))
(6, 5010, 4274, 3020, array([-7600.,  -304.,  3824.]), array([ 6652.,   545., -5034.]), array([ 284.,  348., -194.]))
(6, 5960, 6290, 5563, array([-7584.,  -352.,  3872.]), array([ 6606.,   485., -5033.]), array([ 276.,  348., -199.]))
(6, 7383, 7298, 5563, array([-7664.,  -320.,  3728.]), array([ 6591.,   484., -5063.]), array([ 276.,  348., -199.]))
(6, 8332, 8306, 8109, array([-7584.,  -320.,  3808.]), array([ 6632.,   506., -5061.]), array([ 272.,  345., -206.]))
(6, 9756, 9314, 8109, array([-7568.,  -448.,  3792.]), array([ 6644.,   521., -5022.]), array([ 272.,  345., -206.]))
(6, 10704, 10322, 10655, array([-7568.,  -512.,  3712.]), array([ 6701.,   514., -4953.]), array([ 270.,  348., -211.]))
(6, 11653, 11330, 10655, array([-7584.,  -432.,  3696.]), array([ 6732.,   532., -4986.]), array([ 270.,  348., -211.]))
(6, 13090, 12338, 10655, array([-7552.,  -288.,  3712.]), array([ 6634.,   528., -5060.]), array([ 270.,  348., -211.]))
(6, 14039, 13346, 13201, array([-7552.,  -352.,  3632.]), array([ 6589.,   509., -5136.]), array([ 264.,  344., -222.]))
(6, 14988, 15362, 13201, array([-7616.,  -480.,  3648.]), array([ 6626.,   547., -5032.]), array([ 264.,  344., -222.]))
(6, 16412, 16370, 15747, array([-7616.,  -448.,  3712.]), array([ 6705.,   523., -5027.]), array([ 256.,  345., -222.]))
(6, 17361, 17378, 15747, array([-7664.,  -384.,  3728.]), array([ 6608.,   513., -5082.]), array([ 256.,  345., -222.]))
