(6, 1225, 748, 64648, array([-7872.,   416.,  2336.]), array([ 7476.,   413., -2648.]), array([ 364.,  108.,  111.]))
(6, 2649, 1756, 1657, array([-7952.,   416.,  2368.]), array([ 7469.,   413., -2645.]), array([ 363.,  117.,  108.]))
(6, 3599, 3772, 1657, array([-7840.,   400.,  2304.]), array([ 7425.,   417., -2603.]), array([ 363.,  117.,  108.]))
(6, 4548, 4780, 4204, array([-7872.,   304.,  2288.]), array([ 7474.,   421., -2595.]), array([ 363.,  127.,  111.]))
(6, 5972, 5788, 4204, array([-7888.,   272.,  2384.]), array([ 7452.,   428., -2601.]), array([ 363.,  127.,  111.]))
(6, 6920, 6796, 6749, array([-7904.,   288.,  2400.]), array([ 7379.,   421., -2621.]), array([ 364.,  132.,  115.]))
(6, 7870, 7804, 6749, array([-7936.,   384.,  2368.]), array([ 7431.,   398., -2640.]), array([ 364.,  132.,  115.]))
(6, 9294, 8812, 9294, array([-7888.,   432.,  2336.]), array([ 7408.,   425., -2609.]), array([ 363.,  142.,  107.]))
(6, 10243, 9820, 9294, array([-7904.,   352.,  2304.]), array([ 7435.,   413., -2588.]), array([ 363.,  142.,  107.]))
(6, 11192, 10828, 9294, array([-7744.,   304.,  2320.]), array([ 7413.,   391., -2582.]), array([ 363.,  142.,  107.]))
(6, 12616, 11836, 11839, array([-7920.,   240.,  2288.]), array([ 7424.,   364., -2581.]), array([ 363.,  151.,  107.]))
(6, 13564, 13852, 11839, array([-7936.,   288.,  2320.]), array([ 7367.,   392., -2597.]), array([ 363.,  151.,  107.]))
(6, 14988, 14860, 14386, array([-7840.,   304.,  2224.]), array([ 7382.,   393., -2573.]), array([ 364.,  159.,  101.]))
(6, 15937, 15868, 14386, array([-7872.,   176.,  2240.]), array([ 7371.,   364., -2550.]), array([ 364.,  159.,  101.]))
(6, 16886, 16876, 16931, array([-7872.,   240.,  2240.]), array([ 7367.,   361., -2557.]), array([ 360.,  166.,  101.]))
(6, 18311, 17884, 16931, array([-7920.,   240.,  2304.]), array([ 7340.,   384., -2596.]), array([ 360.,  166.,  101.]))
(6, 19260, 18892, 19477, array([-7984.,   368.,  2368.]), array([ 7300.,   392., -2595.]), array([ 360.,  171.,  101.]))
(6, 20209, 19900, 19477, array([-7952.,   352.,  2288.]), array([ 7286.,   410., -2575.]), array([ 360.,  171.,  101.]))
(6, 21634, 20908, 19477, array([-7920.,   368.,  2320.]), array([ 7305.,   418., -2574.]), array([ 360.,  171.,  101.]))
(6, 22583, 21916, 22022, array([-7904.,   208.,  2192.]), array([ 7289.,   423., -2506.]), array([ 360.,  182.,   98.]))
(6, 24007, 23932, 22022, array([-7840.,   224.,  2336.]), array([ 7271.,   402., -2539.]), array([ 360.,  182.,   98.]))
(6, 24956, 24940, 24567, array([-7808.,   224.,  2272.]), array([ 7294.,   401., -2554.]), array([ 357.,  191.,   97.]))
(6, 25906, 25948, 24567, array([-7936.,   288.,  2272.]), array([ 7288.,   378., -2527.]), array([ 357.,  191.,   97.]))
(6, 27329, 26956, 27114, array([-7952.,   352.,  2352.]), array([ 7224.,   395., -2572.]), array([ 356.,  200.,   93.]))
(6, 28278, 27964, 27114, array([-7936.,   272.,  2224.]), array([ 7306.,   386., -2538.]), array([ 356.,  200.,   93.]))
(6, 29228, 28972, 27114, array([-7904.,   208.,  2288.]), array([ 7250.,   365., -2530.]), array([ 356.,  200.,   93.]))
(6, 30652, 29980, 29659, array([-7824.,   256.,  2320.]), array([ 7246.,   359., -2556.]), array([ 358.,  205.,   89.]))
(6, 31601, 30988, 29659, array([-7904.,   320.,  2352.]), array([ 7216.,   394., -2550.]), array([ 358.,  205.,   89.]))
(6, 33025, 33004, 32206, array([-7904.,   192.,  2304.]), array([ 7277.,   364., -2530.]), array([ 356.,  212.,   87.]))
(6, 33974, 34012, 32206, array([-7888.,   160.,  2144.]), array([ 7234.,   383., -2517.]), array([ 356.,  212.,   87.]))
(6, 34923, 35020, 34751, array([-7824.,   176.,  2192.]), array([ 7206.,   396., -2524.]), array([ 356.,  219.,   81.]))
(6, 36348, 36028, 34751, array([-7824.,   272.,  2192.]), array([ 7197.,   383., -2551.]), array([ 356.,  219.,   81.]))
(6, 37297, 37036, 37297, array([-7952.,   240.,  2240.]), array([ 7204.,   379., -2560.]), array([ 354.,  225.,   73.]))
(6, 38246, 38044, 37297, array([-7984.,   304.,  2288.]), array([ 7197.,   403., -2543.]), array([ 354.,  225.,   73.]))
(6, 39670, 39052, 37297, array([-7920.,   208.,  2288.]), array([ 7176.,   411., -2532.]), array([ 354.,  225.,   73.]))
(6, 40619, 40060, 39842, array([-7920.,   144.,  2256.]), array([ 7190.,   389., -2497.]), array([ 354.,  231.,   68.]))
(6, 41568, 41068, 39842, array([-7856.,   128.,  2192.]), array([ 7132.,   380., -2479.]), array([ 354.,  231.,   68.]))
(6, 42992, 43084, 42388, array([-7952.,   128.,  2272.]), array([ 7167.,   370., -2520.]), array([ 356.,  239.,   68.]))
(6, 43945, 44092, 42388, array([-7888.,   192.,  2272.]), array([ 7142.,   400., -2533.]), array([ 356.,  239.,   68.]))
(6, 45368, 45100, 44933, array([-7952.,   112.,  2240.]), array([ 7194.,   417., -2521.]), array([ 350.,  243.,   58.]))
