(6, 12438, 12693, 12075, array([-8160.,  -192.,  2512.]), array([ 8814.,   639., -5198.]), array([ 323.,  338., -112.]))
(6, 13862, 13701, 12075, array([-8160.,  -176.,  2400.]), array([ 8737.,   632., -5260.]), array([ 323.,  338., -112.]))
(6, 14811, 14709, 14620, array([-8016.,  -160.,  2416.]), array([ 8719.,   645., -5258.]), array([ 319.,  338., -118.]))
(6, 15760, 15717, 14620, array([-8096.,  -224.,  2432.]), array([ 8819.,   649., -5214.]), array([ 319.,  338., -118.]))
(6, 17184, 16725, 17165, array([-8064.,  -240.,  2416.]), array([ 8815.,   645., -5171.]), array([ 308.,  343., -128.]))
(6, 18133, 17733, 17165, array([-8064.,  -256.,  2400.]), array([ 8759.,   666., -5215.]), array([ 308.,  343., -128.]))
(6, 19082, 18741, 17165, array([-8096.,  -224.,  2352.]), array([ 8768.,   644., -5270.]), array([ 308.,  343., -128.]))
(6, 20506, 19749, 19710, array([-8112.,  -256.,  2416.]), array([ 8752.,   649., -5270.]), array([ 309.,  345., -137.]))
(6, 21455, 21765, 19710, array([-8128.,  -368.,  2416.]), array([ 8785.,   652., -5227.]), array([ 309.,  345., -137.]))
(6, 22879, 22773, 22255, array([-8128.,  -256.,  2288.]), array([ 8794.,   697., -5263.]), array([ 304.,  343., -145.]))
(6, 23828, 23781, 22255, array([-8080.,  -320.,  2288.]), array([ 8775.,   704., -5287.]), array([ 304.,  343., -145.]))
(6, 24777, 24789, 24799, array([-8112.,  -288.,  2448.]), array([ 8778.,   715., -5212.]), array([ 295.,  347., -162.]))
(6, 26201, 25797, 24799, array([-8144.,  -432.,  2480.]), array([ 8832.,   728., -5192.]), array([ 295.,  347., -162.]))
(6, 27150, 26805, 27344, array([-8176.,  -368.,  2400.]), array([ 8803.,   689., -5222.]), array([ 295.,  345., -162.]))
(6, 28099, 27813, 27344, array([-8080.,  -368.,  2416.]), array([ 8774.,   708., -5264.]), array([ 295.,  345., -162.]))
(6, 29523, 28821, 27344, array([-8144.,  -448.,  2448.]), array([ 8784.,   697., -5268.]), array([ 295.,  345., -162.]))
(6, 30472, 29829, 29888, array([-8144.,  -416.,  2496.]), array([ 8801.,   706., -5261.]), array([ 289.,  350., -171.]))
(6, 31895, 31845, 29888, array([-8176.,  -352.,  2496.]), array([ 8764.,   687., -5331.]), array([ 289.,  350., -171.]))
(6, 32844, 32853, 32433, array([-8176.,  -288.,  2528.]), array([ 8758.,   711., -5345.]), array([ 281.,  347., -187.]))
(6, 33794, 33861, 32433, array([-8192.,  -192.,  2480.]), array([ 8785.,   711., -5305.]), array([ 281.,  347., -187.]))
