-700,131,833,290,987,-667,190,-361,-373,1988,74,-231,-3102,-806,-3161,-634,84,134,-1421,2036,-17,3707,-81,2551,222,-388,-27
-762,195,897,234,743,-621,197,-364,-364,1856,163,-262,-2981,-431,-3327,-648,8,146,-1325,2040,-203,3196,325,2395,169,-468,59
-796,147,800,292,557,-461,207,-362,-361,1666,197,-105,-2181,-66,-3493,-656,-108,143,-1367,2040,-118,3702,43,2429,135,-507,137
-783,126,785,109,274,-506,216,-356,-355,1497,264,-52,-1487,228,-3559,-651,-187,137,-1316,2029,-64,3911,799,2291,110,-522,223
-799,111,765,100,205,-618,227,-347,-356,1364,541,59,-622,369,-3686,-633,-262,128,-1132,1816,-134,3454,1514,1667,74,-523,331
-809,108,743,148,175,-671,233,-343,-351,1265,566,89,-193,375,-3642,-598,-360,112,-962,1730,-174,3044,1546,1230,51,-512,395
-834,124,753,181,122,-694,241,-335,-349,1139,707,123,-352,328,-3375,-569,-420,105,-791,1581,-218,2872,1613,952,29,-495,452
-817,102,751,229,85,-675,247,-332,-344,1009,823,211,-311,324,-3143,-538,-469,96,-748,1389,-339,2563,1684,909,-3,-480,496
-785,108,763,249,37,-662,249,-327,-346,683,897,261,-1210,448,-2325,-408,-601,7,-694,1200,-503,2107,2088,1009,-46,-450,550
-775,82,779,249,-26,-570,262,-317,-341,475,923,356,-1386,682,-1986,-342,-635,-49,-621,1068,-590,2004,1595,984,-63,-423,588
-733,56,819,87,-135,-291,265,-308,-343,374,900,436,-1393,775,-1888,-290,-644,-97,-501,989,-662,2343,653,860,-74,-388,619
-704,47,817,37,-163,-240,262,-305,-348,289,886,462,-1512,827,-1748,-258,-644,-125,-401,897,-738,2426,281,585,-85,-341,665
-706,56,835,-3,-176,-181,261,-303,-348,212,787,479,-1605,853,-1623,-229,-645,-154,-339,777,-818,2246,286,381,-90,-302,686
-714,55,847,-17,-125,-69,259,-301,-352,110,740,474,-1599,924,-1526,-178,-637,-194,-221,665,-755,2216,351,215,-95,-267,707
-721,55,847,-74,-117,-2,256,-298,-353,-47,667,512,-1383,958,-1488,-149,-631,-216,-177,567,-752,2341,347,94,-99,-202,733
-710,42,838,-108,-148,12,255,-294,-362,-155,601,514,-1213,970,-1426,-119,-623,-233,-167,470,-791,2320,150,79,-98,-163,751
-714,22,833,-144,-184,9,251,-295,-363,-246,569,561,-1009,953,-1351,-74,-616,-251,-112,377,-815,2240,23,55,-97,-118,756
-724,69,846,-158,-193,37,245,-290,-367,-331,516,561,-777,918,-1264,-51,-608,-261,-74,267,-725,2167,0,9,-107,-61,769
-699,21,843,-138,-213,37,241,-291,-372,-367,409,513,-672,840,-1126,-14,-596,-271,-51,121,-615,2037,465,-32,-122,-18,771
-682,30,859,-101,-222,47,238,-289,-373,-444,393,525,-594,772,-897,2,-590,-275,-44,-12,-489,1890,789,-47,-140,16,774
-660,50,862,-74,-188,51,235,-289,-376,-492,328,527,-457,671,-614,12,-583,-281,56,-244,-264,1611,690,-86,-159,90,767
-657,10,834,-82,-132,87,232,-294,-378,-477,274,493,-316,466,-368,20,-584,-282,119,-396,-45,1349,392,-140,-171,109,764
-663,31,859,-2,-36,142,230,-296,-372,-486,249,511,-103,232,-157,19,-584,-280,28,-483,131,1114,646,-78,-188,132,756
-674,19,846,101,35,187,229,-304,-373,-497,299,535,117,-5,104,12,-590,-280,51,-481,220,924,803,41,-188,153,751
-671,21,829,159,34,205,229,-310,-372,-457,350,517,364,-231,351,-10,-597,-270,226,-429,283,777,2,-148,-183,160,753
-675,66,849,237,69,228,228,-319,-367,-360,376,510,418,-426,624,-29,-603,-264,280,-401,196,372,-419,-414,-182,151,754
-712,93,878,310,135,292,228,-329,-364,-278,422,509,508,-539,902,-64,-614,-248,207,-433,51,-381,-203,-313,-175,132,758
-726,63,864,261,117,345,223,-336,-363,-103,376,542,691,-618,1131,-92,-627,-234,63,-373,-38,-787,-285,0,-167,110,764
-725,109,864,210,68,315,220,-342,-361,-2,352,654,982,-630,1343,-118,-636,-211,-82,-298,-119,-964,-342,146,-160,86,767
-643,148,833,174,-45,235,217,-351,-359,194,419,592,1504,-550,1484,-164,-654,-165,-183,-194,-215,-1270,-358,108,-145,38,770
-625,104,866,155,-60,278,210,-357,-356,242,740,457,1929,-378,1661,-201,-665,-133,-124,47,-209,-1592,-464,-89,-141,4,774
-645,141,817,206,-35,277,210,-362,-357,300,752,447,1861,-491,2092,-252,-655,-108,-158,338,-376,-1839,-351,-226,-134,-42,772
-640,216,871,204,-80,244,208,-371,-356,532,829,370,1373,-526,2634,-325,-633,-74,-129,385,-384,-2345,-310,-159,-129,-87,766
-641,220,872,263,36,293,203,-376,-352,687,978,213,1310,-425,2903,-378,-611,-49,-498,388,-285,-2274,-436,-3,-140,-158,749
-651,239,865,221,109,327,202,-384,-347,822,1008,198,1244,-415,3026,-426,-577,-28,-816,657,-354,-2409,489,414,-145,-207,733
-685,256,870,129,140,343,199,-388,-347,949,953,227,902,-447,3329,-500,-506,-9,-738,1021,-505,-2709,166,-58,-120,-257,710
-702,286,868,83,122,345,194,-395,-347,1065,901,195,632,-489,3599,-549,-449,7,-572,1281,-580,-2794,-1404,-914,-72,-332,666
-684,260,847,7,85,302,193,-393,-347,1259,718,74,435,-569,3721,-608,-345,29,-614,1525,-607,-3043,-1586,-1334,-37,-376,625
-647,273,825,-56,57,291,190,-398,-345,1331,757,280,380,-698,3803,-635,-272,44,-654,1743,-659,-3128,-1433,-1443,2,-412,579
-688,323,901,-57,146,313,193,-403,-343,1330,555,163,346,-804,3867,-650,-196,63,-676,1982,-701,-2959,-2117,-1414,59,-458,492
-688,311,899,-54,257,410,187,-407,-346,1451,290,19,4,-1001,3837,-662,-82,96,-669,2037,-572,-3007,-2409,-1314,92,-479,429
-651,330,902,-162,163,434,180,-408,-347,1615,23,-122,200,-1074,3569,-654,-9,108,-806,2040,-615,-3077,-1917,-1214,116,-492,354
-671,334,867,-294,27,501,170,-406,-353,1631,122,-114,1136,-919,3217,-645,51,111,-944,2040,-828,-3148,-2009,-973,145,-500,229
-654,363,887,-423,-37,623,165,-405,-358,1577,214,-29,2448,-582,2730,-624,127,92,-1045,2011,-902,-3204,-2703,-575,161,-491,155
-690,342,881,-522,-128,711,145,-401,-371,1500,279,85,3149,-164,2320,-607,169,59,-1139,1825,-773,-3164,-1795,-714,186,-465,93
-700,308,865,-605,-240,851,130,-398,-381,1472,330,99,3294,197,2012,-585,213,10,-1213,1585,-837,-3093,-201,-1340,219,-428,52
-651,277,869,-702,-287,827,122,-392,-388,1329,248,121,2988,527,1800,-566,235,-23,-1094,1359,-523,-2887,402,-2045,265,-354,-9
-634,230,882,-678,-316,820,101,-387,-401,1248,40,170,2147,825,1704,-540,254,-51,-1177,1327,-323,-2837,-197,-2227,284,-298,-52
-598,247,906,-599,-344,778,88,-381,-408,1216,-153,186,1428,1054,1682,-507,284,-98,-1169,1093,-304,-3111,-792,-2095,297,-233,-94
-585,226,933,-563,-378,655,75,-377,-417,1091,-153,197,1148,1192,1655,-481,297,-127,-1116,877,-118,-3381,-758,-1770,306,-148,-129
-559,203,916,-516,-372,618,61,-367,-425,1042,-180,221,1283,1299,1581,-453,309,-155,-1189,834,198,-2874,-203,-1669,314,-99,-136
-539,188,946,-480,-395,515,47,-363,-429,965,-199,291,1201,1321,1602,-405,325,-198,-1127,771,425,-2035,115,-1626,319,-57,-145
-507,206,978,-370,-413,449,35,-362,-434,914,-249,331,946,1254,1685,-372,338,-215,-1113,720,532,-1585,-89,-1507,318,11,-148
-496,177,957,-286,-446,332,26,-357,-440,865,-418,388,633,1092,1832,-320,357,-236,-1052,690,578,-1721,-102,-1489,314,58,-154
-473,165,961,-268,-439,214,13,-350,-445,796,-595,466,492,964,1953,-285,363,-251,-978,715,619,-1577,-392,-1684,298,103,-164
-434,239,998,-215,-397,63,12,-346,-446,712,-575,498,589,934,1902,-250,360,-273,-983,628,617,-1314,-877,-1755,274,164,-171
-444,239,970,-130,-316,45,5,-346,-449,623,-343,546,1065,985,1692,-201,346,-305,-1065,474,559,-1358,-1035,-1492,251,204,-176
-411,210,1014,-191,-385,130,-11,-335,-455,562,-323,575,1417,1101,1495,-168,336,-320,-1032,370,496,-1587,-955,-1294,235,249,-172
-396,205,994,-280,-578,115,-22,-328,-459,472,-294,669,1098,1110,1426,-138,325,-337,-1047,119,389,-1850,-798,-1320,218,289,-161
-361,219,1009,-261,-585,82,-33,-325,-462,388,-266,743,880,1043,1248,-96,310,-349,-1079,100,366,-2072,-413,-1217,187,348,-142
-336,209,1025,-131,-552,73,-46,-323,-464,296,-330,719,672,989,1105,-70,304,-355,-949,73,236,-1740,-552,-1391,159,384,-133
-312,197,988,-120,-521,36,-59,-317,-467,200,-275,702,484,998,888,-54,292,-361,-803,-10,96,-1635,-1062,-1679,126,426,-118
-277,156,1070,-140,-445,4,-66,-316,-469,69,-251,706,557,1011,553,-26,282,-369,-753,-148,-15,-1695,-914,-1888,78,466,-100
-293,187,1009,-69,-385,-18,-71,-314,-468,52,-254,718,501,950,268,-16,273,-373,-747,-250,-93,-1348,-959,-1574,52,492,-82
-318,197,1052,-102,-331,-178,-75,-318,-468,40,-160,725,487,865,-50,-10,269,-373,-609,-334,-40,-1333,-554,-1447,23,513,-66
-275,204,1099,-3,-208,-195,-73,-317,-469,-6,-341,775,227,654,-233,-6,278,-370,-457,-153,-64,-1042,-220,-1726,-22,534,-48
-274,139,1070,44,-71,-177,-72,-314,-468,-70,-256,604,-228,400,-289,-9,280,-367,-22,-69,-154,-746,-333,-1827,-50,547,-39
-208,212,1068,10,-4,-193,-70,-317,-466,-75,-354,520,-151,96,-512,-27,294,-361,327,126,98,-580,-122,-1748,-62,544,-48
-230,207,1076,92,90,-278,-65,-319,-466,36,-298,541,-367,-322,-649,-46,298,-359,130,-23,140,514,-445,-430,-43,539,-54
-291,190,1074,164,269,-244,-49,-323,-463,142,-350,684,-438,-691,-771,-70,311,-350,-17,-48,-30,196,23,843,-27,531,-58
-178,277,1081,179,313,-354,-44,-327,-462,182,-372,603,-765,-1018,-797,-115,333,-333,59,-124,70,201,132,915,-13,521,-72
-251,251,1041,225,382,-334,-31,-333,-456,321,-406,501,-985,-1302,-928,-146,343,-317,-100,84,276,757,296,678,8,503,-96
-199,259,962,222,579,-311,-10,-338,-452,411,-289,583,-888,-1432,-1134,-205,357,-290,-75,218,245,1572,401,1016,37,462,-136
-374,214,980,207,767,-313,15,-346,-446,492,-206,582,-983,-1548,-1384,-248,367,-264,-364,194,217,1805,349,1345,80,424,-154
-453,253,1030,341,1199,-347,36,-354,-441,701,-480,498,-1366,-1731,-1526,-288,375,-231,-775,326,182,1836,1086,2361,128,369,-175
-387,271,872,375,1083,-612,73,-357,-429,744,97,468,-1417,-1532,-1789,-354,366,-199,-840,475,373,2191,1407,2883,196,277,-192
-638,240,1068,213,1225,-597,98,-361,-414,1106,-115,322,-806,-1356,-2170,-397,357,-165,-1136,864,225,2559,1446,2444,237,212,-192
-688,191,994,520,1353,-537,117,-365,-406,1144,-162,56,-1609,-1327,-2141,-430,350,-123,-1467,442,362,1989,1468,3025,283,166,-162
-541,217,857,241,799,-702,143,-360,-398,1236,-331,-199,-2229,-1161,-2224,-486,318,-71,-1755,553,323,269,2780,2934,320,100,-133
-679,271,896,103,765,-543,158,-363,-388,1493,-130,130,-1711,-890,-2438,-528,284,-46,-1311,704,238,696,1530,2092,314,43,-156
-712,186,863,200,953,-319,172,-362,-380,1522,106,12,-1311,-849,-2852,-577,220,11,-1276,962,155,2488,-965,1586,313,-10,-154
-725,177,861,73,876,-389,192,-357,-372,1582,109,46,-1712,-1063,-2983,-606,171,39,-1304,1443,188,2561,216,1448,315,-100,-131
-791,121,812,23,716,-453,204,-351,-367,1620,213,-91,-1928,-1014,-2991,-631,112,74,-1003,1802,339,3251,603,1210,312,-164,-113
-785,95,742,-3,539,-472,217,-348,-361,1590,350,-114,-1911,-943,-3103,-653,11,111,-1031,1958,359,3811,293,1050,305,-230,-78
-808,109,778,15,438,-530,231,-343,-356,1489,460,-37,-1665,-902,-3243,-657,-62,131,-1253,2003,221,3253,871,2044,288,-296,-34
-833,98,769,150,419,-530,239,-336,-348,1449,621,-140,-1480,-862,-3372,-652,-142,145,-1394,1967,163,2504,1322,2612,260,-375,39
-845,54,692,165,350,-598,244,-332,-346,1426,718,-176,-1206,-713,-3508,-634,-251,154,-1429,1764,-15,1749,1720,2592,238,-415,86
-865,75,737,169,210,-654,254,-325,-339,1342,781,-43,-961,-484,-3488,-612,-320,151,-1303,1628,-241,1531,1494,2300,213,-449,131
-868,90,748,285,129,-561,259,-325,-341,1240,839,-3,-897,-259,-3385,-567,-417,145,-1328,1582,-389,1939,860,2123,157,-495,222
-843,84,747,278,-26,-532,261,-322,-340,1141,901,69,-802,-167,-3290,-530,-471,137,-1271,1681,-352,2675,758,2448,113,-512,286
-848,79,758,252,-181,-542,257,-318,-342,1006,968,143,-792,-113,-3127,-496,-519,123,-1124,1751,-194,3025,1013,2463,76,-516,354
