-266,897,-414,-685,1236,-241,-118,-622,162,-1117,256,99,-3327,1856,-222,452,-17,79,357,-1226,1232,-677,-3043,2996,-211,547,190
-267,999,-375,-1114,1359,-519,-114,-627,140,-1269,121,10,-3704,1781,326,452,-37,120,482,-1263,1124,68,-2801,2916,-163,559,180
-231,1048,-355,-1294,1342,-682,-97,-630,104,-1423,32,25,-3801,1706,838,451,-89,168,542,-1337,988,881,-2421,2864,-116,554,156
-288,1061,-338,-1372,1578,-835,-83,-637,80,-1468,35,133,-3533,1472,1337,446,-127,185,501,-1393,899,1471,-2183,2842,-81,549,131
-200,1012,-407,-1412,1566,-974,-63,-637,55,-1443,43,195,-3070,1111,1735,442,-174,198,381,-1456,867,1561,-1858,2532,-30,534,89
-143,1028,-349,-1455,1530,-1109,-35,-632,26,-1429,-40,191,-2808,748,1983,431,-252,200,352,-1507,833,1617,-1684,2306,-2,519,53
-191,994,-318,-1236,1076,-1097,-20,-629,11,-1423,-76,195,-2484,413,2190,418,-296,195,390,-1496,789,1859,-1474,2323,26,493,16
-226,956,-311,-934,645,-891,-10,-627,-1,-1369,34,155,-1847,42,2281,402,-358,179,493,-1451,809,2094,-1272,2281,68,453,-37
-324,952,-211,-830,350,-764,13,-621,-18,-1310,76,205,-1096,-330,2232,389,-391,166,665,-1285,921,2133,-906,2247,88,425,-68
-330,969,-236,-718,81,-720,23,-619,-34,-1246,154,262,-557,-549,2158,375,-425,152,693,-1261,934,2048,-513,1950,102,394,-104
-360,961,-200,-756,8,-743,36,-613,-44,-1217,216,368,-89,-678,2019,347,-468,141,685,-1244,879,2331,-245,1212,119,343,-144
-387,939,-158,-610,-190,-783,53,-605,-58,-1157,223,428,177,-798,1935,328,-491,132,735,-1156,827,2459,476,613,136,307,-160
-452,929,-111,-452,-386,-775,65,-606,-65,-1103,298,450,387,-1000,1799,314,-511,123,754,-1055,763,2309,988,357,146,275,-172
-532,900,-74,-327,-549,-752,71,-595,-72,-974,422,417,726,-1242,1648,294,-538,115,750,-949,678,2307,851,141,146,223,-201
-552,867,-59,-199,-672,-697,84,-589,-80,-872,370,362,859,-1481,1455,279,-549,106,705,-851,714,2385,228,-67,137,195,-218
-557,847,-24,-63,-705,-611,88,-587,-84,-792,427,357,821,-1637,1267,263,-564,101,626,-797,719,2182,-323,-379,134,173,-223
-590,830,24,75,-728,-533,90,-586,-89,-723,441,351,1113,-1702,1072,248,-574,101,527,-758,684,1918,244,-898,138,157,-228
-619,859,23,147,-711,-414,98,-585,-91,-700,578,344,1380,-1728,866,241,-576,101,474,-750,624,1758,715,-1388,142,138,-233
-662,864,56,210,-642,-375,97,-581,-89,-676,631,345,1544,-1773,654,236,-581,103,437,-714,521,1651,816,-1659,147,128,-226
-669,859,35,361,-608,-341,105,-582,-80,-643,608,347,1287,-1862,471,236,-582,94,407,-699,440,1548,978,-1904,149,130,-221
-692,829,28,543,-542,-290,104,-586,-73,-629,693,322,1093,-1968,204,238,-580,89,401,-670,354,1469,887,-2159,148,131,-227
-692,805,-9,706,-499,-211,104,-591,-63,-635,741,310,1118,-2064,-83,248,-574,77,373,-699,308,1319,594,-2296,147,138,-227
-683,798,-7,883,-519,-171,104,-590,-50,-617,676,232,941,-2189,-346,255,-569,63,311,-763,323,1061,314,-2476,132,154,-228
-639,751,-79,1055,-613,-105,100,-597,-27,-575,532,168,636,-2260,-620,274,-554,38,224,-824,394,747,-263,-2646,91,175,-238
-686,665,-29,1137,-549,75,94,-602,-12,-545,532,156,525,-2168,-911,290,-543,28,145,-834,389,418,-881,-2722,72,199,-245
-742,687,-40,1211,-691,319,84,-606,0,-526,622,149,842,-1971,-1202,303,-527,21,45,-918,378,-6,-363,-3114,46,226,-239
-758,757,-41,1203,-639,572,65,-616,29,-558,698,135,1119,-1806,-1394,325,-499,3,-85,-1060,405,-288,-59,-3483,1,263,-237
-658,803,-207,1222,-488,796,48,-620,44,-779,641,181,1000,-1714,-1545,341,-480,-5,-158,-1323,499,-469,-531,-3429,-35,291,-228
-534,789,-352,1105,-114,908,34,-623,65,-903,569,246,759,-1627,-1664,355,-456,-22,-228,-1275,450,-848,-490,-3297,-63,321,-217
-540,713,-288,1184,-167,846,10,-626,94,-767,628,196,728,-1571,-1803,378,-412,-41,-264,-1325,423,-1255,18,-3397,-93,346,-201
-572,801,-320,1226,-389,889,-2,-627,112,-774,708,214,946,-1469,-2128,389,-384,-51,-337,-1437,506,-1534,259,-3382,-153,381,-174
-569,852,-350,1094,-257,877,-19,-623,129,-921,771,312,987,-1258,-2112,405,-341,-71,-448,-1471,545,-1706,-505,-3019,-187,402,-146
-381,681,-396,1147,-248,858,-36,-623,156,-816,813,258,548,-1097,-1961,415,-298,-84,-503,-1353,560,-1859,-814,-2596,-222,421,-119
-442,732,-357,1116,-338,823,-53,-618,171,-660,636,168,-278,-944,-2203,423,-256,-96,-475,-1364,682,-2239,-433,-2243,-266,449,-65
-547,758,-314,921,-304,891,-66,-616,182,-833,659,248,-885,-321,-2346,433,-196,-95,-526,-1420,824,-2411,-804,-1700,-299,462,-22
-461,754,-366,746,19,878,-89,-613,198,-841,748,313,-958,391,-2002,440,-159,-82,-684,-1487,943,-2234,-1990,-1308,-325,469,26
-351,891,-548,181,794,584,-113,-614,199,-822,694,346,-1398,781,-1808,446,-119,-64,-577,-1528,1043,-1966,-2425,-822,-342,486,101
