342,81,761,-1171,394,-452,-308,64,-419,133,829,5,783,-1592,1080,-94,-673,-6,76,-83,374,2830,2377,437,109,-242,-196
503,234,939,-814,116,-1591,-318,54,-418,126,690,-167,565,-2015,789,-112,-676,7,235,83,253,3017,2310,587,155,-318,-115
527,312,1042,-104,-55,-1619,-323,52,-415,97,655,-198,465,-1984,409,-123,-675,24,440,175,141,2930,3198,1071,180,-365,-39
533,103,628,-799,-3,-1197,-324,89,-406,75,722,-255,650,-1987,269,-123,-674,36,674,285,-80,3011,4114,1443,184,-407,45
483,117,772,-1875,178,-1032,-321,86,-412,31,690,-348,817,-2156,-9,-118,-679,63,778,293,-289,3686,3672,1396,181,-439,134
433,150,846,-429,458,-903,-317,79,-412,-20,688,-370,725,-2361,-334,-106,-679,75,737,250,-488,4306,2720,1002,186,-440,250
479,206,988,-137,513,-981,-312,68,-418,-31,697,-359,756,-2544,-559,-79,-683,93,653,57,-598,4448,1317,-121,208,-417,304
497,295,1107,-38,514,-938,-306,66,-420,-225,844,-375,683,-2602,-846,-56,-681,101,706,-321,-575,3891,-27,-1478,239,-372,338
475,225,844,29,471,-693,-300,74,-420,-343,881,-458,364,-2651,-1217,-22,-681,85,766,-518,-545,2875,-173,-2689,292,-277,371
510,230,763,-927,630,-534,-282,89,-425,-265,876,-592,-664,-2810,-1700,35,-672,34,751,-662,-392,1939,64,-3613,333,-199,371
565,311,868,-632,704,-312,-272,94,-426,-313,1055,-713,-1617,-2746,-2171,75,-659,-7,798,-977,-135,1745,-932,-4087,367,-111,341
550,356,791,-340,797,-72,-258,101,-432,-271,1069,-720,-2015,-2370,-2476,108,-636,-57,614,-1444,155,2286,-2906,-4322,398,41,211
592,296,782,-530,936,144,-233,113,-437,-356,830,-609,-2499,-1828,-2595,164,-591,-118,598,-1991,280,3037,-5172,-4848,368,157,90
499,313,768,-337,965,421,-210,120,-439,-594,872,-399,-2321,-1142,-2749,194,-555,-152,478,-2033,374,2980,-6569,-5967,281,263,-31
382,68,797,-259,982,1019,-184,131,-440,-503,794,-539,-1845,-628,-2741,246,-481,-203,366,-2039,976,2174,-7207,-6758,32,336,-190
283,145,913,-374,1135,1404,-138,143,-441,-778,408,-349,-2704,-352,-2805,288,-405,-225,309,-2039,1735,2050,-9608,-6234,-183,318,-222
270,171,928,-191,1171,1832,-107,151,-443,-1165,275,-64,-3837,960,-3100,329,-344,-220,-458,-2039,1356,2005,-11884,-4687,-312,286,-190
155,140,1084,-451,1155,2222,-67,160,-437,-1161,763,231,-2725,2108,-2964,380,-233,-197,-648,-2039,800,550,-7182,-3440,-380,284,-144
-477,-116,1083,-566,1148,3268,-5,156,-430,-1078,1502,208,-3177,2265,-3122,406,-148,-170,-61,-2039,712,-1888,-3689,-1967,-456,298,-50
-768,-311,1428,-629,809,4415,11,127,-438,-1464,1480,-157,-5576,2719,-2402,427,-63,-102,649,-2039,1032,-225,-6015,682,-496,321,45
-317,-212,1211,635,-351,3747,4,118,-443,-1913,555,-562,-8988,3795,-1409,448,-15,15,1004,-2039,1447,2535,-9474,3248,-487,371,139
-52,-249,962,-120,-1217,1958,-17,120,-449,-1775,-110,-373,-9439,3228,337,456,-51,65,1357,-2039,1739,3179,-9072,4956,-402,465,185
-199,-244,1171,-168,-1284,1342,-33,100,-452,-1236,559,369,-1016,-571,4071,302,-528,47,1563,-2039,1442,2779,-5808,5556,-314,516,160
-130,-194,1009,789,-1327,1214,-53,97,-454,-965,663,428,-532,-939,3888,225,-590,28,1583,-2039,1322,3370,-3351,6224,-216,541,114
66,-97,1127,311,-1225,355,-85,70,-464,-680,805,424,200,-1224,3733,167,-625,20,590,-1680,552,3197,1337,4470,226,128,-159
79,-2,1082,1129,-1209,-455,-108,58,-467,-489,668,429,264,-1551,3680,83,-653,3,451,-1251,498,3409,480,3835,231,34,-172
242,29,962,629,-1067,-508,-130,48,-466,-243,570,313,-98,-2043,3278,-34,-672,-15,401,-998,510,3530,-353,3309,216,-94,-175
233,82,971,558,-1171,-754,-165,30,-467,-83,558,245,-142,-2250,2963,-114,-671,-12,378,-718,505,3575,-576,2801,196,-169,-166
210,174,866,575,-1183,-644,-188,33,-462,56,513,198,22,-2543,2627,-160,-664,-7,361,-543,446,3490,-483,2373,182,-237,-152
366,269,843,81,-1349,-853,-220,24,-455,79,510,148,174,-2843,2406,-203,-657,5,332,-445,367,3565,-520,1935,150,-325,-108
452,272,951,121,-1590,-1448,-264,7,-447,97,479,24,201,-3158,2086,-254,-642,31,394,-295,301,3728,-746,1496,127,-381,-73
423,354,958,212,-1596,-1602,-291,7,-434,164,196,-315,-273,-3491,1386,-302,-625,77,527,-142,143,3862,-985,1230,110,-428,-27
408,291,852,-303,-1406,-1460,-315,8,-425,148,278,-466,-208,-3408,781,-303,-622,104,609,-86,-71,4017,-407,740,113,-467,65
399,379,803,-730,-1315,-1622,-349,0,-407,154,386,-525,188,-3463,278,-293,-623,130,596,0,-150,4035,422,46,119,-479,124
523,405,792,-667,-1254,-1970,-369,-9,-398,129,481,-618,186,-3710,-127,-267,-629,164,537,-102,-115,4066,-403,-498,132,-479,175
503,388,734,-641,-1090,-2263,-384,-13,-386,-46,590,-641,-157,-3893,-552,-231,-642,174,512,-230,-182,4281,-1402,-1027,174,-456,248
554,466,812,-850,-839,-2148,-399,-29,-380,-85,762,-679,-613,-3919,-1083,-192,-654,174,534,-367,-285,3987,-1211,-1699,208,-418,293
570,432,730,-839,-699,-2161,-411,-27,-371,-162,888,-757,-1135,-3954,-1607,-112,-676,146,564,-543,-408,3989,-1146,-2395,247,-364,326
