name,timestamp,accelX,accelY,accelZ,breathing,activity
RESpeckRight2,20130708153313.762,-0.639893,0.769287,-0.130127,0.000000,0.000000
RESpeckRight2,20130708153313.766,-0.651611,0.768799,-0.119385,0.000000,0.000000
RESpeckRight2,20130708153313.804,-0.651123,0.753906,-0.137207,0.000000,0.000000
RESpeckRight2,20130708153313.892,-0.643799,0.771240,-0.121094,0.000000,0.000000
RESpeckRight2,20130708153313.952,-0.643311,0.775146,-0.126465,0.000000,0.000000
RESpeckRight2,20130708153314.042,-0.643799,0.770752,-0.121582,0.000000,0.000000
RESpeckRight2,20130708153314.191,-0.641357,0.771240,-0.122314,0.000000,0.000000
RESpeckRight2,20130708153314.282,-0.646484,0.771240,-0.145508,0.000000,0.000000
RESpeckRight2,20130708153314.342,-0.641113,0.767578,-0.132324,0.000000,0.000000
RESpeckRight2,20130708153314.431,-0.647217,0.772217,-0.130371,0.000000,0.000000
RESpeckRight2,20130708153314.492,-0.646240,0.767578,-0.136719,0.000000,0.000000
RESpeckRight2,20130708153314.581,-0.642334,0.766357,-0.146973,0.000000,0.000000
RESpeckRight2,20130708153314.642,-0.643799,0.775635,-0.125977,0.000000,0.000000
RESpeckRight2,20130708153314.732,-0.644287,0.768066,-0.149902,0.000000,0.000000
RESpeckRight2,20130708153314.791,-0.639160,0.770020,-0.134766,0.000000,0.000000
RESpeckRight2,20130708153314.882,-0.643066,0.772705,-0.132080,0.000000,0.000000
RESpeckRight2,20130708153314.941,-0.645264,0.764648,-0.150146,0.000000,0.000000
RESpeckRight2,20130708153315.032,-0.641602,0.773926,-0.127930,0.000000,0.000000
RESpeckRight2,20130708153315.092,-0.644775,0.768799,-0.142334,0.000000,0.000000
RESpeckRight2,20130708153315.181,-0.643799,0.771729,-0.133545,0.000000,0.000000
RESpeckRight2,20130708153315.241,-0.645264,0.767578,-0.136230,0.000000,0.000000
RESpeckRight2,20130708153315.331,-0.644531,0.772949,-0.128662,0.000000,0.000000
RESpeckRight2,20130708153315.392,-0.643066,0.770508,-0.138184,0.000000,0.000000
RESpeckRight2,20130708153315.482,-0.639404,0.772217,-0.128418,0.000000,0.000000
RESpeckRight2,20130708153315.632,-0.642334,0.760498,-0.138916,0.000000,0.000000
RESpeckRight2,20130708153315.722,-0.646729,0.773682,-0.124023,0.000000,0.000000
RESpeckRight2,20130708153315.781,-0.645996,0.763428,-0.134521,0.000000,0.000000
RESpeckRight2,20130708153315.871,-0.644043,0.772705,-0.133057,0.000000,0.000000
RESpeckRight2,20130708153315.932,-0.642334,0.770508,-0.129883,0.000000,0.000000
RESpeckRight2,20130708153316.021,-0.644043,0.767334,-0.139160,0.000000,0.000000
RESpeckRight2,20130708153316.082,-0.640869,0.776611,-0.129883,0.000000,0.000000
RESpeckRight2,20130708153316.172,-0.639893,0.770264,-0.133301,0.000000,0.000000
RESpeckRight2,20130708153316.232,-0.645752,0.773926,-0.139160,nan,0.318096
RESpeckRight2,20130708153316.321,-0.638428,0.767334,-0.132812,nan,0.234426
RESpeckRight2,20130708153316.382,-0.642822,0.771484,-0.136230,nan,0.234426
RESpeckRight2,20130708153316.472,-0.644531,0.767822,-0.140625,nan,0.234426
RESpeckRight2,20130708153316.531,-0.642822,0.772461,-0.132080,nan,0.234426
RESpeckRight2,20130708153316.621,-0.642334,0.771240,-0.137207,nan,0.234426
RESpeckRight2,20130708153316.681,-0.638672,0.771484,-0.136230,nan,0.234426
RESpeckRight2,20130708153316.772,-0.642334,0.770020,-0.134033,nan,0.234426
RESpeckRight2,20130708153316.832,-0.647705,0.747803,-0.165039,nan,0.234426
RESpeckTest2,20130708153316.917,0.819580,-0.565430,-0.029541,nan,1.973795
RESpeckRight2,20130708153316.924,-0.633057,0.796875,-0.124268,nan,1.993740
RESpeckTest2,20130708153316.946,0.819092,-0.571533,0.012207,nan,1.999975
RESpeckTest2,20130708153317.006,0.770752,-0.588135,-0.020752,nan,1.999975
RESpeckRight2,20130708153317.011,-0.628418,0.781982,-0.151855,nan,1.999975
RESpeckRight2,20130708153317.072,-0.629395,0.777344,-0.143555,nan,1.999975
RESpeckTest2,20130708153317.096,0.789307,-0.578369,-0.003662,nan,1.999975
RESpeckRight2,20130708153317.162,-0.645264,0.771973,-0.139160,nan,1.999975
RESpeckTest2,20130708153317.186,0.804932,-0.565918,-0.001709,nan,1.999975
RESpeckRight2,20130708153317.222,-0.644287,0.758301,-0.167725,nan,1.999975
RESpeckTest2,20130708153317.246,0.807861,-0.570312,0.009521,nan,1.999975
RESpeckRight2,20130708153317.312,-0.629150,0.784424,-0.146240,nan,1.999975
RESpeckTest2,20130708153317.336,0.792969,-0.578369,-0.011230,nan,1.999975
RESpeckRight2,20130708153317.372,-0.632324,0.774414,-0.140625,nan,1.999975
RESpeckTest2,20130708153317.426,0.806396,-0.566162,0.015137,nan,1.999975
RESpeckRight2,20130708153317.462,-0.642334,0.781494,-0.141602,nan,1.999975
RESpeckTest2,20130708153317.486,0.784424,-0.579346,-0.031250,nan,1.999975
RESpeckRight2,20130708153317.522,-0.642822,0.767578,-0.108643,nan,1.999975
RESpeckTest2,20130708153317.576,0.794434,-0.573486,-0.004639,nan,1.999975
RESpeckRight2,20130708153317.612,-0.662842,0.749756,-0.135498,nan,1.999975
RESpeckRight2,20130708153317.672,-0.650146,0.756836,-0.126221,nan,1.999975
RESpeckTest2,20130708153317.726,0.816895,-0.562256,-0.005859,nan,1.999975
RESpeckRight2,20130708153317.762,-0.644043,0.770996,-0.114990,nan,1.999975
RESpeckTest2,20130708153317.816,0.806641,-0.564453,0.003662,nan,1.999975
RESpeckRight2,20130708153317.822,-0.651611,0.760986,-0.131836,nan,39.505180
RESpeckTest2,20130708153317.875,0.805176,-0.566895,-0.006592,nan,39.505180
RESpeckRight2,20130708153317.912,-0.639648,0.784180,-0.086182,nan,39.505180
RESpeckTest2,20130708153317.966,0.809082,-0.566162,-0.001465,nan,39.505180
RESpeckRight2,20130708153317.971,-0.649414,0.770020,-0.115234,nan,39.505180
RESpeckTest2,20130708153318.055,0.801758,-0.565186,0.014160,nan,39.505180
RESpeckRight2,20130708153318.061,-0.640625,0.774170,-0.115723,nan,39.505180
RESpeckTest2,20130708153318.116,0.796143,-0.563477,-0.009766,nan,39.505180
RESpeckRight2,20130708153318.121,-0.640869,0.781250,-0.110352,nan,39.505180
RESpeckTest2,20130708153318.206,0.817627,-0.563232,0.014404,nan,39.505180
RESpeckRight2,20130708153318.211,-0.649658,0.767578,-0.113525,nan,39.505180
RESpeckRight2,20130708153318.272,-0.645752,0.769531,-0.117920,nan,39.505180
RESpeckTest2,20130708153318.296,0.798828,-0.564209,-0.006592,nan,39.505180
RESpeckTest2,20130708153318.356,0.807129,-0.563721,-0.000244,nan,39.505180
RESpeckRight2,20130708153318.361,-0.644043,0.778076,-0.105469,nan,39.505180
RESpeckTest2,20130708153318.445,0.806641,-0.563477,-0.000732,nan,39.505180
RESpeckRight2,20130708153318.452,-0.644531,0.776367,-0.103516,nan,39.505180
RESpeckTest2,20130708153318.506,0.809326,-0.565430,-0.004150,nan,39.505180
RESpeckRight2,20130708153318.511,-0.641357,0.770264,-0.120361,nan,39.505180
RESpeckTest2,20130708153318.596,0.805420,-0.566895,-0.004883,nan,39.505180
RESpeckRight2,20130708153318.601,-0.642578,0.775635,-0.103516,nan,39.505180
RESpeckRight2,20130708153318.662,-0.644775,0.768311,-0.115967,nan,39.505180
RESpeckTest2,20130708153318.686,0.806396,-0.566650,0.005615,nan,39.505180
RESpeckTest2,20130708153318.746,0.810791,-0.568359,0.000488,nan,39.505180
RESpeckRight2,20130708153318.751,-0.646240,0.774170,-0.111572,nan,39.505180
RESpeckRight2,20130708153318.812,-0.644531,0.769775,-0.114502,nan,39.505180
RESpeckTest2,20130708153318.838,0.799072,-0.563232,-0.011230,nan,39.505180
RESpeckRight2,20130708153318.902,-0.645264,0.775146,-0.108398,nan,39.505180
RESpeckTest2,20130708153318.926,0.808350,-0.562744,0.001465,nan,39.505180
RESpeckRight2,20130708153318.962,-0.639404,0.774170,-0.108643,nan,39.505180
RESpeckTest2,20130708153318.986,0.811279,-0.562012,0.000000,nan,39.505180
RESpeckRight2,20130708153319.052,-0.646484,0.779541,-0.111816,nan,39.505180
RESpeckTest2,20130708153319.077,0.807373,-0.562500,0.000244,nan,39.635002
RESpeckRight2,20130708153319.112,-0.643799,0.769287,-0.114746,nan,39.635002
RESpeckRight2,20130708153319.202,-0.644531,0.773926,-0.106201,nan,39.635002
RESpeckTest2,20130708153319.226,0.812012,-0.560303,-0.002686,nan,39.635002
RESpeckRight2,20130708153319.262,-0.645752,0.777832,-0.104980,nan,39.635002
RESpeckTest2,20130708153319.316,0.806641,-0.562500,-0.000488,nan,39.635002
RESpeckRight2,20130708153319.352,-0.645264,0.770508,-0.119629,nan,39.635002
RESpeckTest2,20130708153319.375,0.804688,-0.563477,-0.002197,nan,39.635002
RESpeckRight2,20130708153319.412,-0.639893,0.769287,-0.115967,nan,39.635002
RESpeckTest2,20130708153319.466,0.810059,-0.561768,0.011963,nan,39.635002
RESpeckRight2,20130708153319.502,-0.640869,0.779785,-0.109863,nan,39.635002
RESpeckTest2,20130708153319.556,0.809570,-0.561035,-0.008545,nan,39.635002
RESpeckRight2,20130708153319.561,-0.641113,0.774658,-0.114990,nan,39.635002
RESpeckTest2,20130708153319.615,0.811523,-0.561035,0.007080,nan,39.635002
RESpeckRight2,20130708153319.652,-0.641357,0.771729,-0.110840,nan,39.635002
RESpeckTest2,20130708153319.706,0.802734,-0.566162,0.002930,nan,39.635002
RESpeckTest2,20130708153319.795,0.808350,-0.563477,0.003174,nan,39.635002
RESpeckRight2,20130708153319.801,-0.647217,0.771973,-0.110107,nan,39.635002
RESpeckTest2,20130708153319.856,0.804688,-0.561035,-0.000488,nan,39.635002
RESpeckRight2,20130708153319.892,-0.646973,0.768799,-0.117676,nan,39.635002
RESpeckTest2,20130708153319.946,0.809082,-0.560547,0.004639,nan,39.635002
RESpeckRight2,20130708153319.952,-0.647705,0.772949,-0.108643,nan,39.635002
RESpeckTest2,20130708153320.006,0.803955,-0.564209,0.000977,nan,39.635002
RESpeckRight2,20130708153320.042,-0.645264,0.773193,-0.108643,nan,39.635002
RESpeckTest2,20130708153320.096,0.804688,-0.562988,0.000000,nan,39.635002
RESpeckRight2,20130708153320.102,-0.644043,0.775635,-0.112793,nan,39.635002
RESpeckTest2,20130708153320.186,0.809814,-0.561279,0.000244,nan,39.635002
RESpeckRight2,20130708153320.192,-0.640381,0.774658,-0.114746,nan,39.635002
RESpeckTest2,20130708153320.246,0.810059,-0.559814,-0.004395,nan,39.635002
RESpeckRight2,20130708153320.252,-0.643799,0.771240,-0.109375,nan,39.635002
RESpeckTest2,20130708153320.363,0.806396,-0.561523,0.001465,nan,39.635002
RESpeckRight2,20130708153320.365,-0.650146,0.777344,-0.104492,nan,39.635002
RESpeckRight2,20130708153320.403,-0.645020,0.767334,-0.108643,nan,1.981450
RESpeckTest2,20130708153320.425,0.816162,-0.560059,-0.000244,nan,1.981450
