(1, 29725, 29218, 27999, array([ -624., -2576., -7344.]), array([ 213.,  161.,  172.]), array([ 231.,  192.,  507.]))
(1, 30674, 30226, 30546, array([ -672., -2624., -7312.]), array([ 217.,  149.,  172.]), array([ 233.,  192.,  508.]))
(1, 32098, 31235, 30546, array([ -624., -2480., -7328.]), array([ 215.,  157.,  168.]), array([ 233.,  192.,  508.]))
(1, 33046, 33251, 33092, array([ -640., -2464., -7296.]), array([ 121.,  206.,  152.]), array([ 235.,  195.,  506.]))
(1, 33995, 34259, 33092, array([ -656., -2432., -7392.]), array([ 123.,  181.,  147.]), array([ 235.,  195.,  506.]))
(1, 35418, 35267, 33092, array([ -592., -2368., -7328.]), array([ 260.,  136.,  156.]), array([ 235.,  195.,  506.]))
(1, 36367, 36276, 35640, array([ -512., -2320., -7200.]), array([ 343.,  165.,  149.]), array([ 235.,  195.,  506.]))
(1, 37316, 37284, 35640, array([ -528., -2352., -7152.]), array([ 426.,  130.,  125.]), array([ 235.,  195.,  506.]))
(1, 38739, 38292, 38186, array([ -528., -2288., -7136.]), array([ 551.,   99.,   77.]), array([ 232.,  192.,  509.]))
(1, 39688, 39300, 38186, array([ -592., -2336., -7104.]), array([ 676.,  105.,   25.]), array([ 232.,  192.,  509.]))
(1, 41111, 40308, 40733, array([ -608., -2368., -6944.]), array([ 749.,   59.,   10.]), array([ 233.,  195.,  508.]))
(1, 42060, 41316, 40733, array([ -640., -2368., -6880.]), array([ 787.,   47.,   -9.]), array([ 233.,  195.,  508.]))
(1, 43009, 43333, 43280, array([ -608., -2416., -6816.]), array([ 835.,   70.,    1.]), array([ 235.,  196.,  505.]))
(1, 44432, 44341, 43280, array([ -624., -2400., -6752.]), array([ 861.,   83.,   -7.]), array([ 235.,  196.,  505.]))
(1, 45381, 45349, 43280, array([ -608., -2432., -6736.]), array([ 919.,   93.,   -4.]), array([ 235.,  196.,  505.]))
(1, 46330, 46357, 45827, array([ -608., -2400., -6704.]), array([ 969.,   96.,  -56.]), array([ 234.,  203.,  506.]))
(1, 47754, 47365, 45827, array([ -448., -2448., -6784.]), array([ 992.,  152.,  -66.]), array([ 234.,  203.,  506.]))
(1, 48703, 48374, 48373, array([ -448., -2544., -6800.]), array([ 1086.,   180.,   -55.]), array([ 234.,  198.,  504.]))
(1, 50126, 49382, 48373, array([ -400., -2800., -6704.]), array([ 1124.,   150.,   -66.]), array([ 234.,  198.,  504.]))
(1, 51076, 50390, 50920, array([ -464., -2704., -6544.]), array([ 1080.,   161.,   -95.]), array([ 233.,  205.,  504.]))
(1, 52025, 51398, 50920, array([ -400., -2704., -6496.]), array([ 974.,  143.,  -64.]), array([ 233.,  205.,  504.]))
