(1, 50655, 50843, 48568, array([ 2976.,   432., -6896.]), array([ 2138.,  1275., -3535.]), array([-132.,  106.,  573.]))
(1, 52078, 51851, 51115, array([ 2928.,   528., -6912.]), array([ 2326.,  1229., -3381.]), array([-138.,  112.,  569.]))
(1, 53027, 52859, 51115, array([ 2896.,   496., -6880.]), array([ 2440.,  1193., -3263.]), array([-138.,  112.,  569.]))
(1, 53976, 53867, 53661, array([ 2912.,   448., -6816.]), array([ 2570.,  1139., -3173.]), array([-141.,  112.,  569.]))
(1, 55400, 54876, 53661, array([ 2880.,   384., -6736.]), array([ 2601.,  1075., -3036.]), array([-141.,  112.,  569.]))
(1, 56349, 55884, 56208, array([ 2880.,   480., -6720.]), array([ 2634.,  1005., -2938.]), array([-144.,  115.,  567.]))
(1, 57772, 56892, 56208, array([ 2768.,   720., -6656.]), array([ 2652.,   943., -2837.]), array([-144.,  115.,  567.]))
(1, 58721, 58908, 58755, array([ 2624.,   704., -6576.]), array([ 2767.,   829., -2635.]), array([-147.,  123.,  568.]))
(1, 59671, 59916, 58755, array([ 2560.,   624., -6608.]), array([ 2765.,   821., -2518.]), array([-147.,  123.,  568.]))
(1, 61094, 60924, 58755, array([ 2400.,   592., -6608.]), array([ 2741.,   762., -2414.]), array([-147.,  123.,  568.]))
(1, 62044, 61932, 61302, array([ 2352.,   544., -6640.]), array([ 2574.,   743., -2335.]), array([-147.,  124.,  568.]))
(1, 62993, 62941, 61302, array([ 2304.,   576., -6768.]), array([ 2365.,   729., -2247.]), array([-147.,  124.,  568.]))
(1, 64417, 63949, 63849, array([ 2368.,   608., -6880.]), array([ 2161.,   708., -2165.]), array([-148.,  128.,  570.]))
(1, 65366, 64957, 63849, array([ 2464.,   656., -6864.]), array([ 1857.,   679., -2101.]), array([-148.,  128.,  570.]))
(1, 1254, 429, 859, array([ 2560.,   720., -6704.]), array([ 1489.,   698., -2068.]), array([-155.,  131.,  566.]))
(1, 2202, 1437, 859, array([ 2576.,   816., -6736.]), array([ 1110.,   655., -2008.]), array([-155.,  131.,  566.]))
(1, 3151, 3453, 3405, array([ 2624.,   864., -6704.]), array([  339.,   574., -1924.]), array([-152.,  128.,  565.]))
(1, 4575, 4462, 3405, array([ 2656.,  1024., -6720.]), array([   39.,   537., -1858.]), array([-152.,  128.,  565.]))
(1, 5524, 5470, 3405, array([ 2656.,  1152., -6720.]), array([ -158.,   531., -1807.]), array([-152.,  128.,  565.]))
(1, 6473, 6478, 5950, array([ 2736.,  1248., -6736.]), array([ -270.,   520., -1810.]), array([-153.,  129.,  567.]))
(1, 7897, 7486, 5950, array([ 2640.,  1360., -6752.]), array([ -293.,   529., -1780.]), array([-153.,  129.,  567.]))
(1, 8845, 8494, 8497, array([ 2608.,  1424., -6736.]), array([ -232.,   495., -1799.]), array([-155.,  124.,  567.]))
(1, 10270, 9502, 8497, array([ 2640.,  1568., -6736.]), array([ -201.,   502., -1772.]), array([-155.,  124.,  567.]))
(1, 11219, 10510, 11043, array([ 2688.,  1616., -6800.]), array([   10.,   497., -1752.]), array([-155.,  123.,  562.]))
(1, 12168, 12527, 11043, array([ 2688.,  1616., -6832.]), array([  413.,   569., -1721.]), array([-155.,  123.,  562.]))
(1, 13118, 13535, 13589, array([ 2672.,  1568., -6896.]), array([  631.,   563., -1701.]), array([-156.,  124.,  567.]))
(1, 14542, 14543, 13589, array([ 2608.,  1536., -6880.]), array([  743.,   571., -1681.]), array([-156.,  124.,  567.]))
(1, 15491, 15551, 13589, array([ 2592.,  1392., -6832.]), array([  879.,   569., -1647.]), array([-156.,  124.,  567.]))
(1, 16915, 16559, 16136, array([ 2544.,  1264., -6880.]), array([ 1019.,   553., -1582.]), array([-160.,  125.,  567.]))
(1, 17864, 17567, 16136, array([ 2592.,  1168., -6864.]), array([ 1039.,   550., -1542.]), array([-160.,  125.,  567.]))
(1, 18813, 18575, 18682, array([ 2592.,  1200., -6896.]), array([ 1139.,   530., -1498.]), array([-161.,  124.,  563.]))
(1, 20236, 19584, 18682, array([ 2544.,  1200., -6880.]), array([ 1099.,   535., -1458.]), array([-161.,  124.,  563.]))
(1, 21185, 20592, 21229, array([ 2576.,  1232., -6896.]), array([ 1116.,   497., -1430.]), array([-159.,  126.,  565.]))
(1, 22608, 22608, 21229, array([ 2544.,  1088., -6864.]), array([ 1126.,   514., -1279.]), array([-159.,  126.,  565.]))
(1, 23557, 23616, 23775, array([ 2544.,  1120., -6880.]), array([ 1110.,   520., -1254.]), array([-159.,  129.,  565.]))
(1, 24506, 24624, 23775, array([ 2608.,  1040., -6896.]), array([ 1081.,   505., -1213.]), array([-159.,  129.,  565.]))
(1, 25929, 25632, 23775, array([ 2544.,  1008., -6928.]), array([ 1091.,   486., -1141.]), array([-159.,  129.,  565.]))
(1, 26878, 26641, 26322, array([ 2528.,  1024., -6976.]), array([ 1024.,   491., -1066.]), array([-162.,  130.,  563.]))
(1, 27827, 27649, 26322, array([ 2576.,  1040., -6992.]), array([  925.,   493., -1000.]), array([-162.,  130.,  563.]))
(1, 29251, 28657, 28869, array([ 2720.,  1104., -6944.]), array([ 896.,  428., -962.]), array([-164.,  130.,  561.]))
(1, 30200, 29665, 28869, array([ 2592.,  1136., -6880.]), array([ 853.,  408., -918.]), array([-164.,  130.,  561.]))
