(1, 19941, 19405, 18166, array([ 5504., -3392., -3568.]), array([-2443.,  1031.,  1746.]), array([-146.,  159.,  548.]))
(1, 20890, 20413, 20712, array([ 5536., -3376., -3584.]), array([-2526.,  1111.,  1817.]), array([-148.,  152.,  549.]))
(1, 22314, 21421, 20712, array([ 5600., -3344., -3584.]), array([-2599.,  1189.,  1930.]), array([-148.,  152.,  549.]))
(1, 23263, 23438, 23259, array([ 5664., -3424., -3600.]), array([-2718.,  1251.,  2158.]), array([-148.,  150.,  544.]))
(1, 24212, 24446, 23259, array([ 5760., -3424., -3632.]), array([-2750.,  1352.,  2282.]), array([-148.,  150.,  544.]))
(1, 25636, 25454, 23259, array([ 5872., -3472., -3696.]), array([-2795.,  1444.,  2376.]), array([-148.,  150.,  544.]))
(1, 26585, 26462, 25803, array([ 5872., -3456., -3728.]), array([-2871.,  1497.,  2502.]), array([-148.,  146.,  544.]))
(1, 27535, 27471, 25803, array([ 5856., -3440., -3728.]), array([-2883.,  1541.,  2630.]), array([-148.,  146.,  544.]))
(1, 28959, 28479, 28349, array([ 5856., -3520., -3808.]), array([-3003.,  1592.,  2715.]), array([-155.,  139.,  545.]))
(1, 29908, 29487, 28349, array([ 5888., -3616., -3840.]), array([-3106.,  1658.,  2873.]), array([-155.,  139.,  545.]))
(1, 31332, 30495, 30895, array([ 6032., -3632., -3888.]), array([-3232.,  1698.,  3031.]), array([-157.,  136.,  543.]))
(1, 32281, 31503, 30895, array([ 6064., -3584., -3872.]), array([-3418.,  1752.,  3166.]), array([-157.,  136.,  543.]))
(1, 33230, 33520, 33439, array([ 6128., -3568., -3856.]), array([-3744.,  1847.,  3463.]), array([-157.,  127.,  543.]))
(1, 34654, 34528, 33439, array([ 6112., -3552., -4064.]), array([-3906.,  1861.,  3609.]), array([-157.,  127.,  543.]))
(1, 35603, 35536, 33439, array([ 6112., -3456., -4176.]), array([-4047.,  1899.,  3727.]), array([-157.,  127.,  543.]))
(1, 36552, 36544, 35985, array([ 6208., -3392., -4208.]), array([-4250.,  1920.,  3909.]), array([-158.,  119.,  546.]))
(1, 37976, 37553, 35985, array([ 6336., -3152., -4256.]), array([-4382.,  1960.,  4046.]), array([-158.,  119.,  546.]))
(1, 38925, 38561, 38530, array([ 6432., -3024., -4240.]), array([-4561.,  1952.,  4141.]), array([-162.,  114.,  552.]))
(1, 39874, 39569, 38530, array([ 6384., -2944., -4240.]), array([-4679.,  1925.,  4266.]), array([-162.,  114.,  552.]))
(1, 41298, 40577, 41075, array([ 6400., -2848., -4320.]), array([-4768.,  1947.,  4401.]), array([-162.,  105.,  545.]))
(1, 42247, 42594, 41075, array([ 6400., -2800., -4352.]), array([-5083.,  1918.,  4602.]), array([-162.,  105.,  545.]))
(1, 43671, 43602, 43619, array([ 6464., -2512., -4336.]), array([-5145.,  1917.,  4686.]), array([-166.,   99.,  544.]))
(1, 44620, 44610, 43619, array([ 6512., -2256., -4416.]), array([-5177.,  1891.,  4748.]), array([-166.,   99.,  544.]))
(1, 45569, 45618, 43619, array([ 6608., -2080., -4608.]), array([-5170.,  1883.,  4831.]), array([-166.,   99.,  544.]))
(1, 46993, 46626, 46166, array([ 6720., -1856., -4912.]), array([-5087.,  1911.,  4874.]), array([-170.,   88.,  545.]))
(1, 47942, 47634, 46166, array([ 6800., -1824., -4960.]), array([-4950.,  1889.,  4929.]), array([-170.,   88.,  545.]))
(1, 48891, 48643, 48713, array([ 6784., -1744., -4944.]), array([-4794.,  1909.,  4987.]), array([-176.,   82.,  542.]))
(1, 50315, 49651, 48713, array([ 6752., -1728., -4880.]), array([-4621.,  1911.,  5047.]), array([-176.,   82.,  542.]))
(1, 51264, 50659, 51258, array([ 6736., -1680., -4800.]), array([-4456.,  1896.,  5095.]), array([-176.,   76.,  543.]))
(1, 52687, 52675, 51258, array([ 6800., -1600., -4656.]), array([-4194.,  1820.,  5177.]), array([-176.,   76.,  543.]))
