(1, 43988, 43873, 43670, array([ 4064., -1488., -6608.]), array([-510.,  277.,  330.]), array([ -71.,  167.,  560.]))
(1, 45413, 44881, 43670, array([ 4048., -1456., -6624.]), array([-509.,  229.,  326.]), array([ -71.,  167.,  560.]))
(1, 46362, 45889, 46216, array([ 4032., -1488., -6544.]), array([-469.,  206.,  317.]), array([ -69.,  167.,  559.]))
(1, 47785, 46897, 46216, array([ 4000., -1392., -6480.]), array([-479.,  203.,  307.]), array([ -69.,  167.,  559.]))
(1, 48734, 48914, 48763, array([ 3984., -1296., -6480.]), array([-424.,  153.,  309.]), array([ -71.,  166.,  560.]))
(1, 49683, 49922, 48763, array([ 3920., -1280., -6464.]), array([-401.,  134.,  298.]), array([ -71.,  166.,  560.]))
(1, 51106, 50930, 48763, array([ 4000., -1280., -6320.]), array([-304.,  112.,  282.]), array([ -71.,  166.,  560.]))
(1, 52055, 51938, 51309, array([ 3936., -1248., -6256.]), array([-241.,  142.,  250.]), array([ -71.,  165.,  560.]))
(1, 53004, 52946, 51309, array([ 3936., -1280., -6224.]), array([-141.,  135.,  255.]), array([ -71.,  165.,  560.]))
(1, 54428, 53954, 53855, array([ 4016., -1184., -6160.]), array([ -43.,  166.,  250.]), array([ -67.,  163.,  562.]))
(1, 55377, 54963, 53855, array([ 4032., -1200., -6176.]), array([  90.,  156.,  198.]), array([ -67.,  163.,  562.]))
(1, 56801, 55971, 56402, array([ 4064., -1200., -6032.]), array([ 252.,  160.,  176.]), array([ -72.,  163.,  556.]))
(1, 57750, 56979, 56402, array([ 4112., -1120., -6064.]), array([ 293.,  159.,  175.]), array([ -72.,  163.,  556.]))
(1, 58699, 58995, 58948, array([ 4128., -1120., -6080.]), array([ 492.,  152.,  161.]), array([ -66.,  162.,  563.]))
(1, 60124, 60004, 58948, array([ 4160., -1072., -6048.]), array([ 561.,  196.,  185.]), array([ -66.,  162.,  563.]))
(1, 61073, 61012, 58948, array([ 4128., -1168., -6032.]), array([ 568.,  195.,  203.]), array([ -66.,  162.,  563.]))
(1, 62022, 62020, 61494, array([ 4048., -1232., -6032.]), array([ 541.,  214.,  217.]), array([ -69.,  165.,  558.]))
(1, 63445, 63028, 61494, array([ 4016., -1168., -6096.]), array([ 497.,  229.,  209.]), array([ -69.,  165.,  558.]))
(1, 64395, 64036, 64041, array([ 3936., -1056., -6128.]), array([ 478.,  236.,  206.]), array([ -70.,  167.,  560.]))
(1, 282, 65045, 64041, array([ 3904., -1088., -6176.]), array([ 443.,  274.,  211.]), array([ -70.,  167.,  560.]))
(1, 1231, 517, 1051, array([ 3808., -1152., -6048.]), array([ 500.,  263.,  179.]), array([ -71.,  164.,  561.]))
(1, 2180, 1525, 1051, array([ 3888.,  -912., -5952.]), array([ 481.,  261.,  171.]), array([ -71.,  164.,  561.]))
(1, 3129, 3541, 3597, array([ 4032.,  -640., -5872.]), array([ 738.,  313.,   66.]), array([ -70.,  165.,  561.]))
(1, 4552, 4550, 3597, array([ 4128.,  -416., -6016.]), array([ 1018.,   337.,   -46.]), array([ -70.,  165.,  561.]))
(1, 5501, 5558, 3597, array([ 4096.,  -608., -6064.]), array([ 1386.,   353.,   -88.]), array([ -70.,  165.,  561.]))
(1, 6925, 6566, 6143, array([ 4080.,  -848., -5984.]), array([ 1637.,   332.,  -156.]), array([ -71.,  172.,  561.]))
(1, 7874, 7574, 6143, array([ 4064., -1104., -5920.]), array([ 1809.,   310.,  -160.]), array([ -71.,  172.,  561.]))
