(1, 41985, 41800, 40043, array([ 7664.,  -528., -3344.]), array([ 1727., -1296.,  -258.]), array([-379.,  118.,  418.]))
(1, 42934, 42809, 42589, array([ 7616.,  -480., -3328.]), array([ 1531., -1332.,  -246.]), array([-377.,  118.,  420.]))
(1, 44358, 43817, 42589, array([ 7664.,  -464., -3248.]), array([ 1381., -1402.,  -255.]), array([-377.,  118.,  420.]))
(1, 45307, 44825, 45134, array([ 7712.,  -464., -3248.]), array([ 1270., -1461.,  -264.]), array([-372.,  120.,  428.]))
(1, 46732, 45833, 45134, array([ 7664.,  -496., -3248.]), array([ 1164., -1520.,  -239.]), array([-372.,  120.,  428.]))
(1, 47681, 47850, 47681, array([ 7600.,  -432., -3280.]), array([  910., -1632.,  -225.]), array([-368.,  121.,  427.]))
(1, 48631, 48858, 47681, array([ 7632.,  -432., -3264.]), array([  840., -1698.,  -236.]), array([-368.,  121.,  427.]))
(1, 50055, 49866, 47681, array([ 7584.,  -432., -3120.]), array([  683., -1768.,  -222.]), array([-368.,  121.,  427.]))
(1, 51005, 50874, 50227, array([ 7632.,  -368., -3040.]), array([  588., -1824.,  -223.]), array([-368.,  121.,  427.]))
(1, 51954, 51883, 50227, array([ 7664.,  -368., -3024.]), array([  524., -1887.,  -203.]), array([-368.,  121.,  427.]))
(1, 53379, 52891, 52774, array([ 7728.,  -336., -3040.]), array([  421., -1938.,  -186.]), array([-366.,  120.,  432.]))
(1, 54328, 53899, 52774, array([ 7728.,  -256., -2992.]), array([  385., -1967.,  -180.]), array([-366.,  120.,  432.]))
(1, 55751, 54907, 55319, array([ 7728.,  -176., -3040.]), array([  348., -2002.,  -159.]), array([-358.,  124.,  435.]))
(1, 56701, 55916, 55319, array([ 7808.,  -144., -2960.]), array([  368., -2048.,  -158.]), array([-358.,  124.,  435.]))
(1, 57650, 57932, 57866, array([ 7744.,  -176., -2944.]), array([  395., -2087.,  -177.]), array([-358.,  122.,  435.]))
(1, 59074, 58940, 57866, array([ 7712.,  -208., -2784.]), array([  431., -2140.,  -175.]), array([-358.,  122.,  435.]))
(1, 60024, 59948, 57866, array([ 7664.,  -144., -2704.]), array([  392., -2138.,  -165.]), array([-358.,  122.,  435.]))
(1, 60973, 60957, 60413, array([ 7648.,  -176., -2608.]), array([  410., -2161.,  -129.]), array([-355.,  122.,  437.]))
(1, 62397, 61965, 60413, array([ 7552.,  -336., -2464.]), array([  448., -2175.,  -131.]), array([-355.,  122.,  437.]))
(1, 63346, 62973, 62958, array([ 7648.,  -160., -2512.]), array([  433., -2211.,  -113.]), array([-351.,  122.,  441.]))
(1, 64295, 63981, 62958, array([ 7520.,  -320., -2496.]), array([  378., -2215.,  -144.]), array([-351.,  122.,  441.]))
(1, 184, 64989, 65503, array([ 7520.,  -224., -2464.]), array([  479., -2211.,  -107.]), array([-349.,  121.,  442.]))
(1, 1133, 1470, 65503, array([ 7488.,  -272., -2400.]), array([  471., -2117.,   -70.]), array([-349.,  121.,  442.]))
(1, 2557, 2478, 2513, array([ 7472.,  -416., -2240.]), array([  451., -2068.,   -51.]), array([-346.,  124.,  447.]))
(1, 3506, 3486, 2513, array([ 7520.,  -416., -2128.]), array([  378., -2093.,   -27.]), array([-346.,  124.,  447.]))
(1, 4456, 4495, 2513, array([ 7584.,  -272., -2112.]), array([  296., -2086.,   -14.]), array([-346.,  124.,  447.]))
(1, 5880, 5503, 5059, array([ 7504.,  -192., -2080.]), array([  271., -2000.,    13.]), array([-341.,  121.,  451.]))
(1, 6830, 6511, 5059, array([ 7392.,  -208., -1952.]), array([  274., -1973.,    24.]), array([-341.,  121.,  451.]))
(1, 7779, 7519, 7604, array([ 7328.,  -128., -1968.]), array([  252., -1888.,    22.]), array([-342.,  123.,  451.]))
(1, 9203, 8527, 7604, array([ 7344.,  -176., -1968.]), array([  273., -1831.,     6.]), array([-342.,  123.,  451.]))
(1, 10153, 9536, 10150, array([ 7280.,  -160., -1952.]), array([  278., -1794.,    22.]), array([-332.,  122.,  452.]))
(1, 11577, 11552, 10150, array([ 7200.,   -96., -1952.]), array([  253., -1670.,   -22.]), array([-332.,  122.,  452.]))
(1, 12526, 12560, 12696, array([ 7168.,   -16., -2000.]), array([  270., -1614.,   -55.]), array([-330.,  121.,  456.]))
(1, 13476, 13569, 12696, array([ 7088.,    96., -1984.]), array([  346., -1544.,   -62.]), array([-330.,  121.,  456.]))
(1, 14900, 14577, 12696, array([ 7120.,   128., -1984.]), array([  412., -1438.,  -111.]), array([-330.,  121.,  456.]))
(1, 15849, 15585, 15242, array([ 7072.,    48., -2080.]), array([  583., -1363.,  -173.]), array([-329.,  122.,  457.]))
(1, 16798, 16593, 15242, array([ 7040.,   -64., -2160.]), array([  750., -1305.,  -222.]), array([-329.,  122.,  457.]))
(1, 18222, 17601, 17788, array([ 7024.,   -96., -2160.]), array([  871., -1276.,  -265.]), array([-321.,  124.,  461.]))
(1, 19172, 18610, 17788, array([ 7072.,   -96., -2176.]), array([ 1007., -1195.,  -316.]), array([-321.,  124.,  461.]))
(1, 20596, 19618, 20331, array([ 7088.,  -144., -2288.]), array([ 1065., -1154.,  -357.]), array([-321.,  123.,  461.]))
(1, 21546, 21634, 20331, array([ 7120.,  -208., -2352.]), array([ 1262., -1042.,  -400.]), array([-321.,  123.,  461.]))
(1, 22495, 22643, 20331, array([ 7088.,  -384., -2336.]), array([ 1336.,  -996.,  -384.]), array([-321.,  123.,  461.]))
(1, 23919, 23651, 22876, array([ 7120.,  -560., -2336.]), array([ 1382.,  -927.,  -359.]), array([-323.,  128.,  461.]))
(1, 24868, 24659, 22876, array([ 7184.,  -512., -2352.]), array([ 1317.,  -849.,  -335.]), array([-323.,  128.,  461.]))
(1, 25817, 25667, 25422, array([ 7168.,  -592., -2432.]), array([ 1283.,  -819.,  -304.]), array([-321.,  126.,  464.]))
(1, 27242, 26675, 25422, array([ 7168.,  -720., -2464.]), array([ 1280.,  -793.,  -292.]), array([-321.,  126.,  464.]))
(1, 28191, 27684, 27968, array([ 7200.,  -656., -2512.]), array([ 1199.,  -753.,  -252.]), array([-320.,  131.,  469.]))
(1, 29141, 28692, 27968, array([ 7232.,  -592., -2528.]), array([ 1078.,  -742.,  -218.]), array([-320.,  131.,  469.]))
(1, 30565, 30708, 30513, array([ 7248.,  -576., -2576.]), array([ 984., -662., -118.]), array([-319.,  128.,  466.]))
(1, 31514, 31716, 30513, array([ 7168.,  -624., -2560.]), array([ 939., -646., -116.]), array([-319.,  128.,  466.]))
(1, 32937, 32725, 30513, array([ 7120.,  -624., -2672.]), array([ 861., -630.,  -91.]), array([-319.,  128.,  466.]))
(1, 33887, 33733, 33059, array([ 7168.,  -688., -2752.]), array([ 823., -648., -110.]), array([-317.,  132.,  467.]))
(1, 34836, 34741, 33059, array([ 7200.,  -624., -2848.]), array([ 709., -632., -105.]), array([-317.,  132.,  467.]))
(1, 36260, 35749, 35604, array([ 7296.,  -512., -2912.]), array([ 651., -615., -113.]), array([-316.,  129.,  466.]))
(1, 37210, 36758, 35604, array([ 7296.,  -496., -2912.]), array([ 575., -636., -127.]), array([-316.,  129.,  466.]))
(1, 38159, 37766, 38150, array([ 7328.,  -400., -3024.]), array([ 527., -658., -138.]), array([-316.,  131.,  468.]))
(1, 39584, 38774, 38150, array([ 7312.,  -416., -3120.]), array([ 533., -645., -148.]), array([-316.,  131.,  468.]))
(1, 40533, 40790, 40695, array([ 7296.,  -528., -3072.]), array([ 413., -746., -117.]), array([-311.,  133.,  470.]))
(1, 41958, 41799, 40695, array([ 7200.,  -640., -3104.]), array([ 314., -778., -117.]), array([-311.,  133.,  470.]))
(1, 42907, 42807, 40695, array([ 7184.,  -688., -3056.]), array([ 219., -812.,  -74.]), array([-311.,  133.,  470.]))
(1, 43856, 43815, 43241, array([ 7184.,  -672., -3088.]), array([ 101., -844.,  -32.]), array([-311.,  133.,  470.]))
(1, 45281, 44823, 43241, array([ 7024.,  -768., -3072.]), array([ -54., -895.,   -6.]), array([-311.,  133.,  470.]))
(1, 46230, 45832, 45787, array([ 6944.,  -800., -3072.]), array([-160., -889.,   70.]), array([-306.,  132.,  473.]))
(1, 47180, 46840, 45787, array([ 6944.,  -832., -3024.]), array([-303., -899.,   72.]), array([-306.,  132.,  473.]))
(1, 48604, 47848, 48331, array([ 6960.,  -704., -3120.]), array([-423., -883.,   65.]), array([-306.,  132.,  473.]))
(1, 49553, 48856, 48331, array([ 6992.,  -624., -3088.]), array([-495., -880.,  104.]), array([-306.,  132.,  473.]))
(1, 50502, 50873, 50877, array([ 6960.,  -624., -3120.]), array([-704., -814.,  178.]), array([-306.,  129.,  471.]))
(1, 51927, 51881, 50877, array([ 6912.,  -496., -3120.]), array([-748., -788.,  184.]), array([-306.,  129.,  471.]))
(1, 52876, 52889, 50877, array([ 6848.,  -480., -3200.]), array([-812., -700.,  219.]), array([-306.,  129.,  471.]))
(1, 54300, 53897, 53422, array([ 6880.,  -352., -3328.]), array([-762., -667.,  225.]), array([-306.,  127.,  476.]))
