(1, 41825, 40986, 39644, array([ 2176., -1184., -7040.]), array([ 24588.,  30702., -28814.]), array([ 249.,  209.,  495.]))
(1, 42774, 42988, 39644, array([ 2816.,  -320., -7152.]), array([  4171., -29704.,    184.]), array([ 249.,  209.,  495.]))
(1, 43723, 43989, 39644, array([ 2992.,  -224., -7152.]), array([ 4503.,  1841.,   197.]), array([ 249.,  209.,  495.]))
(1, 45147, 44990, 44206, array([ 2896.,  -144., -7088.]), array([ 4515.,  2021.,   220.]), array([  -7.,   55.,  574.]))
(1, 46097, 45990, 44206, array([ 2864.,  -144., -6896.]), array([ 4533.,  1989.,   239.]), array([  -7.,   55.,  574.]))
(1, 47520, 46991, 46753, array([ 2752.,  -144., -6752.]), array([ 4496.,  1980.,   209.]), array([  -7.,   58.,  574.]))
(1, 48469, 47992, 46753, array([ 2704.,  -144., -6688.]), array([ 4509.,  1994.,   204.]), array([  -7.,   58.,  574.]))
(1, 49418, 48993, 49299, array([ 2672.,  -160., -6720.]), array([ 4541.,  1984.,   182.]), array([  -8.,   57.,  572.]))
(1, 50842, 49994, 49299, array([ 2608.,  -400., -6656.]), array([ 4546.,  2027.,   221.]), array([  -8.,   57.,  572.]))
(1, 51791, 51996, 51846, array([ 2496.,  -704., -6736.]), array([ 4531.,  1988.,   203.]), array([ -10.,   56.,  571.]))
(1, 52740, 53002, 51846, array([ 2368.,  -848., -6784.]), array([ 4484.,  1997.,   220.]), array([ -10.,   56.,  571.]))
(1, 54165, 54010, 51846, array([ 2304.,  -768., -6720.]), array([ 4339.,  2051.,   282.]), array([ -10.,   56.,  571.]))
(1, 55114, 55018, 54392, array([ 2272.,  -768., -6576.]), array([ 4304.,  2088.,   320.]), array([ -11.,   57.,  571.]))
(1, 56538, 56026, 54392, array([ 1984.,  -848., -6448.]), array([ 4306.,  2001.,   381.]), array([ -11.,   57.,  571.]))
(1, 57487, 57034, 56939, array([ 1984.,  -992., -6528.]), array([ 4303.,  1981.,   488.]), array([ -16.,   56.,  577.]))
(1, 58436, 58042, 56939, array([ 1920.,  -896., -6528.]), array([ 4296.,  1972.,   597.]), array([ -16.,   56.,  577.]))
(1, 59860, 59050, 59486, array([ 1792.,  -608., -6656.]), array([ 4250.,  1937.,   723.]), array([ -25.,   53.,  572.]))
(1, 60809, 60057, 59486, array([ 1744.,  -448., -6864.]), array([ 4231.,  1901.,   884.]), array([ -25.,   53.,  572.]))
(1, 61758, 62073, 62032, array([ 1728.,  -400., -6912.]), array([ 3927.,  1717.,  1504.]), array([ -19.,   48.,  575.]))
(1, 63183, 63081, 62032, array([ 1648.,  -272., -7088.]), array([ 3458.,  1617.,  1955.]), array([ -19.,   48.,  575.]))
(1, 64132, 64089, 62032, array([ 1584.,  -448., -7088.]), array([ 2830.,  1510.,  2424.]), array([ -19.,   48.,  575.]))
(1, 65082, 65097, 64578, array([ 1488.,  -448., -7136.]), array([ 2167.,  1366.,  2861.]), array([ -23.,   38.,  575.]))
(1, 969, 569, 64578, array([ 1504.,   144., -6880.]), array([ 1476.,  1229.,  3263.]), array([ -23.,   38.,  575.]))
(1, 1919, 1578, 1588, array([ 1280.,   640., -7024.]), array([  714.,  1136.,  3610.]), array([ -22.,   37.,  576.]))
(1, 3343, 2586, 1588, array([  960.,  1072., -7536.]), array([  -31.,  1003.,  3915.]), array([ -22.,   37.,  576.]))
(1, 4292, 3594, 4135, array([ 1280.,   688., -7520.]), array([ -644.,   917.,  4258.]), array([ -26.,   32.,  577.]))
(1, 5242, 5610, 4135, array([ 1552.,  -320., -7088.]), array([-1977.,   972.,  4465.]), array([ -26.,   32.,  577.]))
(1, 6666, 6619, 6681, array([ 1104., -1584., -6304.]), array([-1891.,   801.,  4250.]), array([ -32.,   27.,  575.]))
(1, 7615, 7627, 6681, array([  848., -1776., -6112.]), array([-2139.,   592.,  4121.]), array([ -32.,   27.,  575.]))
(1, 8564, 8635, 6681, array([  896.,  -736., -6448.]), array([-2495.,   561.,  4134.]), array([ -32.,   27.,  575.]))
(1, 9988, 9643, 9227, array([  976.,   880., -7520.]), array([-2497.,   667.,  4218.]), array([ -32.,   23.,  575.]))
(1, 10937, 10651, 9227, array([ 1024.,   912., -8288.]), array([-2018.,   842.,  4090.]), array([ -32.,   23.,  575.]))
(1, 12361, 11659, 11773, array([ 1120.,   768., -9088.]), array([-1306.,   933.,  3954.]), array([ -35.,   21.,  570.]))
(1, 13311, 12668, 11773, array([ 1248.,  1072., -9120.]), array([ -652.,   961.,  3820.]), array([ -35.,   21.,  570.]))
(1, 14260, 13676, 14319, array([ 1344.,  1296., -8896.]), array([  -14.,   937.,  3693.]), array([ -36.,   23.,  574.]))
(1, 15684, 15692, 14319, array([ 1248.,  1152., -8176.]), array([ 1348.,   867.,  3458.]), array([ -36.,   23.,  574.]))
(1, 16634, 16700, 16865, array([ 1072.,   880., -7904.]), array([ 1782.,   810.,  3312.]), array([ -37.,   26.,  574.]))
(1, 17583, 17708, 16865, array([  800.,   720., -7728.]), array([ 2116.,   778.,  3152.]), array([ -37.,   26.,  574.]))
(1, 19008, 18717, 16865, array([  784.,   400., -7648.]), array([ 2230.,   783.,  2961.]), array([ -37.,   26.,  574.]))
(1, 19957, 19725, 19412, array([  736.,     0., -7536.]), array([ 2223.,   737.,  2736.]), array([ -38.,   32.,  574.]))
(1, 20907, 20733, 19412, array([  608.,  -448., -7456.]), array([ 2060.,   688.,  2525.]), array([ -38.,   32.,  574.]))
