(1, 10162, 9627, 8405, array([ 7920.,   112., -1552.]), array([ 562.,  348.,   14.]), array([-420.,   75.,  400.]))
(1, 11112, 10635, 10952, array([ 7952.,    96., -1536.]), array([ 539.,  358.,   10.]), array([-415.,   71.,  405.]))
(1, 12536, 11643, 10952, array([ 7920.,    16., -1600.]), array([ 473.,  353.,   -3.]), array([-415.,   71.,  405.]))
(1, 13485, 13660, 13498, array([ 7968.,    64., -1632.]), array([ 455.,  419.,  -15.]), array([-418.,   72.,  400.]))
(1, 14434, 14668, 13498, array([ 7968.,    96., -1680.]), array([ 436.,  372.,  -46.]), array([-418.,   72.,  400.]))
(1, 15858, 15676, 13498, array([ 7936.,    64., -1728.]), array([ 407.,  431.,  -30.]), array([-418.,   72.,  400.]))
(1, 16807, 16684, 16044, array([ 7984.,   112., -1728.]), array([ 395.,  420.,  -47.]), array([-418.,   75.,  400.]))
(1, 17756, 17692, 16044, array([ 7968.,    96., -1712.]), array([ 345.,  418.,  -55.]), array([-418.,   75.,  400.]))
(1, 19180, 18700, 18591, array([ 8016.,    96., -1664.]), array([ 316.,  418.,  -27.]), array([-418.,   74.,  403.]))
(1, 20129, 19708, 18591, array([ 8016.,    96., -1680.]), array([ 342.,  404.,  -26.]), array([-418.,   74.,  403.]))
(1, 21553, 20716, 21138, array([ 8016.,    48., -1696.]), array([ 315.,  445.,  -39.]), array([-426.,   77.,  400.]))
(1, 22502, 21725, 21138, array([ 7968.,    96., -1664.]), array([ 317.,  436.,  -48.]), array([-426.,   77.,  400.]))
(1, 23452, 23741, 23684, array([ 7920.,    80., -1648.]), array([ 256.,  372.,  -10.]), array([-422.,   75.,  400.]))
(1, 24876, 24749, 23684, array([ 7936.,    48., -1632.]), array([ 165.,  372.,  -18.]), array([-422.,   75.,  400.]))
(1, 25825, 25757, 23684, array([ 7968.,    64., -1664.]), array([ 136.,  380.,  -23.]), array([-422.,   75.,  400.]))
(1, 26774, 26765, 26230, array([ 8000.,    48., -1696.]), array([ 132.,  381.,   25.]), array([-423.,   77.,  401.]))
(1, 28198, 27773, 26230, array([ 7936.,    48., -1696.]), array([  42.,  342.,   15.]), array([-423.,   77.,  401.]))
(1, 29148, 28781, 28776, array([ 7952.,    96., -1664.]), array([  20.,  335.,   27.]), array([-421.,   76.,  400.]))
(1, 30098, 29789, 28776, array([ 7936.,    96., -1584.]), array([ -14.,  336.,   61.]), array([-421.,   76.,  400.]))
(1, 31522, 30798, 31323, array([ 7888.,    64., -1600.]), array([ -78.,  326.,   48.]), array([-420.,   76.,  397.]))
(1, 32472, 31806, 31323, array([ 7920.,    96., -1696.]), array([-115.,  315.,  113.]), array([-420.,   76.,  397.]))
(1, 33896, 33822, 33869, array([ 7968.,   128., -1600.]), array([-116.,  323.,   70.]), array([-420.,   75.,  398.]))
(1, 34845, 34830, 33869, array([ 7952.,   128., -1616.]), array([-150.,  299.,   65.]), array([-420.,   75.,  398.]))
(1, 35794, 35838, 33869, array([ 7856.,   112., -1584.]), array([-167.,  260.,   40.]), array([-420.,   75.,  398.]))
(1, 37219, 36846, 36415, array([ 7872.,   112., -1584.]), array([-154.,  224.,   48.]), array([-422.,   70.,  398.]))
(1, 38168, 37854, 36415, array([ 7856.,   128., -1664.]), array([-179.,  230.,   47.]), array([-422.,   70.,  398.]))
(1, 39118, 38863, 38960, array([ 7904.,   160., -1632.]), array([-161.,  225.,   51.]), array([-427.,   73.,  395.]))
(1, 40542, 39871, 38960, array([ 7856.,   176., -1600.]), array([-182.,  206.,   33.]), array([-427.,   73.,  395.]))
(1, 41491, 40879, 41506, array([ 7840.,   128., -1680.]), array([-182.,  211.,   22.]), array([-422.,   74.,  398.]))
(1, 42915, 42895, 41506, array([ 7824.,   128., -1616.]), array([-145.,  176.,   55.]), array([-422.,   74.,  398.]))
(1, 43864, 43903, 44052, array([ 7824.,    80., -1520.]), array([-174.,  193.,    9.]), array([-422.,   72.,  398.]))
(1, 44813, 44911, 44052, array([ 7872.,    48., -1616.]), array([-180.,  196.,  -13.]), array([-422.,   72.,  398.]))
(1, 46238, 45919, 44052, array([ 7872.,    96., -1488.]), array([-217.,  204.,    9.]), array([-422.,   72.,  398.]))
(1, 47187, 46928, 46597, array([ 7920.,    96., -1552.]), array([-237.,  193.,    9.]), array([-423.,   72.,  397.]))
(1, 48136, 47936, 46597, array([ 7872.,   112., -1568.]), array([-295.,  164.,    4.]), array([-423.,   72.,  397.]))
(1, 49561, 48944, 49143, array([ 7856.,   112., -1536.]), array([-300.,  155.,   -1.]), array([-421.,   71.,  397.]))
(1, 50510, 49952, 49143, array([ 7856.,    64., -1520.]), array([-285.,  140.,    2.]), array([-421.,   71.,  397.]))
(1, 51933, 50960, 51688, array([ 7904.,    96., -1488.]), array([-337.,  150.,    1.]), array([-421.,   70.,  397.]))
(1, 52883, 52976, 51688, array([ 7904.,    64., -1440.]), array([-335.,  172.,  -14.]), array([-421.,   70.,  397.]))
(1, 53833, 53984, 51688, array([ 7936.,    64., -1520.]), array([-374.,  202.,   13.]), array([-421.,   70.,  397.]))
(1, 55257, 54992, 54236, array([ 7904.,    80., -1456.]), array([-357.,  153.,   -1.]), array([-423.,   72.,  399.]))
