(1, 41213, 40743, 41060, array([ 8016.,  -672., -6800.]), array([ 2638., -1194.,   219.]), array([-352.,   93.,  451.]))
(1, 42637, 41751, 41060, array([ 7936.,  -576., -6912.]), array([ 2485., -1349.,   237.]), array([-352.,   93.,  451.]))
(1, 43586, 43768, 43605, array([ 7872.,  -528., -7056.]), array([ 2240., -1826.,   234.]), array([-351.,   93.,  454.]))
(1, 44535, 44776, 43605, array([ 7824.,  -560., -7072.]), array([ 2082., -2026.,   224.]), array([-351.,   93.,  454.]))
(1, 45958, 45784, 43605, array([ 7824.,  -528., -7056.]), array([ 1872., -2241.,   212.]), array([-351.,   93.,  454.]))
(1, 46907, 46792, 46152, array([ 7824.,  -848., -7056.]), array([ 1668., -2493.,   145.]), array([-351.,  100.,  454.]))
(1, 47856, 47801, 46152, array([ 7904.,  -576., -7072.]), array([ 1386., -2740.,   125.]), array([-351.,  100.,  454.]))
(1, 49279, 48809, 48697, array([ 8128.,   -96., -7008.]), array([ 1062., -2973.,   191.]), array([-342.,  100.,  461.]))
(1, 50228, 49817, 48697, array([ 8224.,    32., -7056.]), array([  909., -3175.,   189.]), array([-342.,  100.,  461.]))
(1, 51652, 50825, 51244, array([ 8400.,   304., -7040.]), array([  955., -3378.,   202.]), array([-344.,  101.,  461.]))
(1, 52601, 51833, 51244, array([ 8352.,    96., -6976.]), array([ 1162., -3591.,   202.]), array([-344.,  101.,  461.]))
(1, 53550, 53850, 53790, array([ 8352.,  -192., -6864.]), array([ 1661., -4014.,   243.]), array([-332.,  105.,  464.]))
(1, 54974, 54858, 53790, array([ 8336.,   -16., -6960.]), array([ 1809., -4221.,   320.]), array([-332.,  105.,  464.]))
(1, 55922, 55866, 53790, array([ 8464.,   240., -7088.]), array([ 1990., -4383.,   393.]), array([-332.,  105.,  464.]))
(1, 56872, 56874, 56336, array([ 8592.,    80., -7280.]), array([ 2180., -4567.,   363.]), array([-325.,  107.,  480.]))
(1, 58296, 57882, 56336, array([ 8528.,  -256., -7376.]), array([ 2353., -4702.,   412.]), array([-325.,  107.,  480.]))
(1, 59245, 58891, 58883, array([ 8480.,  -416., -7296.]), array([ 2412., -4858.,   424.]), array([-317.,  113.,  480.]))
(1, 60669, 59899, 58883, array([ 8656.,  -256., -7168.]), array([ 2353., -4989.,   450.]), array([-317.,  113.,  480.]))
(1, 61618, 60907, 61429, array([ 8656.,  -304., -7104.]), array([ 2229., -5148.,   472.]), array([-308.,  115.,  481.]))
