(1, 51515, 51526, 49754, array([ 8768.,   928., -4432.]), array([ -609., -5875.,  -649.]), array([-417., -164.,  299.]))
(1, 53414, 53542, 52300, array([ 8720.,   944., -4464.]), array([ -798., -5911.,  -644.]), array([-415., -166.,  308.]))
(1, 54838, 54550, 54845, array([ 8816.,  1216., -4528.]), array([ -929., -5937.,  -614.]), array([-398., -168.,  325.]))
(1, 55787, 55558, 54845, array([ 8768.,  1360., -4496.]), array([ -971., -5957.,  -610.]), array([-398., -168.,  325.]))
(1, 56736, 56566, 54845, array([ 8736.,  1472., -4528.]), array([-1020., -6008.,  -626.]), array([-398., -168.,  325.]))
(1, 58161, 57575, 57389, array([ 8768.,  1648., -4512.]), array([ -945., -6052.,  -623.]), array([-398., -170.,  325.]))
(1, 59110, 58583, 57389, array([ 8784.,  1744., -4592.]), array([ -844., -6109.,  -610.]), array([-398., -170.,  325.]))
(1, 60534, 59591, 59935, array([ 8768.,  2048., -4752.]), array([ -722., -6159.,  -596.]), array([-391., -175.,  335.]))
(1, 62433, 62615, 62479, array([ 8640.,  2208., -5072.]), array([   86., -6303.,  -602.]), array([-376., -174.,  352.]))
(1, 63857, 63624, 62479, array([ 8560.,  2368., -5328.]), array([  422., -6361.,  -621.]), array([-376., -174.,  352.]))
(1, 64806, 64632, 65025, array([ 8592.,  2432., -5392.]), array([  717., -6391.,  -615.]), array([-376., -174.,  352.]))
(1, 219, 104, 65025, array([ 8592.,  2480., -5440.]), array([ 1098., -6416.,  -602.]), array([-376., -174.,  352.]))
(1, 1644, 1112, 65025, array([ 8576.,  2432., -5264.]), array([ 1429., -6455.,  -611.]), array([-376., -174.,  352.]))
(1, 2593, 2120, 2035, array([ 8416.,  2400., -5120.]), array([ 1708., -6485.,  -607.]), array([-368., -176.,  362.]))
(1, 4017, 3128, 2035, array([ 8400.,  2432., -5104.]), array([ 1944., -6540.,  -620.]), array([-368., -176.,  362.]))
(1, 4966, 5145, 4581, array([ 8384.,  2336., -5104.]), array([ 2308., -6592.,  -711.]), array([-362., -174.,  372.]))
(1, 5915, 6153, 4581, array([ 8416.,  2320., -5088.]), array([ 2452., -6583.,  -751.]), array([-362., -174.,  372.]))
(1, 7339, 7161, 7126, array([ 8336.,  2256., -5072.]), array([ 2598., -6559.,  -814.]), array([-352., -170.,  387.]))
(1, 8287, 8169, 7126, array([ 8288.,  2208., -5008.]), array([ 2769., -6571.,  -850.]), array([-352., -170.,  387.]))
(1, 9236, 9177, 9672, array([ 8256.,  2192., -5024.]), array([ 2844., -6604.,  -877.]), array([-341., -171.,  395.]))
(1, 10661, 10185, 9672, array([ 8224.,  2032., -4960.]), array([ 2953., -6635.,  -919.]), array([-341., -171.,  395.]))
(1, 11610, 11193, 9672, array([ 8224.,  1856., -4784.]), array([ 3057., -6627.,  -962.]), array([-341., -171.,  395.]))
(1, 13033, 12202, 12216, array([ 8160.,  1776., -4560.]), array([ 3091., -6641.,  -977.]), array([-332., -168.,  419.]))
(1, 13983, 13210, 12216, array([ 8144.,  1712., -4512.]), array([ 3111., -6686., -1028.]), array([-332., -168.,  419.]))
(1, 14932, 15226, 14762, array([ 8032.,  1648., -4288.]), array([ 3089., -6720., -1172.]), array([-320., -162.,  419.]))
(1, 16355, 16234, 14762, array([ 7872.,  1776., -4224.]), array([ 3069., -6726., -1231.]), array([-320., -162.,  419.]))
(1, 17304, 17242, 17307, array([ 7776.,  1936., -4096.]), array([ 3060., -6782., -1250.]), array([-295., -164.,  443.]))
(1, 18254, 18251, 17307, array([ 7776.,  1504., -4368.]), array([ 3074., -6813., -1293.]), array([-295., -164.,  443.]))
(1, 19677, 19259, 17307, array([ 7600.,  1232., -4336.]), array([ 3210., -6827., -1233.]), array([-295., -164.,  443.]))
(1, 20626, 20267, 19853, array([ 7568.,  1408., -4304.]), array([ 3280., -6936., -1188.]), array([-295., -159.,  454.]))
(1, 21575, 21275, 19853, array([ 7504.,  1648., -4320.]), array([ 3197., -6976., -1242.]), array([-295., -159.,  454.]))
(1, 22999, 22283, 22400, array([ 7456.,  1632., -4240.]), array([ 3152., -6964., -1295.]), array([-283., -159.,  454.]))
(1, 23948, 23291, 22400, array([ 7344.,  1520., -4160.]), array([ 3168., -6994., -1322.]), array([-283., -159.,  454.]))
(1, 25372, 25308, 24945, array([ 7152.,  1216., -4064.]), array([ 3131., -7049., -1252.]), array([-510., -154.,  474.]))
(1, 26321, 26316, 24945, array([ 7072.,  1056., -4096.]), array([ 3082., -7056., -1282.]), array([-510., -154.,  474.]))
(1, 27271, 27324, 27491, array([ 6896.,   976., -4016.]), array([ 2965., -7027., -1301.]), array([-254., -153.,  474.]))
(1, 28694, 28332, 27491, array([ 6736.,   944., -3888.]), array([ 2840., -7005., -1303.]), array([-254., -153.,  474.]))
(1, 29642, 29340, 27491, array([ 6608.,   944., -3824.]), array([ 2657., -6962., -1340.]), array([-254., -153.,  474.]))
