(1, 2421, 2267, 2244, array([ 8080.,  1456.,  -704.]), array([ 431.,  124., -144.]), array([-455., -201.,  157.]))
(1, 3370, 3275, 2244, array([ 8112.,  1728.,  -720.]), array([ 405.,  175., -148.]), array([-455., -201.,  157.]))
(1, 4794, 4283, 4789, array([ 8096.,  1680.,  -704.]), array([ 429.,  179., -163.]), array([-448., -201.,  159.]))
(1, 5743, 5291, 4789, array([ 8048.,  1664.,  -720.]), array([ 541.,  118., -178.]), array([-448., -201.,  159.]))
(1, 6693, 6299, 4789, array([ 8048.,  1744.,  -672.]), array([ 612.,  103., -204.]), array([-448., -201.,  159.]))
(1, 8117, 7307, 7334, array([ 8064.,  1712.,  -816.]), array([ 733.,  124., -207.]), array([-454., -204.,  158.]))
(1, 9067, 9324, 7334, array([ 7952.,  1584.,  -704.]), array([ 912.,   98., -173.]), array([-454., -204.,  158.]))
(1, 10490, 10332, 9877, array([ 7920.,  1600.,  -752.]), array([ 1026.,   106.,  -221.]), array([-449., -203.,  157.]))
(1, 11440, 11340, 9877, array([ 7904.,  1472.,  -704.]), array([ 1092.,   103.,  -242.]), array([-449., -203.,  157.]))
(1, 12388, 12348, 12421, array([ 7888.,  1472.,  -640.]), array([ 1180.,    95.,  -222.]), array([-448., -202.,  161.]))
(1, 13812, 13356, 12421, array([ 7856.,  1424.,  -592.]), array([ 1204.,    71.,  -218.]), array([-448., -202.,  161.]))
(1, 14761, 14364, 14966, array([ 7872.,  1424.,  -592.]), array([ 1234.,    37.,  -260.]), array([-448., -202.,  161.]))
(1, 15710, 15372, 14966, array([ 7872.,  1200.,  -544.]), array([ 1298.,    35.,  -237.]), array([-448., -202.,  161.]))
(1, 17134, 16381, 14966, array([ 7856.,  1120.,  -592.]), array([ 1245.,    19.,  -246.]), array([-448., -202.,  161.]))
(1, 18083, 18397, 17511, array([ 7872.,  1168.,  -672.]), array([ 1131.,    10.,  -259.]), array([-449., -203.,  160.]))
(1, 19507, 19405, 17511, array([ 7824.,  1184.,  -624.]), array([ 1035.,   -22.,  -249.]), array([-449., -203.,  160.]))
(1, 20456, 20413, 20057, array([ 7904.,  1248.,  -752.]), array([ 1024.,   -27.,  -221.]), array([-455., -202.,  163.]))
(1, 21406, 21421, 20057, array([ 7856.,   992.,  -736.]), array([ 932.,  -46., -247.]), array([-455., -202.,  163.]))
(1, 22830, 22430, 22601, array([ 7936.,  1200.,  -736.]), array([ 801.,  -57., -242.]), array([-446., -202.,  163.]))
(1, 23779, 23438, 22601, array([ 7872.,   912.,  -752.]), array([ 748.,  -49., -227.]), array([-446., -202.,  163.]))
(1, 24728, 24446, 25145, array([ 7792.,   992.,  -992.]), array([ 600.,  -68., -259.]), array([-447., -201.,  165.]))
(1, 26152, 25454, 25145, array([ 7792.,  1136., -1168.]), array([ 430., -102., -240.]), array([-447., -201.,  165.]))
(1, 27102, 26462, 25145, array([ 7744.,  1488., -1072.]), array([ 311., -139., -251.]), array([-447., -201.,  165.]))
(1, 28526, 28478, 27691, array([ 7712.,  1440., -1136.]), array([ 353., -219., -225.]), array([-450., -205.,  166.]))
(1, 29475, 29487, 27691, array([ 7680.,  1664., -1168.]), array([ 456., -212., -227.]), array([-450., -205.,  166.]))
(1, 30425, 30495, 30236, array([ 7744.,  1600., -1264.]), array([ 596., -238., -225.]), array([-448., -204.,  170.]))
(1, 31849, 31503, 30236, array([ 7776.,  1792., -1360.]), array([ 692., -246., -258.]), array([-448., -204.,  170.]))
(1, 32798, 32511, 32780, array([ 7712.,  1728., -1440.]), array([ 858., -216., -263.]), array([-446., -206.,  168.]))
(1, 33747, 33519, 32780, array([ 7632.,  1696., -1520.]), array([ 1064.,  -235.,  -310.]), array([-446., -206.,  168.]))
(1, 35170, 34527, 32780, array([ 7584.,  1600., -1712.]), array([ 1323.,  -231.,  -314.]), array([-446., -206.,  168.]))
(1, 36120, 35535, 35325, array([ 7536.,  1488., -1824.]), array([ 1578.,  -224.,  -319.]), array([-446., -202.,  167.]))
(1, 37069, 36544, 35325, array([ 7632.,  1632., -2016.]), array([ 1763.,  -170.,  -313.]), array([-446., -202.,  167.]))
(1, 38492, 38560, 37871, array([ 7840.,  1824., -2240.]), array([ 2264.,   -97.,  -301.]), array([-444., -202.,  170.]))
(1, 39442, 39568, 37871, array([ 7840.,  1824., -2368.]), array([ 2648.,   -96.,  -269.]), array([-444., -202.,  170.]))
(1, 40866, 40576, 40417, array([ 7744.,  1728., -2640.]), array([ 3102.,   -90.,  -217.]), array([-444., -204.,  177.]))
(1, 41815, 41584, 40417, array([ 7760.,  1568., -2864.]), array([ 3454.,   -55.,  -148.]), array([-444., -204.,  177.]))
(1, 42765, 42593, 42962, array([ 7888.,  1504., -2960.]), array([ 3828.,   -42.,   -99.]), array([-444., -198.,  177.]))
(1, 44189, 43601, 42962, array([ 8064.,  1760., -3296.]), array([ 4162.,   -11.,   -87.]), array([-444., -198.,  177.]))
(1, 45138, 44609, 42962, array([ 8128.,  1952., -3424.]), array([ 4495.,    66.,   -14.]), array([-444., -198.,  177.]))
(1, 46087, 45617, 45508, array([ 8176.,  2032., -3488.]), array([ 4852.,    84.,    82.]), array([-444., -198.,  180.]))
(1, 47511, 47633, 45508, array([ 8144.,  1936., -3488.]), array([ 5580.,   108.,   176.]), array([-444., -198.,  180.]))
(1, 48460, 48641, 48053, array([ 8176.,  1840., -3424.]), array([ 5951.,   135.,   255.]), array([-447., -196.,  185.]))
(1, 49884, 49650, 48053, array([ 8192.,  1760., -3264.]), array([ 6227.,   142.,   329.]), array([-447., -196.,  185.]))
