(1, 57945, 57158, 55263, array([ 7024.,   816.,  4432.]), array([ -2297.,  31029.,  -3870.]), array([-488.,  264.,  -78.]))
(1, 60318, 60162, 59376, array([ 6944.,   912.,  4592.]), array([ 4481.,  1979.,   220.]), array([-452.,  203., -232.]))
(1, 61267, 61163, 59376, array([ 6992.,   576.,  4064.]), array([ 4533.,  2002.,   224.]), array([-452.,  203., -232.]))
(1, 62217, 62165, 61922, array([ 7184.,   576.,  3888.]), array([ 4514.,  2002.,   228.]), array([-452.,  206., -232.]))
(1, 63641, 63167, 61922, array([ 6992.,  1376.,  3872.]), array([ 4517.,  1993.,   207.]), array([-452.,  206., -232.]))
(1, 64590, 64168, 64466, array([ 6832.,  1472.,  3872.]), array([ 4510.,  1986.,   186.]), array([-456.,  204., -237.]))
(1, 3, 65169, 64466, array([ 6768.,  1136.,  3920.]), array([ 4548.,  1983.,   205.]), array([-456.,  204., -237.]))
(1, 1426, 634, 1475, array([ 6800.,   768.,  4160.]), array([ 4514.,  1981.,   210.]), array([-451.,  205., -234.]))
(1, 2375, 2640, 1475, array([ 6928.,   640.,  4320.]), array([ 4544.,  1984.,   242.]), array([-451.,  205., -234.]))
(1, 3799, 3648, 1475, array([ 6912.,   752.,  4464.]), array([ 4345.,  1953.,   187.]), array([-451.,  205., -234.]))
(1, 4748, 4656, 4021, array([ 6752.,   704.,  4576.]), array([ 4303.,  1955.,   168.]), array([-451.,  208., -234.]))
(1, 5697, 5664, 4021, array([ 6800.,   448.,  4512.]), array([ 4330.,  1940.,   145.]), array([-451.,  208., -234.]))
(1, 7121, 6672, 6566, array([ 6976.,   272.,  4432.]), array([ 4295.,  1943.,   129.]), array([-453.,  209., -235.]))
(1, 8070, 7680, 6566, array([ 6912.,   320.,  4400.]), array([ 4356.,  1896.,   103.]), array([-453.,  209., -235.]))
(1, 9020, 8688, 9112, array([ 6976.,   496.,  4432.]), array([ 4456.,  1807.,    56.]), array([-452.,  207., -237.]))
(1, 10443, 9696, 9112, array([ 6976.,   720.,  4544.]), array([ 4557.,  1695.,     8.]), array([-452.,  207., -237.]))
(1, 11392, 10703, 11658, array([ 7088.,   720.,  4608.]), array([ 4694.,  1565.,   -76.]), array([-452.,  208., -235.]))
(1, 12815, 12719, 11658, array([ 7024.,   704.,  4784.]), array([ 4218.,  1212.,  -120.]), array([-452.,  208., -235.]))
(1, 13764, 13727, 11658, array([ 6960.,   800.,  4880.]), array([ 3803.,  1022.,  -118.]), array([-452.,  208., -235.]))
(1, 14714, 14735, 14203, array([ 6992.,   848.,  5024.]), array([ 3385.,   828.,  -134.]), array([-454.,  209., -237.]))
(1, 16137, 15743, 14203, array([ 7088.,   928.,  5088.]), array([ 3011.,   636.,  -134.]), array([-454.,  209., -237.]))
(1, 17087, 16751, 16748, array([ 7040.,   928.,  5040.]), array([ 2614.,   436.,  -136.]), array([-455.,  209., -235.]))
(1, 18037, 17759, 16748, array([ 7104.,   960.,  5136.]), array([ 2310.,   270.,  -137.]), array([-455.,  209., -235.]))
(1, 19461, 18767, 19293, array([ 7056.,   944.,  5136.]), array([ 1485.,    95.,   -70.]), array([-450.,  205., -234.]))
(1, 20411, 19776, 19293, array([ 7056.,  1008.,  5040.]), array([ 433.,    4.,   34.]), array([-450.,  205., -234.]))
(1, 21360, 21792, 19293, array([ 7008.,  1008.,  5072.]), array([ 487.,   94.,  -11.]), array([-450.,  205., -234.]))
(1, 22784, 22800, 21838, array([ 7008.,  1024.,  5040.]), array([ 514.,   94.,  -34.]), array([-448.,  209., -237.]))
(1, 23733, 23808, 21838, array([ 6896.,  1024.,  5104.]), array([ 466.,  129.,  -36.]), array([-448.,  209., -237.]))
(1, 25157, 24816, 24383, array([ 6896.,   944.,  5072.]), array([ 402.,  125.,  -49.]), array([-448.,  208., -237.]))
(1, 26106, 25824, 24383, array([ 6944.,  1056.,  4992.]), array([ 366.,  133.,  -73.]), array([-448.,  208., -237.]))
(1, 27055, 26832, 26928, array([ 6976.,  1008.,  4960.]), array([ 283.,  118.,  -64.]), array([-450.,  207., -236.]))
(1, 28479, 27840, 26928, array([ 6960.,   960.,  4960.]), array([ 218.,  100.,  -69.]), array([-450.,  207., -236.]))
(1, 29429, 28848, 29475, array([ 6960.,   960.,  4912.]), array([ 154.,   85.,  -71.]), array([-450.,  206., -236.]))
(1, 30378, 29856, 29475, array([ 6912.,   960.,  4880.]), array([ 59.,  94., -63.]), array([-450.,  206., -236.]))
(1, 31802, 31873, 29475, array([ 6928.,   816.,  4832.]), array([-15.,  77., -26.]), array([-450.,  206., -236.]))
(1, 32751, 32881, 32021, array([ 6912.,   784.,  4720.]), array([ -33.,  111.,   -1.]), array([-450.,  207., -234.]))
(1, 34175, 33889, 32021, array([ 6864.,   736.,  4720.]), array([ -62.,  102.,   -2.]), array([-450.,  207., -234.]))
(1, 35125, 34897, 34566, array([ 6848.,   720.,  4688.]), array([ -81.,  113.,   43.]), array([-452.,  208., -234.]))
(1, 36075, 35905, 34566, array([ 6832.,   720.,  4672.]), array([ -25.,  126.,   59.]), array([-452.,  208., -234.]))
(1, 37498, 36913, 37112, array([ 6784.,   752.,  4672.]), array([  -4.,  108.,   37.]), array([-448.,  212., -237.]))
(1, 38447, 37921, 37112, array([ 6800.,   800.,  4704.]), array([ -3.,  92.,  33.]), array([-448.,  212., -237.]))
(1, 39396, 38929, 39658, array([ 6768.,   736.,  4688.]), array([ 33.,  88.,  26.]), array([-449.,  207., -234.]))
