(1, 59764, 59278, 59584, array([  864.,  -688.,  7424.]), array([-143.,  -19.,  -47.]), array([ -18.,  326., -393.]))
(1, 60713, 60286, 59584, array([  912.,  -640.,  7408.]), array([-182.,  -59.,  -58.]), array([ -18.,  326., -393.]))
(1, 62137, 61294, 62129, array([  944.,  -512.,  7392.]), array([-147.,  -72.,  -62.]), array([ -15.,  331., -389.]))
(1, 63087, 63310, 62129, array([  896.,  -400.,  7264.]), array([-208.,  -84., -130.]), array([ -15.,  331., -389.]))
(1, 64036, 64318, 62129, array([  912.,  -320.,  7120.]), array([-295.,  -82., -143.]), array([ -15.,  331., -389.]))
(1, 874, 799, 64674, array([  896.,  -400.,  6608.]), array([-543., -128., -159.]), array([ -16.,  326., -391.]))
(1, 2299, 1807, 1684, array([ 1024.,  -480.,  6272.]), array([-578., -204., -153.]), array([ -18.,  329., -393.]))
(1, 3248, 2815, 1684, array([ 1056.,  -640.,  6016.]), array([-623., -293., -162.]), array([ -18.,  329., -393.]))
(1, 4198, 3823, 4229, array([ 1152.,  -848.,  5616.]), array([-592., -362., -149.]), array([ -16.,  335., -391.]))
(1, 5622, 4831, 4229, array([ 1280.,  -976.,  5248.]), array([-511., -440., -174.]), array([ -16.,  335., -391.]))
(1, 6571, 5839, 6775, array([ 1392., -1072.,  5008.]), array([-341., -508., -190.]), array([ -16.,  332., -391.]))
(1, 7520, 7855, 6775, array([ 1424., -1152.,  4720.]), array([  99., -626., -314.]), array([ -16.,  332., -391.]))
(1, 8945, 8863, 6775, array([ 1504., -1168.,  4272.]), array([ 458., -675., -364.]), array([ -16.,  332., -391.]))
(1, 9894, 9871, 9321, array([ 1616., -1248.,  3968.]), array([ 812., -772., -457.]), array([ -19.,  337., -392.]))
(1, 11318, 10879, 9321, array([ 1600., -1136.,  3600.]), array([ 1167.,  -827.,  -520.]), array([ -19.,  337., -392.]))
(1, 12268, 11887, 11866, array([ 1616.,  -992.,  3408.]), array([ 1614.,  -902.,  -555.]), array([ -30.,  332., -387.]))
(1, 13217, 12895, 11866, array([ 1600.,  -832.,  3408.]), array([ 1943.,  -993.,  -608.]), array([ -30.,  332., -387.]))
(1, 14641, 13903, 14411, array([ 1664.,  -608.,  3296.]), array([ 2310., -1140.,  -639.]), array([ -22.,  325., -389.]))
(1, 15590, 14911, 14411, array([ 1712.,  -480.,  3408.]), array([ 2619., -1307.,  -709.]), array([ -22.,  325., -389.]))
(1, 16540, 16927, 14411, array([ 1728.,  -464.,  3472.]), array([ 3069., -1620.,  -812.]), array([ -22.,  325., -389.]))
(1, 18913, 18943, 16956, array([ 1888.,  -240.,  3536.]), array([ 3331., -1905.,  -840.]), array([ -25.,  321., -391.]))
(1, 19862, 19951, 19502, array([ 1904.,  -112.,  3504.]), array([ 3372., -2074.,  -859.]), array([ -29.,  315., -393.]))
(1, 21287, 20959, 19502, array([ 1952.,   -96.,  3424.]), array([ 3361., -2247.,  -894.]), array([ -29.,  315., -393.]))
(1, 22236, 21967, 22047, array([ 2096.,  -208.,  3344.]), array([ 3333., -2397.,  -911.]), array([ -34.,  309., -396.]))
(1, 23661, 22975, 22047, array([ 2240.,  -384.,  3232.]), array([ 3340., -2581.,  -905.]), array([ -34.,  309., -396.]))
(1, 24610, 23983, 24591, array([ 2352.,  -496.,  3120.]), array([ 3359., -2773.,  -855.]), array([ -44.,  304., -400.]))
(1, 25560, 24991, 24591, array([ 2496.,  -576.,  2912.]), array([ 3417., -2916.,  -805.]), array([ -44.,  304., -400.]))
(1, 26983, 27007, 24591, array([ 2544.,  -560.,  2816.]), array([ 3655., -3236.,  -629.]), array([ -44.,  304., -400.]))
(1, 27933, 28015, 27136, array([ 2560.,  -480.,  2848.]), array([ 3782., -3430.,  -498.]), array([ -46.,  296., -403.]))
(1, 28883, 29023, 27136, array([ 2720.,  -448.,  2704.]), array([ 3947., -3648.,  -361.]), array([ -46.,  296., -403.]))
(1, 30306, 30031, 29681, array([ 2768.,  -288.,  2688.]), array([ 4036., -3899.,  -229.]), array([ -55.,  289., -404.]))
(1, 31255, 31039, 29681, array([ 2848.,  -144.,  2688.]), array([ 4102., -4144.,  -100.]), array([ -55.,  289., -404.]))
(1, 32679, 32047, 32227, array([ 3056.,    32.,  2736.]), array([ 4189., -4430.,    50.]), array([ -70.,  280., -409.]))
(1, 33628, 33055, 32227, array([ 3232.,   224.,  2912.]), array([ 4142., -4734.,   238.]), array([ -70.,  280., -409.]))
(1, 34578, 34063, 34773, array([ 3312.,   416.,  2912.]), array([ 4163., -5007.,   399.]), array([ -70.,  274., -409.]))
(1, 36002, 35072, 34773, array([ 3600.,   688.,  3072.]), array([ 4073., -5272.,   547.]), array([ -70.,  274., -409.]))
(1, 36951, 37088, 34773, array([ 3696.,   832.,  3248.]), array([ 3735., -5849.,   855.]), array([ -70.,  274., -409.]))
(1, 37900, 38096, 37319, array([ 3904.,   944.,  3408.]), array([ 3449., -6163.,   985.]), array([ -80.,  266., -411.]))
(1, 39324, 39104, 37319, array([ 4224.,  1072.,  3632.]), array([ 3223., -6451.,  1132.]), array([ -80.,  266., -411.]))
(1, 40273, 40112, 39865, array([ 4304.,  1216.,  3712.]), array([ 2987., -6715.,  1249.]), array([ -91.,  260., -409.]))
(1, 41697, 41120, 39865, array([ 4448.,  1216.,  3936.]), array([ 2666., -6968.,  1371.]), array([ -91.,  260., -409.]))
(1, 42646, 42128, 42410, array([ 4464.,  1232.,  4144.]), array([ 2335., -7187.,  1480.]), array([-109.,  256., -410.]))
(1, 43596, 43136, 42410, array([ 4416.,  1264.,  4336.]), array([ 1941., -7431.,  1549.]), array([-109.,  256., -410.]))
(1, 45020, 44144, 44955, array([ 4656.,  1248.,  4624.]), array([ 1579., -7689.,  1632.]), array([-119.,  255., -409.]))
(1, 45970, 46160, 44955, array([ 4880.,  1296.,  4720.]), array([  809., -8148.,  1739.]), array([-119.,  255., -409.]))
(1, 46919, 47168, 44955, array([ 5040.,  1280.,  4768.]), array([  528., -8408.,  1775.]), array([-119.,  255., -409.]))
(1, 48343, 48176, 47500, array([ 5504.,  1184.,  4720.]), array([  227., -8621.,  1842.]), array([-136.,  254., -409.]))
(1, 49292, 49184, 47500, array([ 5792.,  1056.,  4656.]), array([   82., -8817.,  1883.]), array([-136.,  254., -409.]))
(1, 50241, 50192, 50046, array([ 5936.,  1024.,  4688.]), array([  -48., -9036.,  1935.]), array([-153.,  257., -402.]))
(1, 51665, 51200, 50046, array([ 6304.,   896.,  4624.]), array([ -167., -9240.,  1965.]), array([-153.,  257., -402.]))
(1, 52614, 52208, 52593, array([ 6496.,   848.,  4576.]), array([ -190., -9447.,  2008.]), array([-172.,  257., -398.]))
(1, 54039, 53216, 52593, array([ 6832.,   896.,  4352.]), array([ -140., -9633.,  2098.]), array([-172.,  257., -398.]))
(1, 54988, 54224, 55138, array([ 6992.,   960.,  4400.]), array([   20., -9855.,  2066.]), array([-190.,  258., -396.]))
(1, 55938, 56240, 55138, array([ 7056.,  1056.,  4560.]), array([   135., -10303.,   2064.]), array([-190.,  258., -396.]))
(1, 57362, 57248, 55138, array([ 7200.,  1296.,  5120.]), array([    55., -10481.,   2060.]), array([-190.,  258., -396.]))
(1, 58312, 58256, 57683, array([ 7536.,  1488.,  5584.]), array([  -142., -10686.,   2065.]), array([-213.,  259., -382.]))
(1, 59262, 59264, 57683, array([ 7968.,  1712.,  6192.]), array([  -330., -10890.,   2086.]), array([-213.,  259., -382.]))
(1, 63059, 62288, 62776, array([ 8880.,  2432.,  7728.]), array([ -1727., -11285.,   2078.]), array([-253.,  270., -362.]))
(1, 64009, 63296, 62776, array([ 9040.,  2480.,  7808.]), array([ -2354., -11324.,   2009.]), array([-253.,  270., -362.]))
(1, 64959, 65312, 62776, array([ 9136.,  2352.,  7712.]), array([ -3588., -11354.,   1880.]), array([-253.,  270., -362.]))
(1, 847, 785, 65322, array([ 9376.,  2080.,  7552.]), array([ -4130., -11310.,   1709.]), array([-277.,  276., -345.]))
(1, 1796, 1793, 65322, array([ 9584.,  1792.,  7328.]), array([ -4536., -11246.,   1579.]), array([-277.,  276., -345.]))
(1, 2746, 2801, 2332, array([ 9712.,  1376.,  7040.]), array([ -4820., -11224.,   1446.]), array([-296.,  285., -312.]))
(1, 4169, 3809, 2332, array([ 9856.,   816.,  6576.]), array([ -4895., -11149.,   1262.]), array([-296.,  285., -312.]))
