(1, 38749, 38386, 36828, array([ 6784.,   544.,  5248.]), array([ 23551., -21801.,   9937.]), array([-316.,  252., -351.]))
(1, 40174, 39387, 36828, array([ 7872.,   448.,  4640.]), array([-21358., -21801.,  -9930.]), array([-316.,  252., -351.]))
(1, 42547, 42393, 41608, array([ 8112.,   864.,  4816.]), array([ 4512.,  2001.,   219.]), array([-483.,  223., -125.]))
(1, 43495, 43394, 41608, array([ 8112.,  1056.,  4848.]), array([ 4534.,  1980.,   218.]), array([-483.,  223., -125.]))
(1, 44445, 44396, 44154, array([ 8032.,  1184.,  4864.]), array([ 4513.,  1998.,   214.]), array([-483.,  228., -125.]))
(1, 46816, 46400, 46699, array([ 8016.,  1392.,  4720.]), array([ 4544.,  1990.,   203.]), array([-483.,  226., -129.]))
(1, 47766, 47402, 46699, array([ 7952.,  1504.,  4832.]), array([ 4523.,  1974.,   211.]), array([-483.,  226., -129.]))
(1, 49189, 48403, 49245, array([ 7952.,  1616.,  4800.]), array([ 4520.,  1975.,   208.]), array([-480.,  224., -139.]))
(1, 50138, 50435, 49245, array([ 8032.,  1744.,  4752.]), array([ 15360.,  12304.,    200.]), array([-480.,  224., -139.]))
(1, 51563, 51437, 49245, array([ 8064.,  1888.,  4768.]), array([ 4167., -8846.,   217.]), array([-480.,  224., -139.]))
(1, 52512, 52441, 51790, array([ 8032.,  1984.,  4752.]), array([ 4435.,  1835.,   296.]), array([-477.,  225., -139.]))
(1, 53461, 53448, 51790, array([ 8032.,  1952.,  4736.]), array([ 4485.,  2013.,   634.]), array([-477.,  225., -139.]))
(1, 54885, 54456, 54336, array([ 8064.,  1888.,  4640.]), array([ 4401.,  2099.,   112.]), array([-470.,  225., -142.]))
(1, 55834, 55464, 54336, array([ 8128.,  1872.,  4624.]), array([ 4419.,  2069.,    45.]), array([-470.,  225., -142.]))
(1, 56783, 56472, 56884, array([ 8096.,  1856.,  4656.]), array([ 4454.,  2059.,   -29.]), array([-472.,  224., -148.]))
(1, 58207, 57480, 56884, array([ 8128.,  1648.,  4576.]), array([ 4476.,  2075.,  -138.]), array([-472.,  224., -148.]))
(1, 59156, 58488, 59430, array([ 8160.,  1648.,  4608.]), array([ 4542.,  2164.,  -293.]), array([-471.,  225., -153.]))
(1, 60579, 60504, 59430, array([ 8112.,  1520.,  4464.]), array([ 3949.,  2287.,  -604.]), array([-471.,  225., -153.]))
(1, 61528, 61511, 59430, array([ 8112.,  1408.,  4368.]), array([ 3441.,  2403.,  -730.]), array([-471.,  225., -153.]))
(1, 62478, 62519, 61975, array([ 8096.,  1360.,  4352.]), array([ 2934.,  2545.,  -879.]), array([-469.,  219., -157.]))
(1, 63901, 63527, 61975, array([ 8128.,  1328.,  4288.]), array([ 2535.,  2661.,  -988.]), array([-469.,  219., -157.]))
(1, 64850, 64535, 64521, array([ 8112.,  1296.,  4272.]), array([ 2161.,  2782., -1099.]), array([-465.,  218., -164.]))
(1, 264, 7, 64521, array([ 8032.,  1232.,  4192.]), array([ 1889.,  2972., -1214.]), array([-465.,  218., -164.]))
(1, 1688, 1016, 1531, array([ 8000.,  1216.,  4192.]), array([ 1310.,  3116., -1298.]), array([-461.,  217., -171.]))
(1, 2637, 2024, 1531, array([ 7936.,  1216.,  4144.]), array([  208.,  3304., -1256.]), array([-461.,  217., -171.]))
(1, 3586, 4040, 1531, array([ 7936.,  1168.,  4064.]), array([  434.,  3590., -1303.]), array([-461.,  217., -171.]))
(1, 5010, 5048, 4078, array([ 7904.,  1184.,  4064.]), array([  609.,  3602., -1321.]), array([-459.,  212., -183.]))
(1, 5959, 6056, 4078, array([ 7936.,  1168.,  4048.]), array([  680.,  3612., -1351.]), array([-459.,  212., -183.]))
(1, 8331, 8072, 6624, array([ 7936.,  1360.,  4048.]), array([  906.,  3658., -1389.]), array([-459.,  206., -183.]))
(1, 9281, 9080, 9170, array([ 7888.,  1360.,  4048.]), array([  918.,  3665., -1416.]), array([-455.,  203., -188.]))
(1, 10705, 10088, 9170, array([ 7856.,  1440.,  4000.]), array([  985.,  3678., -1428.]), array([-455.,  203., -188.]))
(1, 11654, 11096, 11717, array([ 7840.,  1472.,  3936.]), array([  959.,  3667., -1454.]), array([-457.,  202., -203.]))
(1, 12603, 12105, 11717, array([ 7760.,  1552.,  3936.]), array([  975.,  3667., -1464.]), array([-457.,  202., -203.]))
(1, 14027, 14121, 11717, array([ 7808.,  1632.,  3888.]), array([  865.,  3643., -1466.]), array([-457.,  202., -203.]))
(1, 14976, 15129, 14263, array([ 7792.,  1632.,  3888.]), array([  757.,  3607., -1462.]), array([-453.,  196., -203.]))
(1, 16400, 16137, 14263, array([ 7808.,  1600.,  3968.]), array([  582.,  3561., -1440.]), array([-453.,  196., -203.]))
(1, 17350, 17145, 16810, array([ 7776.,  1536.,  3856.]), array([  451.,  3539., -1435.]), array([-448.,  193., -211.]))
(1, 18299, 18153, 16810, array([ 7792.,  1456.,  3872.]), array([  365.,  3528., -1406.]), array([-448.,  193., -211.]))
(1, 19722, 19161, 19355, array([ 7696.,  1376.,  3792.]), array([  248.,  3510., -1381.]), array([-442.,  189., -214.]))
(1, 21621, 21177, 21902, array([ 7632.,  1264.,  3696.]), array([  142.,  3444., -1406.]), array([-439.,  186., -223.]))
(1, 23044, 22185, 21902, array([ 7600.,  1328.,  3792.]), array([  104.,  3434., -1395.]), array([-439.,  186., -223.]))
(1, 23993, 24202, 21902, array([ 7664.,  1248.,  3728.]), array([   26.,  3361., -1296.]), array([-439.,  186., -223.]))
