(1, 23233, 22523, 21284, array([ 1600., -1488., -2672.]), array([ 3823., -1252.,   695.]), array([  -8.,  -32.,  563.]))
(1, 24182, 24539, 23830, array([ 1664., -1664., -2752.]), array([ 3426., -1120.,   805.]), array([  -8.,  -25.,  562.]))
(1, 25606, 25547, 23830, array([ 1616., -1936., -2912.]), array([ 3063.,  -999.,   761.]), array([  -8.,  -25.,  562.]))
(1, 26555, 26555, 26376, array([ 1696., -2144., -3040.]), array([ 2639.,  -913.,   716.]), array([ -12.,  -19.,  565.]))
(1, 27504, 27564, 26376, array([ 1840., -2288., -3296.]), array([ 2086.,  -865.,   666.]), array([ -12.,  -19.,  565.]))
(1, 28928, 28572, 28921, array([ 1952., -2144., -3840.]), array([ 1457.,  -840.,   600.]), array([  -4.,  -15.,  564.]))
(1, 29877, 29580, 28921, array([ 1968., -1920., -4160.]), array([ 888., -851.,  595.]), array([  -4.,  -15.,  564.]))
(1, 30826, 30588, 28921, array([ 1904., -1792., -4512.]), array([ 323., -852.,  608.]), array([  -4.,  -15.,  564.]))
(1, 32249, 31596, 31467, array([ 1824., -1568., -4800.]), array([ -61., -891.,  625.]), array([  -5.,  -12.,  566.]))
(1, 33198, 32604, 31467, array([ 1840., -1408., -4816.]), array([-314., -948.,  661.]), array([  -5.,  -12.,  566.]))
(1, 34622, 34620, 34012, array([ 1856., -1280., -4992.]), array([ -636., -1015.,   735.]), array([  -1.,  -12.,  565.]))
(1, 35571, 35629, 34012, array([ 1776., -1200., -5120.]), array([ -632., -1053.,   743.]), array([  -1.,  -12.,  565.]))
(1, 36520, 36637, 36557, array([ 1712., -1136., -5280.]), array([ -680., -1059.,   756.]), array([   0.,  -17.,  563.]))
(1, 37943, 37645, 36557, array([ 1712.,  -960., -5376.]), array([ -611., -1050.,   731.]), array([   0.,  -17.,  563.]))
(1, 38892, 38653, 39103, array([ 1664.,  -864., -5584.]), array([ -517., -1005.,   686.]), array([   0.,  -20.,  563.]))
(1, 39841, 39661, 39103, array([ 1632.,  -848., -5744.]), array([-345., -978.,  641.]), array([   0.,  -20.,  563.]))
(1, 41265, 40669, 39103, array([ 1536.,  -944., -6000.]), array([-206., -905.,  579.]), array([   0.,  -20.,  563.]))
(1, 42215, 41677, 41647, array([ 1584.,  -960., -6144.]), array([  -8., -837.,  515.]), array([   0.,  -18.,  563.]))
(1, 43639, 42686, 41647, array([ 1632., -1040., -6288.]), array([ 179., -741.,  447.]), array([   0.,  -18.,  563.]))
(1, 44588, 44702, 44192, array([ 1632., -1072., -6368.]), array([ 532., -611.,  335.]), array([  -2.,  -17.,  561.]))
(1, 45537, 45710, 44192, array([ 1584., -1136., -6352.]), array([ 702., -526.,  322.]), array([  -2.,  -17.,  561.]))
(1, 46960, 46718, 46736, array([ 1488., -1488., -6320.]), array([ 911., -453.,  319.]), array([   5.,  -13.,  563.]))
(1, 47909, 47726, 46736, array([ 1504., -1616., -6288.]), array([ 1076.,  -396.,   308.]), array([   5.,  -13.,  563.]))
(1, 48858, 48734, 49281, array([ 1488., -1744., -6240.]), array([ 1137.,  -297.,   296.]), array([   6.,  -15.,  560.]))
(1, 50282, 49743, 49281, array([ 1520., -1776., -6080.]), array([ 1181.,  -218.,   336.]), array([   6.,  -15.,  560.]))
(1, 51230, 50751, 49281, array([ 1552., -1888., -6032.]), array([ 1225.,  -155.,   403.]), array([   6.,  -15.,  560.]))
(1, 52653, 51759, 51826, array([ 1456., -1952., -5952.]), array([ 1282.,   -84.,   449.]), array([   7.,   -9.,  562.]))
(1, 53603, 53775, 51826, array([ 1408., -1984., -5904.]), array([ 1218.,    40.,   617.]), array([   7.,   -9.,  562.]))
(1, 54552, 54783, 54372, array([ 1360., -2080., -5936.]), array([ 1234.,    99.,   673.]), array([   6.,   -8.,  565.]))
(1, 55976, 55791, 54372, array([ 1280., -2112., -6000.]), array([ 1146.,   172.,   742.]), array([   6.,   -8.,  565.]))
(1, 56925, 56800, 56918, array([ 1280., -2016., -6208.]), array([ 1087.,   232.,   778.]), array([   7.,   -3.,  564.]))
(1, 57875, 57808, 56918, array([ 1248., -1968., -6224.]), array([ 985.,  272.,  814.]), array([   7.,   -3.,  564.]))
(1, 59299, 58816, 56918, array([ 1264., -1904., -6272.]), array([ 864.,  318.,  818.]), array([   7.,   -3.,  564.]))
(1, 60248, 59824, 59463, array([ 1280., -1808., -6336.]), array([ 773.,  326.,  796.]), array([   4.,   -2.,  564.]))
(1, 61671, 60832, 59463, array([ 1280., -1680., -6128.]), array([ 628.,  325.,  769.]), array([   4.,   -2.,  564.]))
(1, 62621, 61840, 62008, array([ 1232., -1696., -5648.]), array([ 492.,  354.,  723.]), array([   3.,   -2.,  566.]))
(1, 63570, 63857, 62008, array([ 1440.,  -768., -5584.]), array([ 542.,  366.,  477.]), array([   3.,   -2.,  566.]))
(1, 64992, 64865, 64554, array([ 1920.,   528., -6224.]), array([ 874.,  443.,  128.]), array([   1.,    0.,  567.]))
(1, 405, 337, 64554, array([ 2128.,   528., -6768.]), array([ 1223.,   499.,  -135.]), array([   1.,    0.,  567.]))
(1, 1354, 1345, 1563, array([ 2080.,  -240., -7136.]), array([ 1585.,   483.,  -161.]), array([   1.,    7.,  567.]))
(1, 2778, 2353, 1563, array([ 1840., -1744., -6976.]), array([ 1736.,   452.,   -56.]), array([   1.,    7.,  567.]))
(1, 3727, 3361, 1563, array([ 1808., -2144., -6784.]), array([ 1600.,   369.,    30.]), array([   1.,    7.,  567.]))
(1, 4676, 4369, 4108, array([ 1712., -2160., -6736.]), array([ 1260.,   221.,    41.]), array([   1.,    5.,  566.]))
(1, 6099, 5378, 4108, array([ 1360., -2016., -6736.]), array([ 810.,  132.,   10.]), array([   1.,    5.,  566.]))
(1, 7048, 6386, 6654, array([ 1280., -2112., -6784.]), array([ 510.,    6.,  -28.]), array([   0.,    6.,  567.]))
