(1, 50927, 51164, 49977, array([ 3584.,   720.,  6272.]), array([-2014.,   706.,  -374.]), array([-161.,  204., -417.]))
(1, 51876, 52172, 49977, array([ 3424.,   768.,  6432.]), array([-1994.,   665.,  -383.]), array([-161.,  204., -417.]))
(1, 53301, 53180, 52523, array([ 3184.,   784.,  6752.]), array([-2001.,   594.,  -403.]), array([-157.,  211., -417.]))
(1, 54250, 54188, 52523, array([ 3088.,   832.,  7056.]), array([-2078.,   521.,  -394.]), array([-157.,  211., -417.]))
(1, 55674, 55196, 55068, array([ 2992.,   816.,  7408.]), array([-2095.,   466.,  -391.]), array([-158.,  213., -415.]))
(1, 56624, 56204, 55068, array([ 2944.,   944.,  7616.]), array([-2240.,   404.,  -370.]), array([-158.,  213., -415.]))
(1, 57573, 57212, 57613, array([ 3072.,   960.,  7744.]), array([-2378.,   359.,  -357.]), array([-156.,  218., -412.]))
(1, 58998, 58220, 57613, array([ 3248.,   976.,  7760.]), array([-2541.,   347.,  -279.]), array([-156.,  218., -412.]))
(1, 59947, 59229, 60159, array([ 3312.,   928.,  7776.]), array([-2673.,   336.,  -227.]), array([-156.,  226., -412.]))
(1, 60897, 61245, 60159, array([ 3424.,   768.,  7728.]), array([-3057.,   321.,   -99.]), array([-156.,  226., -412.]))
(1, 62321, 62253, 60159, array([ 3584.,   464.,  7600.]), array([-3120.,   289.,   -27.]), array([-156.,  226., -412.]))
(1, 63271, 63261, 62705, array([ 3696.,   240.,  7440.]), array([-3165.,   221.,    47.]), array([-156.,  235., -411.]))
(1, 64694, 64269, 62705, array([ 3712.,   112.,  7408.]), array([-3050.,   265.,   105.]), array([-156.,  235., -411.]))
(1, 108, 65277, 65250, array([ 3696.,    96.,  7312.]), array([-2891.,   256.,   144.]), array([-161.,  242., -410.]))
(1, 1057, 749, 65250, array([ 3680.,    80.,  7360.]), array([-2708.,   259.,   228.]), array([-161.,  242., -410.]))
(1, 2481, 1757, 2259, array([ 3600.,   160.,  7472.]), array([-2425.,   282.,   271.]), array([-154.,  245., -410.]))
(1, 3431, 2765, 2259, array([ 3600.,   240.,  7568.]), array([-2209.,   293.,   281.]), array([-154.,  245., -410.]))
(1, 4381, 4781, 2259, array([ 3680.,   352.,  7648.]), array([-1707.,   255.,   316.]), array([-154.,  245., -410.]))
(1, 5805, 5789, 4805, array([ 3504.,   720.,  6880.]), array([-1540.,   217.,   317.]), array([-152.,  252., -403.]))
(1, 6754, 6797, 4805, array([ 3712.,   720.,  5104.]), array([-1492.,   185.,   315.]), array([-152.,  252., -403.]))
(1, 7704, 7805, 7350, array([ 5376.,    32.,  4912.]), array([-1762.,   -88.,   471.]), array([-153.,  253., -403.]))
(1, 9128, 8813, 7350, array([ 5680.,  -320.,  6496.]), array([-1673.,  -762.,   545.]), array([-153.,  253., -403.]))
(1, 10077, 9821, 9896, array([ 4208.,   384.,  6960.]), array([-1289.,  -894.,   420.]), array([-156.,  262., -405.]))
(1, 11501, 10830, 9896, array([ 2384.,  1472.,  7168.]), array([-1053.,  -409.,   276.]), array([-156.,  262., -405.]))
(1, 12450, 11838, 12442, array([ 2192.,  1488.,  7392.]), array([-1167.,   -52.,   116.]), array([-155.,  261., -403.]))
(1, 13399, 12846, 12442, array([ 2464.,  1264.,  7664.]), array([-1563.,   -55.,   120.]), array([-155.,  261., -403.]))
(1, 14823, 14862, 12442, array([ 3168.,   912.,  7808.]), array([-2288.,  -146.,   192.]), array([-155.,  261., -403.]))
(1, 15773, 15870, 14988, array([ 3200.,   512.,  7632.]), array([-2559.,   -46.,   144.]), array([-154.,  269., -401.]))
(1, 16723, 16878, 14988, array([ 3264.,    96.,  7200.]), array([ -2.58200000e+03,   1.00000000e+00,   1.21000000e+02]), array([-154.,  269., -401.]))
(1, 18147, 17886, 17534, array([ 3600.,  -400.,  6848.]), array([-2407.,     3.,    95.]), array([-156.,  273., -400.]))
(1, 19096, 18894, 17534, array([ 3808.,  -496.,  6784.]), array([-2041.,   -84.,   100.]), array([-156.,  273., -400.]))
(1, 20520, 19902, 20079, array([ 3728.,  -336.,  7040.]), array([-1605.,  -104.,    98.]), array([-155.,  276., -395.]))
(1, 21470, 20910, 20079, array([ 3456.,  -144.,  7168.]), array([-1247.,   -72.,    61.]), array([-155.,  276., -395.]))
(1, 22419, 21918, 22624, array([ 3232.,    32.,  7392.]), array([-963.,  -34.,   67.]), array([-155.,  277., -395.]))
(1, 23843, 22926, 22624, array([ 3232.,    48.,  7424.]), array([-752.,   12.,   72.]), array([-155.,  277., -395.]))
(1, 24793, 24942, 22624, array([ 3376.,    80.,  7616.]), array([-552.,   46.,  116.]), array([-155.,  277., -395.]))
(1, 25742, 25950, 25169, array([ 3472.,   176.,  7712.]), array([-504.,   65.,  143.]), array([-156.,  279., -398.]))
(1, 27166, 26959, 25169, array([ 3408.,   208.,  7792.]), array([-411.,   98.,  155.]), array([-156.,  279., -398.]))
(1, 28116, 27967, 27715, array([ 3472.,   272.,  7824.]), array([-347.,   92.,  127.]), array([-158.,  280., -397.]))
(1, 29540, 28975, 27715, array([ 3600.,   288.,  7856.]), array([-258.,   97.,  104.]), array([-158.,  280., -397.]))
(1, 30490, 29983, 30260, array([ 3632.,   272.,  7904.]), array([-137.,  102.,  110.]), array([-157.,  281., -393.]))
(1, 31439, 30991, 30260, array([ 3536.,   240.,  7952.]), array([ -20.,   90.,  114.]), array([-157.,  281., -393.]))
(1, 32863, 31999, 32805, array([ 3424.,   240.,  8064.]), array([ 127.,  135.,   89.]), array([-155.,  276., -396.]))
(1, 33812, 34015, 32805, array([ 3456.,   256.,  8096.]), array([ 378.,  148.,  101.]), array([-155.,  276., -396.]))
(1, 34762, 35023, 32805, array([ 3360.,   256.,  8112.]), array([ 512.,  143.,   99.]), array([-155.,  276., -396.]))
(1, 36186, 36031, 35350, array([ 3328.,   352.,  8176.]), array([ 519.,  129.,   94.]), array([-154.,  281., -396.]))
(1, 37135, 37039, 35350, array([ 3328.,   416.,  8224.]), array([ 578.,  146.,   63.]), array([-154.,  281., -396.]))
(1, 38084, 38047, 37897, array([ 3280.,   592.,  8240.]), array([ 516.,  122.,   54.]), array([-155.,  279., -398.]))
(1, 39508, 39055, 37897, array([ 3360.,   656.,  8176.]), array([ 439.,  136.,   66.]), array([-155.,  279., -398.]))
(1, 40458, 40063, 40442, array([ 3376.,   624.,  8096.]), array([ 413.,  140.,   69.]), array([-154.,  276., -397.]))
(1, 41882, 41071, 40442, array([ 3328.,   608.,  8032.]), array([ 284.,  126.,   69.]), array([-154.,  276., -397.]))
(1, 42832, 42079, 42987, array([ 3312.,   608.,  8032.]), array([ 213.,  115.,   71.]), array([-154.,  278., -397.]))
(1, 43781, 44096, 42987, array([ 3280.,   496.,  8016.]), array([ 121.,  131.,   65.]), array([-154.,  278., -397.]))
(1, 45205, 45104, 42987, array([ 3312.,   432.,  7936.]), array([ 115.,  109.,   72.]), array([-154.,  278., -397.]))
(1, 46154, 46112, 45532, array([ 3312.,   432.,  7920.]), array([ 148.,   83.,   75.]), array([-153.,  280., -399.]))
(1, 47104, 47120, 45532, array([ 3360.,   496.,  7904.]), array([ 214.,   88.,   81.]), array([-153.,  280., -399.]))
