(1, 33249, 33054, 31294, array([ 7744.,   688.,  2656.]), array([ 481., -168.,   73.]), array([-483.,  217., -128.]))
(1, 34198, 34062, 33841, array([ 7696.,   752.,  2736.]), array([ 481., -210.,   70.]), array([-482.,  219., -122.]))
(1, 35623, 35070, 33841, array([ 7744.,   704.,  2832.]), array([ 482., -210.,   91.]), array([-482.,  219., -122.]))
(1, 36572, 36078, 36386, array([ 7664.,   752.,  2928.]), array([ 443., -209.,  110.]), array([-483.,  219., -131.]))
(1, 37522, 37086, 36386, array([ 7584.,   864.,  2976.]), array([ 420., -197.,  100.]), array([-483.,  219., -131.]))
(1, 38946, 38094, 38932, array([ 7744.,   864.,  3088.]), array([ 442., -201.,  108.]), array([-481.,  222., -127.]))
(1, 39896, 40111, 38932, array([ 7728.,   864.,  3120.]), array([ 337., -203.,  119.]), array([-481.,  222., -127.]))
(1, 40845, 41119, 38932, array([ 7696.,   848.,  3248.]), array([ 257., -207.,  113.]), array([-481.,  222., -127.]))
(1, 42270, 42127, 41477, array([ 7712.,   896.,  3440.]), array([ 188., -214.,  124.]), array([-481.,  218., -131.]))
(1, 43219, 43135, 41477, array([ 7744.,   848.,  3504.]), array([ 145., -205.,  104.]), array([-481.,  218., -131.]))
(1, 44644, 44143, 44022, array([ 7744.,   800.,  3648.]), array([  59., -157.,  101.]), array([-482.,  220., -125.]))
(1, 45593, 45151, 44022, array([ 7712.,   784.,  3632.]), array([  53., -164.,  112.]), array([-482.,  220., -125.]))
(1, 46543, 46159, 46567, array([ 7744.,   832.,  3552.]), array([  35., -100.,  106.]), array([-482.,  221., -128.]))
(1, 47967, 47167, 46567, array([ 7712.,   864.,  3520.]), array([  10.,  -35.,  104.]), array([-482.,  221., -128.]))
(1, 48917, 48175, 49112, array([ 7712.,   864.,  3552.]), array([ -56.,    0.,  118.]), array([-482.,  219., -128.]))
(1, 49866, 50191, 49112, array([ 7728.,   960.,  3472.]), array([ -67.,   86.,  162.]), array([-482.,  219., -128.]))
(1, 51290, 51199, 49112, array([ 7680.,   976.,  3536.]), array([ -71.,  150.,  136.]), array([-482.,  219., -128.]))
(1, 52239, 52207, 51657, array([ 7728.,   992.,  3472.]), array([-120.,  198.,  179.]), array([-479.,  219., -127.]))
(1, 53188, 53215, 51657, array([ 7648.,   992.,  3472.]), array([ -98.,  258.,  206.]), array([-479.,  219., -127.]))
(1, 54613, 54224, 54201, array([ 7600.,  1008.,  3520.]), array([-120.,  328.,  194.]), array([-487.,  222., -128.]))
(1, 55563, 55232, 54201, array([ 7632.,  1024.,  3520.]), array([ -89.,  356.,  201.]), array([-487.,  222., -128.]))
(1, 56987, 56240, 56747, array([ 7664.,  1088.,  3664.]), array([ -89.,  417.,  205.]), array([-481.,  222., -128.]))
(1, 57937, 57248, 56747, array([ 7664.,  1184.,  3712.]), array([ -99.,  465.,  211.]), array([-481.,  222., -128.]))
(1, 58887, 59264, 56747, array([ 7664.,  1232.,  3776.]), array([-161.,  526.,  143.]), array([-481.,  222., -128.]))
(1, 60312, 60272, 59294, array([ 7680.,  1328.,  3824.]), array([-202.,  556.,  115.]), array([-481.,  223., -129.]))
(1, 61261, 61280, 59294, array([ 7664.,  1328.,  3984.]), array([-241.,  601.,   85.]), array([-481.,  223., -129.]))
(1, 63636, 63296, 61839, array([ 7776.,  1360.,  3968.]), array([-265.,  655.,   -8.]), array([-478.,  222., -129.]))
(1, 64586, 64304, 64384, array([ 7792.,  1376.,  4032.]), array([-323.,  692.,  -37.]), array([-478.,  222., -130.]))
(1, 475, 65312, 64384, array([ 7840.,  1408.,  4096.]), array([-328.,  760.,  -58.]), array([-478.,  222., -130.]))
(1, 1424, 784, 1394, array([ 7824.,  1360.,  4064.]), array([-359.,  837., -123.]), array([-481.,  223., -131.]))
(1, 2374, 1792, 1394, array([ 7856.,  1328.,  4144.]), array([-359.,  907., -156.]), array([-481.,  223., -131.]))
(1, 3798, 3809, 1394, array([ 7888.,  1312.,  4064.]), array([ -381.,  1015.,  -255.]), array([-481.,  223., -131.]))
(1, 4748, 4817, 3940, array([ 7856.,  1248.,  4128.]), array([ -391.,  1070.,  -264.]), array([-476.,  222., -130.]))
(1, 5697, 5825, 3940, array([ 7824.,  1184.,  4032.]), array([ -372.,  1145.,  -305.]), array([-476.,  222., -130.]))
(1, 7122, 6833, 6484, array([ 7872.,  1200.,  4128.]), array([ -293.,  1195.,  -363.]), array([-477.,  222., -130.]))
(1, 8071, 7841, 6484, array([ 7888.,  1296.,  4208.]), array([ -173.,  1244.,  -362.]), array([-477.,  222., -130.]))
(1, 9495, 8849, 9030, array([ 7920.,  1328.,  4368.]), array([ -135.,  1315.,  -390.]), array([-475.,  222., -138.]))
(1, 10445, 9857, 9030, array([ 7952.,  1376.,  4480.]), array([  -63.,  1357.,  -489.]), array([-475.,  222., -138.]))
(1, 12818, 11873, 11575, array([ 7824.,  1632.,  4672.]), array([ -105.,  1507.,  -474.]), array([-475.,  221., -138.]))
(1, 13768, 13889, 11575, array([ 7808.,  1712.,  4688.]), array([ -194.,  1636.,  -507.]), array([-475.,  221., -138.]))
(1, 14718, 14897, 14119, array([ 7904.,  1664.,  4720.]), array([ -261.,  1725.,  -522.]), array([-473.,  218., -141.]))
(1, 16142, 15905, 14119, array([ 7872.,  1680.,  4736.]), array([ -372.,  1813.,  -526.]), array([-473.,  218., -141.]))
(1, 17091, 16913, 16664, array([ 7840.,  1600.,  4832.]), array([ -471.,  1876.,  -523.]), array([-476.,  220., -148.]))
