(1, 58037, 57674, 56611, array([ 9632.,   -32., -1376.]), array([ 16792.,  29627.,  26071.]), array([-472.,  212., -178.]))
(1, 59462, 58675, 56611, array([ 11600.,   -480.,  -5120.]), array([-15413.,  29627., -25794.]), array([-472.,  212., -178.]))
(1, 61836, 61678, 60893, array([ 11936.,   -352.,  -5712.]), array([ 4481.,  1979.,   206.]), array([-411., -107.,  365.]))
(1, 63733, 63680, 63437, array([ 12128.,     32.,  -5872.]), array([ 4526.,  2001.,   232.]), array([-411., -106.,  365.]))
(1, 571, 146, 447, array([ 11712.,    560.,  -6224.]), array([ 4558.,  2009.,   220.]), array([-419., -111.,  348.]))
(1, 1520, 1147, 447, array([ 11664.,    736.,  -6256.]), array([ 4545.,  2012.,   225.]), array([-419., -111.,  348.]))
(1, 2944, 2148, 2992, array([ 11632.,    784.,  -6192.]), array([ 4554.,  1990.,   216.]), array([-437., -113.,  316.]))
(1, 3894, 3757, 2992, array([ 11632.,    784.,  -6096.]), array([-13880.,   1985.,  15568.]), array([-437., -113.,  316.]))
(1, 6266, 5759, 5535, array([ 11264.,    912.,  -5584.]), array([  4201.,  27147.,    208.]), array([-437., -112.,  316.]))
(1, 7216, 6762, 5535, array([ 11104.,    800.,  -5344.]), array([ 4422.,  1818.,   206.]), array([-437., -112.,  316.]))
(1, 8639, 7770, 8081, array([ 10848.,    768.,  -4992.]), array([ 4576.,  1992.,   219.]), array([-445., -112.,  303.]))
(1, 9589, 9786, 8081, array([ 10736.,    704.,  -4848.]), array([ 4188.,  2425.,    77.]), array([-445., -112.,  303.]))
(1, 10538, 10793, 10625, array([ 10576.,    768.,  -4720.]), array([ 4177.,  2556.,    39.]), array([-450., -113.,  291.]))
(1, 11962, 11801, 10625, array([ 10304.,    624.,  -4656.]), array([ 4210.,  2707.,   -39.]), array([-450., -113.,  291.]))
(1, 12911, 12809, 13170, array([ 10016.,    640.,  -4800.]), array([ 4054.,  2947.,  -139.]), array([-456., -115.,  277.]))
(1, 14335, 13817, 13170, array([ 9824.,   784., -4880.]), array([ 3647.,  3240.,  -165.]), array([-456., -115.,  277.]))
(1, 15284, 14825, 13170, array([ 9728.,   960., -4944.]), array([ 3051.,  3548.,  -206.]), array([-456., -115.,  277.]))
(1, 16234, 15833, 15715, array([ 9632.,  1120., -4944.]), array([ 2426.,  3866.,  -229.]), array([-464., -119.,  266.]))
(1, 17658, 16841, 15715, array([ 9680.,  1248., -4976.]), array([ 1869.,  4153.,  -243.]), array([-464., -119.,  266.]))
(1, 18607, 17849, 18261, array([ 9728.,  1264., -4944.]), array([ 1446.,  4399.,  -245.]), array([-469., -117.,  254.]))
(1, 19556, 19865, 18261, array([ 9776.,  1136., -4864.]), array([  929.,  4815.,  -249.]), array([-469., -117.,  254.]))
(1, 20980, 20874, 20806, array([ 9728.,   992., -4736.]), array([  -31.,  4953.,  -188.]), array([-471., -117.,  244.]))
(1, 21929, 21882, 20806, array([ 9680.,   912., -4656.]), array([ -733.,  5045.,  -118.]), array([-471., -117.,  244.]))
(1, 22878, 22890, 20806, array([ 9536.,   912., -4544.]), array([ -581.,  4944.,  -166.]), array([-471., -117.,  244.]))
(1, 24302, 23898, 23350, array([ 9392.,   720., -4368.]), array([ -457.,  4775.,  -220.]), array([-476., -118.,  224.]))
(1, 25251, 24906, 23350, array([ 9200.,   672., -4176.]), array([ -496.,  4629.,  -284.]), array([-476., -118.,  224.]))
(1, 26675, 25914, 25895, array([ 9040.,   432., -3904.]), array([ -548.,  4518.,  -311.]), array([-479., -124.,  224.]))
(1, 27624, 26922, 25895, array([ 8976.,   304., -3760.]), array([ -604.,  4361.,  -371.]), array([-479., -124.,  224.]))
(1, 28573, 28938, 28440, array([ 8976.,   176., -3600.]), array([ -950.,  4073.,  -536.]), array([-480., -120.,  218.]))
(1, 29997, 29947, 28440, array([ 8864.,   144., -3568.]), array([-1236.,  3932.,  -605.]), array([-480., -120.,  218.]))
(1, 30945, 30955, 30984, array([ 8784.,    96., -3584.]), array([-1590.,  3797.,  -635.]), array([-485., -119.,  202.]))
(1, 31894, 31963, 30984, array([ 8736.,     0., -3584.]), array([-1884.,  3668.,  -669.]), array([-485., -119.,  202.]))
(1, 33319, 32971, 30984, array([ 8752.,    96., -3440.]), array([-2269.,  3527.,  -761.]), array([-485., -119.,  202.]))
(1, 34268, 33979, 33530, array([ 8704.,   272., -3328.]), array([-2567.,  3373.,  -781.]), array([-485., -126.,  192.]))
(1, 35691, 34987, 33530, array([ 8608.,   576., -3408.]), array([-2752.,  3185.,  -825.]), array([-485., -126.,  192.]))
(1, 36640, 35995, 36074, array([ 8608.,   624., -3360.]), array([-2873.,  3037.,  -838.]), array([-485., -129.,  192.]))
(1, 37589, 37004, 36074, array([ 8560.,   576., -3376.]), array([-2826.,  2857.,  -860.]), array([-485., -129.,  192.]))
(1, 39013, 39020, 38618, array([ 8480.,   448., -3312.]), array([-2760.,  2532.,  -868.]), array([-487., -133.,  185.]))
(1, 39962, 40028, 38618, array([ 8496.,   176., -3472.]), array([-2768.,  2370.,  -866.]), array([-487., -133.,  185.]))
(1, 40911, 41036, 41162, array([ 8528.,  -144., -3568.]), array([-2898.,  2235.,  -861.]), array([-486., -139.,  178.]))
(1, 42334, 42044, 41162, array([ 8688.,  -864., -3552.]), array([-3109.,  2082.,  -836.]), array([-486., -139.,  178.]))
(1, 43284, 43052, 41162, array([ 8768., -1712., -3552.]), array([-3663.,  1932.,  -816.]), array([-486., -139.,  178.]))
