(1, 57277, 57219, 55167, array([ 7984.,   704.,  -688.]), array([ 182.,  109.,   42.]), array([-476., -138.,  194.]))
(1, 58225, 58227, 57714, array([ 8016.,   672.,  -736.]), array([ 166.,  112.,   73.]), array([-474., -140.,  196.]))
(1, 59649, 59235, 57714, array([ 8000.,   656.,  -672.]), array([ 205.,  117.,   82.]), array([-474., -140.,  196.]))
(1, 60598, 60244, 60260, array([ 8016.,   656.,  -608.]), array([ 160.,   92.,   39.]), array([-476., -139.,  195.]))
(1, 61548, 61252, 60260, array([ 8048.,   656.,  -608.]), array([ 135.,   59.,   39.]), array([-476., -139.,  195.]))
(1, 62971, 62260, 62808, array([ 8000.,   688.,  -624.]), array([ 131.,   57.,   18.]), array([-475., -136.,  195.]))
(1, 63920, 63268, 62808, array([ 7984.,   640.,  -656.]), array([ 85.,  52.,  -4.]), array([-475., -136.,  195.]))
(1, 757, 757, 65354, array([ 7984.,   800.,  -672.]), array([ 58.,  37.,   1.]), array([-477., -138.,  193.]))
(1, 1705, 1765, 65354, array([ 8000.,   784.,  -768.]), array([ 49.,  31.,  15.]), array([-477., -138.,  193.]))
(1, 3129, 2773, 2365, array([ 8016.,   816.,  -672.]), array([ 68.,  24.,  28.]), array([-477., -139.,  193.]))
(1, 4078, 3781, 2365, array([ 8048.,   800.,  -624.]), array([ 104.,   46.,   28.]), array([-477., -139.,  193.]))
(1, 6450, 5797, 4911, array([ 8032.,   784.,  -640.]), array([ 140.,   59.,  101.]), array([-476., -137.,  200.]))
(1, 7399, 6806, 7458, array([ 8048.,   752.,  -624.]), array([ 134.,   42.,   86.]), array([-477., -137.,  193.]))
(1, 9772, 9830, 7458, array([ 8032.,   800.,  -656.]), array([ 109.,   45.,   54.]), array([-477., -137.,  193.]))
(1, 10721, 10838, 10005, array([ 8000.,   832.,  -576.]), array([ 83.,  28.,  56.]), array([-475., -138.,  193.]))
(1, 12144, 11846, 10005, array([ 7984.,   704.,  -560.]), array([ 127.,   16.,   64.]), array([-475., -138.,  193.]))
(1, 13093, 12855, 12551, array([ 8000.,   736.,  -592.]), array([ 129.,    8.,   80.]), array([-479., -139.,  194.]))
(1, 14042, 13863, 12551, array([ 8016.,   736.,  -608.]), array([ 140.,   38.,   46.]), array([-479., -139.,  194.]))
(1, 15466, 14871, 15098, array([ 7984.,   800.,  -608.]), array([ 136.,   -1.,   14.]), array([-479., -139.,  193.]))
(1, 16415, 15879, 15098, array([ 7984.,   816.,  -608.]), array([ 136.,    3.,    6.]), array([-479., -139.,  193.]))
(1, 17364, 16887, 17646, array([ 7952.,   768.,  -560.]), array([ 196.,   -9.,   13.]), array([-476., -138.,  194.]))
(1, 18788, 17895, 17646, array([ 7968.,   672.,  -592.]), array([ 184.,  -15.,    7.]), array([-476., -138.,  194.]))
(1, 20687, 20920, 20193, array([ 7936.,   704.,  -560.]), array([ 96.,   3., -16.]), array([-473., -136.,  192.]))
(1, 22111, 21928, 20193, array([ 7920.,   784.,  -544.]), array([ 156.,    0.,    5.]), array([-473., -136.,  192.]))
(1, 23060, 22936, 22741, array([ 7968.,   688.,  -560.]), array([ 135.,   -7.,    9.]), array([-475., -137.,  194.]))
(1, 24483, 23944, 22741, array([ 8000.,   752.,  -528.]), array([ 129.,   20.,   19.]), array([-475., -137.,  194.]))
(1, 25432, 24953, 25288, array([ 7968.,   768.,  -496.]), array([ 120.,   44.,  -30.]), array([-475., -139.,  192.]))
