(1, 60509, 59731, 59156, array([ 7248.,  1248., -2880.]), array([-230.,  -71.,  -26.]), array([-407., -166.,  321.]))
(1, 61459, 60740, 61704, array([ 7296.,  1296., -2944.]), array([-261.,  -79.,  -26.]), array([-410., -166.,  323.]))
(1, 62408, 62756, 61704, array([ 7216.,  1264., -2880.]), array([-226., -101.,  -44.]), array([-410., -166.,  323.]))
(1, 63832, 63764, 61704, array([ 7248.,  1280., -2864.]), array([-156.,  -96.,  -65.]), array([-410., -166.,  323.]))
(1, 64781, 64772, 64251, array([ 7296.,  1184., -2880.]), array([ -84., -122.,  -92.]), array([-407., -167.,  323.]))
(1, 670, 244, 64251, array([ 7232.,  1184., -2816.]), array([ -33., -108.,  -80.]), array([-407., -167.,  323.]))
(1, 1618, 1253, 1262, array([ 7328.,  1152., -2864.]), array([ 18., -76., -78.]), array([-407., -166.,  322.]))
(1, 2567, 2261, 1262, array([ 7248.,  1120., -2864.]), array([ 20., -82., -75.]), array([-407., -166.,  322.]))
(1, 3990, 3269, 3809, array([ 7296.,  1072., -2800.]), array([ 63., -74., -53.]), array([-407., -167.,  322.]))
(1, 4940, 4277, 3809, array([ 7296.,  1024., -2704.]), array([ 85., -67., -78.]), array([-407., -167.,  322.]))
(1, 5889, 6293, 3809, array([ 7312.,  1040., -2624.]), array([ 43., -95., -34.]), array([-407., -167.,  322.]))
(1, 8263, 8310, 6357, array([ 7296.,   992., -2672.]), array([ -21., -105.,   -4.]), array([-409., -167.,  323.]))
(1, 9686, 9318, 8904, array([ 7264.,  1008., -2736.]), array([-36., -83.,  -4.]), array([-407., -166.,  323.]))
(1, 10636, 10326, 8904, array([ 7280.,  1056., -2752.]), array([-49., -94.,  14.]), array([-407., -166.,  323.]))
(1, 11585, 11334, 11451, array([ 7280.,  1024., -2864.]), array([ -83., -101.,   27.]), array([-406., -168.,  326.]))
(1, 13009, 12342, 11451, array([ 7248.,  1104., -2800.]), array([-136., -100.,   69.]), array([-406., -168.,  326.]))
(1, 13959, 13351, 13998, array([ 7344.,  1120., -2800.]), array([-137., -107.,   41.]), array([-408., -167.,  325.]))
(1, 14909, 14359, 13998, array([ 7328.,  1152., -2816.]), array([-161., -136.,   40.]), array([-408., -167.,  325.]))
(1, 18231, 18391, 16545, array([ 7312.,  1184., -2816.]), array([-113., -169.,   59.]), array([-408., -169.,  325.]))
(1, 19655, 19400, 19091, array([ 7312.,  1184., -2832.]), array([-119., -157.,   68.]), array([-407., -167.,  321.]))
(1, 20604, 20408, 19091, array([ 7328.,  1216., -2800.]), array([ -79., -149.,   49.]), array([-407., -167.,  321.]))
(1, 22028, 21416, 21638, array([ 7312.,  1232., -2864.]), array([ -29., -148.,    0.]), array([-408., -169.,  322.]))
(1, 22977, 22424, 21638, array([ 7296.,  1120., -2832.]), array([  -1., -128.,    3.]), array([-408., -169.,  322.]))
(1, 25351, 24440, 24186, array([ 7248.,  1120., -2880.]), array([ 112., -136.,  -14.]), array([-410., -170.,  323.]))
(1, 28673, 28473, 26733, array([ 7248.,  1040., -2816.]), array([ 126., -173.,   16.]), array([-408., -170.,  323.]))
(1, 29621, 29481, 29280, array([ 7216.,   960., -2752.]), array([  65., -185.,   22.]), array([-406., -167.,  324.]))
(1, 31046, 30489, 29280, array([ 7200.,   992., -2736.]), array([  42., -179.,   33.]), array([-406., -167.,  324.]))
(1, 32944, 32506, 31826, array([ 7280.,  1056., -2640.]), array([ -42., -189.,   74.]), array([-407., -168.,  323.]))
(1, 34368, 33514, 34373, array([ 7344.,  1104., -2688.]), array([ -51., -202.,   34.]), array([-404., -166.,  322.]))
(1, 35318, 35530, 34373, array([ 7312.,  1040., -2592.]), array([ -87., -198.,   62.]), array([-404., -166.,  322.]))
(1, 39589, 39563, 39466, array([ 7376.,   752., -2528.]), array([-410., -254.,  121.]), array([-406., -170.,  325.]))
(1, 41013, 40571, 39466, array([ 7408.,   848., -2528.]), array([-507., -261.,  145.]), array([-406., -170.,  325.]))
(1, 43386, 42587, 42014, array([ 7424.,   880., -2416.]), array([-709., -281.,  155.]), array([-406., -169.,  325.]))
(1, 44335, 43596, 44561, array([ 7360.,   912., -2432.]), array([-774., -305.,  173.]), array([-405., -172.,  325.]))
(1, 45285, 45612, 44561, array([ 7408.,   992., -2384.]), array([-900., -357.,  184.]), array([-405., -172.,  325.]))
(1, 46709, 46620, 44561, array([ 7424.,  1040., -2256.]), array([-893., -345.,  187.]), array([-405., -172.,  325.]))
(1, 47658, 47628, 47107, array([ 7392.,  1072., -2240.]), array([-982., -308.,  186.]), array([-404., -169.,  325.]))
(1, 50031, 49645, 49654, array([ 7328.,   992., -2064.]), array([-1060.,  -284.,   180.]), array([-403., -171.,  323.]))
(1, 50981, 50653, 49654, array([ 7360.,  1008., -1984.]), array([-1093.,  -248.,   215.]), array([-403., -171.,  323.]))
(1, 52404, 51661, 52202, array([ 7312.,   992., -1904.]), array([-1110.,  -175.,   248.]), array([-405., -173.,  323.]))
(1, 53354, 52669, 52202, array([ 7344.,   976., -1920.]), array([-1178.,  -153.,   214.]), array([-405., -173.,  323.]))
(1, 54303, 54685, 52202, array([ 7392.,   992., -1840.]), array([-1247.,   -76.,   243.]), array([-405., -173.,  323.]))
(1, 56676, 56702, 54747, array([ 7424.,   944., -1648.]), array([-1359.,    -3.,   276.]), array([-401., -178.,  321.]))
(1, 57625, 57710, 57293, array([ 7440.,   864., -1520.]), array([-1510.,    15.,   280.]), array([-399., -176.,  321.]))
(1, 59049, 58718, 57293, array([ 7440.,   832., -1424.]), array([-1650.,    49.,   310.]), array([-399., -176.,  321.]))
(1, 59999, 59726, 59838, array([ 7472.,   800., -1376.]), array([-1845.,    77.,   322.]), array([-402., -177.,  320.]))
(1, 61423, 60735, 59838, array([ 7424.,   832., -1104.]), array([-2063.,   120.,   306.]), array([-402., -177.,  320.]))
(1, 62372, 61743, 62385, array([ 7472.,   848., -1040.]), array([-2275.,   129.,   337.]), array([-405., -181.,  312.]))
(1, 63321, 62751, 62385, array([ 7456.,   960.,  -928.]), array([-2527.,   155.,   339.]), array([-405., -181.,  312.]))
(1, 64745, 64767, 62385, array([ 7440.,   944.,  -768.]), array([-2855.,   185.,   356.]), array([-405., -181.,  312.]))
(1, 158, 239, 64932, array([ 7488.,  1008.,  -768.]), array([-3118.,   199.,   347.]), array([-405., -183.,  312.]))
(1, 1106, 1248, 64932, array([ 7456.,  1072.,  -688.]), array([-3331.,   227.,   378.]), array([-405., -183.,  312.]))
(1, 2530, 2256, 1943, array([ 7408.,  1168.,  -560.]), array([-3504.,   260.,   370.]), array([-406., -186.,  309.]))
(1, 4429, 4272, 4489, array([ 7312.,  1200.,  -528.]), array([-3749.,   348.,   336.]), array([-409., -189.,  300.]))
(1, 5852, 5280, 4489, array([ 7184.,  1248.,  -528.]), array([-3871.,   413.,   316.]), array([-409., -189.,  300.]))
(1, 8225, 7297, 7037, array([ 7136.,  1648.,  -496.]), array([-3825.,   554.,   319.]), array([-404., -195.,  300.]))
(1, 9175, 9313, 7037, array([ 7168.,  1712.,  -528.]), array([-3470.,   729.,   264.]), array([-404., -195.,  300.]))
(1, 10124, 10321, 9584, array([ 7024.,  1648.,  -512.]), array([-3282.,   846.,   227.]), array([-405., -196.,  298.]))
(1, 11548, 11329, 9584, array([ 7024.,  1696.,  -528.]), array([-3071.,   967.,   219.]), array([-405., -196.,  298.]))
(1, 12497, 12337, 12130, array([ 6976.,  1648.,  -624.]), array([-2896.,  1088.,   184.]), array([-406., -201.,  291.]))
(1, 13446, 13346, 12130, array([ 6896.,  1552.,  -704.]), array([-2609.,  1215.,   192.]), array([-406., -201.,  291.]))
(1, 14870, 14354, 14678, array([ 6832.,  1504.,  -928.]), array([-2355.,  1398.,   189.]), array([-404., -204.,  284.]))
(1, 15820, 15362, 14678, array([ 6800.,  1568.,  -944.]), array([-2023.,  1543.,   232.]), array([-404., -204.,  284.]))
(1, 16769, 16370, 17226, array([ 6784.,  1568., -1040.]), array([-1604.,  1676.,   259.]), array([-405., -205.,  283.]))
(1, 18193, 18386, 17226, array([ 6896.,  1456., -1184.]), array([ -848.,  2018.,   339.]), array([-405., -205.,  283.]))
(1, 19143, 19395, 17226, array([ 6880.,  1328., -1216.]), array([ -505.,  2191.,   391.]), array([-405., -205.,  283.]))
(1, 20567, 20403, 19772, array([ 7056.,  1152., -1360.]), array([ -166.,  2311.,   472.]), array([-407., -202.,  275.]))
(1, 21516, 21411, 19772, array([ 7136.,  1136., -1328.]), array([   51.,  2452.,   534.]), array([-407., -202.,  275.]))
(1, 22465, 22419, 22319, array([ 7216.,  1056., -1360.]), array([  211.,  2593.,   571.]), array([-421., -201.,  272.]))
(1, 23889, 23427, 22319, array([ 7360.,   880., -1472.]), array([  390.,  2732.,   645.]), array([-421., -201.,  272.]))
(1, 24838, 24435, 24865, array([ 7488.,   816., -1616.]), array([  491.,  2854.,   725.]), array([-417., -198.,  263.]))
(1, 26262, 25444, 24865, array([ 7632.,   704., -1728.]), array([  595.,  2983.,   816.]), array([-417., -198.,  263.]))
(1, 27211, 26452, 24865, array([ 7712.,   656., -1744.]), array([  644.,  3067.,   871.]), array([-417., -198.,  263.]))
(1, 28161, 28468, 27411, array([ 7840.,   672., -1888.]), array([  579.,  3174.,  1019.]), array([-417., -198.,  263.]))
(1, 29585, 29476, 27411, array([ 8016.,   624., -1936.]), array([  530.,  3201.,  1087.]), array([-417., -198.,  263.]))
(1, 30534, 30484, 29959, array([ 8080.,   576., -2032.]), array([  465.,  3259.,  1134.]), array([-420., -193.,  259.]))
(1, 31483, 31493, 29959, array([ 8144.,   608., -1888.]), array([  385.,  3290.,  1171.]), array([-420., -193.,  259.]))
(1, 32907, 32501, 32507, array([ 8176.,   752., -2000.]), array([  283.,  3298.,  1231.]), array([-421., -195.,  253.]))
(1, 33856, 33509, 32507, array([ 8240.,   704., -2048.]), array([  206.,  3283.,  1274.]), array([-421., -195.,  253.]))
(1, 34805, 34517, 35055, array([ 8288.,   672., -2112.]), array([  130.,  3311.,  1274.]), array([-427., -192.,  249.]))
(1, 36229, 35525, 35055, array([ 8368.,   720., -2160.]), array([  106.,  3288.,  1273.]), array([-427., -192.,  249.]))
(1, 37178, 36533, 35055, array([ 8336.,   752., -2192.]), array([   23.,  3247.,  1276.]), array([-427., -192.,  249.]))
(1, 38602, 38550, 37602, array([ 8336.,   816., -2144.]), array([ -221.,  3129.,  1243.]), array([-429., -190.,  244.]))
(1, 40501, 40566, 40149, array([ 8432.,  1040., -2128.]), array([ -557.,  3016.,  1111.]), array([-432., -187.,  240.]))
(1, 41924, 41574, 40149, array([ 8512.,  1136., -2096.]), array([ -710.,  2939.,  1072.]), array([-432., -187.,  240.]))
(1, 42874, 42583, 42695, array([ 8480.,  1248., -2000.]), array([ -770.,  2848.,  1020.]), array([-435., -184.,  235.]))
(1, 43823, 43591, 42695, array([ 8416.,  1216., -1936.]), array([ -791.,  2757.,   967.]), array([-435., -184.,  235.]))
(1, 45246, 44599, 45241, array([ 8272.,  1232., -1856.]), array([ -899.,  2667.,   906.]), array([-440., -185.,  228.]))
(1, 46196, 45607, 45241, array([ 8304.,  1296., -1856.]), array([ -990.,  2603.,   823.]), array([-440., -185.,  228.]))
(1, 47619, 47623, 45241, array([ 8352.,  1456., -1872.]), array([-1216.,  2462.,   664.]), array([-440., -185.,  228.]))
(1, 48569, 48632, 47788, array([ 8336.,  1536., -1888.]), array([-1225.,  2368.,   644.]), array([-439., -184.,  223.]))
(1, 49518, 49640, 47788, array([ 8272.,  1600., -1872.]), array([-1236.,  2282.,   598.]), array([-439., -184.,  223.]))
(1, 50942, 50648, 50335, array([ 8240.,  1760., -1840.]), array([-1255.,  2201.,   531.]), array([-443., -181.,  221.]))
(1, 51891, 51656, 50335, array([ 8208.,  1872., -1808.]), array([-1204.,  2132.,   513.]), array([-443., -181.,  221.]))
(1, 52841, 52664, 52882, array([ 8208.,  1968., -1840.]), array([-1101.,  2073.,   499.]), array([-445., -184.,  209.]))
(1, 54265, 53672, 52882, array([ 8112.,  2016., -1968.]), array([ -918.,  2040.,   499.]), array([-445., -184.,  209.]))
(1, 55215, 54681, 55430, array([ 8144.,  1984., -1888.]), array([ -729.,  1988.,   504.]), array([-445., -183.,  209.]))
(1, 56639, 55689, 55430, array([ 8160.,  1920., -1808.]), array([ -491.,  1961.,   518.]), array([-445., -183.,  209.]))
(1, 57588, 57705, 55430, array([ 8128.,  1808., -1696.]), array([  -51.,  1936.,   536.]), array([-445., -183.,  209.]))
(1, 58537, 58713, 57976, array([ 8048.,  1744., -1696.]), array([  116.,  1917.,   589.]), array([-445., -175.,  202.]))
