name,timestamp,accelX0,accelX1,accelY0,accelY1,accelZ0,accelZ1,breathing,activity,breathingRate
RESpeckPlum,20131129135329.638,255,52,5,60,64,184,0.000000,0.000000,nan
RESpeckPlum,20131129135329.692,255,32,5,44,64,184,0.000000,0.000000,nan
RESpeckPlum,20131129135329.783,255,48,5,60,64,144,0.000000,0.000000,nan
RESpeckPlum,20131129135329.842,255,20,5,60,64,172,0.000000,0.000000,nan
RESpeckPlum,20131129135329.933,255,40,5,24,64,184,0.000000,0.000000,nan
RESpeckPlum,20131129135330.082,255,40,5,36,64,180,0.000000,0.000000,nan
RESpeckPlum,20131129135330.172,255,44,5,48,64,156,0.000000,0.000000,nan
RESpeckPlum,20131129135330.232,255,32,5,48,64,160,0.000000,0.000000,nan
RESpeckPlum,20131129135330.322,255,64,5,56,64,152,0.000000,0.000000,nan
RESpeckPlum,20131129135330.383,255,40,5,44,64,176,0.000000,0.000000,nan
RESpeckPlum,20131129135330.478,255,52,5,56,64,164,0.000000,0.000000,nan
RESpeckPlum,20131129135330.532,255,60,5,28,64,152,0.000000,0.000000,nan
RESpeckPlum,20131129135330.622,255,36,5,44,64,160,0.000000,0.000000,nan
RESpeckPlum,20131129135330.683,255,32,5,40,64,144,0.000000,0.000000,nan
RESpeckPlum,20131129135330.772,255,44,5,8,64,180,0.000000,0.000000,nan
RESpeckPlum,20131129135330.832,255,20,5,76,64,168,0.000000,0.000000,nan
RESpeckPlum,20131129135330.923,255,8,5,44,64,180,0.000000,0.000000,nan
RESpeckPlum,20131129135330.983,255,32,5,40,64,168,0.000000,0.000000,nan
RESpeckPlum,20131129135331.073,255,36,5,64,64,148,0.000000,0.000000,nan
RESpeckPlum,20131129135331.222,255,36,5,64,64,156,0.000000,0.000000,nan
RESpeckPlum,20131129135331.313,255,28,5,48,64,172,0.000000,0.000000,nan
RESpeckPlum,20131129135331.372,255,44,5,36,64,180,0.000000,0.000000,nan
RESpeckPlum,20131129135331.463,255,24,5,40,64,172,0.000000,0.000000,nan
RESpeckPlum,20131129135331.522,255,40,5,40,64,164,0.000000,0.000000,nan
RESpeckPlum,20131129135331.612,255,40,5,32,64,172,0.000000,0.000000,nan
RESpeckPlum,20131129135331.673,255,44,5,56,64,180,0.000000,0.000000,nan
RESpeckPlum,20131129135331.763,255,36,5,36,64,160,0.000000,0.000000,nan
RESpeckPlum,20131129135331.823,255,32,5,60,64,172,0.000000,0.000000,nan
RESpeckPlum,20131129135331.913,255,48,5,32,64,164,0.000000,0.000000,nan
RESpeckPlum,20131129135331.972,255,56,5,48,64,172,0.000000,0.000000,nan
RESpeckPlum,20131129135332.065,255,32,5,52,64,164,0.000000,0.000000,nan
RESpeckPlum,20131129135332.123,255,28,5,60,64,176,0.000000,0.000000,nan
RESpeckPlum,20131129135332.213,255,32,5,48,64,172,0.000000,0.031265,nan
RESpeckPlum,20131129135332.363,255,52,5,36,64,192,0.000000,0.037506,nan
RESpeckPlum,20131129135332.453,255,28,5,52,64,180,0.000000,0.037506,nan
RESpeckPlum,20131129135332.513,255,28,5,52,64,164,0.000000,0.037506,nan
RESpeckPlum,20131129135332.603,255,40,5,56,64,188,0.000000,0.037506,nan
RESpeckPlum,20131129135332.663,255,32,5,36,64,160,0.000000,0.037506,nan
RESpeckPlum,20131129135332.753,255,44,5,68,64,172,0.000000,0.037506,nan
RESpeckPlum,20131129135332.813,255,48,5,52,64,156,0.000000,0.037506,nan
RESpeckPlum,20131129135332.903,255,40,5,40,64,176,0.000000,0.037506,nan
RESpeckPlum,20131129135332.963,255,32,5,24,64,152,0.000000,0.037506,nan
RESpeckPlum,20131129135333.053,255,20,5,24,64,200,0.000000,0.037506,nan
RESpeckPlum,20131129135333.113,255,52,5,60,64,168,0.000000,0.037506,nan
RESpeckPlum,20131129135333.203,255,36,5,56,64,188,0.000000,0.037506,nan
RESpeckPlum,20131129135333.263,255,48,5,20,64,160,0.000000,0.037506,nan
RESpeckPlum,20131129135333.354,255,40,5,72,64,180,0.000000,0.037506,nan
RESpeckPlum,20131129135333.503,255,52,5,72,64,148,0.000000,0.037506,nan
RESpeckPlum,20131129135333.593,255,60,5,52,64,156,0.000000,0.037506,nan
RESpeckPlum,20131129135333.653,255,36,5,56,64,168,0.000000,0.037506,nan
RESpeckPlum,20131129135333.743,255,44,5,48,64,156,0.000000,0.037506,nan
RESpeckPlum,20131129135333.803,255,64,5,72,64,188,0.000000,0.037506,nan
RESpeckPlum,20131129135333.893,255,60,5,60,64,176,0.000000,0.037506,nan
RESpeckPlum,20131129135333.953,255,48,5,32,64,172,0.000000,0.037506,nan
RESpeckPlum,20131129135334.043,255,48,5,36,64,168,0.000000,0.037506,nan
RESpeckPlum,20131129135334.103,255,48,5,60,64,164,0.000000,0.037506,nan
RESpeckPlum,20131129135334.193,255,40,5,60,64,176,0.000000,0.037506,nan
RESpeckPlum,20131129135334.253,255,64,5,64,64,176,0.000000,0.037506,nan
RESpeckPlum,20131129135334.343,255,52,5,40,64,188,0.000000,0.037506,nan
RESpeckPlum,20131129135334.403,255,52,5,52,64,160,0.000000,0.037506,nan
RESpeckPlum,20131129135334.493,255,40,5,56,64,172,0.000000,0.037506,nan
RESpeckPlum,20131129135334.643,255,24,5,48,64,164,0.000000,0.037506,nan
RESpeckPlum,20131129135334.733,255,72,5,60,64,152,0.000000,0.037506,nan
RESpeckPlum,20131129135334.793,255,24,5,76,64,164,0.000000,0.037506,nan
RESpeckPlum,20131129135334.883,255,44,5,60,64,172,0.000000,0.037506,nan
RESpeckPlum,20131129135334.943,255,48,5,64,64,148,0.000000,0.030100,nan
RESpeckPlum,20131129135335.033,255,44,5,60,64,184,0.000000,0.030100,nan
RESpeckPlum,20131129135335.093,255,40,5,72,64,148,0.000000,0.030100,nan
RESpeckPlum,20131129135335.183,255,44,5,52,64,152,0.000000,0.030100,nan
RESpeckPlum,20131129135335.243,255,48,5,72,64,184,0.000000,0.030100,nan
RESpeckPlum,20131129135335.333,255,56,5,72,64,176,0.000000,0.030100,nan
RESpeckPlum,20131129135335.393,255,48,5,52,64,160,0.000000,0.030100,nan
RESpeckPlum,20131129135335.483,255,48,5,72,64,168,0.000000,0.030100,nan
RESpeckPlum,20131129135335.543,255,20,5,56,64,168,0.000000,0.030100,nan
RESpeckPlum,20131129135335.633,255,40,5,56,64,164,0.000000,0.030100,nan
RESpeckPlum,20131129135335.783,255,52,5,36,64,156,0.000000,0.030100,nan
RESpeckPlum,20131129135335.873,255,60,5,44,64,168,0.000000,0.030100,nan
RESpeckPlum,20131129135335.933,255,52,5,52,64,168,0.000000,0.030100,nan
RESpeckPlum,20131129135336.022,255,60,5,64,64,164,0.000000,0.030100,nan
RESpeckPlum,20131129135336.083,255,52,5,56,64,188,0.000000,0.030100,nan
RESpeckPlum,20131129135336.173,255,60,5,72,64,144,0.000000,0.030100,nan
RESpeckPlum,20131129135336.233,255,56,5,88,64,188,0.000000,0.030100,nan
RESpeckPlum,20131129135336.323,255,60,5,68,64,184,0.000000,0.030100,nan
RESpeckPlum,20131129135336.383,255,20,5,36,64,160,0.000000,0.030100,nan
RESpeckPlum,20131129135336.473,255,52,5,60,64,168,0.000000,0.030100,nan
RESpeckPlum,20131129135336.533,255,32,5,64,64,180,0.000000,0.030100,nan
RESpeckPlum,20131129135336.623,255,40,5,56,64,176,0.000000,0.030100,nan
RESpeckPlum,20131129135336.683,255,32,5,64,64,184,0.000000,0.030100,nan
RESpeckPlum,20131129135336.772,255,76,4,208,64,144,0.000000,0.030100,nan
RESpeckPlum,20131129135336.923,255,28,5,176,64,164,0.000000,0.030100,nan
RESpeckPlum,20131129135337.013,255,44,5,76,64,176,0.000000,0.030100,nan
RESpeckPlum,20131129135337.073,255,76,4,224,64,164,0.000000,0.030100,nan
RESpeckPlum,20131129135337.163,255,60,5,56,64,172,0.000000,0.030100,nan
RESpeckPlum,20131129135337.223,255,20,5,108,64,176,0.000000,0.030100,nan
RESpeckPlum,20131129135337.314,255,20,5,88,64,164,0.000000,0.030100,nan
RESpeckPlum,20131129135337.373,255,64,5,20,64,160,0.000000,0.030100,nan
RESpeckPlum,20131129135337.463,255,32,5,32,64,156,0.000000,0.030100,nan
RESpeckPlum,20131129135337.524,255,40,5,72,64,196,0.000000,0.069741,nan
RESpeckPlum,20131129135337.613,255,44,5,104,64,208,0.000000,0.069741,nan
RESpeckPlum,20131129135337.673,255,56,5,36,64,176,0.000000,0.069741,nan
RESpeckPlum,20131129135337.763,255,48,5,8,64,200,0.000000,0.069741,nan
RESpeckPlum,20131129135337.823,255,84,5,60,64,184,0.000000,0.069741,nan
RESpeckPlum,20131129135337.913,255,68,5,48,64,176,0.000000,0.069741,nan
RESpeckPlum,20131129135338.067,254,232,5,104,64,224,0.000000,0.069741,nan
RESpeckPlum,20131129135338.153,255,176,5,60,64,164,0.000000,0.069741,nan
RESpeckPlum,20131129135338.213,255,112,5,60,64,132,0.000000,0.069741,nan
RESpeckPlum,20131129135338.303,255,68,5,64,64,164,0.000000,0.069741,nan
RESpeckPlum,20131129135338.363,255,12,5,64,64,176,0.000000,0.069741,nan
RESpeckPlum,20131129135338.453,255,32,5,84,64,208,0.000000,0.069741,nan
RESpeckPlum,20131129135338.513,255,88,5,68,64,152,0.000000,0.069741,nan
RESpeckPlum,20131129135338.603,255,20,5,72,64,216,0.000000,0.069741,nan
RESpeckPlum,20131129135338.663,255,28,5,56,64,192,0.000000,0.069741,nan
RESpeckPlum,20131129135338.753,254,64,5,76,64,252,0.000000,0.069741,nan
RESpeckPlum,20131129135338.813,254,120,5,8,64,28,0.000000,0.069741,nan
RESpeckPlum,20131129135338.903,253,148,6,20,64,248,0.000000,0.069741,nan
RESpeckPlum,20131129135338.963,251,64,5,196,64,188,0.000000,0.069741,nan
RESpeckPlum,20131129135339.054,252,64,5,116,63,196,0.000000,0.069741,nan
RESpeckPlum,20131129135339.203,251,72,5,216,64,236,0.000000,0.069741,nan
RESpeckPlum,20131129135339.293,250,228,5,236,64,64,0.000000,0.069741,nan
RESpeckPlum,20131129135339.353,252,84,6,8,64,140,0.000000,0.069741,nan
RESpeckPlum,20131129135339.446,253,40,6,116,64,200,0.000000,0.069741,nan
RESpeckPlum,20131129135339.503,251,88,6,16,64,132,0.000000,0.069741,nan
RESpeckPlum,20131129135339.593,251,156,5,220,63,252,0.000000,0.069741,nan
RESpeckPlum,20131129135339.653,252,224,6,112,64,220,0.000000,0.069741,nan
RESpeckPlum,20131129135339.743,252,160,6,140,64,232,0.000000,0.069741,nan
RESpeckPlum,20131129135339.803,251,48,6,0,63,216,0.000000,0.069741,nan
RESpeckPlum,20131129135339.893,251,184,6,192,64,200,0.000000,0.069741,nan
RESpeckPlum,20131129135339.953,253,4,7,88,65,64,0.000000,0.069741,nan
RESpeckPlum,20131129135340.043,252,112,6,116,64,104,0.000000,0.069741,nan
RESpeckPlum,20131129135340.104,251,96,6,248,63,216,nan,0.408788,nan
RESpeckPlum,20131129135340.193,252,116,7,0,64,88,nan,0.408788,nan
RESpeckPlum,20131129135340.344,251,92,7,192,64,124,nan,0.408788,nan
RESpeckPlum,20131129135340.433,251,220,8,40,64,24,nan,0.408788,nan
RESpeckPlum,20131129135340.493,252,212,8,140,64,24,nan,0.408788,nan
RESpeckPlum,20131129135340.583,251,80,8,80,63,200,nan,0.408788,nan
RESpeckPlum,20131129135340.643,251,32,9,136,64,160,nan,0.408788,nan
RESpeckPlum,20131129135340.733,252,92,9,104,64,132,nan,0.408788,nan
RESpeckPlum,20131129135340.793,252,60,9,80,64,40,nan,0.408788,nan
RESpeckPlum,20131129135340.883,251,132,10,108,64,80,nan,0.408788,nan
RESpeckPlum,20131129135340.943,251,148,10,172,63,248,nan,0.408788,nan
