name,timestamp,accelX0,accelX1,accelY0,accelY1,accelZ0,accelZ1,breathing,activity,breathingRate
RESpeckPlum,20131129135430.956,254,200,7,232,64,136,nan,0.364678,nan
RESpeckPlum,20131129135431.046,254,244,7,252,64,64,nan,0.364678,nan
RESpeckPlum,20131129135431.106,255,24,7,244,64,52,nan,0.364678,nan
RESpeckPlum,20131129135431.196,254,216,8,28,64,196,nan,0.364678,nan
RESpeckPlum,20131129135431.346,254,216,8,36,64,152,nan,0.364678,nan
RESpeckPlum,20131129135431.436,254,224,8,16,64,84,nan,0.364678,nan
RESpeckPlum,20131129135431.496,254,216,8,4,64,120,nan,0.364678,nan
RESpeckPlum,20131129135431.586,254,240,8,24,64,48,nan,0.364678,nan
RESpeckPlum,20131129135431.646,254,228,8,4,64,100,nan,0.364678,nan
RESpeckPlum,20131129135431.736,254,240,8,48,64,100,nan,0.364678,nan
RESpeckPlum,20131129135431.797,254,244,8,8,64,88,nan,0.364678,nan
RESpeckPlum,20131129135431.887,254,224,7,252,64,96,nan,0.364678,nan
RESpeckPlum,20131129135431.946,254,208,8,28,64,80,nan,0.364678,nan
RESpeckPlum,20131129135432.036,254,228,8,140,64,36,nan,0.364678,nan
RESpeckPlum,20131129135432.096,254,144,7,208,64,84,nan,0.364678,nan
RESpeckPlum,20131129135432.186,254,84,8,196,64,100,nan,0.364678,nan
RESpeckPlum,20131129135432.246,252,136,7,132,64,120,nan,0.364678,nan
RESpeckPlum,20131129135432.336,255,184,7,240,65,24,nan,0.364678,nan
RESpeckPlum,20131129135432.486,251,156,8,212,65,88,nan,0.364678,nan
RESpeckPlum,20131129135432.576,250,72,8,248,63,116,nan,0.364678,nan
RESpeckPlum,20131129135432.636,254,144,8,252,64,112,nan,0.364678,nan
RESpeckPlum,20131129135432.726,254,68,8,92,64,160,nan,0.364678,nan
RESpeckPlum,20131129135432.786,252,180,9,188,63,228,nan,0.364678,nan
RESpeckPlum,20131129135432.876,252,28,10,172,64,204,nan,0.364678,nan
RESpeckPlum,20131129135432.937,250,220,9,140,63,204,nan,0.611425,nan
RESpeckPlum,20131129135433.026,254,152,11,12,63,52,nan,0.611425,nan
RESpeckPlum,20131129135433.086,249,52,10,236,63,128,nan,0.611425,nan
RESpeckPlum,20131129135433.176,249,144,11,140,64,28,nan,0.611425,nan
RESpeckPlum,20131129135433.236,253,20,12,84,64,36,nan,0.611425,nan
RESpeckPlum,20131129135433.326,251,152,12,84,64,92,nan,0.611425,nan
RESpeckPlum,20131129135433.386,246,224,12,72,62,12,nan,0.611425,nan
RESpeckPlum,20131129135433.476,248,160,14,12,62,236,nan,0.611425,nan
RESpeckPlum,20131129135433.626,250,76,14,132,63,20,nan,0.611425,nan
RESpeckPlum,20131129135433.716,246,144,14,140,62,152,nan,0.611425,nan
RESpeckPlum,20131129135433.776,248,60,14,80,62,244,nan,0.611425,nan
RESpeckPlum,20131129135433.866,251,28,15,160,62,88,nan,0.611425,nan
RESpeckPlum,20131129135433.926,246,56,15,112,62,144,nan,0.611425,nan
RESpeckPlum,20131129135434.016,249,4,15,28,63,112,nan,0.611425,nan
RESpeckPlum,20131129135434.076,250,204,15,212,61,108,nan,0.611425,nan
RESpeckPlum,20131129135434.166,247,136,16,84,62,148,nan,0.611425,nan
RESpeckPlum,20131129135434.226,247,172,15,240,63,28,nan,0.611425,nan
RESpeckPlum,20131129135434.316,249,136,16,196,62,176,nan,0.611425,nan
RESpeckPlum,20131129135434.376,248,120,16,152,61,204,nan,0.611425,nan
RESpeckPlum,20131129135434.466,247,204,16,176,62,32,nan,0.611425,nan
RESpeckPlum,20131129135434.526,248,40,17,108,62,152,nan,0.611425,nan
RESpeckPlum,20131129135434.616,248,36,16,184,61,160,nan,0.611425,nan
RESpeckPlum,20131129135434.766,247,36,18,4,62,28,nan,0.611425,nan
RESpeckPlum,20131129135434.856,246,28,17,104,62,200,nan,0.611425,nan
RESpeckPlum,20131129135434.916,248,16,17,148,61,88,nan,0.611425,nan
RESpeckPlum,20131129135435.006,248,172,18,104,62,44,nan,0.611425,nan
RESpeckPlum,20131129135435.066,246,44,19,0,62,212,nan,0.611425,nan
RESpeckPlum,20131129135435.156,246,28,18,172,60,96,nan,0.611425,nan
RESpeckPlum,20131129135435.216,247,84,19,96,60,232,nan,0.611425,nan
RESpeckPlum,20131129135435.306,245,152,19,152,61,112,nan,0.611425,nan
RESpeckPlum,20131129135435.366,245,156,19,28,60,36,nan,0.611425,nan
RESpeckPlum,20131129135435.456,246,0,20,188,61,56,nan,0.611425,nan
RESpeckPlum,20131129135435.517,244,180,19,208,61,100,nan,0.500125,nan
RESpeckPlum,20131129135435.606,244,100,20,148,60,200,nan,0.500125,nan
RESpeckPlum,20131129135435.666,244,140,20,24,60,76,nan,0.500125,nan
RESpeckPlum,20131129135435.756,244,176,20,148,60,152,nan,0.500125,nan
RESpeckPlum,20131129135435.906,242,236,21,64,60,128,nan,0.500125,nan
RESpeckPlum,20131129135435.996,243,192,20,64,60,140,nan,0.500125,nan
RESpeckPlum,20131129135436.056,244,76,22,252,59,184,nan,0.500125,nan
RESpeckPlum,20131129135436.146,240,188,21,104,58,28,nan,0.500125,nan
RESpeckPlum,20131129135436.206,242,20,20,156,58,224,nan,0.500125,nan
RESpeckPlum,20131129135436.296,245,68,22,16,61,104,nan,0.500125,nan
RESpeckPlum,20131129135436.356,242,76,21,204,59,148,nan,0.500125,nan
RESpeckPlum,20131129135436.446,240,232,22,20,59,204,nan,0.500125,nan
RESpeckPlum,20131129135436.506,244,56,22,116,60,196,nan,0.500125,nan
RESpeckPlum,20131129135436.596,243,20,21,216,59,136,nan,0.500125,nan
RESpeckPlum,20131129135436.656,241,60,22,104,59,232,nan,0.500125,nan
RESpeckPlum,20131129135436.746,243,156,22,144,60,4,nan,0.500125,nan
RESpeckPlum,20131129135436.806,243,36,21,224,59,36,nan,0.500125,nan
RESpeckPlum,20131129135436.896,239,76,23,240,59,60,nan,0.500125,nan
RESpeckPlum,20131129135437.046,241,240,22,40,58,68,nan,0.500125,nan
RESpeckPlum,20131129135437.136,240,140,23,184,58,240,nan,0.500125,nan
RESpeckPlum,20131129135437.196,238,180,24,92,59,56,nan,0.500125,nan
RESpeckPlum,20131129135437.286,239,120,23,0,57,140,nan,0.500125,nan
RESpeckPlum,20131129135437.346,241,72,24,108,57,240,nan,0.500125,nan
RESpeckPlum,20131129135437.436,239,120,24,80,57,84,nan,0.500125,nan
RESpeckPlum,20131129135437.496,237,4,24,128,58,8,nan,0.500125,nan
RESpeckPlum,20131129135437.586,241,44,24,196,58,52,nan,0.500125,nan
RESpeckPlum,20131129135437.646,242,160,24,232,58,12,nan,0.500125,nan
RESpeckPlum,20131129135437.737,238,192,24,128,57,16,nan,0.500125,nan
RESpeckPlum,20131129135437.796,239,116,25,56,59,52,nan,0.500125,nan
RESpeckPlum,20131129135437.886,240,204,23,216,57,184,nan,0.500125,nan
RESpeckPlum,20131129135437.946,239,164,23,236,57,228,nan,0.500125,nan
RESpeckPlum,20131129135438.037,238,64,25,52,57,200,nan,0.500125,nan
