(1, 53605, 53667, 53458, array([ 3792.,  1824., -6160.]), array([-117.,  -73.,  266.]), array([-182., -256.,  471.]))
(1, 54554, 54676, 53458, array([ 3712.,  1792., -6176.]), array([-117.,  -74.,  269.]), array([-182., -256.,  471.]))
(1, 55977, 55684, 56005, array([ 3520.,  1920., -6176.]), array([-170.,  -72.,  245.]), array([-182., -257.,  473.]))
(1, 56926, 56692, 56005, array([ 3456.,  1936., -6240.]), array([-119.,  -50.,  229.]), array([-182., -257.,  473.]))
(1, 57875, 57700, 56005, array([ 3504.,  1952., -6272.]), array([-122.,  -25.,  199.]), array([-182., -257.,  473.]))
(1, 59298, 58708, 58552, array([ 3584.,  2032., -6240.]), array([ -91.,  -17.,  195.]), array([-182., -258.,  473.]))
(1, 60247, 59716, 58552, array([ 3664.,  2064., -6240.]), array([ -40.,  -15.,  155.]), array([-182., -258.,  473.]))
(1, 61672, 60724, 61098, array([ 3712.,  2032., -6160.]), array([  -3.,    9.,  140.]), array([-183., -255.,  470.]))
(1, 62621, 62741, 61098, array([ 3776.,  2000., -6112.]), array([ 163.,    4.,   91.]), array([-183., -255.,  470.]))
(1, 63570, 63749, 63645, array([ 3808.,  1968., -6112.]), array([ 263.,   60.,   90.]), array([-181., -258.,  472.]))
(1, 64994, 64757, 63645, array([ 3728.,  1888., -5968.]), array([ 307.,   37.,   94.]), array([-181., -258.,  472.]))
(1, 407, 229, 655, array([ 3744.,  1888., -5920.]), array([ 353.,   -3.,   81.]), array([-184., -256.,  473.]))
(1, 1356, 1237, 655, array([ 3728.,  1824., -5888.]), array([ 426.,    6.,   52.]), array([-184., -256.,  473.]))
(1, 2780, 2245, 655, array([ 3744.,  1744., -5824.]), array([ 449.,   59.,   42.]), array([-184., -256.,  473.]))
(1, 3729, 3253, 3201, array([ 3728.,  1792., -5728.]), array([ 466.,   63.,   47.]), array([-181., -257.,  470.]))
(1, 5152, 4262, 3201, array([ 3760.,  1760., -5680.]), array([ 468.,   72.,   49.]), array([-181., -257.,  470.]))
(1, 6102, 6278, 5748, array([ 3776.,  1728., -5680.]), array([ 495.,  139.,   52.]), array([-182., -255.,  474.]))
(1, 7051, 7286, 5748, array([ 3760.,  1664., -5584.]), array([ 410.,  147.,   53.]), array([-182., -255.,  474.]))
(1, 8475, 8294, 8295, array([ 3824.,  1648., -5536.]), array([ 442.,  188.,   35.]), array([-182., -252.,  473.]))
(1, 9423, 9302, 8295, array([ 3808.,  1712., -5440.]), array([ 401.,  227.,   47.]), array([-182., -252.,  473.]))
(1, 10372, 10310, 8295, array([ 3840.,  1664., -5472.]), array([ 365.,  236.,   19.]), array([-182., -252.,  473.]))
(1, 11796, 11319, 10841, array([ 3792.,  1584., -5504.]), array([ 412.,  277.,   30.]), array([-183., -250.,  473.]))
(1, 12745, 12327, 10841, array([ 3856.,  1520., -5440.]), array([ 390.,  329.,   42.]), array([-183., -250.,  473.]))
(1, 14169, 13335, 13387, array([ 3904.,  1440., -5328.]), array([ 436.,  358.,   36.]), array([-184., -253.,  471.]))
(1, 15119, 14343, 13387, array([ 3888.,  1376., -5168.]), array([ 398.,  384.,    6.]), array([-184., -253.,  471.]))
(1, 16068, 16359, 15934, array([ 3904.,  1328., -5120.]), array([ 220.,  417.,   39.]), array([-182., -251.,  479.]))
(1, 17492, 17367, 15934, array([ 3776.,  1280., -5056.]), array([ 164.,  433.,   29.]), array([-182., -251.,  479.]))
(1, 18440, 18376, 18480, array([ 3760.,  1296., -4992.]), array([ 158.,  462.,   29.]), array([-188., -249.,  472.]))
(1, 19390, 19384, 18480, array([ 3776.,  1280., -4960.]), array([ 105.,  503.,   10.]), array([-188., -249.,  472.]))
(1, 20814, 20392, 18480, array([ 3792.,  1328., -4800.]), array([  48.,  554.,    6.]), array([-188., -249.,  472.]))
(1, 21763, 21400, 21026, array([ 3872.,  1424., -4832.]), array([  13.,  612.,   39.]), array([-188., -251.,  472.]))
(1, 22712, 22408, 21026, array([ 3952.,  1456., -4864.]), array([  25.,  679.,   48.]), array([-188., -251.,  472.]))
(1, 24136, 23416, 23573, array([ 3952.,  1456., -4864.]), array([  81.,  756.,   40.]), array([-189., -247.,  473.]))
(1, 25085, 24424, 23573, array([ 4032.,  1472., -4864.]), array([ 161.,  846.,   74.]), array([-189., -247.,  473.]))
(1, 26508, 26441, 26119, array([ 4080.,  1328., -4976.]), array([ 303.,  932.,  128.]), array([-188., -245.,  473.]))
(1, 28407, 28457, 28665, array([ 4096.,  1200., -4928.]), array([  398.,  1073.,   177.]), array([-191., -246.,  471.]))
(1, 29830, 29465, 28665, array([ 4112.,  1120., -4944.]), array([  400.,  1160.,   180.]), array([-191., -246.,  471.]))
(1, 30779, 30473, 28665, array([ 4064.,  1024., -4880.]), array([  314.,  1207.,   219.]), array([-191., -246.,  471.]))
(1, 31728, 31481, 31211, array([ 4144.,  1008., -4784.]), array([  256.,  1231.,   249.]), array([-198., -246.,  470.]))
(1, 33152, 32489, 31211, array([ 4160.,   896., -4704.]), array([  150.,  1280.,   307.]), array([-198., -246.,  470.]))
(1, 34100, 33498, 33758, array([ 4176.,   896., -4672.]), array([   14.,  1326.,   357.]), array([-197., -246.,  475.]))
