(1, 63702, 63554, 61849, array([ 6496.,   944., -3232.]), array([-136.,  258.,   73.]), array([-388., -174.,  350.]))
(1, 65126, 64562, 64397, array([ 6560.,   912., -3168.]), array([-134.,  294.,   59.]), array([-388., -175.,  350.]))
(1, 539, 34, 64397, array([ 6576.,   896., -3104.]), array([-159.,  361.,   55.]), array([-388., -175.,  350.]))
(1, 1964, 1043, 1408, array([ 6608.,   784., -3008.]), array([-222.,  422.,   58.]), array([-391., -175.,  345.]))
(1, 2913, 3059, 1408, array([ 6592.,   832., -3008.]), array([-265.,  508.,  110.]), array([-391., -175.,  345.]))
(1, 5286, 5075, 3955, array([ 6384.,  1008., -3056.]), array([-193.,  568.,  163.]), array([-388., -176.,  343.]))
(1, 6236, 6083, 6502, array([ 6384.,  1024., -3056.]), array([-130.,  623.,  183.]), array([-393., -175.,  344.]))
(1, 7185, 7091, 6502, array([ 6368.,  1040., -3120.]), array([  -1.,  700.,  170.]), array([-393., -175.,  344.]))
(1, 8609, 8100, 6502, array([ 6384.,  1008., -3264.]), array([ 149.,  790.,  151.]), array([-393., -175.,  344.]))
(1, 9558, 9108, 9049, array([ 6480.,   992., -3280.]), array([ 272.,  859.,  171.]), array([-393., -175.,  341.]))
(1, 10983, 10116, 9049, array([ 6544.,   928., -3200.]), array([ 436.,  907.,  157.]), array([-393., -175.,  341.]))
(1, 11932, 12132, 11596, array([ 6528.,   832., -3152.]), array([  666.,  1040.,   160.]), array([-391., -176.,  342.]))
(1, 12880, 13140, 11596, array([ 6560.,   704., -3216.]), array([  673.,  1081.,   160.]), array([-391., -176.,  342.]))
(1, 14304, 14148, 14144, array([ 6576.,   512., -3152.]), array([  665.,  1129.,   154.]), array([-395., -174.,  340.]))
(1, 15253, 15157, 14144, array([ 6608.,   432., -3104.]), array([  662.,  1182.,   148.]), array([-395., -174.,  340.]))
(1, 16202, 16165, 14144, array([ 6704.,   336., -3056.]), array([  560.,  1239.,   193.]), array([-395., -174.,  340.]))
(1, 17626, 17173, 16691, array([ 6672.,   336., -3072.]), array([  489.,  1271.,   222.]), array([-399., -172.,  338.]))
(1, 18575, 18181, 16691, array([ 6736.,   368., -3056.]), array([  310.,  1309.,   260.]), array([-399., -172.,  338.]))
(1, 19998, 19189, 19239, array([ 6800.,   400., -3104.]), array([  104.,  1335.,   303.]), array([-399., -171.,  338.]))
(1, 20948, 20197, 19239, array([ 6768.,   432., -3120.]), array([  -45.,  1364.,   308.]), array([-399., -171.,  338.]))
(1, 21896, 22214, 21786, array([ 6784.,   448., -3104.]), array([ -275.,  1439.,   407.]), array([-399., -166.,  334.]))
