(1, 60167, 60072, 59593, array([  192.,  1056., -7200.]), array([ 120.,  -17.,   47.]), array([  48., -204.,  504.]))
(1, 61116, 61081, 59593, array([  128.,  1040., -7216.]), array([ 156.,  -27.,   59.]), array([  48., -204.,  504.]))
(1, 62066, 62089, 62141, array([   80.,  1104., -7152.]), array([ 157.,  -18.,   60.]), array([  47., -204.,  501.]))
(1, 63490, 63097, 62141, array([  112.,  1056., -7168.]), array([ 164.,    4.,   83.]), array([  47., -204.,  501.]))
(1, 64439, 64105, 64688, array([  224.,  1040., -7120.]), array([ 119.,   33.,   32.]), array([  48., -207.,  503.]))
(1, 65388, 65113, 64688, array([  240.,  1008., -7040.]), array([ 143.,   18.,    7.]), array([  48., -207.,  503.]))
(1, 1277, 585, 64688, array([  128.,   992., -7088.]), array([ 160.,   13.,   21.]), array([  48., -207.,  503.]))
(1, 2226, 1593, 1699, array([  160.,   944., -7024.]), array([ 207.,    4.,   14.]), array([  48., -205.,  503.]))
(1, 3650, 3610, 1699, array([  240.,   944., -7072.]), array([ 159.,   17.,   -3.]), array([  48., -205.,  503.]))
(1, 4599, 4618, 4244, array([  240.,   944., -7088.]), array([ 142.,   29.,    4.]), array([  48., -206.,  502.]))
(1, 5548, 5626, 4244, array([  256.,   912., -7024.]), array([ 76.,  61.,   1.]), array([  48., -206.,  502.]))
(1, 6972, 6634, 6789, array([  272.,   896., -7104.]), array([ 60.,  66.,  -2.]), array([  47., -206.,  502.]))
(1, 7921, 7642, 6789, array([  256.,   896., -7024.]), array([ 30.,  88.,  -4.]), array([  47., -206.,  502.]))
(1, 8870, 8650, 6789, array([  288.,   864., -7024.]), array([   0.,  107.,   14.]), array([  47., -206.,  502.]))
(1, 10294, 9658, 9336, array([  288.,   912., -6880.]), array([-23.,  96.,  26.]), array([  52., -207.,  503.]))
(1, 11243, 10666, 9336, array([  368.,   992., -6912.]), array([ -12.,  121.,   13.]), array([  52., -207.,  503.]))
(1, 12666, 11675, 11883, array([  368.,   976., -6784.]), array([ -28.,  157.,   27.]), array([  50., -204.,  502.]))
(1, 13616, 13691, 11883, array([  368.,   912., -6752.]), array([  24.,  169.,   23.]), array([  50., -204.,  502.]))
(1, 15989, 15707, 14428, array([  384.,   992., -6864.]), array([  62.,  225.,   40.]), array([  46., -205.,  507.]))
(1, 16939, 16715, 16975, array([  272.,   960., -6848.]), array([ 175.,  237.,   55.]), array([  47., -204.,  502.]))
(1, 17888, 17723, 16975, array([  304.,   896., -6960.]), array([ 300.,  247.,   28.]), array([  47., -204.,  502.]))
(1, 19311, 18732, 16975, array([  304.,   912., -6976.]), array([ 408.,  221.,    2.]), array([  47., -204.,  502.]))
(1, 20260, 19740, 19522, array([  320.,   928., -6992.]), array([ 525.,  224.,  -25.]), array([  47., -202.,  502.]))
(1, 21209, 20748, 19522, array([  352.,  1024., -6960.]), array([ 604.,  255.,  -55.]), array([  47., -202.,  502.]))
(1, 22633, 22764, 22067, array([  480.,  1072., -6912.]), array([ 851.,  324.,  -83.]), array([  46., -201.,  503.]))
(1, 23583, 23772, 22067, array([  512.,   992., -6800.]), array([ 938.,  367., -118.]), array([  46., -201.,  503.]))
(1, 25006, 24780, 24614, array([  592.,   880., -6640.]), array([ 1064.,   424.,  -118.]), array([  44., -200.,  506.]))
(1, 25956, 25788, 24614, array([  576.,   768., -6496.]), array([ 1092.,   459.,  -101.]), array([  44., -200.,  506.]))
(1, 26905, 26797, 27162, array([  608.,   720., -6464.]), array([ 1159.,   467.,   -74.]), array([  44., -196.,  503.]))
(1, 28329, 27805, 27162, array([  544.,   656., -6336.]), array([ 1179.,   509.,   -42.]), array([  44., -196.,  503.]))
(1, 29278, 28813, 27162, array([  624.,   592., -6304.]), array([ 1191.,   538.,   -25.]), array([  44., -196.,  503.]))
(1, 30227, 29821, 29709, array([  720.,   512., -6288.]), array([ 1205.,   558.,    12.]), array([  45., -196.,  507.]))
(1, 31650, 30829, 29709, array([  800.,   496., -6176.]), array([ 1201.,   619.,    29.]), array([  45., -196.,  507.]))
(1, 34023, 33854, 32256, array([  704.,   496., -6064.]), array([ 1174.,   699.,   109.]), array([  45., -195.,  513.]))
(1, 34972, 34862, 34802, array([  672.,   560., -6000.]), array([ 1200.,   725.,   148.]), array([  44., -190.,  510.]))
(1, 35921, 35870, 34802, array([  592.,   528., -6000.]), array([ 1164.,   792.,   148.]), array([  44., -190.,  510.]))
(1, 37344, 36878, 37349, array([  608.,   448., -6000.]), array([ 1215.,   840.,   141.]), array([  37., -190.,  511.]))
(1, 39243, 38894, 37349, array([  656.,   400., -5936.]), array([ 1195.,   923.,   127.]), array([  37., -190.,  511.]))
