(1, 64081, 64341, 62988, array([ 7872., -1776.,  -912.]), array([ -78.,  132.,  160.]), array([-489.,   37.,  307.]))
(1, 65505, 65349, 65535, array([ 7792., -1664.,  -928.]), array([-170.,  143.,  141.]), array([-484.,   37.,  305.]))
(1, 918, 821, 65535, array([ 7808., -1632.,  -912.]), array([-121.,  109.,  117.]), array([-484.,   37.,  305.]))
(1, 1867, 1829, 65535, array([ 7808., -1648.,  -864.]), array([-173.,  116.,   88.]), array([-484.,   37.,  305.]))
(1, 4240, 3845, 2544, array([ 7744., -1600.,  -960.]), array([-195.,   71.,   72.]), array([-484.,   39.,  305.]))
(1, 5663, 4854, 5090, array([ 7744., -1632.,  -912.]), array([-157.,   63.,   70.]), array([-489.,   37.,  307.]))
(1, 6612, 5862, 5090, array([ 7808., -1664.,  -928.]), array([-126.,   64.,   75.]), array([-489.,   37.,  307.]))
(1, 7561, 7878, 7637, array([ 7744., -1664.,  -992.]), array([-105.,   67.,   66.]), array([-487.,   39.,  308.]))
(1, 8985, 8886, 7637, array([ 7792., -1568.,  -896.]), array([-49.,  56.,  28.]), array([-487.,   39.,  308.]))
(1, 9934, 9894, 10184, array([ 7856., -1648.,  -896.]), array([-64.,  55.,  29.]), array([-487.,   35.,  303.]))
(1, 10884, 10902, 10184, array([ 7856., -1632.,  -944.]), array([  4.,  29.,   6.]), array([-487.,   35.,  303.]))
(1, 13257, 12919, 12730, array([ 7856., -1664.,  -928.]), array([ 49.,  20.,  -1.]), array([-489.,   38.,  305.]))
(1, 14681, 13927, 12730, array([ 7856., -1712.,  -848.]), array([ 71.,  -3.,   5.]), array([-489.,   38.,  305.]))
(1, 15630, 14935, 15278, array([ 7840., -1680.,  -832.]), array([ 37.,   6.,   5.]), array([-488.,   37.,  307.]))
(1, 16579, 16951, 15278, array([ 7776., -1696.,  -848.]), array([ 104.,  -11.,   -2.]), array([-488.,   37.,  307.]))
(1, 18003, 17959, 17823, array([ 7824., -1680.,  -880.]), array([ 128.,  -11.,   47.]), array([-489.,   36.,  304.]))
(1, 18952, 18967, 17823, array([ 7872., -1728.,  -912.]), array([ 172.,   11.,   61.]), array([-489.,   36.,  304.]))
(1, 19901, 19975, 17823, array([ 7808., -1728.,  -784.]), array([ 200.,   29.,   48.]), array([-489.,   36.,  304.]))
(1, 21326, 20984, 20368, array([ 7792., -1760.,  -848.]), array([ 232.,   37.,   53.]), array([-486.,   37.,  306.]))
(1, 22275, 21992, 20368, array([ 7856., -1712.,  -848.]), array([ 176.,    2.,   36.]), array([-486.,   37.,  306.]))
(1, 23698, 23000, 22914, array([ 7840., -1712.,  -864.]), array([ 190.,  -15.,   42.]), array([-488.,   36.,  306.]))
(1, 24647, 24008, 22914, array([ 7824., -1776.,  -848.]), array([ 247.,  -20.,   27.]), array([-488.,   36.,  306.]))
(1, 25596, 25016, 25460, array([ 7808., -1696.,  -864.]), array([ 218.,    3.,   21.]), array([-489.,   38.,  309.]))
(1, 27019, 27032, 25460, array([ 7760., -1792.,  -896.]), array([ 274.,   13.,  -11.]), array([-489.,   38.,  309.]))
(1, 27969, 28040, 28006, array([ 7776., -1792.,  -928.]), array([ 231.,   59.,    7.]), array([-488.,   38.,  305.]))
(1, 28918, 29049, 28006, array([ 7760., -1792.,  -912.]), array([ 225.,   54.,    4.]), array([-488.,   38.,  305.]))
(1, 30342, 30057, 28006, array([ 7776., -1808.,  -960.]), array([ 175.,   57.,  -14.]), array([-488.,   38.,  305.]))
(1, 31291, 31065, 30552, array([ 7792., -1808., -1024.]), array([ 182.,   40.,  -13.]), array([-488.,   36.,  305.]))
(1, 32240, 32073, 30552, array([ 7776., -1840., -1008.]), array([ 160.,   57.,   17.]), array([-488.,   36.,  305.]))
