(1, 36555, 36082, 36423, array([ 6928., -1664., -2880.]), array([  483.,  1342.,  -694.]), array([-432.,   57.,  401.]))
(1, 37504, 37091, 36423, array([ 6976., -1712., -2816.]), array([  532.,  1361.,  -680.]), array([-432.,   57.,  401.]))
(1, 38928, 38099, 38970, array([ 6960., -1680., -2784.]), array([  587.,  1342.,  -680.]), array([-435.,   58.,  397.]))
(1, 39877, 40115, 38970, array([ 7008., -1616., -2736.]), array([  739.,  1405.,  -714.]), array([-435.,   58.,  397.]))
(1, 40826, 41123, 38970, array([ 7056., -1648., -2688.]), array([  778.,  1443.,  -713.]), array([-435.,   58.,  397.]))
(1, 42250, 42131, 41516, array([ 7008., -1616., -2592.]), array([  805.,  1462.,  -712.]), array([-435.,   56.,  397.]))
(1, 43199, 43139, 41516, array([ 6864., -1712., -2576.]), array([  851.,  1487.,  -715.]), array([-435.,   56.,  397.]))
(1, 44623, 44148, 44064, array([ 6896., -1776., -2608.]), array([  897.,  1512.,  -712.]), array([-436.,   55.,  397.]))
(1, 45572, 45156, 44064, array([ 6848., -1776., -2656.]), array([  895.,  1563.,  -716.]), array([-436.,   55.,  397.]))
(1, 46522, 46164, 46611, array([ 6800., -1856., -2704.]), array([  856.,  1632.,  -729.]), array([-435.,   54.,  394.]))
(1, 47945, 47172, 46611, array([ 6784., -1920., -2704.]), array([  726.,  1698.,  -751.]), array([-435.,   54.,  394.]))
(1, 48894, 48180, 49157, array([ 6816., -1904., -2752.]), array([  629.,  1759.,  -748.]), array([-439.,   53.,  390.]))
(1, 49843, 50196, 49157, array([ 6912., -1952., -2864.]), array([  329.,  1899.,  -812.]), array([-439.,   53.,  390.]))
(1, 51267, 51205, 49157, array([ 6960., -2000., -2912.]), array([  252.,  1958.,  -852.]), array([-439.,   53.,  390.]))
(1, 52216, 52213, 51705, array([ 7040., -1968., -2896.]), array([   88.,  1968.,  -908.]), array([-440.,   51.,  384.]))
(1, 53640, 53221, 51705, array([ 7088., -1904., -2864.]), array([  -47.,  1986.,  -926.]), array([-440.,   51.,  384.]))
(1, 54589, 54229, 54252, array([ 7104., -1792., -2800.]), array([ -113.,  1993.,  -949.]), array([-443.,   49.,  381.]))
(1, 55538, 55237, 54252, array([ 7136., -1776., -2832.]), array([ -185.,  2001.,  -963.]), array([-443.,   49.,  381.]))
(1, 56962, 56245, 56798, array([ 7152., -1760., -2832.]), array([ -181.,  2031.,  -998.]), array([-438.,   45.,  381.]))
(1, 57911, 57254, 56798, array([ 7168., -1680., -2768.]), array([ -214.,  2068., -1039.]), array([-438.,   45.,  381.]))
(1, 58860, 59270, 56798, array([ 7200., -1712., -2768.]), array([ -166.,  2103., -1076.]), array([-438.,   45.,  381.]))
(1, 60283, 60278, 59343, array([ 7152., -1616., -2720.]), array([ -131.,  2104., -1088.]), array([-449.,   43.,  375.]))
(1, 61232, 61286, 59343, array([ 7168., -1632., -2832.]), array([  -61.,  2108., -1088.]), array([-449.,   43.,  375.]))
(1, 62656, 62294, 61890, array([ 7136., -1648., -2848.]), array([  -12.,  2106., -1110.]), array([-449.,   39.,  375.]))
(1, 63605, 63302, 61890, array([ 7200., -1696., -2864.]), array([   53.,  2149., -1128.]), array([-449.,   39.,  375.]))
(1, 64553, 64311, 64437, array([ 7248., -1728., -2864.]), array([  132.,  2138., -1146.]), array([-448.,   36.,  373.]))
(1, 441, 65319, 64437, array([ 7312., -1776., -2864.]), array([  165.,  2167., -1100.]), array([-448.,   36.,  373.]))
(1, 1390, 791, 1446, array([ 7312., -1744., -2880.]), array([  218.,  2171., -1052.]), array([-451.,   35.,  363.]))
(1, 2340, 1799, 1446, array([ 7328., -1760., -2896.]), array([  222.,  2123., -1066.]), array([-451.,   35.,  363.]))
(1, 3764, 3815, 1446, array([ 7312., -1840., -2912.]), array([  237.,  2141., -1065.]), array([-451.,   35.,  363.]))
