(1, 50144, 49913, 50158, array([ 7872., -1424., -1616.]), array([ -325.,  1326.,  -373.]), array([-487.,  -37.,  265.]))
(1, 51093, 50921, 50158, array([ 7872., -1392., -1744.]), array([ -204.,  1307.,  -346.]), array([-487.,  -37.,  265.]))
(1, 52042, 51929, 50158, array([ 7856., -1328., -1744.]), array([ -129.,  1279.,  -335.]), array([-487.,  -37.,  265.]))
(1, 53465, 52937, 52704, array([ 7920., -1392., -1760.]), array([   -7.,  1247.,  -336.]), array([-487.,  -37.,  265.]))
(1, 55838, 54954, 55250, array([ 7856., -1376., -1792.]), array([  121.,  1192.,  -268.]), array([-488.,  -36.,  264.]))
(1, 56787, 56970, 55250, array([ 7856., -1360., -1776.]), array([  249.,  1095.,  -236.]), array([-488.,  -36.,  264.]))
(1, 57735, 57978, 57796, array([ 7808., -1392., -1696.]), array([  298.,  1069.,  -225.]), array([-487.,  -40.,  259.]))
(1, 59159, 58986, 57796, array([ 7776., -1376., -1664.]), array([  353.,  1065.,  -223.]), array([-487.,  -40.,  259.]))
(1, 60108, 59994, 60341, array([ 7712., -1296., -1728.]), array([  350.,  1018.,  -244.]), array([-488.,  -38.,  259.]))
(1, 61057, 61003, 60341, array([ 7744., -1232., -1792.]), array([ 420.,  977., -259.]), array([-488.,  -38.,  259.]))
(1, 62482, 62011, 60341, array([ 7808., -1136., -1936.]), array([ 496.,  965., -305.]), array([-488.,  -38.,  259.]))
(1, 63431, 63019, 62889, array([ 7744., -1136., -1952.]), array([ 593.,  932., -329.]), array([-489.,  -40.,  259.]))
(1, 64855, 64027, 62889, array([ 7744., -1216., -1968.]), array([ 705.,  875., -343.]), array([-489.,  -40.,  259.]))
(1, 268, 65035, 65433, array([ 7728., -1344., -1872.]), array([ 766.,  800., -366.]), array([-491.,  -41.,  258.]))
(1, 1217, 1515, 65433, array([ 7696., -1344., -1872.]), array([ 795.,  704., -394.]), array([-491.,  -41.,  258.]))
(1, 2641, 2524, 2443, array([ 7776., -1344., -1856.]), array([ 762.,  688., -424.]), array([-489.,  -42.,  256.]))
(1, 3590, 3532, 2443, array([ 7808., -1360., -1904.]), array([ 747.,  688., -438.]), array([-489.,  -42.,  256.]))
(1, 4539, 4540, 2443, array([ 7792., -1360., -1952.]), array([ 659.,  650., -429.]), array([-489.,  -42.,  256.]))
(1, 5964, 5548, 4989, array([ 7824., -1360., -1872.]), array([ 616.,  604., -409.]), array([-491.,  -38.,  253.]))
(1, 6913, 6556, 4989, array([ 7856., -1360., -1920.]), array([ 543.,  574., -401.]), array([-491.,  -38.,  253.]))
(1, 8337, 7564, 7535, array([ 7840., -1328., -1936.]), array([ 529.,  589., -381.]), array([-490.,  -39.,  253.]))
(1, 9286, 8572, 7535, array([ 7824., -1264., -1920.]), array([ 453.,  582., -372.]), array([-490.,  -39.,  253.]))
(1, 11660, 11597, 10081, array([ 7808., -1280., -1872.]), array([ 273.,  482., -272.]), array([-490.,  -43.,  258.]))
(1, 12609, 12605, 12625, array([ 7792., -1280., -1872.]), array([ 207.,  446., -246.]), array([-492.,  -42.,  252.]))
(1, 13557, 13613, 12625, array([ 7760., -1280., -1776.]), array([ 203.,  428., -218.]), array([-492.,  -42.,  252.]))
(1, 14981, 14621, 12625, array([ 7776., -1328., -1792.]), array([ 171.,  435., -201.]), array([-492.,  -42.,  252.]))
(1, 15930, 15629, 15171, array([ 7744., -1376., -1776.]), array([ 112.,  442., -225.]), array([-492.,  -44.,  252.]))
(1, 16879, 16638, 15171, array([ 7760., -1344., -1792.]), array([   6.,  395., -225.]), array([-492.,  -44.,  252.]))
(1, 18302, 17646, 17717, array([ 7776., -1248., -1680.]), array([ -99.,  386., -192.]), array([-490.,  -43.,  253.]))
(1, 20675, 20670, 20263, array([ 7760., -1168., -1712.]), array([-353.,  308., -179.]), array([-494.,  -43.,  250.]))
(1, 21624, 21678, 20263, array([ 7792., -1072., -1760.]), array([-407.,  295., -173.]), array([-494.,  -43.,  250.]))
(1, 22573, 22687, 22808, array([ 7824., -1072., -1712.]), array([-437.,  296., -171.]), array([-494.,  -43.,  250.]))
(1, 23997, 23695, 22808, array([ 7856., -1024., -1680.]), array([-402.,  287., -156.]), array([-494.,  -43.,  250.]))
(1, 24946, 24703, 22808, array([ 7856., -1040., -1744.]), array([-415.,  262., -135.]), array([-494.,  -43.,  250.]))
(1, 25895, 25711, 25354, array([ 7888., -1056., -1664.]), array([-366.,  233., -123.]), array([-490.,  -45.,  252.]))
(1, 27318, 26719, 25354, array([ 7872., -1088., -1728.]), array([-371.,  212., -118.]), array([-490.,  -45.,  252.]))
(1, 28267, 27727, 27898, array([ 7872., -1088., -1664.]), array([-308.,  181.,  -77.]), array([-492.,  -44.,  253.]))
(1, 29691, 28735, 27898, array([ 7936., -1200., -1616.]), array([-303.,  157.,  -41.]), array([-492.,  -44.,  253.]))
(1, 30640, 30752, 30444, array([ 7968., -1184., -1536.]), array([-354.,  115.,    4.]), array([-496.,  -47.,  250.]))
(1, 31589, 31760, 30444, array([ 7968., -1264., -1632.]), array([-451.,   56.,   10.]), array([-496.,  -47.,  250.]))
(1, 33013, 32768, 32989, array([ 7904., -1328., -1584.]), array([-536.,   48.,   31.]), array([-490.,  -44.,  249.]))
(1, 33962, 33776, 32989, array([ 7968., -1392., -1568.]), array([-655.,   32.,   47.]), array([-490.,  -44.,  249.]))
