(1, 63468, 62937, 61692, array([  528.,     0., -4576.]), array([  549.,  1290.,   -92.]), array([-138.,   31.,  527.]))
(1, 64417, 63945, 64237, array([  592.,    48., -4480.]), array([  519.,  1463.,  -108.]), array([-142.,   30.,  529.]))
(1, 305, 64953, 64237, array([  496.,    16., -4512.]), array([  527.,  1612.,  -146.]), array([-142.,   30.,  529.]))
(1, 1254, 1433, 1246, array([  288.,   -80., -4560.]), array([  549.,  1920.,  -188.]), array([-150.,   34.,  526.]))
(1, 2203, 2442, 1246, array([  192.,  -128., -4560.]), array([  524.,  2052.,  -209.]), array([-150.,   34.,  526.]))
(1, 3628, 3450, 1246, array([  320.,  -128., -4448.]), array([  506.,  2168.,  -212.]), array([-150.,   34.,  526.]))
(1, 4577, 4458, 3792, array([  480.,   -80., -4272.]), array([  494.,  2300.,  -160.]), array([-146.,   31.,  523.]))
(1, 5526, 5466, 3792, array([  608.,   -80., -4144.]), array([  501.,  2436.,  -126.]), array([-146.,   31.,  523.]))
(1, 6950, 6474, 6336, array([  720.,  -192., -4048.]), array([  565.,  2607.,  -103.]), array([-154.,   32.,  521.]))
(1, 7899, 7482, 6336, array([  800.,  -304., -3936.]), array([  608.,  2729.,   -73.]), array([-154.,   32.,  521.]))
(1, 9323, 8490, 8881, array([ 1024.,  -416., -3776.]), array([  575.,  2845.,   -60.]), array([-165.,   32.,  518.]))
(1, 10272, 9499, 8881, array([ 1120.,  -368., -3728.]), array([  455.,  2941.,   -61.]), array([-165.,   32.,  518.]))
(1, 11221, 11515, 11424, array([ 1136.,  -336., -3632.]), array([  166.,  3265.,   -72.]), array([-165.,   31.,  518.]))
(1, 12645, 12523, 11424, array([ 1216.,  -368., -3680.]), array([   33.,  3436.,  -120.]), array([-165.,   31.,  518.]))
(1, 13594, 13531, 11424, array([ 1200.,  -320., -3776.]), array([  -66.,  3630.,  -124.]), array([-165.,   31.,  518.]))
(1, 14543, 14539, 13969, array([ 1280.,  -352., -4016.]), array([  -88.,  3838.,   -95.]), array([-172.,   28.,  514.]))
(1, 15966, 15548, 13969, array([ 1296.,  -400., -4208.]), array([ -128.,  4032.,   -64.]), array([-172.,   28.,  514.]))
(1, 16915, 16556, 16513, array([ 1312.,  -336., -4320.]), array([ -154.,  4232.,   -47.]), array([-180.,   29.,  517.]))
(1, 17864, 17564, 16513, array([ 1456.,  -256., -4432.]), array([ -160.,  4438.,   -12.]), array([-180.,   29.,  517.]))
(1, 19288, 18572, 19058, array([ 1760.,  -144., -4480.]), array([  -66.,  4606.,    54.]), array([-182.,   26.,  509.]))
(1, 20237, 19580, 19058, array([ 1936.,  -144., -4432.]), array([   55.,  4771.,   142.]), array([-182.,   26.,  509.]))
(1, 21661, 21597, 21603, array([ 2080.,  -240., -4336.]), array([  302.,  5162.,   318.]), array([-192.,   25.,  502.]))
(1, 22610, 22605, 21603, array([ 2240.,  -288., -4240.]), array([  360.,  5357.,   378.]), array([-192.,   25.,  502.]))
(1, 23559, 23613, 21603, array([ 2320.,  -288., -4176.]), array([  407.,  5532.,   418.]), array([-192.,   25.,  502.]))
(1, 24983, 24621, 24148, array([ 2640.,  -240., -4208.]), array([  438.,  5670.,   407.]), array([-202.,   32.,  501.]))
(1, 25932, 25629, 24148, array([ 2832.,  -288., -4288.]), array([  410.,  5834.,   388.]), array([-202.,   32.,  501.]))
(1, 26882, 26637, 26691, array([ 2864.,  -336., -4352.]), array([  401.,  5995.,   374.]), array([-212.,   25.,  495.]))
(1, 28306, 27645, 26691, array([ 3056.,  -304., -4464.]), array([  353.,  6159.,   333.]), array([-212.,   25.,  495.]))
(1, 29255, 28654, 29235, array([ 3232.,  -224., -4496.]), array([  231.,  6295.,   300.]), array([-222.,   23.,  490.]))
(1, 30679, 30670, 29235, array([ 3472.,  -112., -4480.]), array([   55.,  6585.,   298.]), array([-222.,   23.,  490.]))
(1, 31628, 31678, 31780, array([ 3648.,   -64., -4448.]), array([   77.,  6743.,   345.]), array([-232.,   26.,  483.]))
