(1, 37808, 37681, 37467, array([ 7984.,  -400., -1056.]), array([ 184., -252.,  -61.]), array([-494.,   67.,   33.]))
(1, 39232, 38689, 37467, array([ 7888.,  -400.,  -976.]), array([ 208., -256.,  -42.]), array([-494.,   67.,   33.]))
(1, 40181, 39698, 40012, array([ 7920.,  -416.,  -976.]), array([ 179., -294.,  -85.]), array([-492.,   70.,   31.]))
(1, 41605, 40706, 40012, array([ 7936.,  -432.,  -992.]), array([ 158., -245.,  -66.]), array([-492.,   70.,   31.]))
(1, 42554, 42722, 42557, array([ 7824.,  -352., -1024.]), array([ 112., -246.,  -85.]), array([-496.,   66.,   35.]))
(1, 43504, 43730, 42557, array([ 7808.,  -352., -1008.]), array([ 139., -269.,  -58.]), array([-496.,   66.,   35.]))
(1, 44927, 44739, 42557, array([ 7840.,  -384., -1168.]), array([ 109., -299.,  -85.]), array([-496.,   66.,   35.]))
(1, 45876, 45747, 45103, array([ 7872.,  -304., -1120.]), array([ 151., -298.,  -87.]), array([-496.,   66.,   35.]))
(1, 46825, 46755, 45103, array([ 7856.,  -304., -1136.]), array([ 166., -288.,  -95.]), array([-496.,   66.,   35.]))
(1, 48249, 47763, 47649, array([ 7920.,  -384., -1216.]), array([ 149., -288.,  -57.]), array([-493.,   67.,   35.]))
(1, 49197, 48772, 47649, array([ 7888.,  -352., -1312.]), array([ 175., -332.,   -6.]), array([-493.,   67.,   35.]))
(1, 50621, 49780, 50194, array([ 7888.,  -336., -1344.]), array([ 139., -395.,  -26.]), array([-492.,   65.,   37.]))
(1, 51570, 50788, 50194, array([ 7872.,  -368., -1328.]), array([ 117., -430.,  -64.]), array([-492.,   65.,   37.]))
(1, 52520, 52804, 52740, array([ 7888.,  -368., -1344.]), array([  47., -421.,  -50.]), array([-492.,   64.,   37.]))
(1, 53944, 53813, 52740, array([ 7984.,  -352., -1408.]), array([  50., -487.,  -57.]), array([-492.,   64.,   37.]))
(1, 54893, 54821, 52740, array([ 7968.,  -336., -1424.]), array([   8., -492.,  -66.]), array([-492.,   64.,   37.]))
(1, 55842, 55829, 55286, array([ 7952.,  -320., -1376.]), array([ -12., -528.,  -75.]), array([-492.,   64.,   37.]))
(1, 57266, 56837, 55286, array([ 7936.,  -352., -1504.]), array([ -48., -587.,  -73.]), array([-492.,   64.,   37.]))
(1, 58215, 57846, 57831, array([ 7808.,  -336., -1504.]), array([ -99., -634.,  -55.]), array([-495.,   63.,   40.]))
(1, 59165, 58854, 57831, array([ 7872.,  -304., -1552.]), array([-105., -693.,  -74.]), array([-495.,   63.,   40.]))
(1, 60588, 59862, 60377, array([ 7920.,  -320., -1600.]), array([-115., -679.,  -82.]), array([-496.,   64.,   40.]))
(1, 61537, 61878, 60377, array([ 7904.,  -288., -1616.]), array([-107., -741.,  -86.]), array([-496.,   64.,   40.]))
(1, 62961, 62887, 62921, array([ 7936.,  -256., -1664.]), array([ -92., -754.,  -78.]), array([-495.,   64.,   40.]))
(1, 63910, 63895, 62921, array([ 7888.,  -240., -1696.]), array([ -78., -800.,  -55.]), array([-495.,   64.,   40.]))
(1, 64860, 64903, 62921, array([ 7936.,  -208., -1680.]), array([ -78., -860.,  -78.]), array([-495.,   64.,   40.]))
(1, 747, 375, 65467, array([ 7984.,  -176., -1728.]), array([ -46., -899.,  -94.]), array([-494.,   62.,   43.]))
(1, 1696, 1383, 65467, array([ 8112.,  -160., -1648.]), array([ -46., -924., -118.]), array([-494.,   62.,   43.]))
(1, 2646, 2392, 2477, array([ 8112.,  -192., -1552.]), array([ -55., -952., -104.]), array([-499.,   60.,   46.]))
(1, 4070, 3400, 2477, array([ 8096.,  -240., -1552.]), array([  -79., -1012.,   -71.]), array([-499.,   60.,   46.]))
(1, 5019, 4408, 5022, array([ 8144.,  -240., -1568.]), array([  -79., -1066.,  -130.]), array([-492.,   64.,   50.]))
(1, 6443, 6425, 5022, array([ 8096.,  -352., -1520.]), array([  -87., -1128.,  -140.]), array([-492.,   64.,   50.]))
(1, 7392, 7433, 7567, array([ 8016.,  -368., -1472.]), array([ -148., -1150.,  -187.]), array([-492.,   61.,   50.]))
(1, 8341, 8441, 7567, array([ 8000.,  -336., -1504.]), array([ -159., -1202.,  -204.]), array([-492.,   61.,   50.]))
(1, 9765, 9449, 7567, array([ 8016.,  -272., -1552.]), array([ -157., -1208.,  -187.]), array([-492.,   61.,   50.]))
(1, 10715, 10457, 10111, array([ 7936.,  -304., -1536.]), array([  -88., -1211.,  -191.]), array([-494.,   58.,   57.]))
(1, 11664, 11466, 10111, array([ 7936.,  -288., -1520.]), array([  -94., -1227.,  -181.]), array([-494.,   58.,   57.]))
(1, 13087, 12474, 12654, array([ 7856.,  -320., -1456.]), array([  -41., -1229.,  -169.]), array([-494.,   61.,   59.]))
(1, 14036, 13482, 12654, array([ 7808.,  -336., -1456.]), array([  -12., -1220.,  -186.]), array([-494.,   61.,   59.]))
(1, 15460, 14490, 15198, array([ 7776.,  -352., -1488.]), array([    9., -1217.,  -192.]), array([-494.,   60.,   59.]))
(1, 16409, 16507, 15198, array([ 7760.,  -352., -1472.]), array([   56., -1219.,  -149.]), array([-494.,   60.,   59.]))
(1, 17358, 17515, 15198, array([ 7840.,  -384., -1456.]), array([   90., -1197.,  -183.]), array([-494.,   60.,   59.]))
(1, 18782, 18523, 17743, array([ 8000.,  -336., -1328.]), array([   80., -1190.,  -177.]), array([-495.,   59.,   60.]))
(1, 19731, 19531, 17743, array([ 8000.,  -368., -1328.]), array([   93., -1218.,  -177.]), array([-495.,   59.,   60.]))
(1, 20680, 20540, 20287, array([ 7920.,  -400., -1296.]), array([  141., -1218.,  -181.]), array([-496.,   59.,   64.]))
(1, 22105, 21548, 20287, array([ 7952.,  -400., -1360.]), array([  157., -1223.,  -190.]), array([-496.,   59.,   64.]))
(1, 23054, 22556, 22833, array([ 7904.,  -416., -1360.]), array([  142., -1217.,  -173.]), array([-497.,   59.,   70.]))
(1, 24004, 23564, 22833, array([ 7904.,  -448., -1376.]), array([  146., -1257.,  -171.]), array([-497.,   59.,   70.]))
(1, 25427, 25581, 25377, array([ 7888.,  -480., -1312.]), array([  122., -1270.,  -184.]), array([-495.,   55.,   67.]))
(1, 26377, 26589, 25377, array([ 7936.,  -512., -1280.]), array([  128., -1249.,  -150.]), array([-495.,   55.,   67.]))
(1, 27800, 27597, 25377, array([ 7840.,  -464., -1312.]), array([   80., -1209.,  -163.]), array([-495.,   55.,   67.]))
(1, 28749, 28605, 27923, array([ 7872.,  -512., -1232.]), array([   74., -1217.,  -136.]), array([-500.,   57.,   69.]))
(1, 29698, 29614, 27923, array([ 7776.,  -496., -1280.]), array([   42., -1225.,  -105.]), array([-500.,   57.,   69.]))
(1, 31122, 30622, 30468, array([ 7840.,  -448., -1328.]), array([   71., -1197.,   -93.]), array([-498.,   57.,   74.]))
(1, 32072, 31630, 30468, array([ 7776.,  -416., -1312.]), array([   91., -1166.,   -64.]), array([-498.,   57.,   74.]))
(1, 33021, 32638, 33013, array([ 7824.,  -432., -1312.]), array([   53., -1139.,   -44.]), array([-498.,   56.,   75.]))
(1, 34445, 33647, 33013, array([ 7776.,  -384., -1296.]), array([  119., -1116.,   -16.]), array([-498.,   56.,   75.]))
(1, 35394, 35663, 35559, array([ 7792.,  -432., -1328.]), array([   74., -1152.,   -29.]), array([-496.,   52.,   79.]))
(1, 36818, 36671, 35559, array([ 7792.,  -320., -1360.]), array([   69., -1084.,   -10.]), array([-496.,   52.,   79.]))
(1, 37767, 37679, 35559, array([ 7744.,  -288., -1376.]), array([   70., -1046.,    -7.]), array([-496.,   52.,   79.]))
(1, 38716, 38688, 38104, array([ 7792.,  -224., -1424.]), array([   72., -1070.,    12.]), array([-496.,   58.,   78.]))
(1, 40140, 39696, 38104, array([ 7840.,  -192., -1472.]), array([   25., -1050.,    -5.]), array([-496.,   58.,   78.]))
(1, 41089, 40704, 40649, array([ 7904.,  -160., -1424.]), array([   47., -1027.,   -21.]), array([-497.,   52.,   85.]))
(1, 42038, 41712, 40649, array([ 7920.,  -128., -1360.]), array([   -9., -1015.,     3.]), array([-497.,   52.,   85.]))
(1, 43462, 42720, 43194, array([ 8064.,  -160., -1360.]), array([ -102., -1026.,    59.]), array([-497.,   54.,   85.]))
(1, 44411, 43729, 43194, array([ 8048.,  -128., -1312.]), array([ -127., -1034.,    66.]), array([-497.,   54.,   85.]))
(1, 45836, 45745, 45739, array([ 8000.,   -80., -1248.]), array([-251., -964.,  -10.]), array([-496.,   53.,   85.]))
(1, 46785, 46753, 45739, array([ 7936.,   -64., -1232.]), array([ -256., -1016.,   -39.]), array([-496.,   53.,   85.]))
(1, 47734, 47762, 45739, array([ 7872.,   -48., -1232.]), array([-218., -962.,  -38.]), array([-496.,   53.,   85.]))
(1, 49157, 48770, 48286, array([ 7792.,   -64., -1184.]), array([-116., -957.,  -94.]), array([-497.,   54.,   88.]))
(1, 50106, 49778, 48286, array([ 7696.,   -64., -1248.]), array([-107., -900., -124.]), array([-497.,   54.,   88.]))
(1, 51056, 50786, 50830, array([ 7664.,   -96., -1248.]), array([ -80., -856., -108.]), array([-497.,   55.,   92.]))
(1, 52480, 51794, 50830, array([ 7648.,  -144., -1120.]), array([ -26., -808., -143.]), array([-497.,   55.,   92.]))
(1, 53429, 52803, 53376, array([ 7584.,  -128., -1264.]), array([ -44., -726., -156.]), array([-499.,   54.,   90.]))
(1, 54378, 54819, 53376, array([ 7600.,  -160., -1200.]), array([  79., -625., -172.]), array([-499.,   54.,   90.]))
(1, 55803, 55827, 55921, array([ 7552.,  -160., -1248.]), array([ 197., -560., -184.]), array([-498.,   53.,   95.]))
(1, 56752, 56836, 55921, array([ 7568.,  -208., -1216.]), array([ 239., -546., -184.]), array([-498.,   53.,   95.]))
(1, 58177, 57844, 55921, array([ 7648.,  -272., -1280.]), array([ 252., -512., -153.]), array([-498.,   53.,   95.]))
(1, 59126, 58852, 58467, array([ 7616.,  -304., -1248.]), array([ 303., -460., -142.]), array([-497.,   50.,   97.]))
(1, 60075, 59860, 58467, array([ 7632.,  -336., -1280.]), array([ 263., -417., -163.]), array([-497.,   50.,   97.]))
(1, 61499, 60868, 61012, array([ 7728.,  -288., -1360.]), array([ 243., -392., -146.]), array([-495.,   52.,   98.]))
(1, 62448, 61877, 61012, array([ 7680.,  -288., -1312.]), array([ 207., -364., -144.]), array([-495.,   52.,   98.]))
(1, 63397, 62885, 63556, array([ 7712.,  -208., -1360.]), array([ 204., -344., -147.]), array([-495.,   51.,   98.]))
(1, 64821, 64901, 63556, array([ 7728.,  -240., -1376.]), array([ 235., -281., -183.]), array([-495.,   51.,   98.]))
(1, 235, 374, 63556, array([ 7728.,  -224., -1392.]), array([ 247., -268., -174.]), array([-495.,   51.,   98.]))
(1, 1658, 1382, 566, array([ 7744.,  -224., -1392.]), array([ 216., -245., -175.]), array([-495.,   50.,   98.]))
(1, 2607, 2390, 566, array([ 7744.,  -288., -1440.]), array([ 194., -221., -140.]), array([-495.,   50.,   98.]))
(1, 3556, 3398, 3111, array([ 7712.,  -272., -1456.]), array([ 264., -220., -136.]), array([-498.,   50.,  103.]))
(1, 5929, 5415, 5655, array([ 7744.,  -288., -1424.]), array([ 280., -122., -107.]), array([-498.,   49.,  103.]))
(1, 6879, 6423, 5655, array([ 7712.,  -256., -1472.]), array([ 232., -109., -119.]), array([-498.,   49.,  103.]))
(1, 8302, 7431, 8200, array([ 7728.,  -256., -1488.]), array([ 203., -118., -115.]), array([-496.,   49.,   99.]))
(1, 11625, 11464, 10745, array([ 7728.,  -288., -1504.]), array([ 170.,    5.,  -84.]), array([-494.,   51.,  101.]))
(1, 12574, 12472, 10745, array([ 7712.,  -272., -1520.]), array([ 167.,   26.,  -77.]), array([-494.,   51.,  101.]))
(1, 13997, 13481, 13290, array([ 7728.,  -272., -1472.]), array([ 188.,   41.,  -85.]), array([-495.,   47.,  103.]))
(1, 14946, 14489, 13290, array([ 7776.,  -320., -1424.]), array([ 161.,   63.,  -76.]), array([-495.,   47.,  103.]))
(1, 15896, 15497, 15836, array([ 7712.,  -336., -1536.]), array([ 191.,   86.,  -69.]), array([-496.,   45.,  102.]))
(1, 17320, 16505, 15836, array([ 7728.,  -336., -1520.]), array([ 203.,  131.,  -74.]), array([-496.,   45.,  102.]))
(1, 18269, 18522, 18380, array([ 7728.,  -320., -1504.]), array([ 211.,  111.,  -52.]), array([-496.,   46.,  103.]))
(1, 19219, 19530, 18380, array([ 7728.,  -320., -1504.]), array([ 202.,  133.,  -19.]), array([-496.,   46.,  103.]))
(1, 20643, 20538, 18380, array([ 7712.,  -352., -1472.]), array([ 203.,  138.,  -15.]), array([-496.,   46.,  103.]))
(1, 21592, 21546, 20925, array([ 7680.,  -336., -1504.]), array([ 202.,  169.,  -22.]), array([-498.,   47.,  100.]))
(1, 23016, 22555, 20925, array([ 7728.,  -320., -1504.]), array([ 178.,  214.,  -14.]), array([-498.,   47.,  100.]))
(1, 23965, 23563, 23470, array([ 7680.,  -384., -1488.]), array([ 245.,  225.,   -3.]), array([-497.,   49.,  106.]))
(1, 24914, 24571, 23470, array([ 7680.,  -400., -1504.]), array([ 180.,  251.,   35.]), array([-497.,   49.,  106.]))
