(1, 34029, 33544, 32297, array([ 7488.,   656., -5520.]), array([ 3280.,    23.,   274.]), array([-505.,   74.,  111.]))
(1, 35452, 35560, 34843, array([ 7536.,   624., -5776.]), array([ 3767.,  -129.,   348.]), array([-503.,   76.,  111.]))
(1, 36402, 36568, 34843, array([ 7616.,   576., -5904.]), array([ 3932.,  -263.,   390.]), array([-503.,   76.,  111.]))
(1, 37825, 37576, 37388, array([ 7712.,   384., -6192.]), array([ 4009.,  -411.,   459.]), array([-503.,   77.,  114.]))
(1, 38774, 38585, 37388, array([ 7712.,   304., -6288.]), array([ 4000.,  -605.,   484.]), array([-503.,   77.,  114.]))
(1, 39723, 39593, 39933, array([ 7840.,   304., -6416.]), array([ 3890.,  -837.,   547.]), array([-503.,   77.,  114.]))
(1, 41147, 40601, 39933, array([ 7840.,   400., -6672.]), array([ 3760., -1100.,   573.]), array([-503.,   77.,  114.]))
(1, 42095, 41609, 39933, array([ 7824.,   528., -6864.]), array([ 3554., -1340.,   553.]), array([-503.,   77.,  114.]))
(1, 43044, 42617, 42478, array([ 7888.,   640., -7008.]), array([ 3459., -1601.,   534.]), array([-503.,   79.,  116.]))
(1, 44468, 43625, 42478, array([ 8016.,   832., -7344.]), array([ 3320., -1878.,   492.]), array([-503.,   79.,  116.]))
(1, 45416, 45641, 45024, array([ 8128.,   912., -7456.]), array([ 3310., -2452.,   441.]), array([-501.,   82.,  124.]))
(1, 46840, 46650, 45024, array([ 8160.,  1264., -7504.]), array([ 3384., -2755.,   386.]), array([-501.,   82.,  124.]))
(1, 47789, 47658, 47570, array([ 8144.,  1296., -7600.]), array([ 3511., -3051.,   280.]), array([-503.,   84.,  126.]))
(1, 48738, 48666, 47570, array([ 8160.,  1344., -7664.]), array([ 3686., -3331.,   195.]), array([-503.,   84.,  126.]))
(1, 50162, 49674, 50115, array([ 8272.,  1312., -7808.]), array([ 3924., -3635.,   115.]), array([-500.,   85.,  133.]))
