(1, 39437, 38598, 38114, array([ 7568., -1504., -4336.]), array([ 10256.,   4614., -20505.]), array([-481., -120.,   50.]))
(1, 40386, 40599, 38114, array([ 7648., -1408., -4128.]), array([ 4199., -2873.,   186.]), array([-481., -120.,   50.]))
(1, 41335, 41600, 38114, array([ 7632., -1296., -4032.]), array([ 4514.,  1851.,   225.]), array([-481., -120.,   50.]))
(1, 42759, 42601, 41822, array([ 7664., -1120., -4000.]), array([ 4482.,  1995.,   229.]), array([-481., -127.,   26.]))
(1, 43709, 43602, 41822, array([ 7696., -1072., -3936.]), array([ 4505.,  1979.,   220.]), array([-481., -127.,   26.]))
(1, 45132, 44603, 44368, array([ 7744.,  -944., -3904.]), array([ 4519.,  2002.,   202.]), array([-481., -122.,   26.]))
(1, 46082, 45603, 44368, array([ 7760.,  -768., -3904.]), array([ 4552.,  2025.,   208.]), array([-481., -122.,   26.]))
(1, 47031, 46604, 46912, array([ 7776.,  -608., -3824.]), array([ 4496.,  2009.,   206.]), array([-483., -123.,   29.]))
(1, 48455, 47605, 46912, array([ 7872.,  -592., -3728.]), array([ 4510.,  2026.,   216.]), array([-483., -123.,   29.]))
(1, 49404, 49606, 49458, array([ 7952.,  -560., -3680.]), array([ 4544.,  1996.,   212.]), array([-486., -120.,   37.]))
(1, 50354, 50610, 49458, array([ 7968.,  -496., -3728.]), array([ 4508.,  1981.,   207.]), array([-486., -120.,   37.]))
(1, 51778, 51618, 49458, array([ 7936.,  -576., -3744.]), array([ 4493.,  1978.,   225.]), array([-486., -120.,   37.]))
(1, 52727, 52626, 52004, array([ 8000.,  -720., -3680.]), array([ 4325.,  1959.,   228.]), array([-489., -114.,   37.]))
(1, 54150, 53634, 52004, array([ 8176.,  -832., -3728.]), array([ 4357.,  1887.,   234.]), array([-489., -114.,   37.]))
(1, 55100, 54642, 54550, array([ 8208.,  -864., -3696.]), array([ 4414.,  1801.,   229.]), array([-490., -111.,   47.]))
(1, 56049, 55650, 54550, array([ 8208.,  -912., -3664.]), array([ 4422.,  1684.,   267.]), array([-490., -111.,   47.]))
(1, 57473, 56658, 57097, array([ 8240., -1024., -3648.]), array([ 4481.,  1499.,   307.]), array([-495., -108.,   49.]))
(1, 58422, 57666, 57097, array([ 8272., -1200., -3680.]), array([ 4490.,  1329.,   345.]), array([-495., -108.,   49.]))
(1, 59371, 59682, 59643, array([ 8368., -1296., -3664.]), array([ 4346.,   612.,   569.]), array([-493., -103.,   61.]))
(1, 60795, 60690, 59643, array([ 8432., -1344., -3568.]), array([ 3807.,    30.,   795.]), array([-493., -103.,   61.]))
(1, 61745, 61698, 59643, array([ 8512., -1312., -3504.]), array([ 3061.,  -627.,  1092.]), array([-493., -103.,   61.]))
(1, 62694, 62706, 62187, array([ 8560., -1408., -3520.]), array([ 2138., -1328.,  1413.]), array([-492.,  -94.,   68.]))
(1, 64118, 63714, 62187, array([ 8704., -1472., -3616.]), array([ 1187., -2051.,  1683.]), array([-492.,  -94.,   68.]))
(1, 65067, 64722, 64733, array([ 8880., -1504., -3632.]), array([  237., -2727.,  1996.]), array([-493.,  -90.,   72.]))
(1, 956, 194, 64733, array([ 9088., -1616., -3584.]), array([ -795., -3376.,  2290.]), array([-493.,  -90.,   72.]))
(1, 1905, 1202, 1742, array([ 9136., -1680., -3760.]), array([-2040., -4040.,  2576.]), array([-497.,  -86.,   82.]))
(1, 2854, 3219, 1742, array([ 9216., -1536., -3856.]), array([-4652., -5037.,  2994.]), array([-497.,  -86.,   82.]))
(1, 4278, 4227, 4287, array([ 9392., -1504., -3712.]), array([-4801., -5145.,  3018.]), array([-499.,  -80.,   99.]))
(1, 5227, 5235, 4287, array([ 9344., -1520., -3760.]), array([-5106., -5324.,  3027.]), array([-499.,  -80.,   99.]))
(1, 6176, 6243, 4287, array([ 9232., -1328., -4064.]), array([-5293., -5498.,  3115.]), array([-499.,  -80.,   99.]))
(1, 7600, 7252, 6832, array([ 9296., -1136., -4192.]), array([-5193., -5717.,  3240.]), array([-499.,  -73.,   99.]))
(1, 8549, 8260, 6832, array([ 9360., -1088., -4416.]), array([-4946., -5921.,  3369.]), array([-499.,  -73.,   99.]))
(1, 9974, 9268, 9377, array([ 9472., -1312., -4640.]), array([-4655., -6080.,  3526.]), array([-503.,  -68.,  107.]))
(1, 10923, 10276, 9377, array([ 9664., -1392., -4592.]), array([-4345., -6278.,  3680.]), array([-503.,  -68.,  107.]))
(1, 11872, 11284, 11923, array([ 9728., -1568., -4544.]), array([-4091., -6470.,  3785.]), array([-500.,  -56.,  130.]))
(1, 13296, 13301, 11923, array([ 9856., -1648., -4480.]), array([-4009., -6847.,  3882.]), array([-500.,  -56.,  130.]))
(1, 14245, 14309, 14468, array([ 9888., -1536., -4544.]), array([-4029., -6930.,  3930.]), array([-500.,  -51.,  130.]))
(1, 15194, 15317, 14468, array([ 9920., -1312., -4608.]), array([-3987., -7101.,  3978.]), array([-500.,  -51.,  130.]))
(1, 16618, 16325, 14468, array([ 10112.,  -1264.,  -4704.]), array([-3930., -7238.,  4007.]), array([-500.,  -51.,  130.]))
(1, 17568, 17334, 17014, array([ 10208.,  -1216.,  -4736.]), array([-3798., -7379.,  4047.]), array([-501.,  -45.,  141.]))
(1, 18517, 18342, 17014, array([ 10272.,  -1200.,  -4752.]), array([-3513., -7564.,  4136.]), array([-501.,  -45.,  141.]))
(1, 19941, 19350, 19558, array([ 10256.,  -1232.,  -4688.]), array([-3271., -7781.,  4167.]), array([-500.,  -36.,  158.]))
