type,ID,seq,packetLoss,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula,voltage
2,5,5,0,12045914,14457602,-1728928169139922626,1361426809.798661,16392,572,136,nan,0.000000
2,5,5,0,12045914,14457602,-1728928169139920005,1361426809.798661,15984,100,-212,nan,0.000000
2,5,5,0,12045914,14457602,-1728928169139917384,1361426809.798661,16212,980,-812,nan,0.000000
2,5,5,0,12045914,14457602,-1728928169139914763,1361426809.798661,16032,728,-216,nan,0.000000
2,5,5,0,12045914,14457602,-1728928169139912142,1361426809.798661,14044,-440,-648,nan,0.000000
2,5,6,0,12045914,14457633,-1728928169139909521,1361426811.989207,19232,-2356,-1804,nan,0.000000
2,5,6,0,12045914,14457633,-1728928169139906900,1361426811.989207,17136,-2200,-228,nan,0.000000
2,5,6,0,12045914,14457633,-1728928169139904279,1361426811.989207,16492,-1860,-148,nan,0.000000
2,5,6,0,12045914,14457633,-1728928169139901658,1361426811.989207,15248,-2592,612,nan,0.000000
2,5,6,0,12045914,14457633,-1728928169139899037,1361426811.989207,15316,-2088,1088,nan,0.000000
1,5,7,0,12127240,14538774,2089504166220330232,1361426811.990864,14952,-3000,2172,nan,0.000000
1,5,7,0,12127240,14538774,2089504166220332853,1361426811.990864,14596,-2556,2908,nan,0.000000
2,5,8,0,12127240,14538806,2089504166220335474,1361426811.991440,15444,-2644,3616,nan,0.000000
2,5,8,0,12127240,14538806,2089504166220338095,1361426811.991440,16216,-1876,3888,nan,0.000000
2,5,8,0,12127240,14538806,2089504166220340716,1361426811.991440,17684,-3964,2628,nan,0.000000
2,5,8,0,12127240,14538806,2089504166220343337,1361426811.991440,15588,-1848,1660,nan,0.000000
2,5,8,0,12127240,14538806,2089504166220345958,1361426811.991440,15212,-4352,-1412,nan,0.000000
2,5,9,0,12127240,14538837,2089504166220348579,1361426811.992832,15116,-2124,-1284,nan,0.000000
2,5,9,0,12127240,14538837,2089504166220351200,1361426811.992832,16932,-1612,-376,nan,0.000000
2,5,9,0,12127240,14538837,2089504166220353821,1361426811.992832,15200,-968,-416,nan,0.000000
2,5,9,0,12127240,14538837,2089504166220356442,1361426811.992832,16000,-920,288,nan,0.000000
2,5,9,0,12127240,14538837,2089504166220359063,1361426811.992832,15860,-232,1076,nan,0.000000
2,5,10,0,12127240,14538870,2089504166220361684,1361426811.993748,15780,644,1088,nan,0.000000
2,5,10,0,12127240,14538870,2089504166220364305,1361426811.993748,15776,200,1348,nan,0.000000
2,5,10,0,12127240,14538870,2089504166220366926,1361426811.993748,16380,-296,1824,nan,0.000000
2,5,10,0,12127240,14538870,2089504166220369547,1361426811.993748,17628,440,2348,nan,0.000000
2,5,10,0,12127240,14538870,2089504166220372168,1361426811.993748,19340,-368,2140,nan,0.000000
2,5,11,0,12127240,14538901,2089504166220374789,1361426811.994816,14856,-4956,-2124,nan,0.000000
2,5,11,0,12127240,14538901,2089504166220377410,1361426811.994816,15872,-1836,656,nan,0.000000
2,5,11,0,12127240,14538901,2089504166220380031,1361426811.994816,16260,-2392,188,nan,0.000000
2,5,11,0,12127240,14538901,2089504166220382652,1361426811.994816,14264,-3376,384,nan,0.000000
2,5,11,0,12127240,14538901,2089504166220385273,1361426811.994816,15164,-1116,1536,nan,0.000000
2,5,12,0,12127240,14538933,2089504166220387894,1361426811.995523,14952,-2172,1256,nan,0.000000
2,5,12,0,12127240,14538933,2089504166220390515,1361426811.995523,14748,-1220,1808,nan,0.000000
2,5,12,0,12127240,14538933,2089504166220393136,1361426811.995523,15700,-1224,1808,nan,0.000000
2,5,12,0,12127240,14538933,2089504166220395757,1361426811.995523,15712,-1472,2044,nan,0.000000
2,5,12,0,12127240,14538933,2089504166220398378,1361426811.995523,17812,552,3896,nan,0.000000
2,5,13,0,12127240,14538965,2089504166220400999,1361426814.471175,20816,-4848,-412,nan,0.000000
2,5,13,0,12127240,14538965,2089504166220403620,1361426814.471175,16096,-656,-908,nan,0.000000
2,5,13,0,12127240,14538965,2089504166220406241,1361426814.471175,14352,-4260,-3536,nan,0.000000
2,5,13,0,12127240,14538965,2089504166220408862,1361426814.471175,16036,-3052,-880,nan,0.000000
2,5,13,0,12127240,14538965,2089504166220411483,1361426814.471175,14780,-1324,-440,nan,0.000000
1,5,14,0,12208567,14620105,8429736838221948158,1361426814.472807,16000,-1024,668,nan,0.000000
1,5,14,0,12208567,14620105,8429736838221950779,1361426814.472807,15988,-580,924,nan,0.000000
2,5,15,0,12208567,14620137,8429736838221953400,1361426814.473386,15712,24,1040,nan,0.000000
2,5,15,0,12208567,14620137,8429736838221956021,1361426814.473386,16004,156,1140,nan,0.000000
2,5,15,0,12208567,14620137,8429736838221958642,1361426814.473386,16480,916,1324,nan,0.000000
2,5,15,0,12208567,14620137,8429736838221961263,1361426814.473386,17276,1564,1632,nan,0.000000
2,5,15,0,12208567,14620137,8429736838221963884,1361426814.473386,17260,-1756,776,nan,0.000000
