type,ID,seq,packetLoss,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula,voltage
1,5,5,0,15759926,206112590,866891199888163848,1361360878.036411,16640,-2592,1776,nan,0.000000
1,5,5,0,15759926,206112590,866891199888166469,1361360878.036411,15308,-3440,1324,nan,0.000000
2,5,6,0,15759926,206112622,866891199888169090,1361360878.036661,15708,-2308,2388,nan,0.000000
2,5,6,0,15759926,206112622,866891199888171711,1361360878.036661,16336,-316,1764,nan,0.000000
2,5,6,0,15759926,206112622,866891199888174332,1361360878.036661,13184,876,5420,nan,0.000000
2,5,6,0,15759926,206112622,866891199888176953,1361360878.036661,18980,-3656,-576,nan,0.000000
2,5,6,0,15759926,206112622,866891199888179574,1361360878.036661,14088,328,5360,nan,0.000000
2,5,7,0,15759926,206112654,866891199888182195,1361360878.037069,15168,1548,6472,nan,0.000000
2,5,7,0,15759926,206112654,866891199888184816,1361360878.037069,16220,-32,4228,nan,0.000000
2,5,7,0,15759926,206112654,866891199888187437,1361360878.037069,14540,1752,4464,nan,0.000000
2,5,7,0,15759926,206112654,866891199888190058,1361360878.037069,16324,-1320,4300,nan,0.000000
2,5,7,0,15759926,206112654,866891199888192679,1361360878.037069,15004,456,5792,nan,0.000000
2,5,8,0,15759926,206112686,866891199888195300,1361360878.037317,14852,536,5652,nan,0.000000
2,5,8,0,15759926,206112686,866891199888197921,1361360878.037317,16132,608,2876,nan,0.000000
2,5,8,0,15759926,206112686,866891199888200542,1361360878.037317,17808,-1116,2836,nan,0.000000
2,5,8,0,15759926,206112686,866891199888203163,1361360878.037317,14536,1028,3412,nan,0.000000
2,5,8,0,15759926,206112686,866891199888205784,1361360878.037317,15804,-1144,3164,nan,0.000000
2,5,9,0,15759926,206112717,866891199888208405,1361360878.037573,14580,-5736,-780,nan,0.000000
2,5,9,0,15759926,206112717,866891199888211026,1361360878.037573,16244,-1196,1524,nan,0.000000
2,5,9,0,15759926,206112717,866891199888213647,1361360878.037573,18116,-476,1920,nan,0.000000
2,5,9,0,15759926,206112717,866891199888216268,1361360878.037573,14776,-972,2972,nan,0.000000
2,5,9,0,15759926,206112717,866891199888218889,1361360878.037573,14128,2448,2756,nan,0.000000
2,5,10,0,15759926,206112749,866891199888221510,1361360878.037841,15528,168,1904,nan,0.000000
2,5,10,0,15759926,206112749,866891199888224131,1361360878.037841,18384,-2008,1376,nan,0.000000
2,5,10,0,15759926,206112749,866891199888226752,1361360878.037841,13120,-168,2904,nan,0.000000
2,5,10,0,15759926,206112749,866891199888229373,1361360878.037841,16336,352,3596,nan,0.000000
2,5,10,0,15759926,206112749,866891199888231994,1361360878.037841,16996,-264,3196,nan,0.000000
2,5,11,0,15759926,206112781,866891199888234615,1361360878.038099,15356,-116,3512,nan,0.000000
2,5,11,0,15759926,206112781,866891199888237236,1361360878.038099,15052,-56,3656,nan,0.000000
2,5,11,0,15759926,206112781,866891199888239857,1361360878.038099,16040,-448,2808,nan,0.000000
2,5,11,0,15759926,206112781,866891199888242478,1361360878.038099,16600,748,1704,nan,0.000000
2,5,11,0,15759926,206112781,866891199888245099,1361360878.038099,15620,-60,736,nan,0.000000
1,5,12,0,15841251,206193918,5192308421373376525,1361360878.038336,16764,-728,-512,nan,0.000000
