type,ID,seq,packetLoss,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula,voltage
1,5,10,0,2957764,171984476,7565485458314473476,1361196632.642380,19388,2736,-832,nan,0.000000
1,5,10,0,2957764,171984476,7565485458314476097,1361196632.642380,14404,-2876,188,nan,0.000000
2,5,11,0,2957764,171984508,7565485458314478718,1361196632.642622,16340,3460,-488,nan,0.000000
2,5,11,0,2957764,171984508,7565485458314481339,1361196632.642622,14520,-416,776,nan,0.000000
2,5,11,0,2957764,171984508,7565485458314483960,1361196632.642622,15220,572,420,nan,0.000000
2,5,11,0,2957764,171984508,7565485458314486581,1361196632.642622,15476,-936,3144,nan,0.000000
2,5,11,0,2957764,171984508,7565485458314489202,1361196632.642622,17516,4512,6404,nan,0.000000
2,5,12,0,2957764,171984539,7565485458314491823,1361196632.643030,15456,4608,5424,nan,0.000000
2,5,12,0,2957764,171984539,7565485458314494444,1361196632.643030,15460,2076,9092,nan,0.000000
2,5,12,0,2957764,171984539,7565485458314497065,1361196632.643030,12668,2256,6608,nan,0.000000
2,5,12,0,2957764,171984539,7565485458314499686,1361196632.643030,13496,4440,8632,nan,0.000000
2,5,12,0,2957764,171984539,7565485458314502307,1361196632.643030,14036,3864,8980,nan,0.000000
2,5,13,0,2957764,171984571,7565485458314504928,1361196632.643366,12812,4252,9052,nan,0.000000
2,5,13,0,2957764,171984571,7565485458314507549,1361196632.643366,12444,3820,8672,nan,0.000000
2,5,13,0,2957764,171984571,7565485458314510170,1361196632.643366,12940,6468,8844,nan,0.000000
2,5,13,0,2957764,171984571,7565485458314512791,1361196632.643366,12700,6176,8560,nan,0.000000
2,5,13,0,2957764,171984571,7565485458314515412,1361196632.643366,12508,6448,8496,nan,0.000000
2,5,14,0,2957764,171984603,7565485458314518033,1361196632.643752,11912,8492,7568,nan,0.000000
2,5,14,0,2957764,171984603,7565485458314520654,1361196632.643752,11524,9628,7548,nan,0.000000
2,5,14,0,2957764,171984603,7565485458314523275,1361196632.643752,11136,8964,7016,nan,0.000000
2,5,14,0,2957764,171984603,7565485458314525896,1361196632.643752,11324,9472,6948,nan,0.000000
2,5,14,0,2957764,171984603,7565485458314528517,1361196632.643752,11404,9124,7364,nan,0.000000
2,5,15,0,2957764,171984634,7565485458314531138,1361196632.644130,11496,9852,7500,nan,0.000000
2,5,15,0,2957764,171984634,7565485458314533759,1361196632.644130,11320,9320,8124,nan,0.000000
2,5,15,0,2957764,171984634,7565485458314536380,1361196632.644130,10812,9020,8668,nan,0.000000
2,5,15,0,2957764,171984634,7565485458314539001,1361196632.644130,10604,9372,8564,nan,0.000000
2,5,15,0,2957764,171984634,7565485458314541622,1361196632.644130,10424,9148,8692,nan,0.000000
2,5,0,0,2957764,171984666,7565485458314544243,1361196632.644553,10504,8740,8864,nan,0.000000
2,5,0,0,2957764,171984666,7565485458314546864,1361196632.644553,10560,9152,9056,nan,0.000000
2,5,0,0,2957764,171984666,7565485458314549485,1361196632.644553,10564,9064,9140,nan,0.000000
2,5,0,0,2957764,171984666,7565485458314552106,1361196632.644553,10316,8888,9188,nan,0.000000
2,5,0,0,2957764,171984666,7565485458314554727,1361196632.644553,10312,9192,9144,nan,0.000000
1,5,1,0,3039021,172065736,6927591909458812962,1361196632.644967,10504,8996,8848,nan,0.000000
1,5,1,0,3039021,172065736,6927591909458815583,1361196632.644967,10396,9172,8732,nan,0.000000
2,5,2,0,3039021,172065767,6927591909458818204,1361196632.645145,10356,9292,8708,nan,0.000000
2,5,2,0,3039021,172065767,6927591909458820825,1361196632.645145,10376,9540,8896,nan,0.000000
2,5,2,0,3039021,172065767,6927591909458823446,1361196632.645145,9800,9864,9516,nan,0.000000
2,5,2,0,3039021,172065767,6927591909458826067,1361196632.645145,10472,9220,8468,nan,0.000000
2,5,2,0,3039021,172065767,6927591909458828688,1361196632.645145,10136,9672,9188,nan,0.000000
2,5,3,0,3039021,172065799,6927591909458831309,1361196632.645521,10224,9268,8852,nan,0.000000
