type,ID,seq,packetLoss,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula,voltage
1,5,12,0,3381072,260845275,-4832264612483280655,1361362539.607106,15752,-3532,-2064,nan,0.000000
1,5,12,1,3381072,260845275,-4832264612483278034,1361362539.607106,15236,-3660,-500,nan,0.000000
2,5,13,1,3381072,260845307,-4832264612483275413,1361362539.607278,14832,-4604,-760,nan,0.000000
2,5,13,1,3381072,260845307,-4832264612483272792,1361362539.607278,15104,-1416,132,nan,0.000000
2,5,13,1,3381072,260845307,-4832264612483270171,1361362539.607278,17268,-2888,-796,nan,0.000000
2,5,13,1,3381072,260845307,-4832264612483267550,1361362539.607278,18632,-4140,-220,nan,0.000000
2,5,13,1,3381072,260845307,-4832264612483264929,1361362539.607278,13420,-5164,-3024,nan,0.000000
2,5,14,1,3381072,260845339,-4832264612483262308,1361362539.607505,15488,-4688,-4004,nan,0.000000
2,5,14,1,3381072,260845339,-4832264612483259687,1361362539.607505,15232,-1428,-2600,nan,0.000000
2,5,14,1,3381072,260845339,-4832264612483257066,1361362539.607505,14792,-932,-1260,nan,0.000000
2,5,14,1,3381072,260845339,-4832264612483254445,1361362539.607505,15688,-1988,-2040,nan,0.000000
2,5,14,1,3381072,260845339,-4832264612483251824,1361362539.607505,15876,-1000,-2236,nan,0.000000
2,5,15,1,3381072,260845371,-4832264612483249203,1361362539.607733,15996,-92,-1364,nan,0.000000
2,5,15,1,3381072,260845371,-4832264612483246582,1361362539.607733,16344,-916,-3620,nan,0.000000
2,5,15,1,3381072,260845371,-4832264612483243961,1361362539.607733,19764,-3744,-2524,nan,0.000000
2,5,15,1,3381072,260845371,-4832264612483241340,1361362539.607733,14572,-5148,-4028,nan,0.000000
2,5,15,1,3381072,260845371,-4832264612483238719,1361362539.607733,13112,-3412,104,nan,0.000000
2,5,0,1,3381072,260845402,-4832264612483236098,1361362539.607986,16956,-4356,-796,nan,0.000000
2,5,0,1,3381072,260845402,-4832264612483233477,1361362539.607986,13764,-4572,-444,nan,0.000000
2,5,0,1,3381072,260845402,-4832264612483230856,1361362539.607986,14680,-3892,316,nan,0.000000
2,5,0,1,3381072,260845402,-4832264612483228235,1361362539.607986,14896,-4052,260,nan,0.000000
2,5,0,1,3381072,260845402,-4832264612483225614,1361362539.607986,14344,-3976,256,nan,0.000000
2,5,1,1,3381072,260845434,-4832264612483222993,1361362539.608289,15228,-3656,-268,nan,0.000000
2,5,1,1,3381072,260845434,-4832264612483220372,1361362539.608289,20204,-3756,-352,nan,0.000000
2,5,1,1,3381072,260845434,-4832264612483217751,1361362539.608289,15336,-6568,-112,nan,0.000000
2,5,1,1,3381072,260845434,-4832264612483215130,1361362539.608289,12756,-5288,-2672,nan,0.000000
2,5,1,1,3381072,260845434,-4832264612483212509,1361362539.608289,17192,-3984,-3440,nan,0.000000
2,5,2,1,3381072,260845468,-4832264612483209888,1361362541.977174,14684,-3852,-2912,nan,0.000000
2,5,2,1,3381072,260845468,-4832264612483207267,1361362541.977174,15428,-2188,-2444,nan,0.000000
2,5,2,1,3381072,260845468,-4832264612483204646,1361362541.977174,15992,-984,-2328,nan,0.000000
2,5,2,1,3381072,260845468,-4832264612483202025,1361362541.977174,15544,-1376,-2896,nan,0.000000
2,5,2,1,3381072,260845468,-4832264612483199404,1361362541.977174,16040,-736,-3824,nan,0.000000
1,5,3,0,3462398,260926606,8428052358021030132,1361362541.978951,17592,-4948,-992,nan,0.000000
1,5,3,0,3462398,260926606,8428052358021032753,1361362541.978951,15220,-2512,1588,nan,0.000000
2,5,4,0,3462398,260926638,8428052358021035374,1361362541.979628,15440,-3396,-176,nan,0.000000
2,5,4,0,3462398,260926638,8428052358021037995,1361362541.979628,15108,-3064,252,nan,0.000000
2,5,4,0,3462398,260926638,8428052358021040616,1361362541.979628,14884,-3460,-296,nan,0.000000
2,5,4,0,3462398,260926638,8428052358021043237,1361362541.979628,14520,-3636,-60,nan,0.000000
2,5,4,0,3462398,260926638,8428052358021045858,1361362541.979628,16356,-2704,444,nan,0.000000
2,5,5,0,3462398,260926670,8428052358021048479,1361362541.980988,15260,-3516,324,nan,0.000000
2,5,5,0,3462398,260926670,8428052358021051100,1361362541.980988,18564,-4928,-1224,nan,0.000000
2,5,5,0,3462398,260926670,8428052358021053721,1361362541.980988,15688,-7628,-1180,nan,0.000000
2,5,5,0,3462398,260926670,8428052358021056342,1361362541.980988,14580,-3904,-1328,nan,0.000000
2,5,5,0,3462398,260926670,8428052358021058963,1361362541.980988,14992,-4084,-1052,nan,0.000000
2,5,6,0,3462398,260926702,8428052358021061584,1361362541.981783,14312,-3992,-1416,nan,0.000000
2,5,6,0,3462398,260926702,8428052358021064205,1361362541.981783,14944,-1596,-292,nan,0.000000
2,5,6,0,3462398,260926702,8428052358021066826,1361362541.981783,15488,-1348,-856,nan,0.000000
2,5,6,0,3462398,260926702,8428052358021069447,1361362541.981783,16196,-3568,-1260,nan,0.000000
2,5,6,0,3462398,260926702,8428052358021072068,1361362541.981783,15972,-2680,-1256,nan,0.000000
2,5,7,0,3462398,260926734,8428052358021074689,1361362541.982917,18896,-3772,-3464,nan,0.000000
2,5,7,0,3462398,260926734,8428052358021077310,1361362541.982917,14320,-5892,-2108,nan,0.000000
2,5,7,0,3462398,260926734,8428052358021079931,1361362541.982917,16116,-4296,640,nan,0.000000
2,5,7,0,3462398,260926734,8428052358021082552,1361362541.982917,14456,-5632,-1108,nan,0.000000
2,5,7,0,3462398,260926734,8428052358021085173,1361362541.982917,13984,-3440,580,nan,0.000000
2,5,8,0,3462398,260926766,8428052358021087794,1361362541.983814,14256,-2368,1796,nan,0.000000
2,5,8,0,3462398,260926766,8428052358021090415,1361362541.983814,14120,-3208,312,nan,0.000000
2,5,8,0,3462398,260926766,8428052358021093036,1361362541.983814,18672,-6736,644,nan,0.000000
2,5,8,0,3462398,260926766,8428052358021095657,1361362541.983814,20936,-5560,-3140,nan,0.000000
2,5,8,0,3462398,260926766,8428052358021098278,1361362541.983814,9944,-1540,-3120,nan,0.000000
2,5,9,0,3462398,260926798,8428052358021100899,1361362544.459211,16964,-4192,-3456,nan,0.000000
2,5,9,0,3462398,260926798,8428052358021103520,1361362544.459211,14316,-1696,-3400,nan,0.000000
2,5,9,0,3462398,260926798,8428052358021106141,1361362544.459211,14776,-1828,-3376,nan,0.000000
2,5,9,0,3462398,260926798,8428052358021108762,1361362544.459211,14592,-468,-2488,nan,0.000000
2,5,9,0,3462398,260926798,8428052358021111383,1361362544.459211,15500,8,-1916,nan,0.000000
1,5,10,0,3543721,261007933,-5119923199840648974,1361362544.461173,20484,1356,-1940,nan,0.000000
1,5,10,0,3543721,261007933,-5119923199840646353,1361362544.461173,13664,-5452,-5240,nan,0.000000
2,5,11,0,3543721,261007965,-5119923199840643732,1361362544.461510,15212,-4128,-2492,nan,0.000000
2,5,11,0,3543721,261007965,-5119923199840641111,1361362544.461510,16016,-3020,-1720,nan,0.000000
2,5,11,0,3543721,261007965,-5119923199840638490,1361362544.461510,14052,-700,-328,nan,0.000000
2,5,11,0,3543721,261007965,-5119923199840635869,1361362544.461510,14684,-2216,-484,nan,0.000000
2,5,11,0,3543721,261007965,-5119923199840633248,1361362544.461510,14248,-1688,-312,nan,0.000000
2,5,12,0,3543721,261007997,-5119923199840630627,1361362544.462977,15092,-3628,-1244,nan,0.000000
2,5,12,0,3543721,261007997,-5119923199840628006,1361362544.462977,21092,-836,444,nan,0.000000
2,5,12,0,3543721,261007997,-5119923199840625385,1361362544.462977,17892,-6336,-4088,nan,0.000000
2,5,12,0,3543721,261007997,-5119923199840622764,1361362544.462977,12080,-1244,-4476,nan,0.000000
2,5,12,0,3543721,261007997,-5119923199840620143,1361362544.462977,16916,-2200,-3644,nan,0.000000
2,5,13,0,3543721,261008029,-5119923199840617522,1361362544.463446,13844,-1528,-3408,nan,0.000000
