(6, 9607, 9759, 9231, array([-7616.,  -304.,  3408.]), array([-8422.,  -473.,  5148.]), array([ 222., -140., -243.]))
(6, 11031, 10767, 9231, array([-7632.,  -304.,  3360.]), array([-8426.,  -478.,  5098.]), array([ 222., -140., -243.]))
(6, 11980, 11775, 11777, array([-7664.,  -240.,  3376.]), array([-8425.,  -489.,  5107.]), array([ 217., -135.,   -3.]))
(6, 12933, 12783, 11777, array([-7744.,  -320.,  3440.]), array([-8411.,  -487.,  5131.]), array([ 217., -135.,   -3.]))
(6, 14356, 13791, 14322, array([-7680.,  -256.,  3360.]), array([-8435.,  -475.,  5125.]), array([ 206., -128., -259.]))
(6, 15306, 14799, 14322, array([-7616.,  -208.,  3376.]), array([-8399.,  -488.,  5098.]), array([ 206., -128., -259.]))
(6, 16255, 15807, 14322, array([-7728.,  -336.,  3360.]), array([-8377.,  -519.,  5104.]), array([ 206., -128., -259.]))
(6, 17678, 16815, 16868, array([-7712.,  -288.,  3408.]), array([-8422.,  -532.,  5120.]), array([ 207., -119., -263.]))
(6, 18627, 18831, 16868, array([-7712.,  -336.,  3344.]), array([-8422.,  -493.,  5114.]), array([ 207., -119., -263.]))
(6, 20051, 19839, 19413, array([-7712.,  -240.,  3296.]), array([-8428.,  -503.,  5077.]), array([ 203., -114., -272.]))
(6, 21000, 20847, 19413, array([-7696.,  -304.,  3312.]), array([-8382.,  -544.,  5103.]), array([ 203., -114., -272.]))
(6, 21949, 21855, 21958, array([-7648.,  -448.,  3200.]), array([-8358.,  -518.,  5147.]), array([ 194., -107., -285.]))
(6, 23373, 22863, 21958, array([-7616.,  -272.,  3312.]), array([-8310.,  -524.,  5152.]), array([ 194., -107., -285.]))
(6, 24322, 23871, 24503, array([-7600.,  -320.,  3232.]), array([-8385.,  -515.,  5123.]), array([ 194.,  -97., -285.]))
(6, 25271, 24879, 24503, array([-7520.,  -320.,  3296.]), array([-8419.,  -536.,  5129.]), array([ 194.,  -97., -285.]))
(6, 26694, 25887, 24503, array([-7504.,  -480.,  3264.]), array([-8376.,  -507.,  5158.]), array([ 194.,  -97., -285.]))
(6, 27643, 27903, 27048, array([-7536.,  -464.,  3312.]), array([-8340.,  -448.,  5132.]), array([ 190.,  -90., -289.]))
(6, 29067, 28911, 27048, array([-7616.,  -400.,  3232.]), array([-8413.,  -452.,  5087.]), array([ 190.,  -90., -289.]))
(6, 30015, 29919, 29593, array([-7568.,  -448.,  3184.]), array([-8371.,  -474.,  5108.]), array([ 187.,  -81., -302.]))
(6, 30969, 30927, 29593, array([-7616.,  -544.,  3296.]), array([-8340.,  -478.,  5153.]), array([ 187.,  -81., -302.]))
(6, 32393, 31935, 32138, array([-7696.,  -448.,  3344.]), array([-8332.,  -457.,  5125.]), array([ 180.,  -72., -302.]))
(6, 33342, 32943, 32138, array([-7632.,  -352.,  3344.]), array([-8366.,  -471.,  5064.]), array([ 180.,  -72., -302.]))
(6, 34295, 33951, 34684, array([-7648.,  -384.,  3264.]), array([-8421.,  -430.,  5051.]), array([ 183.,  -62., -308.]))
(6, 35719, 34959, 34684, array([-7744.,  -400.,  3424.]), array([-8364.,  -445.,  5096.]), array([ 183.,  -62., -308.]))
(6, 36667, 35967, 34684, array([-7856.,  -416.,  3392.]), array([-8302.,  -462.,  5149.]), array([ 183.,  -62., -308.]))
