(6, 60401, 60232, 58458, array([-7680.,  -192.,  2512.]), array([-7282.,  -305.,  1873.]), array([ 298., -161.,  -82.]))
(6, 61350, 61240, 61002, array([-7792.,   -16.,  2496.]), array([-7242.,  -298.,  1860.]), array([ 297., -161.,  -88.]))
(6, 62774, 62248, 61002, array([-7776.,   -48.,  2528.]), array([-7296.,  -324.,  1836.]), array([ 297., -161.,  -88.]))
(6, 63724, 63256, 63548, array([-7696.,   -80.,  2384.]), array([-7270.,  -315.,  1882.]), array([ 297., -158.,  -92.]))
(6, 64673, 64264, 63548, array([-7792.,   -96.,  2416.]), array([-7272.,  -300.,  1885.]), array([ 297., -158.,  -92.]))
(6, 561, 65272, 559, array([-7840.,  -144.,  2416.]), array([-7252.,  -303.,  1891.]), array([ 286., -160., -110.]))
(6, 1510, 1752, 559, array([-7856.,  -144.,  2528.]), array([-7199.,  -340.,  1880.]), array([ 286., -160., -110.]))
(6, 2459, 2760, 559, array([-7744.,   -80.,  2480.]), array([-7237.,  -344.,  1845.]), array([ 286., -160., -110.]))
(6, 3884, 3768, 3104, array([-7696.,   -32.,  2352.]), array([-7267.,  -338.,  1862.]), array([ 290., -160., -110.]))
(6, 6257, 5784, 5650, array([-7776.,  -112.,  2528.]), array([-7240.,  -328.,  1910.]), array([ 286., -156., -118.]))
(6, 7206, 6792, 5650, array([-7696.,  -160.,  2656.]), array([-7198.,  -296.,  1865.]), array([ 286., -156., -118.]))
(6, 8156, 7800, 8195, array([-7744.,  -144.,  2448.]), array([-7225.,  -296.,  1846.]), array([ 283., -155., -129.]))
(6, 9579, 8808, 8195, array([-7760.,  -112.,  2512.]), array([-7243.,  -336.,  1833.]), array([ 283., -155., -129.]))
(6, 10529, 9816, 10741, array([-7760.,  -112.,  2416.]), array([-7204.,  -332.,  1841.]), array([ 283., -153., -129.]))
(6, 11478, 11832, 10741, array([-7824.,  -192.,  2480.]), array([-7249.,  -317.,  1873.]), array([ 283., -153., -129.]))
(6, 12902, 12840, 10741, array([-7776.,  -160.,  2480.]), array([-7192.,  -287.,  1862.]), array([ 283., -153., -129.]))
(6, 13851, 13848, 13286, array([-7712.,   -96.,  2480.]), array([-7180.,  -314.,  1856.]), array([ 282., -153., -141.]))
(6, 16223, 15864, 15832, array([-7616.,   -64.,  2576.]), array([-7202.,  -315.,  1853.]), array([ 280., -145., -145.]))
(6, 17172, 16872, 15832, array([-7776.,  -192.,  2496.]), array([-7228.,  -336.,  1864.]), array([ 280., -145., -145.]))
(6, 18596, 17880, 18377, array([-7808.,  -240.,  2448.]), array([-7188.,  -309.,  1862.]), array([ 278., -143., -153.]))
(6, 20494, 20904, 20923, array([-7728.,  -128.,  2464.]), array([-7181.,  -306.,  1845.]), array([ 282., -142., -160.]))
(6, 21918, 21912, 20923, array([-7648.,  -192.,  2496.]), array([-7187.,  -321.,  1842.]), array([ 282., -142., -160.]))
(6, 22867, 22920, 20923, array([-7744.,  -272.,  2528.]), array([-7151.,  -312.,  1841.]), array([ 282., -142., -160.]))
(6, 24291, 23928, 23470, array([-7792.,  -192.,  2464.]), array([-7155.,  -295.,  1839.]), array([ 275., -139., -166.]))
(6, 25240, 24936, 23470, array([-7840.,  -224.,  2528.]), array([-7152.,  -300.,  1857.]), array([ 275., -139., -166.]))
(6, 26190, 25944, 26016, array([-7760.,  -192.,  2512.]), array([-7107.,  -309.,  1819.]), array([ 273., -137., -170.]))
(6, 27614, 26952, 26016, array([-7616.,  -160.,  2448.]), array([-7168.,  -312.,  1814.]), array([ 273., -137., -170.]))
(6, 28562, 27960, 28562, array([-7776.,  -240.,  2512.]), array([-7140.,  -314.,  1827.]), array([ 274., -132., -187.]))
(6, 29512, 28968, 28562, array([-7792.,  -352.,  2528.]), array([-7132.,  -315.,  1849.]), array([ 274., -132., -187.]))
(6, 30934, 30984, 28562, array([-7792.,  -368.,  2544.]), array([-7117.,  -281.,  1807.]), array([ 274., -132., -187.]))
(6, 31883, 31992, 31107, array([-7792.,  -208.,  2560.]), array([-7118.,  -293.,  1798.]), array([ 271., -130., -186.]))
(6, 32832, 33000, 31107, array([-7696.,  -176.,  2544.]), array([-7082.,  -288.,  1789.]), array([ 271., -130., -186.]))
(6, 34256, 34008, 33653, array([-7712.,  -272.,  2480.]), array([-7090.,  -306.,  1766.]), array([ 272., -124., -186.]))
(6, 35206, 35016, 33653, array([-7792.,  -336.,  2432.]), array([-7118.,  -336.,  1807.]), array([ 272., -124., -186.]))
(6, 36629, 36024, 36197, array([-7840.,  -384.,  2576.]), array([-7065.,  -311.,  1820.]), array([ 267., -121., -204.]))
(6, 37578, 37032, 36197, array([-7856.,  -288.,  2592.]), array([-7048.,  -282.,  1804.]), array([ 267., -121., -204.]))
(6, 38528, 38040, 38742, array([-7824.,  -224.,  2608.]), array([-7033.,  -286.,  1777.]), array([ 267., -117., -204.]))
(6, 39951, 39048, 38742, array([-7680.,  -272.,  2496.]), array([-7061.,  -292.,  1771.]), array([ 267., -117., -204.]))
(6, 40901, 41064, 38742, array([-7728.,  -384.,  2448.]), array([-7005.,  -315.,  1792.]), array([ 267., -117., -204.]))
(6, 41850, 42072, 41288, array([-7744.,  -496.,  2608.]), array([-7052.,  -297.,  1780.]), array([ 267., -113., -210.]))
(6, 43274, 43080, 41288, array([-7904.,  -400.,  2512.]), array([-7006.,  -266.,  1791.]), array([ 267., -113., -210.]))
(6, 44224, 44088, 43835, array([-7920.,  -352.,  2528.]), array([-6981.,  -264.,  1753.]), array([ 265., -106., -213.]))
(6, 45648, 45096, 43835, array([-7648.,  -160.,  2336.]), array([-7006.,  -290.,  1745.]), array([ 265., -106., -213.]))
(6, 46598, 46104, 46380, array([-7680.,  -288.,  2272.]), array([-6968.,  -332.,  1767.]), array([ 264., -103., -216.]))
(6, 47547, 47112, 46380, array([-7728.,  -448.,  2368.]), array([-6955.,  -341.,  1816.]), array([ 264., -103., -216.]))
(6, 48971, 48120, 48926, array([-7872.,  -480.,  2576.]), array([-6933.,  -329.,  1845.]), array([ 259., -100., -224.]))
(6, 49920, 50136, 48926, array([-7888.,  -416.,  2512.]), array([-6963.,  -264.,  1744.]), array([ 259., -100., -224.]))
(6, 50869, 51144, 48926, array([-7792.,  -304.,  2544.]), array([-6918.,  -291.,  1771.]), array([ 259., -100., -224.]))
(6, 52293, 52152, 51472, array([-7600.,  -176.,  2352.]), array([-6929.,  -319.,  1806.]), array([ 263.,  -94., -230.]))
(6, 53242, 53160, 51472, array([-7616.,  -336.,  2352.]), array([-6909.,  -342.,  1819.]), array([ 263.,  -94., -230.]))
(6, 54666, 54168, 54017, array([-7920.,  -528.,  2592.]), array([-6929.,  -312.,  1815.]), array([ 261.,  -86., -234.]))
