(6, 61859, 61749, 61508, array([-7472.,  -544.,  4048.]), array([-6290.,  -376.,  5022.]), array([ 167.,  284., -321.]))
(6, 63283, 62757, 61508, array([-7440.,  -496.,  4064.]), array([-6290.,  -389.,  5000.]), array([ 167.,  284., -321.]))
(6, 64232, 63765, 64053, array([-7488.,  -512.,  4016.]), array([-6407.,  -377.,  4958.]), array([ 171.,  292., -316.]))
(6, 65181, 64773, 64053, array([-7440.,  -528.,  4016.]), array([-6403.,  -383.,  4962.]), array([ 171.,  292., -316.]))
(6, 1069, 245, 1061, array([-7472.,  -592.,  3936.]), array([-6364.,  -394.,  5012.]), array([ 169.,  297., -316.]))
(6, 2018, 2261, 1061, array([-7456.,  -592.,  3952.]), array([-6293.,  -431.,  5072.]), array([ 169.,  297., -316.]))
(6, 2968, 3269, 1061, array([-7456.,  -544.,  3936.]), array([-6395.,  -425.,  4982.]), array([ 169.,  297., -316.]))
(6, 4392, 4277, 3606, array([-7360.,  -512.,  3936.]), array([-6403.,  -397.,  4940.]), array([ 174.,  300., -311.]))
(6, 5341, 5285, 3606, array([-7296.,  -592.,  3840.]), array([-6385.,  -413.,  4977.]), array([ 174.,  300., -311.]))
(6, 6765, 6293, 6152, array([-7488.,  -432.,  3920.]), array([-6314.,  -386.,  5034.]), array([ 183.,  307., -309.]))
(6, 7715, 7301, 6152, array([-7504.,  -496.,  3952.]), array([-6301.,  -407.,  5069.]), array([ 183.,  307., -309.]))
(6, 8664, 8309, 8697, array([-7488.,  -480.,  3936.]), array([-6352.,  -442.,  5012.]), array([ 187.,  311., -296.]))
(6, 10088, 9317, 8697, array([-7408.,  -496.,  3888.]), array([-6401.,  -400.,  4969.]), array([ 187.,  311., -296.]))
(6, 11037, 10325, 11242, array([-7488.,  -432.,  3920.]), array([-6441.,  -370.,  4974.]), array([ 187.,  312., -296.]))
(6, 11986, 12341, 11242, array([-7424.,  -528.,  3952.]), array([-6307.,  -413.,  5110.]), array([ 187.,  312., -296.]))
(6, 13410, 13349, 11242, array([-7504.,  -576.,  3968.]), array([-6372.,  -432.,  5104.]), array([ 187.,  312., -296.]))
(6, 14359, 14357, 13788, array([-7520.,  -544.,  3952.]), array([-6408.,  -410.,  5043.]), array([ 193.,  316., -295.]))
(6, 15783, 15365, 13788, array([-7456.,  -464.,  3856.]), array([-6431.,  -409.,  4984.]), array([ 193.,  316., -295.]))
(6, 16731, 16373, 16334, array([-7456.,  -448.,  3856.]), array([-6423.,  -371.,  5005.]), array([ 198.,  320., -287.]))
(6, 17681, 17381, 16334, array([-7536.,  -432.,  3920.]), array([-6361.,  -411.,  5067.]), array([ 198.,  320., -287.]))
(6, 19103, 18389, 18878, array([-7568.,  -464.,  3952.]), array([-6394.,  -422.,  5093.]), array([ 196.,  325., -284.]))
(6, 20053, 19397, 18878, array([-7568.,  -416.,  3920.]), array([-6412.,  -414.,  5040.]), array([ 196.,  325., -284.]))
(6, 21002, 21413, 21422, array([-7536.,  -400.,  3968.]), array([-6477.,  -396.,  5013.]), array([ 206.,  329., -273.]))
(6, 22426, 22421, 21422, array([-7600.,  -416.,  3824.]), array([-6440.,  -401.,  5071.]), array([ 206.,  329., -273.]))
(6, 23376, 23429, 21422, array([-7520.,  -432.,  3872.]), array([-6367.,  -433.,  5124.]), array([ 206.,  329., -273.]))
(6, 25749, 25445, 23968, array([-7568.,  -448.,  3904.]), array([-6434.,  -431.,  5042.]), array([ 212.,  330., -273.]))
(6, 26699, 26453, 26512, array([-7616.,  -416.,  3824.]), array([-6468.,  -441.,  5005.]), array([ 217.,  334., -272.]))
(6, 28123, 27461, 26512, array([-7520.,  -416.,  3824.]), array([-6437.,  -431.,  5027.]), array([ 217.,  334., -272.]))
(6, 29072, 28469, 29057, array([-7584.,  -368.,  3920.]), array([-6435.,  -396.,  5080.]), array([ 219.,  337., -268.]))
(6, 30021, 29477, 29057, array([-7520.,  -336.,  3952.]), array([-6375.,  -425.,  5094.]), array([ 219.,  337., -268.]))
(6, 31445, 31493, 29057, array([-7552.,  -400.,  3824.]), array([-6434.,  -442.,  5033.]), array([ 219.,  337., -268.]))
(6, 32394, 32501, 31603, array([-7536.,  -368.,  3728.]), array([-6447.,  -423.,  5047.]), array([ 226.,  339., -263.]))
(6, 33344, 33509, 31603, array([-7488.,  -304.,  3760.]), array([-6479.,  -428.,  5094.]), array([ 226.,  339., -263.]))
(6, 34767, 34517, 34148, array([-7472.,  -432.,  3808.]), array([-6375.,  -453.,  5159.]), array([ 225.,  338., -257.]))
(6, 35716, 35525, 34148, array([-7520.,  -416.,  3808.]), array([-6393.,  -428.,  5131.]), array([ 225.,  338., -257.]))
(6, 37140, 36533, 36694, array([-7504.,  -304.,  3808.]), array([-6436.,  -449.,  5081.]), array([ 237.,  340., -248.]))
(6, 38090, 37541, 36694, array([-7600.,  -288.,  3808.]), array([-6499.,  -474.,  5014.]), array([ 237.,  340., -248.]))
(6, 39038, 38549, 39239, array([-7520.,  -320.,  3888.]), array([-6491.,  -440.,  5040.]), array([ 237.,  344., -248.]))
(6, 40462, 39557, 39239, array([-7568.,  -400.,  3808.]), array([-6407.,  -435.,  5121.]), array([ 237.,  344., -248.]))
(6, 41411, 41573, 39239, array([-7600.,  -304.,  3792.]), array([-6478.,  -431.,  5106.]), array([ 237.,  344., -248.]))
(6, 42360, 42581, 41785, array([-7568.,  -320.,  3776.]), array([-6516.,  -438.,  5032.]), array([ 245.,  345., -245.]))
(6, 43784, 43589, 41785, array([-7584.,  -288.,  3696.]), array([-6538.,  -392.,  5034.]), array([ 245.,  345., -245.]))
(6, 44733, 44597, 44331, array([-7584.,  -288.,  3744.]), array([-6437.,  -387.,  5112.]), array([ 249.,  345., -237.]))
(6, 46157, 45605, 44331, array([-7568.,  -320.,  3760.]), array([-6425.,  -423.,  5155.]), array([ 249.,  345., -237.]))
(6, 47106, 46613, 46877, array([-7568.,  -320.,  3776.]), array([-6441.,  -444.,  5111.]), array([ 250.,  348., -229.]))
(6, 48056, 47621, 46877, array([-7584.,  -304.,  3840.]), array([-6463.,  -426.,  5052.]), array([ 250.,  348., -229.]))
(6, 49480, 48629, 49422, array([-7728.,  -112.,  3920.]), array([-6500.,  -430.,  5065.]), array([ 251.,  346., -224.]))
(6, 50429, 50645, 49422, array([-7600.,  -192.,  3840.]), array([-6467.,  -407.,  5117.]), array([ 251.,  346., -224.]))
(6, 51379, 51653, 49422, array([-7728.,  -304.,  3808.]), array([-6437.,  -407.,  5156.]), array([ 251.,  346., -224.]))
(6, 52803, 52661, 51968, array([-7632.,  -272.,  3808.]), array([-6466.,  -412.,  5137.]), array([ 264.,  348., -220.]))
(6, 53752, 53670, 51968, array([-7600.,  -336.,  3776.]), array([-6524.,  -437.,  5079.]), array([ 264.,  348., -220.]))
(6, 56130, 55686, 54513, array([-7600.,  -240.,  3776.]), array([-6497.,  -464.,  5097.]), array([ 266.,  347., -211.]))
(6, 57079, 56694, 57059, array([-7616.,  -240.,  3680.]), array([-6509.,  -456.,  5118.]), array([ 273.,  346., -205.]))
(6, 58503, 57702, 57059, array([-7632.,  -288.,  3808.]), array([-6451.,  -451.,  5131.]), array([ 273.,  346., -205.]))
