(6, 51716, 51783, 49774, array([-8016.,   176.,  2704.]), array([-9118.,  -522.,  4198.]), array([ 368.,  -68.,   41.]))
(6, 52665, 52791, 52320, array([-7952.,   192.,  2608.]), array([-9088.,  -512.,  4191.]), array([ 366.,  -77.,   41.]))
(6, 54089, 53799, 52320, array([-7904.,   208.,  2640.]), array([-9139.,  -518.,  4191.]), array([ 366.,  -77.,   41.]))
(6, 55038, 54807, 54866, array([-7904.,   160.,  2512.]), array([-9198.,  -509.,  4208.]), array([ 364.,  -86.,   39.]))
(6, 55988, 55815, 54866, array([-7984.,   112.,  2400.]), array([-9141.,  -524.,  4229.]), array([ 364.,  -86.,   39.]))
(6, 57411, 56823, 57412, array([-7888.,    64.,  2480.]), array([-9129.,  -534.,  4231.]), array([ 354.,  -94.,   24.]))
(6, 58361, 57831, 57412, array([-7856.,    48.,  2496.]), array([-9155.,  -523.,  4234.]), array([ 354.,  -94.,   24.]))
(6, 59310, 58839, 57412, array([-7888.,    32.,  2608.]), array([-9119.,  -520.,  4244.]), array([ 354.,  -94.,   24.]))
(6, 60733, 60855, 59958, array([-7904.,   -16.,  2576.]), array([-9123.,  -497.,  4204.]), array([ 354., -103.,   24.]))
(6, 61682, 61863, 59958, array([-7920.,    16.,  2544.]), array([-9133.,  -487.,  4208.]), array([ 354., -103.,   24.]))
(6, 63105, 62871, 62504, array([-7888.,   144.,  2592.]), array([-9130.,  -502.,  4206.]), array([ 354., -108.,   13.]))
(6, 64055, 63879, 62504, array([-7888.,    96.,  2576.]), array([-9130.,  -510.,  4197.]), array([ 354., -108.,   13.]))
(6, 65004, 64887, 65050, array([-7840.,   112.,  2656.]), array([-9161.,  -517.,  4210.]), array([ 346., -114.,    0.]))
(6, 891, 359, 65050, array([-7872.,    64.,  2592.]), array([-9126.,  -507.,  4212.]), array([ 346., -114.,    0.]))
(6, 1840, 1367, 2059, array([-7888.,    48.,  2736.]), array([-9129.,  -482.,  4230.]), array([ 346., -122.,    0.]))
(6, 2794, 2375, 2059, array([-7856.,    32.,  2656.]), array([-9163.,  -511.,  4196.]), array([ 346., -122.,    0.]))
(6, 4217, 3383, 2059, array([-7824.,   -32.,  2640.]), array([-9184.,  -516.,  4181.]), array([ 346., -122.,    0.]))
(6, 5167, 5399, 4604, array([-7856.,   -32.,  2624.]), array([-9131.,  -490.,  4194.]), array([ 347., -131.,   -8.]))
(6, 6591, 6407, 4604, array([-7824.,    64.,  2560.]), array([-9151.,  -501.,  4177.]), array([ 347., -131.,   -8.]))
(6, 7540, 7415, 7150, array([-7824.,   112.,  2592.]), array([-9166.,  -547.,  4173.]), array([ 339., -132.,  -16.]))
(6, 8489, 8423, 7150, array([-7808.,   112.,  2688.]), array([-9140.,  -561.,  4182.]), array([ 339., -132.,  -16.]))
(6, 9913, 9431, 9696, array([-7872.,    96.,  2672.]), array([-9142.,  -551.,  4214.]), array([ 339., -138.,  -24.]))
(6, 10861, 10439, 9696, array([-7856.,   -16.,  2656.]), array([-9084.,  -520.,  4205.]), array([ 339., -138.,  -24.]))
(6, 11811, 11447, 9696, array([-7824.,   -32.,  2672.]), array([-9146.,  -490.,  4208.]), array([ 339., -138.,  -24.]))
(6, 13234, 12455, 12242, array([-7808.,    32.,  2784.]), array([-9099.,  -507.,  4208.]), array([ 333., -146.,  -33.]))
(6, 14183, 14471, 12242, array([-7904.,   -48.,  2672.]), array([-9140.,  -519.,  4196.]), array([ 333., -146.,  -33.]))
(6, 15607, 15479, 14788, array([-7856.,    64.,  2624.]), array([-9086.,  -530.,  4181.]), array([ 331., -152.,  -43.]))
(6, 16556, 16487, 14788, array([-7888.,    64.,  2656.]), array([-9094.,  -552.,  4141.]), array([ 331., -152.,  -43.]))
(6, 17505, 17495, 17333, array([-7808.,    16.,  2784.]), array([-9110.,  -587.,  4203.]), array([ 325., -155.,  -48.]))
(6, 18929, 18503, 17333, array([-7856.,   -64.,  2672.]), array([-9096.,  -543.,  4214.]), array([ 325., -155.,  -48.]))
(6, 19878, 19511, 19880, array([-7792.,   -64.,  2672.]), array([-9129.,  -494.,  4216.]), array([ 318., -158.,  -68.]))
(6, 20827, 20519, 19880, array([-7808.,   -48.,  2704.]), array([-9047.,  -492.,  4218.]), array([ 318., -158.,  -68.]))
(6, 22250, 21527, 19880, array([-7888.,   -80.,  2720.]), array([-9114.,  -476.,  4213.]), array([ 318., -158.,  -68.]))
(6, 23199, 22535, 22426, array([-7792.,   -64.,  2800.]), array([-9097.,  -484.,  4194.]), array([ 318., -164.,  -76.]))
(6, 24149, 24551, 22426, array([-7792.,   -64.,  2752.]), array([-9106.,  -511.,  4176.]), array([ 318., -164.,  -76.]))
(6, 25572, 25559, 24974, array([-7728.,   -48.,  2704.]), array([-9072.,  -525.,  4144.]), array([ 311., -167.,  -76.]))
(6, 26522, 26567, 24974, array([-7808.,   -16.,  2576.]), array([-9086.,  -553.,  4159.]), array([ 311., -167.,  -76.]))
(6, 27946, 27575, 27519, array([-7776.,    16.,  2784.]), array([-9086.,  -529.,  4174.]), array([ 301., -166.,  -94.]))
(6, 28894, 28583, 27519, array([-7712.,   -32.,  2736.]), array([-9083.,  -499.,  4149.]), array([ 301., -166.,  -94.]))
(6, 29843, 29591, 30064, array([-7872.,   -80.,  2704.]), array([-9117.,  -525.,  4162.]), array([ 301., -164.,  -94.]))
(6, 31266, 30599, 30064, array([-7856.,  -192.,  2832.]), array([-9088.,  -526.,  4194.]), array([ 301., -164.,  -94.]))
(6, 32215, 31607, 30064, array([-7648.,  -176.,  2752.]), array([-9072.,  -490.,  4196.]), array([ 301., -164.,  -94.]))
(6, 33165, 32615, 32609, array([-7824.,  -160.,  2720.]), array([-9073.,  -473.,  4172.]), array([ 297., -167., -104.]))
(6, 34589, 34631, 32609, array([-7744.,  -160.,  2784.]), array([-9121.,  -505.,  4154.]), array([ 297., -167., -104.]))
(6, 35542, 35639, 35154, array([-7728.,  -128.,  2768.]), array([-9058.,  -496.,  4157.]), array([ 293., -170., -115.]))
(6, 37915, 37655, 37700, array([-7760.,  -128.,  2736.]), array([-9069.,  -522.,  4171.]), array([ 287., -168., -118.]))
(6, 38864, 38663, 37700, array([-7824.,   -96.,  2736.]), array([-9053.,  -527.,  4159.]), array([ 287., -168., -118.]))
(6, 40288, 39671, 40246, array([-7856.,  -112.,  2816.]), array([-9074.,  -542.,  4175.]), array([ 277., -166., -133.]))
(6, 41236, 40679, 40246, array([-7792.,  -128.,  2816.]), array([-9054.,  -517.,  4171.]), array([ 277., -166., -133.]))
(6, 42185, 41687, 40246, array([-7904.,  -272.,  2800.]), array([-9049.,  -530.,  4193.]), array([ 277., -166., -133.]))
(6, 43609, 43704, 42791, array([-7856.,  -272.,  2784.]), array([-9019.,  -543.,  4155.]), array([ 280., -167., -142.]))
(6, 44558, 44712, 42791, array([-7760.,  -208.,  2800.]), array([-9044.,  -534.,  4163.]), array([ 280., -167., -142.]))
(6, 45982, 45720, 45338, array([-7744.,  -256.,  2768.]), array([-9013.,  -553.,  4167.]), array([ 271., -163., -150.]))
(6, 46932, 46728, 45338, array([-7744.,  -208.,  2688.]), array([-9060.,  -570.,  4166.]), array([ 271., -163., -150.]))
(6, 47881, 47736, 47885, array([-7616.,  -112.,  2736.]), array([-9062.,  -530.,  4134.]), array([ 265., -160., -171.]))
(6, 49305, 48744, 47885, array([-7776.,  -240.,  2800.]), array([-9038.,  -559.,  4123.]), array([ 265., -160., -171.]))
(6, 50254, 49752, 50431, array([-7856.,  -272.,  2720.]), array([-9060.,  -539.,  4152.]), array([ 265., -157., -171.]))
(6, 51203, 50760, 50431, array([-7808.,  -400.,  2704.]), array([-9002.,  -534.,  4168.]), array([ 265., -157., -171.]))
(6, 52627, 51768, 50431, array([-7760.,  -304.,  2784.]), array([-9018.,  -520.,  4180.]), array([ 265., -157., -171.]))
(6, 53577, 53784, 52978, array([-7696.,  -304.,  2784.]), array([-9015.,  -557.,  4143.]), array([ 257., -154., -182.]))
(6, 54526, 54792, 52978, array([-7712.,  -336.,  2784.]), array([-9034.,  -552.,  4166.]), array([ 257., -154., -182.]))
(6, 55950, 55800, 55524, array([-7792.,  -304.,  2768.]), array([-9008.,  -531.,  4154.]), array([ 249., -150., -198.]))
(6, 56899, 56808, 55524, array([-7824.,  -176.,  2848.]), array([-9018.,  -539.,  4133.]), array([ 249., -150., -198.]))
(6, 58323, 57816, 58069, array([-7792.,  -176.,  2752.]), array([-9001.,  -553.,  4126.]), array([ 249., -146., -198.]))
(6, 59271, 58824, 58069, array([-7856.,  -144.,  2832.]), array([-9007.,  -559.,  4154.]), array([ 249., -146., -198.]))
(6, 60221, 59832, 58069, array([-7712.,  -256.,  2976.]), array([-9031.,  -536.,  4153.]), array([ 249., -146., -198.]))
(6, 61644, 60840, 60616, array([-7776.,  -256.,  2864.]), array([-8996.,  -547.,  4162.]), array([ 243., -143., -209.]))
(6, 62593, 62856, 60616, array([-7840.,  -336.,  2880.]), array([-8987.,  -526.,  4167.]), array([ 243., -143., -209.]))
(6, 63542, 63864, 63162, array([-7792.,  -320.,  2848.]), array([-8965.,  -541.,  4172.]), array([ 239., -137., -216.]))
(6, 64966, 64872, 63162, array([-7776.,  -368.,  2832.]), array([-9028.,  -524.,  4133.]), array([ 239., -137., -216.]))
(6, 379, 344, 173, array([-7744.,  -304.,  2832.]), array([-8990.,  -547.,  4106.]), array([ 239., -128., -224.]))
