(6, 12964, 12795, 11020, array([-7872.,   544.,  2336.]), array([-8210.,  -284.,  2992.]), array([ 363.,   58.,  112.]))
(6, 13913, 13803, 13567, array([-7760.,   544.,  2288.]), array([-8264.,  -315.,  2998.]), array([ 362.,   49.,  113.]))
(6, 15336, 14811, 13567, array([-7840.,   400.,  2240.]), array([-8255.,  -342.,  3008.]), array([ 362.,   49.,  113.]))
(6, 16285, 15819, 16112, array([-7824.,   336.,  2224.]), array([-8271.,  -306.,  3014.]), array([ 361.,   39.,  115.]))
(6, 17234, 16827, 16112, array([-7792.,   400.,  2256.]), array([-8274.,  -313.,  3028.]), array([ 361.,   39.,  115.]))
(6, 18658, 17835, 18656, array([-7792.,   272.,  2256.]), array([-8255.,  -322.,  3035.]), array([ 359.,   29.,  110.]))
(6, 19606, 19851, 18656, array([-7808.,   352.,  2304.]), array([-8317.,  -308.,  2993.]), array([ 359.,   29.,  110.]))
(6, 20555, 20859, 18656, array([-7872.,   368.,  2352.]), array([-8332.,  -292.,  2991.]), array([ 359.,   29.,  110.]))
(6, 21979, 21867, 21202, array([-7872.,   512.,  2496.]), array([-8327.,  -262.,  3004.]), array([ 361.,   21.,  110.]))
(6, 22928, 22875, 21202, array([-7808.,   448.,  2432.]), array([-8282.,  -259.,  3026.]), array([ 361.,   21.,  110.]))
(6, 24352, 23883, 23747, array([-7952.,   432.,  2384.]), array([-8338.,  -295.,  3029.]), array([ 358.,   11.,  103.]))
(6, 25301, 24891, 23747, array([-7920.,   368.,  2368.]), array([-8277.,  -310.,  3054.]), array([ 358.,   11.,  103.]))
(6, 26251, 25899, 26293, array([-7840.,   352.,  2432.]), array([-8341.,  -333.,  3034.]), array([ 359.,    1.,  101.]))
(6, 27675, 26907, 26293, array([-7888.,   464.,  2352.]), array([-8342.,  -338.,  3009.]), array([ 359.,    1.,  101.]))
(6, 28624, 27915, 28838, array([-7936.,   304.,  2400.]), array([-8334.,  -316.,  3013.]), array([ 359.,   -6.,  101.]))
