(6, 36230, 36408, 34288, array([-8016.,  -144.,  1024.]), array([-9455.,  -807.,  -204.]), array([ 329.,  -93.,   96.]))
(6, 37179, 37416, 36832, array([-8016.,   -96.,   928.]), array([-9400.,  -790.,  -200.]), array([ 331.,  -97.,   90.]))
(6, 39552, 39432, 39376, array([-7984.,  -144.,   928.]), array([-9449.,  -825.,  -146.]), array([ 334., -105.,   79.]))
(6, 40501, 40440, 39376, array([-8016.,  -176.,  1040.]), array([-9470.,  -820.,  -136.]), array([ 334., -105.,   79.]))
(6, 41925, 41448, 41923, array([-8080.,  -224.,  1040.]), array([-9474.,  -808.,  -153.]), array([ 329., -108.,   73.]))
(6, 42874, 42456, 41923, array([-7984.,  -144.,  1024.]), array([-9432.,  -805.,  -166.]), array([ 329., -108.,   73.]))
(6, 44299, 43464, 41923, array([-7984.,  -160.,   992.]), array([-9410.,  -810.,  -190.]), array([ 329., -108.,   73.]))
(6, 45248, 44472, 44468, array([-7984.,  -112.,  1024.]), array([-9428.,  -853.,  -193.]), array([ 335., -114.,   67.]))
(6, 47621, 47496, 47013, array([-8032.,  -176.,  1040.]), array([-9455.,  -829.,  -153.]), array([ 335., -117.,   59.]))
(6, 48570, 48504, 47013, array([-8048.,  -192.,   944.]), array([-9485.,  -827.,  -164.]), array([ 335., -117.,   59.]))
(6, 49519, 49512, 49558, array([-7968.,  -176.,   928.]), array([-9478.,  -864.,  -152.]), array([ 338., -121.,   41.]))
(6, 50943, 50520, 49558, array([-8032.,  -272.,   992.]), array([-9431.,  -881.,  -140.]), array([ 338., -121.,   41.]))
(6, 51892, 51528, 52102, array([-8064.,  -256.,   976.]), array([-9494.,  -853.,  -178.]), array([ 338., -127.,   41.]))
(6, 52841, 52536, 52102, array([-8096.,  -192.,   976.]), array([-9483.,  -834.,  -176.]), array([ 338., -127.,   41.]))
(6, 54264, 53544, 52102, array([-7968.,  -192.,   928.]), array([-9508.,  -851.,  -201.]), array([ 338., -127.,   41.]))
(6, 55214, 54552, 54648, array([-7984.,  -208.,   992.]), array([-9488.,  -864.,  -191.]), array([ 338., -130.,   32.]))
(6, 56637, 56568, 54648, array([-8016.,  -272.,  1024.]), array([-9528.,  -827.,  -154.]), array([ 338., -130.,   32.]))
(6, 57587, 57576, 57192, array([-8032.,  -352.,  1008.]), array([-9465.,  -836.,  -135.]), array([ 337., -130.,   26.]))
(6, 58536, 58584, 57192, array([-8064.,  -352.,  1008.]), array([-9482.,  -850.,  -144.]), array([ 337., -130.,   26.]))
(6, 59960, 59592, 59736, array([-8000.,  -320.,  1088.]), array([-9505.,  -823.,  -147.]), array([ 336., -134.,   15.]))
(6, 60910, 60600, 59736, array([-7968.,  -304.,  1104.]), array([-9514.,  -807.,  -199.]), array([ 336., -134.,   15.]))
(6, 61859, 61608, 62282, array([-7984.,  -256.,  1056.]), array([-9539.,  -822.,  -216.]), array([ 341., -136.,    9.]))
(6, 63282, 62616, 62282, array([-7920.,  -240.,  1120.]), array([-9476.,  -813.,  -212.]), array([ 341., -136.,    9.]))
(6, 64232, 63624, 62282, array([-7968.,  -224.,  1168.]), array([-9469.,  -830.,  -192.]), array([ 341., -136.,    9.]))
(6, 120, 104, 64827, array([-8080.,  -288.,  1120.]), array([-9483.,  -839.,  -173.]), array([ 338., -138.,    2.]))
(6, 1069, 1112, 64827, array([-7952.,  -320.,  1120.]), array([-9541.,  -850.,  -162.]), array([ 338., -138.,    2.]))
(6, 2018, 2120, 1836, array([-7984.,  -352.,  1024.]), array([-9531.,  -871.,  -186.]), array([ 342., -141.,  -10.]))
(6, 3441, 3128, 1836, array([-7968.,  -368.,  1120.]), array([-9506.,  -873.,  -182.]), array([ 342., -141.,  -10.]))
(6, 4390, 4136, 4381, array([-8048.,  -352.,   992.]), array([-9498.,  -865.,  -168.]), array([ 342., -141.,  -20.]))
(6, 5340, 5144, 4381, array([-8016.,  -416.,   992.]), array([-9509.,  -849.,  -176.]), array([ 342., -141.,  -20.]))
(6, 6763, 6152, 4381, array([-7904.,  -288.,  1072.]), array([-9500.,  -840.,  -199.]), array([ 342., -141.,  -20.]))
(6, 7712, 7160, 6926, array([-8000.,  -240.,  1024.]), array([-9492.,  -858.,  -197.]), array([ 341., -140.,  -34.]))
(6, 9136, 8168, 6926, array([-7968.,  -368.,  1088.]), array([-9518.,  -869.,  -201.]), array([ 341., -140.,  -34.]))
(6, 10085, 10184, 9471, array([-8064.,  -416.,  1072.]), array([-9535.,  -837.,  -161.]), array([ 341., -141.,  -34.]))
(6, 11034, 11192, 9471, array([-8032.,  -432.,  1168.]), array([-9557.,  -797.,  -165.]), array([ 341., -141.,  -34.]))
(6, 12457, 12200, 12018, array([-7952.,  -416.,  1168.]), array([-9544.,  -824.,  -145.]), array([ 344., -141.,  -50.]))
(6, 13407, 13208, 12018, array([-7984.,  -432.,  1232.]), array([-9561.,  -845.,  -168.]), array([ 344., -141.,  -50.]))
(6, 14356, 14216, 14562, array([-8000.,  -464.,  1168.]), array([-9558.,  -842.,  -192.]), array([ 344., -140.,  -50.]))
(6, 15780, 15224, 14562, array([-8016.,  -432.,  1136.]), array([-9520.,  -854.,  -197.]), array([ 344., -140.,  -50.]))
(6, 16729, 16232, 14562, array([-8000.,  -336.,  1104.]), array([-9549.,  -849.,  -218.]), array([ 344., -140.,  -50.]))
(6, 17678, 17240, 17107, array([-8032.,  -272.,  1232.]), array([-9542.,  -835.,  -218.]), array([ 341., -138.,  -66.]))
(6, 19102, 19256, 17107, array([-8016.,  -336.,  1200.]), array([-9568.,  -870.,  -185.]), array([ 341., -138.,  -66.]))
(6, 20050, 20264, 19654, array([-8000.,  -432.,  1040.]), array([-9531.,  -865.,  -172.]), array([ 343., -137.,  -73.]))
(6, 21473, 21272, 19654, array([-8064.,  -464.,  1120.]), array([-9567.,  -895.,  -178.]), array([ 343., -137.,  -73.]))
(6, 22423, 22280, 22197, array([-8048.,  -480.,  1072.]), array([-9547.,  -886.,  -171.]), array([ 344., -137.,  -82.]))
(6, 23372, 23288, 22197, array([-7968.,  -560.,  1120.]), array([-9558.,  -895.,  -180.]), array([ 344., -137.,  -82.]))
(6, 24795, 24297, 24741, array([-7952.,  -528.,  1200.]), array([-9596.,  -876.,  -203.]), array([ 336., -134.,  -92.]))
(6, 25745, 25305, 24741, array([-7792.,  -512.,  1120.]), array([-9551.,  -842.,  -216.]), array([ 336., -134.,  -92.]))
(6, 26693, 26313, 24741, array([-7920.,  -464.,  1056.]), array([-9543.,  -835.,  -232.]), array([ 336., -134.,  -92.]))
(6, 28117, 27321, 27286, array([-8016.,  -480.,  1072.]), array([-9545.,  -828.,  -203.]), array([ 340., -131.,  -99.]))
(6, 29067, 29337, 27286, array([-8016.,  -512.,  1136.]), array([-9554.,  -842.,  -171.]), array([ 340., -131.,  -99.]))
(6, 30490, 30345, 29832, array([-7904.,  -528.,  1088.]), array([-9539.,  -832.,  -166.]), array([ 339., -129., -109.]))
(6, 31439, 31353, 29832, array([-8000.,  -640.,  1136.]), array([-9619.,  -860.,  -173.]), array([ 339., -129., -109.]))
(6, 32388, 32361, 32377, array([-8080.,  -656.,  1168.]), array([-9578.,  -853.,  -158.]), array([ 338., -122., -127.]))
(6, 33812, 33369, 32377, array([-8176.,  -528.,  1152.]), array([-9560.,  -847.,  -182.]), array([ 338., -122., -127.]))
(6, 34761, 34377, 34923, array([-8112.,  -400.,  1248.]), array([-9585.,  -842.,  -216.]), array([ 338., -119., -127.]))
(6, 35710, 35385, 34923, array([-8000.,  -368.,  1184.]), array([-9548.,  -858.,  -242.]), array([ 338., -119., -127.]))
(6, 37134, 36393, 34923, array([-8048.,  -432.,  1072.]), array([-9616.,  -879.,  -221.]), array([ 338., -119., -127.]))
(6, 38083, 37401, 37468, array([-8016.,  -448.,  1088.]), array([-9594.,  -886.,  -199.]), array([ 343., -114., -138.]))
(6, 39507, 39417, 37468, array([-8016.,  -512.,  1104.]), array([-9601.,  -861.,  -165.]), array([ 343., -114., -138.]))
(6, 40456, 40425, 40013, array([-7968.,  -608.,  1072.]), array([-9572.,  -858.,  -150.]), array([ 334., -115., -152.]))
(6, 41405, 41433, 40013, array([-7984.,  -672.,  1056.]), array([-9601.,  -870.,  -140.]), array([ 334., -115., -152.]))
(6, 42829, 42441, 42559, array([-7984.,  -800.,  1152.]), array([-9566.,  -853.,  -155.]), array([ 334., -106., -152.]))
(6, 43778, 43449, 42559, array([-7920.,  -704.,  1088.]), array([-9583.,  -876.,  -199.]), array([ 334., -106., -152.]))
(6, 44727, 44457, 45105, array([-7936.,  -640.,  1040.]), array([-9616.,  -873.,  -216.]), array([ 339.,  -99., -160.]))
(6, 46150, 45465, 45105, array([-7952.,  -576.,  1104.]), array([-9587.,  -875.,  -233.]), array([ 339.,  -99., -160.]))
(6, 47099, 46473, 45105, array([-8000.,  -560.,  1088.]), array([-9663.,  -863.,  -224.]), array([ 339.,  -99., -160.]))
(6, 48049, 48489, 47650, array([-7984.,  -480.,  1152.]), array([-9651.,  -869.,  -168.]), array([ 335.,  -95., -169.]))
(6, 49472, 49497, 47650, array([-7968.,  -640.,  1104.]), array([-9628.,  -854.,  -155.]), array([ 335.,  -95., -169.]))
(6, 50421, 50505, 50196, array([-7984.,  -704.,  1040.]), array([-9643.,  -876.,  -119.]), array([ 334.,  -86., -175.]))
(6, 51845, 51513, 50196, array([-7968.,  -864.,  1088.]), array([-9673.,  -871.,  -129.]), array([ 334.,  -86., -175.]))
(6, 52794, 52521, 52741, array([-7952.,  -800.,  1040.]), array([-9632.,  -843.,  -146.]), array([ 336.,  -81., -185.]))
(6, 53743, 53529, 52741, array([-8016.,  -688.,  1088.]), array([-9623.,  -837.,  -202.]), array([ 336.,  -81., -185.]))
(6, 55166, 54537, 52741, array([-7888.,  -608.,  1072.]), array([-9628.,  -828.,  -221.]), array([ 336.,  -81., -185.]))
(6, 56115, 55545, 55287, array([-7872.,  -624.,  1088.]), array([-9627.,  -838.,  -216.]), array([ 334.,  -70., -191.]))
(6, 57064, 56553, 55287, array([-7952.,  -640.,  1152.]), array([-9660.,  -856.,  -228.]), array([ 334.,  -70., -191.]))
(6, 58488, 58569, 57832, array([-7952.,  -576.,  1088.]), array([-9618.,  -854.,  -166.]), array([ 333.,  -69., -196.]))
(6, 59436, 59577, 57832, array([-8000.,  -720.,  1072.]), array([-9667.,  -894.,  -151.]), array([ 333.,  -69., -196.]))
(6, 60860, 60585, 60378, array([-8032.,  -816.,   976.]), array([-9666.,  -872.,  -133.]), array([ 336.,  -57., -202.]))
(6, 61809, 61593, 60378, array([-8080.,  -848.,  1024.]), array([-9699.,  -889.,  -145.]), array([ 336.,  -57., -202.]))
(6, 62758, 62601, 62923, array([-8016.,  -864.,  1008.]), array([-9606.,  -875.,  -203.]), array([ 331.,  -50., -205.]))
(6, 64182, 63609, 62923, array([-7936.,  -752.,  1088.]), array([-9622.,  -847.,  -242.]), array([ 331.,  -50., -205.]))
(6, 65131, 64617, 62923, array([-7920.,  -704.,  1040.]), array([-9659.,  -853.,  -228.]), array([ 331.,  -50., -205.]))
(6, 544, 89, 65468, array([-7872.,  -720.,   976.]), array([-9635.,  -863.,  -215.]), array([ 332.,  -43., -214.]))
(6, 1968, 1097, 65468, array([-7920.,  -608.,  1072.]), array([-9651.,  -856.,  -199.]), array([ 332.,  -43., -214.]))
(6, 2917, 3113, 2476, array([-7952.,  -720.,  1072.]), array([-9701.,  -846.,  -128.]), array([ 328.,  -35., -227.]))
(6, 4340, 4121, 2476, array([-8016.,  -944.,   992.]), array([-9723.,  -824.,  -112.]), array([ 328.,  -35., -227.]))
