(6, 38447, 38490, 36509, array([-8016.,   432.,  1472.]), array([-7469.,  -141.,   611.]), array([ 330., -121.,   84.]))
(6, 39396, 39498, 39055, array([-7936.,   448.,  1424.]), array([-7464.,  -157.,   608.]), array([ 328., -124.,   76.]))
(6, 40820, 40506, 39055, array([-7872.,   416.,  1392.]), array([-7440.,  -175.,   639.]), array([ 328., -124.,   76.]))
(6, 41769, 41514, 41599, array([-7968.,   352.,  1472.]), array([-7438.,  -128.,   668.]), array([ 329., -129.,   72.]))
(6, 42719, 42522, 41599, array([-8048.,   240.,  1536.]), array([-7391.,  -101.,   687.]), array([ 329., -129.,   72.]))
(6, 44142, 43530, 44143, array([-8032.,   128.,  1344.]), array([-7399.,   -73.,   659.]), array([ 326., -133.,   61.]))
(6, 45092, 44538, 44143, array([-7936.,   448.,  1456.]), array([-7392.,  -133.,   608.]), array([ 326., -133.,   61.]))
(6, 46515, 45546, 44143, array([-7936.,   416.,  1472.]), array([-7366.,  -149.,   602.]), array([ 326., -133.,   61.]))
(6, 47465, 47562, 46689, array([-7888.,   288.,  1472.]), array([-7396.,  -111.,   671.]), array([ 326., -135.,   61.]))
(6, 48414, 48570, 46689, array([-7952.,   160.,  1488.]), array([-7420.,  -107.,   682.]), array([ 326., -135.,   61.]))
(6, 49838, 49578, 49234, array([-8016.,   112.,  1552.]), array([-7392.,  -131.,   659.]), array([ 327., -141.,   52.]))
(6, 50787, 50586, 49234, array([-8000.,   272.,  1648.]), array([-7401.,  -131.,   621.]), array([ 327., -141.,   52.]))
(6, 51736, 51594, 51779, array([-7984.,   400.,  1456.]), array([-7427.,  -147.,   594.]), array([ 325., -145.,   41.]))
(6, 53159, 52602, 51779, array([-7872.,   400.,  1472.]), array([-7350.,  -179.,   631.]), array([ 325., -145.,   41.]))
(6, 54109, 53610, 54325, array([-7968.,   224.,  1472.]), array([-7390.,  -173.,   668.]), array([ 325., -146.,   41.]))
(6, 55058, 54618, 54325, array([-8016.,   176.,  1568.]), array([-7379.,  -141.,   677.]), array([ 325., -146.,   41.]))
(6, 56482, 56634, 54325, array([-7952.,   288.,  1424.]), array([-7408.,  -130.,   614.]), array([ 325., -146.,   41.]))
(6, 57431, 57642, 56871, array([-7872.,   496.,  1552.]), array([-7370.,  -110.,   607.]), array([ 325., -151.,   33.]))
(6, 58855, 58650, 56871, array([-7904.,   496.,  1648.]), array([-7392.,  -117.,   617.]), array([ 325., -151.,   33.]))
(6, 59804, 59658, 59416, array([-7968.,   304.,  1536.]), array([-7352.,  -171.,   664.]), array([ 325., -154.,   27.]))
(6, 60753, 60666, 59416, array([-8016.,   240.,  1600.]), array([-7311.,  -146.,   711.]), array([ 325., -154.,   27.]))
