(6, 17383, 17215, 15443, array([ 6064.,   800., -4656.]), array([-2780.,  -140.,  2284.]), array([-435.,  -95.,  330.]))
(6, 18332, 18223, 17987, array([ 6096.,   768., -4768.]), array([-2828.,  -166.,  2232.]), array([-440.,  -96.,  329.]))
(6, 19756, 19231, 17987, array([ 6048.,   896., -4800.]), array([-2842.,  -160.,  2181.]), array([-440.,  -96.,  329.]))
(6, 20706, 20239, 20531, array([ 5952.,   944., -4864.]), array([-2840.,  -168.,  2103.]), array([-440., -100.,  332.]))
(6, 21655, 21247, 20531, array([ 5888.,   864., -4928.]), array([-2793.,  -189.,  2027.]), array([-440., -100.,  332.]))
(6, 23079, 22255, 23075, array([ 5904.,   880., -4960.]), array([-2706.,  -203.,  1979.]), array([-446.,  -99.,  326.]))
(6, 24028, 24271, 23075, array([ 5888.,   848., -4928.]), array([-2546.,  -264.,  1805.]), array([-446.,  -99.,  326.]))
(6, 24977, 25279, 23075, array([ 5824.,   864., -4992.]), array([-2477.,  -282.,  1753.]), array([-446.,  -99.,  326.]))
(6, 26402, 26287, 25620, array([ 5888.,   832., -5136.]), array([-2368.,  -297.,  1681.]), array([-441., -102.,  325.]))
(6, 27351, 27295, 25620, array([ 5808.,   864., -5088.]), array([-2230.,  -302.,  1607.]), array([-441., -102.,  325.]))
(6, 28775, 28303, 28165, array([ 5792.,   896., -4912.]), array([-2114.,  -283.,  1530.]), array([-444., -108.,  326.]))
(6, 29725, 29311, 28165, array([ 5808.,   816., -4912.]), array([-1926.,  -272.,  1443.]), array([-444., -108.,  326.]))
(6, 30674, 30319, 30711, array([ 5824.,   832., -4960.]), array([-1712.,  -296.,  1386.]), array([-441., -102.,  320.]))
(6, 32098, 31327, 30711, array([ 5856.,   848., -5056.]), array([-1585.,  -311.,  1325.]), array([-441., -102.,  320.]))
(6, 33047, 32335, 33256, array([ 5808.,   832., -5136.]), array([-1421.,  -284.,  1267.]), array([-441., -105.,  320.]))
(6, 33996, 34351, 33256, array([ 5760.,   768., -5120.]), array([-1215.,  -248.,  1163.]), array([-441., -105.,  320.]))
(6, 35420, 35359, 33256, array([ 5808.,   672., -5056.]), array([-1128.,  -239.,  1097.]), array([-441., -105.,  320.]))
(6, 36370, 36367, 35802, array([ 5808.,   672., -5072.]), array([-1047.,  -202.,  1046.]), array([-444., -103.,  321.]))
(6, 37794, 37375, 35802, array([ 5872.,   704., -5072.]), array([-974., -207.,  991.]), array([-444., -103.,  321.]))
(6, 38743, 38383, 38347, array([ 5904.,   752., -5136.]), array([-911., -223.,  926.]), array([-443., -101.,  320.]))
(6, 39692, 39392, 38347, array([ 5888.,   752., -5152.]), array([-829., -261.,  879.]), array([-443., -101.,  320.]))
(6, 41116, 40400, 40892, array([ 5856.,   784., -5056.]), array([-823., -257.,  838.]), array([-451., -102.,  322.]))
(6, 42065, 41408, 40892, array([ 5920.,   768., -4912.]), array([-797., -250.,  791.]), array([-451., -102.,  322.]))
(6, 43014, 43424, 43438, array([ 5904.,   592., -4960.]), array([-749., -263.,  644.]), array([-447., -101.,  322.]))
(6, 44438, 44432, 43438, array([ 5936.,   704., -5088.]), array([-686., -237.,  595.]), array([-447., -101.,  322.]))
(6, 45387, 45440, 43438, array([ 5968.,   800., -5184.]), array([-695., -256.,  551.]), array([-447., -101.,  322.]))
(6, 46811, 46448, 45984, array([ 5936.,   816., -5232.]), array([-678., -294.,  501.]), array([-444., -103.,  322.]))
(6, 47760, 47456, 45984, array([ 5904.,   816., -5248.]), array([-619., -318.,  474.]), array([-444., -103.,  322.]))
(6, 48709, 48464, 48530, array([ 5920.,   752., -5248.]), array([-641., -305.,  400.]), array([-445., -104.,  322.]))
(6, 50133, 49472, 48530, array([ 5872.,   784., -5216.]), array([-554., -277.,  351.]), array([-445., -104.,  322.]))
(6, 51082, 50480, 51075, array([ 5888.,   736., -5200.]), array([-529., -300.,  301.]), array([-443., -104.,  323.]))
(6, 52031, 51488, 51075, array([ 5856.,   704., -5120.]), array([-437., -329.,  260.]), array([-443., -104.,  323.]))
(6, 53455, 53504, 51075, array([ 5824.,   688., -5040.]), array([-348., -385.,  163.]), array([-443., -104.,  323.]))
(6, 54404, 54512, 53619, array([ 5856.,   736., -5168.]), array([-265., -392.,  122.]), array([-446., -104.,  322.]))
(6, 55353, 55520, 53619, array([ 5776.,   800., -5184.]), array([-260., -379.,   61.]), array([-446., -104.,  322.]))
(6, 56777, 56528, 56163, array([ 5808.,   896., -5168.]), array([-225., -377.,   -7.]), array([-442., -106.,  321.]))
(6, 57725, 57536, 56163, array([ 5760.,   896., -5088.]), array([-157., -359.,  -41.]), array([-442., -106.,  321.]))
(6, 59149, 58544, 58708, array([ 5728.,   912., -5104.]), array([-135., -329., -106.]), array([-440., -108.,  321.]))
