(1, 29266, 29149, 28966, array([ 6896., -2240., -2528.]), array([ 3620.,   -70.,  -326.]), array([-348.,  182.,  444.]))
(1, 30690, 30157, 28966, array([ 6848., -2560., -2608.]), array([ 3232.,   -29.,  -323.]), array([-348.,  182.,  444.]))
(1, 31639, 31165, 31514, array([ 6800., -2672., -2640.]), array([ 2644.,    56.,  -279.]), array([-347.,  189.,  440.]))
(1, 33063, 32173, 31514, array([ 6800., -2608., -2608.]), array([ 1854.,   164.,  -252.]), array([-347.,  189.,  440.]))
(1, 34013, 34189, 34060, array([ 6912., -2560., -2688.]), array([ 282.,  445., -105.]), array([-347.,  191.,  441.]))
(1, 34962, 35198, 34060, array([ 6944., -2416., -2736.]), array([-444.,  557.,  -47.]), array([-347.,  191.,  441.]))
(1, 36386, 36206, 34060, array([ 7008., -2144., -2832.]), array([-984.,  608.,  -15.]), array([-347.,  191.,  441.]))
(1, 37335, 37214, 36607, array([ 7088., -2032., -2832.]), array([-1460.,   672.,    42.]), array([-347.,  185.,  441.]))
(1, 38284, 38222, 36607, array([ 7104., -1904., -2784.]), array([-1792.,   718.,    69.]), array([-347.,  185.,  441.]))
(1, 39708, 39230, 39154, array([ 7072., -1728., -2720.]), array([-2076.,   742.,    80.]), array([-348.,  181.,  446.]))
(1, 40658, 40238, 39154, array([ 7120., -1616., -2656.]), array([-2277.,   796.,    63.]), array([-348.,  181.,  446.]))
(1, 42082, 41247, 41702, array([ 7088., -1472., -2624.]), array([-2419.,   850.,    73.]), array([-350.,  177.,  439.]))
(1, 43031, 42255, 41702, array([ 7088., -1280., -2560.]), array([-2477.,   869.,    57.]), array([-350.,  177.,  439.]))
(1, 43980, 44271, 44250, array([ 7120., -1200., -2560.]), array([-2379.,   997.,    -4.]), array([-351.,  172.,  441.]))
(1, 45404, 45279, 44250, array([ 7152., -1056., -2496.]), array([-2232.,  1073.,   -22.]), array([-351.,  172.,  441.]))
(1, 46353, 46287, 44250, array([ 7152.,  -960., -2544.]), array([-2029.,  1078.,   -40.]), array([-351.,  172.,  441.]))
(1, 47302, 47296, 46797, array([ 7152.,  -880., -2544.]), array([-1851.,  1158.,   -88.]), array([-353.,  169.,  441.]))
(1, 48727, 48304, 46797, array([ 7184.,  -864., -2528.]), array([-1637.,  1231.,  -108.]), array([-353.,  169.,  441.]))
(1, 49677, 49312, 49344, array([ 7232.,  -912., -2480.]), array([-1387.,  1228.,  -129.]), array([-356.,  167.,  441.]))
(1, 50626, 50320, 49344, array([ 7216.,  -928., -2464.]), array([-1241.,  1254.,  -117.]), array([-356.,  167.,  441.]))
(1, 52050, 51328, 51892, array([ 7216.,  -928., -2464.]), array([-1059.,  1291.,  -149.]), array([-357.,  166.,  439.]))
(1, 52999, 53345, 51892, array([ 7280.,  -944., -2432.]), array([ -827.,  1367.,  -199.]), array([-357.,  166.,  439.]))
(1, 54423, 54353, 51892, array([ 7232.,  -960., -2384.]), array([ -760.,  1393.,  -218.]), array([-357.,  166.,  439.]))
(1, 55373, 55361, 54439, array([ 7248.,  -928., -2400.]), array([ -692.,  1415.,  -225.]), array([-356.,  165.,  437.]))
(1, 56322, 56369, 54439, array([ 7264., -1040., -2336.]), array([ -622.,  1436.,  -248.]), array([-356.,  165.,  437.]))
(1, 57747, 57377, 56986, array([ 7408., -1072., -2272.]), array([ -662.,  1479.,  -257.]), array([-356.,  159.,  437.]))
(1, 58696, 58386, 56986, array([ 7456., -1072., -2288.]), array([ -654.,  1492.,  -287.]), array([-356.,  159.,  437.]))
(1, 59645, 59394, 59532, array([ 7520., -1072., -2352.]), array([ -692.,  1522.,  -311.]), array([-361.,  160.,  434.]))
(1, 61069, 60402, 59532, array([ 7584., -1072., -2368.]), array([ -746.,  1556.,  -352.]), array([-361.,  160.,  434.]))
(1, 62018, 61410, 62079, array([ 7552., -1056., -2384.]), array([ -767.,  1560.,  -395.]), array([-363.,  162.,  430.]))
(1, 63442, 63426, 62079, array([ 7616., -1072., -2352.]), array([ -833.,  1586.,  -444.]), array([-363.,  162.,  430.]))
(1, 64391, 64435, 62079, array([ 7584., -1136., -2288.]), array([ -846.,  1646.,  -472.]), array([-363.,  162.,  430.]))
(1, 65340, 65443, 64626, array([ 7552., -1232., -2224.]), array([ -879.,  1655.,  -560.]), array([-364.,  157.,  430.]))
(1, 1228, 915, 64626, array([ 7568., -1168., -2224.]), array([ -962.,  1669.,  -584.]), array([-364.,  157.,  430.]))
(1, 2177, 1923, 1636, array([ 7616., -1104., -2192.]), array([-1132.,  1691.,  -614.]), array([-370.,  150.,  431.]))
(1, 3127, 2931, 1636, array([ 7616., -1104., -2176.]), array([-1207.,  1714.,  -662.]), array([-370.,  150.,  431.]))
(1, 4551, 3940, 4184, array([ 7648.,  -992., -2112.]), array([-1283.,  1749.,  -685.]), array([-370.,  152.,  431.]))
(1, 5501, 4948, 4184, array([ 7680.,  -976., -2080.]), array([-1387.,  1775.,  -711.]), array([-370.,  152.,  431.]))
(1, 6925, 5956, 6730, array([ 7680.,  -912., -2064.]), array([-1464.,  1786.,  -762.]), array([-372.,  146.,  427.]))
(1, 7874, 7972, 6730, array([ 7632.,  -896., -1952.]), array([-1521.,  1868.,  -823.]), array([-372.,  146.,  427.]))
(1, 8823, 8980, 6730, array([ 7632.,  -944., -1888.]), array([-1523.,  1872.,  -865.]), array([-372.,  146.,  427.]))
(1, 10247, 9989, 9278, array([ 7616.,  -864., -1936.]), array([-1553.,  1921.,  -875.]), array([-376.,  143.,  429.]))
(1, 11196, 10997, 9278, array([ 7568.,  -896., -1904.]), array([-1546.,  1948.,  -918.]), array([-376.,  143.,  429.]))
(1, 12145, 12005, 11825, array([ 7616.,  -928., -1888.]), array([-1597.,  1965.,  -959.]), array([-378.,  141.,  426.]))
(1, 13569, 13013, 11825, array([ 7568.,  -912., -1920.]), array([-1580.,  1990.,  -997.]), array([-378.,  141.,  426.]))
(1, 14518, 14021, 14372, array([ 7664.,  -896., -1936.]), array([-1639.,  2075., -1007.]), array([-384.,  133.,  421.]))
(1, 15467, 15029, 14372, array([ 7696.,  -880., -1920.]), array([-1673.,  2112., -1006.]), array([-384.,  133.,  421.]))
(1, 16890, 17046, 16920, array([ 7664.,  -912., -1920.]), array([-1737.,  2205., -1027.]), array([-388.,  130.,  418.]))
(1, 17839, 18054, 16920, array([ 7744.,  -912., -1920.]), array([-1748.,  2233., -1012.]), array([-388.,  130.,  418.]))
(1, 19263, 19062, 16920, array([ 7760.,  -912., -1808.]), array([-1758.,  2254.,  -981.]), array([-388.,  130.,  418.]))
(1, 20212, 20070, 19467, array([ 7792.,  -944., -1792.]), array([-1802.,  2306.,  -967.]), array([-388.,  127.,  418.]))
(1, 21161, 21079, 19467, array([ 7792.,  -880., -1824.]), array([-1806.,  2345.,  -932.]), array([-388.,  127.,  418.]))
(1, 22586, 22087, 22014, array([ 7744.,  -800., -1856.]), array([-1833.,  2372.,  -930.]), array([-388.,  120.,  417.]))
(1, 23535, 23095, 22014, array([ 7824.,  -800., -1824.]), array([-1784.,  2395.,  -898.]), array([-388.,  120.,  417.]))
(1, 24485, 24103, 24560, array([ 7840.,  -800., -1792.]), array([-1719.,  2425.,  -889.]), array([-391.,  117.,  414.]))
(1, 25909, 25111, 24560, array([ 7824.,  -880., -1808.]), array([-1660.,  2476.,  -882.]), array([-391.,  117.,  414.]))
(1, 26858, 27128, 27107, array([ 7872.,  -880., -1776.]), array([-1623.,  2553.,  -844.]), array([-398.,  112.,  407.]))
(1, 28282, 28136, 27107, array([ 7856., -1056., -1888.]), array([-1685.,  2577.,  -827.]), array([-398.,  112.,  407.]))
(1, 29232, 29144, 27107, array([ 7904., -1136., -1904.]), array([-1769.,  2586.,  -829.]), array([-398.,  112.,  407.]))
(1, 30182, 30152, 29654, array([ 7968., -1216., -1904.]), array([-1901.,  2627.,  -795.]), array([-398.,  108.,  404.]))
(1, 31605, 31160, 29654, array([ 8016., -1232., -1984.]), array([-1982.,  2652.,  -759.]), array([-398.,  108.,  404.]))
(1, 32554, 32169, 32200, array([ 8016., -1200., -2128.]), array([-2090.,  2704.,  -715.]), array([-406.,  103.,  401.]))
(1, 33504, 33177, 32200, array([ 7984., -1168., -2096.]), array([-2143.,  2764.,  -676.]), array([-406.,  103.,  401.]))
(1, 34928, 34185, 34747, array([ 8016., -1200., -2144.]), array([-2267.,  2768.,  -650.]), array([-410.,  101.,  402.]))
(1, 35877, 35193, 34747, array([ 8032., -1184., -2176.]), array([-2328.,  2782.,  -598.]), array([-410.,  101.,  402.]))
(1, 36826, 37209, 37294, array([ 8080., -1152., -2256.]), array([-2396.,  2767.,  -529.]), array([-411.,   97.,  397.]))
(1, 38250, 38218, 37294, array([ 8000., -1120., -2304.]), array([-2365.,  2760.,  -489.]), array([-411.,   97.,  397.]))
(1, 39199, 39226, 37294, array([ 7984., -1072., -2256.]), array([-2339.,  2722.,  -436.]), array([-411.,   97.,  397.]))
(1, 40623, 40234, 39841, array([ 8016., -1088., -2304.]), array([-2301.,  2702.,  -373.]), array([-414.,   93.,  392.]))
(1, 41572, 41242, 39841, array([ 7984., -1072., -2368.]), array([-2230.,  2662.,  -328.]), array([-414.,   93.,  392.]))
(1, 42521, 42250, 42386, array([ 7984., -1072., -2384.]), array([-2184.,  2641.,  -284.]), array([-417.,   89.,  388.]))
