(1, 37063, 36224, 34214, array([ 2320.,  2464., -6128.]), array([ 15891.,  26002.,   4301.]), array([ 197.,  -49.,  534.]))
(1, 38012, 38226, 34214, array([ 2864.,  2592., -5888.]), array([  4189., -25938.,    210.]), array([ 197.,  -49.,  534.]))
(1, 38962, 39227, 34214, array([ 2944.,  2672., -5888.]), array([ 4470.,  1844.,   208.]), array([ 197.,  -49.,  534.]))
(1, 40386, 40228, 39446, array([ 2976.,  2608., -5952.]), array([ 4506.,  1976.,   223.]), array([  19., -177.,  536.]))
(1, 41336, 41229, 39446, array([ 2960.,  2640., -5936.]), array([ 4524.,  1992.,   228.]), array([  19., -177.,  536.]))
(1, 42761, 42230, 41990, array([ 2960.,  2640., -5888.]), array([ 4511.,  2005.,   193.]), array([  19., -171.,  536.]))
(1, 43710, 43231, 41990, array([ 2944.,  2672., -5904.]), array([ 4500.,  1994.,   218.]), array([  19., -171.,  536.]))
(1, 44659, 44232, 44536, array([ 2848.,  2640., -5920.]), array([ 4481.,  1973.,   206.]), array([  24., -168.,  537.]))
(1, 46083, 45233, 44536, array([ 2784.,  2704., -6016.]), array([ 4520.,  2003.,   197.]), array([  24., -168.,  537.]))
(1, 47033, 47235, 47082, array([ 2816.,  2656., -5984.]), array([ 4492.,  2003.,   191.]), array([  40., -161.,  538.]))
(1, 47982, 47766, 47082, array([ 2800.,  2688., -6064.]), array([ 23140.,   2016.,  23484.]), array([  40., -161.,  538.]))
(1, 49407, 48767, 47082, array([ 2672.,  2704., -6112.]), array([-17615.,  21128., -23217.]), array([  40., -161.,  538.]))
(1, 50356, 49768, 49627, array([ 2608.,  2736., -6160.]), array([  4187., -18720.,    230.]), array([  40., -161.,  538.]))
(1, 51306, 50771, 49627, array([ 2608.,  2736., -6128.]), array([ 4423.,  1840.,   227.]), array([  40., -161.,  538.]))
(1, 52730, 52787, 52172, array([ 2576.,  2672., -6016.]), array([ 4556.,  1889.,    30.]), array([  45., -158.,  541.]))
(1, 53680, 53795, 52172, array([ 2528.,  2688., -6080.]), array([ 4643.,  1674.,   -57.]), array([  45., -158.,  541.]))
(1, 55104, 54803, 54717, array([ 2464.,  2672., -6064.]), array([ 4756.,  1546.,  -136.]), array([  47., -156.,  538.]))
(1, 56053, 55811, 54717, array([ 2448.,  2688., -5984.]), array([ 4986.,  1416.,  -277.]), array([  47., -156.,  538.]))
(1, 57003, 56818, 57264, array([ 2416.,  2720., -5952.]), array([ 5175.,  1203.,  -444.]), array([  54., -147.,  541.]))
(1, 58428, 57826, 57264, array([ 2384.,  2688., -5952.]), array([ 5179.,   850.,  -541.]), array([  54., -147.,  541.]))
(1, 59377, 58834, 57264, array([ 2336.,  2704., -5904.]), array([ 4979.,   443.,  -694.]), array([  54., -147.,  541.]))
(1, 60327, 59842, 59810, array([ 2288.,  2672., -5888.]), array([ 4644.,    42.,  -784.]), array([  60., -144.,  544.]))
(1, 61751, 61858, 59810, array([ 2256.,  2672., -5936.]), array([ 3960.,  -730.,  -946.]), array([  60., -144.,  544.]))
(1, 62700, 62866, 62355, array([ 2192.,  2624., -5840.]), array([ 3648., -1077.,  -987.]), array([  64., -142.,  544.]))
(1, 64124, 63874, 62355, array([ 2128.,  2656., -5760.]), array([ 3337., -1395., -1034.]), array([  64., -142.,  544.]))
(1, 65073, 64883, 64901, array([ 2080.,  2608., -5648.]), array([ 2305., -1685., -1001.]), array([  70., -136.,  546.]))
(1, 487, 355, 64901, array([ 2048.,  2608., -5648.]), array([ 1270., -1850.,  -905.]), array([  70., -136.,  546.]))
(1, 1911, 1363, 1910, array([ 1904.,  2592., -5712.]), array([ 1155., -1779.,  -915.]), array([  74., -135.,  544.]))
(1, 2861, 2371, 1910, array([ 1824.,  2592., -5760.]), array([ 1164., -1712.,  -945.]), array([  74., -135.,  544.]))
(1, 3810, 3379, 1910, array([ 1728.,  2656., -5744.]), array([ 1036., -1654.,  -970.]), array([  74., -135.,  544.]))
(1, 5235, 4387, 4455, array([ 1664.,  2800., -5648.]), array([  918., -1606., -1002.]), array([  80., -138.,  544.]))
(1, 6185, 6403, 4455, array([ 1568.,  2944., -5696.]), array([  886., -1544., -1046.]), array([  80., -138.,  544.]))
(1, 7608, 7411, 7001, array([ 1616.,  3008., -5712.]), array([  935., -1466., -1073.]), array([  81., -132.,  543.]))
(1, 8558, 8420, 7001, array([ 1648.,  2992., -5696.]), array([ 1080., -1428., -1106.]), array([  81., -132.,  543.]))
(1, 9507, 9428, 9545, array([ 1696.,  3024., -5712.]), array([ 1242., -1374., -1126.]), array([  93., -131.,  544.]))
(1, 10931, 10436, 9545, array([ 1632.,  2928., -5680.]), array([ 1426., -1273., -1143.]), array([  93., -131.,  544.]))
(1, 11881, 11444, 12089, array([ 1632.,  2800., -5696.]), array([ 1509., -1192., -1185.]), array([  93., -129.,  544.]))
(1, 12831, 12452, 12089, array([ 1584.,  2672., -5712.]), array([ 1592., -1134., -1205.]), array([  93., -129.,  544.]))
(1, 14255, 13460, 12089, array([ 1552.,  2560., -5632.]), array([ 1643., -1139., -1212.]), array([  93., -129.,  544.]))
(1, 15205, 15476, 14634, array([ 1520.,  2528., -5584.]), array([ 1602., -1053., -1181.]), array([  95., -122.,  544.]))
(1, 16154, 16484, 14634, array([ 1456.,  2400., -5568.]), array([ 1500.,  -984., -1166.]), array([  95., -122.,  544.]))
(1, 17579, 17493, 17179, array([ 1584.,  2400., -5904.]), array([ 1393.,  -922., -1122.]), array([ 100., -122.,  547.]))
