(1, 52748, 51909, 50505, array([ 6528.,  2016., -3632.]), array([ -8628.,   1257.,  13470.]), array([-318., -138.,  437.]))
(1, 53697, 53910, 50505, array([ 6416.,  1952., -3616.]), array([ 4199.,  -319.,   188.]), array([-318., -138.,  437.]))
(1, 54647, 54911, 50505, array([ 6416.,  1920., -3664.]), array([ 4495.,  1834.,   207.]), array([-318., -138.,  437.]))
(1, 56070, 55912, 55133, array([ 6480.,  1776., -3552.]), array([ 4490.,  2007.,   218.]), array([-227., -152.,  490.]))
(1, 57019, 56914, 55133, array([ 6496.,  1760., -3568.]), array([ 4494.,  1980.,   242.]), array([-227., -152.,  490.]))
(1, 58443, 57915, 57680, array([ 6608.,  1664., -3488.]), array([ 4510.,  1980.,   228.]), array([-227., -149.,  490.]))
(1, 59393, 58916, 57680, array([ 6608.,  1536., -3360.]), array([ 4510.,  1982.,   209.]), array([-227., -149.,  490.]))
(1, 60342, 59917, 60227, array([ 6672.,  1408., -3184.]), array([ 4532.,  1968.,   199.]), array([-234., -152.,  487.]))
(1, 61766, 60918, 60227, array([ 6784.,  1264., -2928.]), array([ 4547.,  1993.,   199.]), array([-234., -152.,  487.]))
(1, 62715, 62920, 62775, array([ 6864.,  1232., -2864.]), array([ 4481.,  1995.,   226.]), array([-239., -156.,  481.]))
(1, 63665, 63594, 62775, array([ 6848.,  1360., -2816.]), array([ 16168.,   1989., -12702.]), array([-239., -156.,  481.]))
(1, 65089, 64596, 62775, array([ 6816.,  1600., -2944.]), array([ -9993.,  -6204.,  13010.]), array([-239., -156.,  481.]))
(1, 502, 61, 65321, array([ 6704.,  1824., -3056.]), array([ 4177.,  8905.,   209.]), array([-243., -158.,  481.]))
(1, 1925, 1063, 65321, array([ 6688.,  2208., -3312.]), array([ 4410.,  1821.,   213.]), array([-243., -158.,  481.]))
(1, 2875, 2071, 2332, array([ 6688.,  2432., -3504.]), array([ 4528.,  1994.,   196.]), array([-247., -169.,  477.]))
(1, 3824, 4087, 2332, array([ 6736.,  2560., -3632.]), array([ 4012.,  2068.,   210.]), array([-247., -169.,  477.]))
(1, 5248, 5095, 4880, array([ 6832.,  2768., -3728.]), array([ 3892.,  2148.,   230.]), array([-258., -174.,  468.]))
(1, 6197, 6103, 4880, array([ 6992.,  2784., -3824.]), array([ 3830.,  2212.,   232.]), array([-258., -174.,  468.]))
(1, 7147, 7111, 7428, array([ 7104.,  2784., -3856.]), array([ 3741.,  2276.,   290.]), array([-260., -174.,  462.]))
(1, 8571, 8119, 7428, array([ 7200.,  2736., -3888.]), array([ 3405.,  2342.,   399.]), array([-260., -174.,  462.]))
(1, 9520, 9127, 7428, array([ 7280.,  2656., -3824.]), array([ 2961.,  2409.,   534.]), array([-260., -174.,  462.]))
(1, 10469, 10135, 9975, array([ 7312.,  2544., -3728.]), array([ 2440.,  2536.,   734.]), array([-266., -180.,  456.]))
(1, 11893, 11143, 9975, array([ 7216.,  2496., -3616.]), array([ 2067.,  2695.,   924.]), array([-266., -180.,  456.]))
(1, 12842, 13159, 12521, array([ 7200.,  2464., -3616.]), array([ 1427.,  3029.,  1287.]), array([-273., -179.,  452.]))
(1, 14266, 14167, 12521, array([ 7104.,  2336., -3616.]), array([ 1133.,  3214.,  1469.]), array([-273., -179.,  452.]))
(1, 15216, 15175, 15068, array([ 7104.,  2304., -3632.]), array([  241.,  3407.,  1708.]), array([-279., -174.,  451.]))
(1, 16165, 16183, 15068, array([ 7104.,  2304., -3632.]), array([ -475.,  3669.,  1861.]), array([-279., -174.,  451.]))
(1, 17589, 17191, 17616, array([ 7312.,  2368., -3664.]), array([ -254.,  3845.,  1863.]), array([-291., -172.,  437.]))
(1, 18538, 18200, 17616, array([ 7424.,  2320., -3744.]), array([  -28.,  3930.,  1878.]), array([-291., -172.,  437.]))
(1, 19487, 19208, 17616, array([ 7520.,  2320., -3792.]), array([   99.,  3992.,  1920.]), array([-291., -172.,  437.]))
(1, 20911, 20216, 20163, array([ 7664.,  2224., -3744.]), array([  166.,  4029.,  1988.]), array([-291., -169.,  437.]))
(1, 21860, 21224, 20163, array([ 7712.,  2192., -3712.]), array([  262.,  4042.,  2062.]), array([-291., -169.,  437.]))
(1, 23284, 23240, 22711, array([ 7840.,  2064., -3568.]), array([  217.,  4010.,  2142.]), array([-302., -168.,  435.]))
(1, 24234, 24248, 22711, array([ 7888.,  2080., -3584.]), array([  173.,  4006.,  2125.]), array([-302., -168.,  435.]))
(1, 25182, 25257, 25257, array([ 7872.,  2032., -3504.]), array([   21.,  4000.,  2130.]), array([-314., -161.,  425.]))
(1, 26607, 26265, 25257, array([ 7936.,  2048., -3408.]), array([ -155.,  3985.,  2214.]), array([-314., -161.,  425.]))
(1, 27556, 27273, 25257, array([ 7968.,  2096., -3376.]), array([ -330.,  3944.,  2237.]), array([-314., -161.,  425.]))
(1, 28506, 28281, 27804, array([ 7952.,  2112., -3360.]), array([ -462.,  3905.,  2292.]), array([-317., -160.,  425.]))
(1, 29929, 29289, 27804, array([ 7936.,  2240., -3392.]), array([ -549.,  3869.,  2299.]), array([-317., -160.,  425.]))
(1, 30879, 30297, 30352, array([ 7888.,  2256., -3440.]), array([ -640.,  3827.,  2335.]), array([-325., -161.,  422.]))
(1, 31828, 31305, 30352, array([ 7856.,  2304., -3456.]), array([ -682.,  3824.,  2347.]), array([-325., -161.,  422.]))
(1, 33252, 33322, 32899, array([ 7840.,  2400., -3504.]), array([ -590.,  3869.,  2396.]), array([-336., -155.,  418.]))
