(1, 46792, 46663, 46467, array([ 7824.,  -768., -1536.]), array([-208.,  364., -275.]), array([-433.,  174.,  362.]))
(1, 48215, 47672, 46467, array([ 7760.,  -800., -1456.]), array([-279.,  377., -291.]), array([-433.,  174.,  362.]))
(1, 49165, 48680, 49013, array([ 7792.,  -784., -1408.]), array([-276.,  378., -277.]), array([-432.,  174.,  362.]))
(1, 50589, 49688, 49013, array([ 7792.,  -784., -1440.]), array([-350.,  431., -307.]), array([-432.,  174.,  362.]))
(1, 51538, 51704, 51559, array([ 7808.,  -720., -1424.]), array([-469.,  488., -303.]), array([-435.,  172.,  359.]))
(1, 52487, 52713, 51559, array([ 7824.,  -752., -1392.]), array([-539.,  525., -318.]), array([-435.,  172.,  359.]))
(1, 53912, 53721, 51559, array([ 7920.,  -672., -1392.]), array([-649.,  546., -317.]), array([-435.,  172.,  359.]))
(1, 54861, 54729, 54106, array([ 7952.,  -704., -1424.]), array([-756.,  568., -309.]), array([-435.,  170.,  359.]))
(1, 55810, 55737, 54106, array([ 7952.,  -720., -1408.]), array([-718.,  597., -302.]), array([-435.,  170.,  359.]))
(1, 57234, 56745, 56652, array([ 8032.,  -560., -1456.]), array([-837.,  645., -330.]), array([-435.,  170.,  364.]))
(1, 58184, 57753, 56652, array([ 8016.,  -464., -1472.]), array([-923.,  707., -332.]), array([-435.,  170.,  364.]))
(1, 59608, 58762, 59197, array([ 8000.,  -208., -1520.]), array([-955.,  735., -376.]), array([-442.,  168.,  358.]))
(1, 60557, 59770, 59197, array([ 7968.,   -48., -1520.]), array([-1003.,   788.,  -389.]), array([-442.,  168.,  358.]))
(1, 61506, 61786, 61744, array([ 7968.,    96., -1456.]), array([-956.,  866., -471.]), array([-437.,  164.,  358.]))
(1, 62930, 62794, 61744, array([ 7904.,   160., -1424.]), array([-852.,  927., -483.]), array([-437.,  164.,  358.]))
(1, 63879, 63802, 61744, array([ 7968.,   128., -1504.]), array([-695.,  941., -474.]), array([-437.,  164.,  358.]))
(1, 64828, 64811, 64291, array([ 7952.,    80., -1552.]), array([-503.,  968., -491.]), array([-435.,  159.,  358.]))
(1, 716, 283, 64291, array([ 7872.,   -48., -1648.]), array([-197.,  966., -505.]), array([-435.,  159.,  358.]))
(1, 1666, 1291, 1301, array([ 7872.,   -32., -1744.]), array([ 108.,  937., -538.]), array([-439.,  159.,  358.]))
(1, 2615, 2299, 1301, array([ 7840.,  -112., -1856.]), array([ 494.,  922., -550.]), array([-439.,  159.,  358.]))
(1, 4038, 3307, 3848, array([ 7936.,  -240., -2096.]), array([ 946.,  898., -541.]), array([-438.,  161.,  358.]))
(1, 4988, 5324, 3848, array([ 7904.,  -464., -2256.]), array([ 1693.,   789.,  -495.]), array([-438.,  161.,  358.]))
(1, 5937, 6332, 6395, array([ 7920.,  -752., -2224.]), array([ 1835.,   653.,  -501.]), array([-440.,  164.,  354.]))
(1, 7361, 7340, 6395, array([ 7888., -1040., -2256.]), array([ 1889.,   500.,  -524.]), array([-440.,  164.,  354.]))
(1, 8310, 8348, 6395, array([ 7872., -1232., -2288.]), array([ 1854.,   375.,  -499.]), array([-440.,  164.,  354.]))
