(1, 53868, 54269, 53513, array([ 4448., -1360., -5552.]), array([ -559., -4236.,  2266.]), array([ -67.,  201.,  562.]))
(1, 55292, 55277, 53513, array([ 4192., -1440., -5600.]), array([ -491., -4223.,  2230.]), array([ -67.,  201.,  562.]))
(1, 56241, 56285, 56058, array([ 4112., -1504., -5664.]), array([ -501., -4203.,  2213.]), array([ -53.,  201.,  566.]))
(1, 57665, 57293, 56058, array([ 4096., -1568., -5744.]), array([ -567., -4177.,  2171.]), array([ -53.,  201.,  566.]))
(1, 58615, 58301, 58603, array([ 4064., -1648., -5808.]), array([ -676., -4118.,  2108.]), array([ -47.,  200.,  563.]))
(1, 59564, 59309, 58603, array([ 4032., -1712., -5904.]), array([ -778., -4110.,  2057.]), array([ -47.,  200.,  563.]))
(1, 60988, 60318, 58603, array([ 3968., -1760., -5952.]), array([ -890., -4088.,  1953.]), array([ -47.,  200.,  563.]))
(1, 61937, 61326, 61149, array([ 3840., -1792., -5920.]), array([ -971., -4042.,  1840.]), array([ -34.,  194.,  564.]))
(1, 62887, 62334, 61149, array([ 3744., -1824., -6000.]), array([-1077., -3995.,  1755.]), array([ -34.,  194.,  564.]))
(1, 64311, 64350, 63695, array([ 3536., -1840., -6064.]), array([-1345., -3955.,  1659.]), array([ -24.,  192.,  566.]))
(1, 65260, 65358, 63695, array([ 3360., -1792., -6032.]), array([-1585., -3942.,  1618.]), array([ -24.,  192.,  566.]))
(1, 1148, 831, 706, array([ 3216., -1744., -5984.]), array([-1773., -3926.,  1595.]), array([  -5.,  190.,  566.]))
(1, 2098, 1839, 706, array([ 3072., -1696., -6000.]), array([-2032., -3909.,  1575.]), array([  -5.,  190.,  566.]))
(1, 3047, 2847, 3253, array([ 3072., -1632., -5968.]), array([-2263., -3869.,  1552.]), array([  -5.,  180.,  566.]))
(1, 4471, 3855, 3253, array([ 2928., -1520., -5840.]), array([-2421., -3799.,  1521.]), array([  -5.,  180.,  566.]))
(1, 5420, 4863, 3253, array([ 2960., -1408., -5856.]), array([-2599., -3735.,  1476.]), array([  -5.,  180.,  566.]))
(1, 6370, 5871, 5798, array([ 2960., -1296., -5792.]), array([-2655., -3657.,  1420.]), array([   4.,  176.,  567.]))
(1, 7794, 7888, 5798, array([ 2864., -1184., -5648.]), array([-2744., -3548.,  1324.]), array([   4.,  176.,  567.]))
(1, 8743, 8896, 8343, array([ 2816., -1088., -5584.]), array([-2733., -3552.,  1298.]), array([  13.,  168.,  572.]))
(1, 9692, 9904, 8343, array([ 2768., -1056., -5536.]), array([-2760., -3512.,  1256.]), array([  13.,  168.,  572.]))
(1, 11116, 10912, 10888, array([ 2672.,  -960., -5488.]), array([-2745., -3450.,  1205.]), array([  21.,  162.,  567.]))
(1, 12065, 11920, 10888, array([ 2624.,  -896., -5440.]), array([-2652., -3339.,  1147.]), array([  21.,  162.,  567.]))
(1, 13489, 12928, 13434, array([ 2544.,  -832., -5472.]), array([-2617., -3238.,  1082.]), array([  30.,  156.,  571.]))
(1, 14438, 13937, 13434, array([ 2528.,  -752., -5440.]), array([-2498., -3175.,  1018.]), array([  30.,  156.,  571.]))
(1, 15388, 14945, 13434, array([ 2416.,  -704., -5504.]), array([-2371., -3120.,   940.]), array([  30.,  156.,  571.]))
(1, 16812, 15953, 15981, array([ 2256.,  -608., -5456.]), array([-2227., -3025.,   915.]), array([  38.,  146.,  571.]))
(1, 17762, 17969, 15981, array([ 2176.,  -512., -5520.]), array([-1828., -2926.,   832.]), array([  38.,  146.,  571.]))
(1, 18712, 18977, 18526, array([ 2144.,  -480., -5568.]), array([-1621., -2829.,   798.]), array([  40.,  143.,  570.]))
(1, 20136, 19986, 18526, array([ 2016.,  -448., -5680.]), array([-1456., -2742.,   733.]), array([  40.,  143.,  570.]))
(1, 21085, 20994, 21073, array([ 1936.,  -464., -5680.]), array([-1236., -2691.,   675.]), array([  53.,  139.,  571.]))
(1, 22510, 22002, 21073, array([ 1920.,  -496., -5744.]), array([-1002., -2619.,   618.]), array([  53.,  139.,  571.]))
(1, 23459, 23010, 23618, array([ 1920.,  -496., -5824.]), array([ -814., -2552.,   569.]), array([  58.,  136.,  568.]))
(1, 24408, 24018, 23618, array([ 1888.,  -464., -5808.]), array([ -577., -2501.,   542.]), array([  58.,  136.,  568.]))
(1, 25832, 25026, 23618, array([ 1904.,  -560., -5840.]), array([ -388., -2395.,   486.]), array([  58.,  136.,  568.]))
(1, 26781, 26035, 26164, array([ 1904.,  -576., -5840.]), array([ -129., -2317.,   478.]), array([  62.,  137.,  571.]))
(1, 27731, 28051, 26164, array([ 1856.,  -608., -5920.]), array([  330., -2139.,   398.]), array([  62.,  137.,  571.]))
