(1, 47770, 48122, 47407, array([ 7792.,  1840.,  -656.]), array([ 298.,   -9.,   -2.]), array([-435., -113.,  328.]))
(1, 49194, 49130, 47407, array([ 7840.,  1792.,  -640.]), array([ 258.,   -2.,   -4.]), array([-435., -113.,  328.]))
(1, 50144, 50138, 49951, array([ 7840.,  1840.,  -624.]), array([ 301.,  -13.,  -41.]), array([-435., -115.,  332.]))
(1, 51568, 51147, 49951, array([ 7856.,  1808.,  -576.]), array([ 258.,   19.,  -37.]), array([-435., -115.,  332.]))
(1, 52518, 52155, 52495, array([ 7904.,  1808.,  -640.]), array([ 155.,   35.,  -49.]), array([-432., -113.,  328.]))
(1, 53468, 53163, 52495, array([ 7968.,  1776.,  -704.]), array([ 182.,    4.,  -59.]), array([-432., -113.,  328.]))
(1, 54892, 54171, 52495, array([ 7936.,  1744.,  -736.]), array([ 88.,  -7., -97.]), array([-432., -113.,  328.]))
(1, 55842, 55179, 55039, array([ 7920.,  1744.,  -704.]), array([  31.,  -24., -105.]), array([-435., -113.,  332.]))
(1, 56791, 57195, 55039, array([ 7904.,  1776.,  -656.]), array([-110.,  -65., -120.]), array([-435., -113.,  332.]))
(1, 58215, 58203, 57584, array([ 7904.,  1728.,  -672.]), array([-178., -125., -117.]), array([-435., -114.,  332.]))
(1, 59165, 59212, 57584, array([ 7968.,  1744.,  -672.]), array([-280., -121., -112.]), array([-435., -114.,  332.]))
(1, 60589, 60220, 60128, array([ 7920.,  1712.,  -736.]), array([-333., -159., -104.]), array([-432., -111.,  333.]))
(1, 61539, 61228, 60128, array([ 7920.,  1776.,  -704.]), array([-428., -208., -138.]), array([-432., -111.,  333.]))
(1, 62489, 62236, 62672, array([ 7968.,  1776.,  -672.]), array([-550., -225., -130.]), array([-432., -117.,  333.]))
(1, 63913, 63244, 62672, array([ 7904.,  1808.,  -624.]), array([-583., -277., -122.]), array([-432., -117.,  333.]))
(1, 64862, 64252, 62672, array([ 7888.,  1840.,  -688.]), array([-651., -306., -129.]), array([-432., -117.,  333.]))
(1, 276, 65260, 65217, array([ 7824.,  1872.,  -720.]), array([-698., -327., -113.]), array([-431., -116.,  333.]))
(1, 1700, 1741, 65217, array([ 7792.,  1920.,  -816.]), array([-699., -299., -141.]), array([-431., -116.,  333.]))
(1, 2649, 2749, 2226, array([ 7776.,  1984.,  -928.]), array([-588., -300., -131.]), array([-431., -118.,  333.]))
(1, 3598, 3757, 2226, array([ 7824.,  2048.,  -976.]), array([-586., -306., -134.]), array([-431., -118.,  333.]))
(1, 5023, 4765, 4770, array([ 7824.,  2112., -1216.]), array([-438., -299., -133.]), array([-436., -118.,  333.]))
(1, 5973, 5773, 4770, array([ 7824.,  2112., -1296.]), array([-239., -277., -132.]), array([-436., -118.,  333.]))
(1, 7397, 6781, 7314, array([ 7776.,  2144., -1408.]), array([ -83., -246., -127.]), array([-430., -121.,  331.]))
(1, 8347, 7789, 7314, array([ 7744.,  2160., -1392.]), array([ 159., -237., -150.]), array([-430., -121.,  331.]))
(1, 9296, 8797, 7314, array([ 7792.,  2192., -1440.]), array([ 357., -205., -158.]), array([-430., -121.,  331.]))
(1, 10720, 9806, 9858, array([ 7760.,  2224., -1472.]), array([ 549., -218., -175.]), array([-431., -119.,  333.]))
(1, 11669, 11822, 9858, array([ 7792.,  2240., -1520.]), array([ 872., -237., -201.]), array([-431., -119.,  333.]))
(1, 12619, 12830, 12403, array([ 7840.,  2320., -1552.]), array([ 1080.,  -257.,  -182.]), array([-430., -118.,  333.]))
(1, 14043, 13838, 12403, array([ 7936.,  2352., -1456.]), array([ 1270.,  -258.,  -181.]), array([-430., -118.,  333.]))
(1, 14993, 14846, 14948, array([ 7920.,  2352., -1488.]), array([ 1463.,  -292.,  -161.]), array([-426., -119.,  333.]))
(1, 16417, 15854, 14948, array([ 7920.,  2416., -1488.]), array([ 1620.,  -289.,  -143.]), array([-426., -119.,  333.]))
(1, 17366, 16862, 17493, array([ 7968.,  2416., -1488.]), array([ 1729.,  -278.,  -136.]), array([-426., -119.,  335.]))
(1, 18316, 17871, 17493, array([ 8016.,  2496., -1440.]), array([ 1876.,  -310.,  -132.]), array([-426., -119.,  335.]))
(1, 19740, 18879, 17493, array([ 8032.,  2560., -1536.]), array([ 1960.,  -314.,  -162.]), array([-426., -119.,  335.]))
(1, 20689, 20895, 20037, array([ 8000.,  2496., -1584.]), array([ 2181.,  -365.,  -153.]), array([-428., -112.,  339.]))
(1, 21639, 21903, 20037, array([ 8064.,  2480., -1632.]), array([ 2258.,  -376.,  -143.]), array([-428., -112.,  339.]))
(1, 23064, 22911, 22581, array([ 8080.,  2336., -1648.]), array([ 2358.,  -413.,  -120.]), array([-427., -112.,  341.]))
(1, 24013, 23919, 22581, array([ 8160.,  2192., -1696.]), array([ 2290.,  -437.,   -80.]), array([-427., -112.,  341.]))
(1, 24963, 24927, 25126, array([ 8176.,  2160., -1760.]), array([ 2131.,  -508.,   -79.]), array([-428., -109.,  343.]))
(1, 26388, 25936, 25126, array([ 8176.,  2032., -1712.]), array([ 2012.,  -623.,   -76.]), array([-428., -109.,  343.]))
(1, 27337, 26944, 27672, array([ 8144.,  2096., -1648.]), array([ 1771.,  -720.,   -64.]), array([-426., -108.,  347.]))
(1, 28762, 27952, 27672, array([ 8000.,  2000., -1584.]), array([ 1527.,  -841.,  -104.]), array([-426., -108.,  347.]))
(1, 29711, 28960, 27672, array([ 7952.,  2064., -1552.]), array([ 1119.,  -903.,  -137.]), array([-426., -108.,  347.]))
(1, 30661, 30976, 30217, array([ 7888.,  2160., -1712.]), array([  549., -1071.,  -139.]), array([-423., -108.,  352.]))
(1, 32085, 31984, 30217, array([ 7872.,  2096., -1824.]), array([  308., -1135.,  -149.]), array([-423., -108.,  352.]))
(1, 33034, 32992, 32762, array([ 7888.,  2112., -1792.]), array([  103., -1177.,  -182.]), array([-423., -107.,  352.]))
(1, 33984, 34001, 32762, array([ 7856.,  2176., -1920.]), array([  -61., -1222.,  -204.]), array([-423., -107.,  352.]))
(1, 35408, 35009, 35308, array([ 7712.,  2176., -1952.]), array([ -145., -1230.,  -253.]), array([-417., -110.,  353.]))
(1, 36357, 36017, 35308, array([ 7712.,  2144., -2080.]), array([ -251., -1253.,  -311.]), array([-417., -110.,  353.]))
(1, 37781, 37025, 35308, array([ 7760.,  2160., -2160.]), array([ -420., -1268.,  -364.]), array([-417., -110.,  353.]))
(1, 38730, 38033, 37853, array([ 7744.,  2144., -2256.]), array([ -519., -1309.,  -441.]), array([-417., -112.,  353.]))
(1, 39680, 40049, 37853, array([ 7696.,  2240., -2288.]), array([ -739., -1401.,  -648.]), array([-417., -112.,  353.]))
(1, 41104, 41058, 40399, array([ 7728.,  2320., -2368.]), array([ -762., -1433.,  -709.]), array([-414., -114.,  357.]))
(1, 42053, 42066, 40399, array([ 7728.,  2432., -2416.]), array([ -751., -1489.,  -777.]), array([-414., -114.,  357.]))
(1, 43002, 43074, 42945, array([ 7776.,  2496., -2320.]), array([ -705., -1556.,  -782.]), array([-412., -114.,  359.]))
(1, 44427, 44082, 42945, array([ 7760.,  2480., -2400.]), array([ -652., -1596.,  -817.]), array([-412., -114.,  359.]))
(1, 45376, 45090, 45491, array([ 7760.,  2496., -2432.]), array([ -606., -1611.,  -867.]), array([-409., -120.,  363.]))
(1, 46800, 46098, 45491, array([ 7840.,  2608., -2544.]), array([ -554., -1642.,  -888.]), array([-409., -120.,  363.]))
(1, 47750, 47106, 45491, array([ 7904.,  2624., -2672.]), array([ -475., -1636.,  -880.]), array([-409., -120.,  363.]))
(1, 48699, 48114, 48037, array([ 7840.,  2688., -2704.]), array([ -325., -1637.,  -886.]), array([-407., -124.,  365.]))
(1, 50123, 50131, 48037, array([ 7968.,  2784., -2832.]), array([  -10., -1720.,  -936.]), array([-407., -124.,  365.]))
(1, 51072, 51139, 50582, array([ 7920.,  2768., -2912.]), array([  265., -1784.,  -959.]), array([-404., -125.,  365.]))
(1, 52022, 52147, 50582, array([ 7984.,  2736., -3008.]), array([  508., -1830.,  -923.]), array([-404., -125.,  365.]))
(1, 53446, 53155, 53127, array([ 7984.,  2704., -2944.]), array([  744., -1859.,  -961.]), array([-406., -126.,  369.]))
(1, 54395, 54163, 53127, array([ 7968.,  2656., -2960.]), array([  967., -1913.,  -973.]), array([-406., -126.,  369.]))
(1, 55345, 55171, 55672, array([ 7936.,  2560., -2992.]), array([ 1202., -1994.,  -969.]), array([-397., -125.,  374.]))
(1, 56769, 56179, 55672, array([ 7872.,  2576., -2992.]), array([ 1289., -2079.,  -951.]), array([-397., -125.,  374.]))
(1, 57718, 57188, 55672, array([ 7824.,  2544., -2960.]), array([ 1407., -2137.,  -923.]), array([-397., -125.,  374.]))
(1, 59142, 58196, 58217, array([ 7792.,  2480., -3024.]), array([ 1489., -2205.,  -894.]), array([-392., -125.,  381.]))
(1, 60091, 60212, 58217, array([ 7808.,  2480., -2976.]), array([ 1562., -2331.,  -874.]), array([-392., -125.,  381.]))
(1, 61040, 61220, 60763, array([ 7744.,  2480., -2960.]), array([ 1620., -2401.,  -864.]), array([-392., -125.,  381.]))
(1, 62465, 62228, 60763, array([ 7760.,  2432., -2944.]), array([ 1610., -2434.,  -849.]), array([-392., -125.,  381.]))
(1, 63414, 63236, 63309, array([ 7712.,  2384., -2944.]), array([ 1616., -2494.,  -851.]), array([-384., -126.,  386.]))
(1, 64363, 64245, 63309, array([ 7760.,  2352., -2912.]), array([ 1558., -2547.,  -815.]), array([-384., -126.,  386.]))
(1, 252, 65253, 318, array([ 7728.,  2320., -2880.]), array([ 1501., -2577.,  -808.]), array([-382., -124.,  389.]))
(1, 1201, 725, 318, array([ 7776.,  2320., -2896.]), array([ 1359., -2638.,  -790.]), array([-382., -124.,  389.]))
(1, 2625, 1733, 318, array([ 7824.,  2352., -2992.]), array([ 1183., -2691.,  -776.]), array([-382., -124.,  389.]))
(1, 3575, 3749, 2863, array([ 7824.,  2336., -2960.]), array([  966., -2819.,  -712.]), array([-381., -123.,  396.]))
(1, 4525, 4757, 2863, array([ 7808.,  2416., -2976.]), array([  954., -2853.,  -665.]), array([-381., -123.,  396.]))
(1, 5950, 5765, 5408, array([ 7792.,  2496., -2960.]), array([  906., -2865.,  -636.]), array([-378., -126.,  401.]))
(1, 6899, 6774, 5408, array([ 7840.,  2544., -3072.]), array([  838., -2894.,  -587.]), array([-378., -126.,  401.]))
(1, 7849, 7782, 7953, array([ 7856.,  2528., -3024.]), array([  815., -2954.,  -595.]), array([-369., -127.,  405.]))
(1, 9273, 8790, 7953, array([ 7824.,  2496., -2976.]), array([  776., -3002.,  -615.]), array([-369., -127.,  405.]))
(1, 10223, 9798, 10499, array([ 7760.,  2496., -3008.]), array([  793., -3081.,  -625.]), array([-360., -127.,  409.]))
(1, 11173, 10806, 10499, array([ 7696.,  2480., -2960.]), array([  787., -3121.,  -616.]), array([-360., -127.,  409.]))
(1, 12597, 11814, 10499, array([ 7568.,  2448., -2928.]), array([  814., -3116.,  -607.]), array([-360., -127.,  409.]))
(1, 13547, 13830, 13045, array([ 7520.,  2464., -2944.]), array([  873., -3161.,  -628.]), array([-360., -125.,  413.]))
(1, 14971, 14839, 13045, array([ 7456.,  2448., -2944.]), array([  937., -3171.,  -633.]), array([-360., -125.,  413.]))
(1, 15920, 15847, 15591, array([ 7392.,  2464., -2976.]), array([ 1007., -3182.,  -668.]), array([-353., -126.,  420.]))
(1, 16870, 16855, 15591, array([ 7376.,  2416., -2960.]), array([ 1050., -3147.,  -693.]), array([-353., -126.,  420.]))
(1, 18294, 17863, 18136, array([ 7360.,  2512., -2944.]), array([ 1108., -3113.,  -702.]), array([-348., -129.,  425.]))
(1, 19243, 18871, 18136, array([ 7392.,  2544., -3056.]), array([ 1053., -3098.,  -722.]), array([-348., -129.,  425.]))
(1, 20193, 19879, 18136, array([ 7440.,  2592., -3152.]), array([ 1036., -3097.,  -772.]), array([-348., -129.,  425.]))
(1, 21617, 20887, 20682, array([ 7408.,  2560., -3200.]), array([ 1026., -3069.,  -849.]), array([-335., -128.,  433.]))
(1, 22567, 21896, 20682, array([ 7440.,  2528., -3344.]), array([ 1046., -3086.,  -864.]), array([-335., -128.,  433.]))
(1, 23991, 23912, 23227, array([ 7488.,  2448., -3440.]), array([ 1121., -3071.,  -879.]), array([-335., -129.,  433.]))
(1, 24941, 24920, 23227, array([ 7520.,  2448., -3520.]), array([ 1182., -3026.,  -842.]), array([-335., -129.,  433.]))
(1, 25890, 25928, 25773, array([ 7552.,  2384., -3488.]), array([ 1190., -3028.,  -795.]), array([-331., -128.,  438.]))
(1, 27314, 26936, 25773, array([ 7504.,  2288., -3616.]), array([ 1114., -3068.,  -789.]), array([-331., -128.,  438.]))
