(1, 44802, 44662, 44437, array([ 7872., -2528.,  -512.]), array([-3944.,   754.,   390.]), array([-438.,  331.,  263.]))
(1, 46227, 45670, 44437, array([ 7936., -2752.,  -720.]), array([-4216.,   797.,   367.]), array([-438.,  331.,  263.]))
(1, 47177, 46678, 46983, array([ 7984., -2944.,  -912.]), array([-4538.,   897.,   381.]), array([-439.,  329.,  265.]))
(1, 48601, 47686, 46983, array([ 8128., -3024., -1056.]), array([-4893.,  1013.,   405.]), array([-439.,  329.,  265.]))
(1, 49551, 49702, 49529, array([ 8192., -2992., -1216.]), array([-5552.,  1200.,   410.]), array([-440.,  322.,  264.]))
(1, 50501, 50711, 49529, array([ 8176., -3024., -1296.]), array([-5867.,  1253.,   377.]), array([-440.,  322.,  264.]))
(1, 51925, 51719, 49529, array([ 8176., -2912., -1344.]), array([-6166.,  1262.,   351.]), array([-440.,  322.,  264.]))
(1, 52875, 52727, 52074, array([ 8224., -2880., -1360.]), array([-6361.,  1264.,   371.]), array([-440.,  320.,  270.]))
(1, 53824, 53735, 52074, array([ 8240., -2800., -1296.]), array([-6421.,  1192.,   416.]), array([-440.,  320.,  270.]))
(1, 55249, 54743, 54620, array([ 8304., -2704., -1376.]), array([-6305.,  1133.,   471.]), array([-441.,  313.,  274.]))
(1, 56198, 55751, 54620, array([ 8304., -2720., -1360.]), array([-6183.,  1092.,   527.]), array([-441.,  313.,  274.]))
(1, 57148, 56760, 57165, array([ 8272., -2768., -1344.]), array([-5976.,  1012.,   587.]), array([-442.,  310.,  280.]))
(1, 58572, 57768, 57165, array([ 8288., -2896., -1408.]), array([-5789.,   919.,   683.]), array([-442.,  310.,  280.]))
(1, 59522, 59784, 59712, array([ 8352., -3056., -1488.]), array([-5468.,   706.,   834.]), array([-442.,  304.,  280.]))
(1, 60946, 60792, 59712, array([ 8528., -3120., -1696.]), array([-5433.,   654.,   884.]), array([-442.,  304.,  280.]))
(1, 61896, 61800, 59712, array([ 8560., -3248., -1776.]), array([-5385.,   561.,   911.]), array([-442.,  304.,  280.]))
(1, 62846, 62809, 62258, array([ 8560., -3392., -2016.]), array([-5407.,   449.,   941.]), array([-441.,  301.,  286.]))
(1, 64271, 63817, 62258, array([ 8576., -3552., -2448.]), array([-5472.,   278.,   989.]), array([-441.,  301.,  286.]))
(1, 65220, 64825, 64802, array([ 8656., -3648., -2672.]), array([-5568.,    81.,  1012.]), array([-443.,  299.,  295.]))
(1, 634, 297, 64802, array([ 8656., -3616., -2912.]), array([-5693.,   -78.,  1018.]), array([-443.,  299.,  295.]))
(1, 2058, 1305, 1811, array([ 8640., -3648., -3120.]), array([-5754.,  -272.,  1040.]), array([-440.,  290.,  295.]))
(1, 3008, 2313, 1811, array([ 8704., -3680., -3232.]), array([-5710.,  -484.,  1045.]), array([-440.,  290.,  295.]))
(1, 4432, 4330, 4356, array([ 8816., -3760., -3264.]), array([-5609.,  -952.,  1054.]), array([-441.,  286.,  299.]))
(1, 5382, 5338, 4356, array([ 8928., -3696., -3152.]), array([-5506., -1168.,  1040.]), array([-441.,  286.,  299.]))
(1, 6332, 6346, 4356, array([ 9040., -3648., -3152.]), array([-5411., -1364.,  1030.]), array([-441.,  286.,  299.]))
(1, 7757, 7354, 6901, array([ 9280., -3632., -3168.]), array([-5320., -1572.,   993.]), array([-434.,  280.,  305.]))
(1, 8706, 8362, 6901, array([ 9392., -3664., -3216.]), array([-5210., -1783.,  1001.]), array([-434.,  280.,  305.]))
(1, 9656, 9371, 9447, array([ 9424., -3712., -3216.]), array([-5050., -1976.,   996.]), array([-437.,  277.,  314.]))
(1, 11081, 10379, 9447, array([ 9392., -3776., -3136.]), array([-4910., -2253.,  1030.]), array([-437.,  277.,  314.]))
(1, 12031, 11387, 11993, array([ 9312., -3872., -3024.]), array([-4689., -2615.,  1065.]), array([-432.,  274.,  321.]))
(1, 12980, 13403, 11993, array([ 9152., -3904., -2928.]), array([-4345., -3383.,  1192.]), array([-432.,  274.,  321.]))
(1, 14404, 14411, 14539, array([ 8736., -3920., -2896.]), array([-4210., -3707.,  1311.]), array([-426.,  268.,  328.]))
(1, 15354, 15420, 14539, array([ 8512., -3856., -2944.]), array([-4130., -3948.,  1460.]), array([-426.,  268.,  328.]))
(1, 16778, 16428, 14539, array([ 8272., -3648., -2768.]), array([-4098., -4124.,  1597.]), array([-426.,  268.,  328.]))
(1, 17727, 17436, 17085, array([ 8240., -3520., -2768.]), array([-4039., -4283.,  1783.]), array([-422.,  267.,  340.]))
(1, 18677, 18444, 17085, array([ 8272., -3392., -2864.]), array([-4026., -4380.,  2008.]), array([-422.,  267.,  340.]))
(1, 20102, 19452, 19630, array([ 8464., -3232., -2944.]), array([-3931., -4477.,  2253.]), array([-409.,  263.,  360.]))
(1, 21052, 20460, 19630, array([ 8672., -3120., -3120.]), array([-3909., -4561.,  2475.]), array([-409.,  263.,  360.]))
(1, 22002, 21469, 22175, array([ 8848., -2928., -3264.]), array([-3869., -4629.,  2749.]), array([-409.,  263.,  360.]))
(1, 23426, 23485, 22175, array([ 9024., -2640., -3376.]), array([-3647., -4810.,  3227.]), array([-409.,  263.,  360.]))
(1, 24375, 24493, 22175, array([ 9056., -2416., -3392.]), array([-3364., -4986.,  3471.]), array([-409.,  263.,  360.]))
(1, 25800, 25501, 24720, array([ 9056., -2240., -3376.]), array([-3106., -5108.,  3688.]), array([-399.,  262.,  371.]))
(1, 26749, 26510, 24720, array([ 9008., -2176., -3392.]), array([-2708., -5257.,  3935.]), array([-399.,  262.,  371.]))
(1, 27699, 27518, 27267, array([ 8960., -2128., -3408.]), array([-2343., -5415.,  4123.]), array([-382.,  264.,  394.]))
(1, 29123, 28526, 27267, array([ 8896., -2112., -3360.]), array([-2005., -5597.,  4248.]), array([-382.,  264.,  394.]))
(1, 30073, 29534, 29812, array([ 8848., -2144., -3296.]), array([-1680., -5696.,  4352.]), array([-382.,  268.,  394.]))
(1, 31022, 30542, 29812, array([ 8864., -2128., -3280.]), array([-1423., -5781.,  4446.]), array([-382.,  268.,  394.]))
(1, 33396, 33567, 32359, array([ 8912., -2160., -3392.]), array([ -885., -6044.,  4424.]), array([-371.,  273.,  400.]))
(1, 34346, 34575, 32359, array([ 9008., -2192., -3280.]), array([ -799., -6037.,  4396.]), array([-371.,  273.,  400.]))
(1, 35771, 35583, 34905, array([ 9168., -2304., -3264.]), array([ -786., -6039.,  4287.]), array([-359.,  276.,  406.]))
(1, 36720, 36591, 34905, array([ 9248., -2336., -3216.]), array([ -844., -6044.,  4160.]), array([-359.,  276.,  406.]))
(1, 38145, 37599, 37451, array([ 9408., -2400., -3296.]), array([ -975., -6057.,  3994.]), array([-348.,  281.,  417.]))
(1, 39095, 38608, 37451, array([ 9392., -2368., -3392.]), array([-1186., -6065.,  3839.]), array([-348.,  281.,  417.]))
(1, 40045, 39616, 39997, array([ 9328., -2272., -3472.]), array([-1339., -6043.,  3649.]), array([-338.,  279.,  427.]))
(1, 41469, 40624, 39997, array([ 9168., -2144., -3552.]), array([-1554., -6040.,  3412.]), array([-338.,  279.,  427.]))
(1, 42420, 42640, 42543, array([ 9008., -2080., -3536.]), array([-1828., -6053.,  2939.]), array([-325.,  278.,  435.]))
(1, 43369, 43648, 42543, array([ 8768., -2000., -3520.]), array([-1892., -6105.,  2682.]), array([-325.,  278.,  435.]))
(1, 44794, 44657, 42543, array([ 8336., -1936., -3392.]), array([-1926., -6159.,  2480.]), array([-325.,  278.,  435.]))
(1, 45744, 45665, 45088, array([ 8160., -1904., -3264.]), array([-1974., -6213.,  2286.]), array([-312.,  280.,  445.]))
