(1, 42715, 42172, 40978, array([ 8080., -2320., -1952.]), array([-1563., -1364.,   724.]), array([-430.,  274.,  322.]))
(1, 43664, 43181, 43525, array([ 8048., -2336., -1888.]), array([-1432., -1475.,   738.]), array([-427.,  277.,  322.]))
(1, 45087, 44189, 43525, array([ 8048., -2368., -1840.]), array([-1447., -1497.,   750.]), array([-427.,  277.,  322.]))
(1, 46037, 46205, 46072, array([ 8032., -2304., -1824.]), array([-1431., -1718.,   875.]), array([-422.,  279.,  334.]))
(1, 46987, 47213, 46072, array([ 8016., -2304., -1808.]), array([-1458., -1767.,   893.]), array([-422.,  279.,  334.]))
(1, 48411, 48221, 46072, array([ 7904., -2208., -1728.]), array([-1509., -1846.,   917.]), array([-422.,  279.,  334.]))
(1, 49360, 49230, 48618, array([ 7936., -2176., -1664.]), array([-1552., -1923.,   949.]), array([-422.,  276.,  334.]))
(1, 50309, 50238, 48618, array([ 7936., -2176., -1696.]), array([-1544., -1956.,   994.]), array([-422.,  276.,  334.]))
(1, 51733, 51246, 51165, array([ 7872., -2112., -1696.]), array([-1560., -1992.,  1064.]), array([-417.,  272.,  343.]))
(1, 52682, 52254, 51165, array([ 7936., -2144., -1792.]), array([-1607., -2076.,  1138.]), array([-417.,  272.,  343.]))
(1, 54106, 53262, 53711, array([ 7904., -2192., -1792.]), array([-1581., -2142.,  1228.]), array([-415.,  273.,  343.]))
(1, 55055, 54270, 53711, array([ 7888., -2192., -1856.]), array([-1551., -2162.,  1281.]), array([-415.,  273.,  343.]))
(1, 56004, 56287, 56259, array([ 7936., -2272., -1920.]), array([-1548., -2239.,  1419.]), array([-409.,  273.,  347.]))
(1, 57429, 57295, 56259, array([ 7888., -2240., -2000.]), array([-1559., -2230.,  1490.]), array([-409.,  273.,  347.]))
(1, 58378, 58303, 56259, array([ 7920., -2288., -1984.]), array([-1614., -2239.,  1547.]), array([-409.,  273.,  347.]))
(1, 59328, 59311, 58807, array([ 7952., -2336., -2048.]), array([-1704., -2254.,  1598.]), array([-408.,  270.,  352.]))
(1, 60752, 60319, 58807, array([ 8032., -2352., -2304.]), array([-1805., -2229.,  1670.]), array([-408.,  270.,  352.]))
(1, 61701, 61328, 61353, array([ 8016., -2336., -2416.]), array([-1897., -2228.,  1709.]), array([-404.,  271.,  359.]))
(1, 62650, 62336, 61353, array([ 8016., -2304., -2432.]), array([-2046., -2224.,  1764.]), array([-404.,  271.,  359.]))
(1, 64074, 63344, 63901, array([ 8160., -2272., -2544.]), array([-2120., -2241.,  1840.]), array([-397.,  270.,  364.]))
(1, 65024, 64352, 63901, array([ 8160., -2240., -2544.]), array([-2204., -2235.,  1870.]), array([-397.,  270.,  364.]))
(1, 912, 833, 63901, array([ 8224., -2176., -2544.]), array([-2225., -2306.,  1872.]), array([-397.,  270.,  364.]))
(1, 1861, 1841, 912, array([ 8256., -2128., -2560.]), array([-2182., -2345.,  1870.]), array([-391.,  272.,  371.]))
(1, 2810, 2849, 912, array([ 8272., -2064., -2560.]), array([-2065., -2398.,  1806.]), array([-391.,  272.,  371.]))
(1, 4234, 3857, 3459, array([ 8352., -2080., -2592.]), array([-1949., -2413.,  1739.]), array([-391.,  269.,  371.]))
(1, 5183, 4865, 3459, array([ 8352., -2096., -2544.]), array([-1809., -2457.,  1714.]), array([-391.,  269.,  371.]))
(1, 6133, 5873, 6006, array([ 8288., -2112., -2624.]), array([-1705., -2507.,  1671.]), array([-386.,  268.,  378.]))
(1, 7557, 6882, 6006, array([ 8288., -2160., -2624.]), array([-1626., -2534.,  1612.]), array([-386.,  268.,  378.]))
(1, 8505, 7890, 8553, array([ 8240., -2112., -2640.]), array([-1555., -2601.,  1571.]), array([-373.,  271.,  387.]))
(1, 9929, 9906, 8553, array([ 8112., -2080., -2656.]), array([-1420., -2743.,  1486.]), array([-373.,  271.,  387.]))
(1, 10879, 10914, 8553, array([ 8048., -2128., -2784.]), array([-1340., -2764.,  1454.]), array([-373.,  271.,  387.]))
(1, 11829, 11922, 11100, array([ 8080., -2128., -2768.]), array([-1348., -2831.,  1430.]), array([-373.,  271.,  387.]))
(1, 13253, 12931, 11100, array([ 8048., -2096., -2672.]), array([-1279., -2875.,  1424.]), array([-373.,  271.,  387.]))
(1, 14202, 13939, 13646, array([ 8048., -2032., -2640.]), array([-1217., -2910.,  1360.]), array([-370.,  268.,  394.]))
(1, 15152, 14947, 13646, array([ 8128., -2048., -2592.]), array([-1179., -2948.,  1359.]), array([-370.,  268.,  394.]))
(1, 16576, 15955, 16193, array([ 8224., -2064., -2592.]), array([-1085., -2948.,  1317.]), array([-367.,  265.,  402.]))
(1, 17525, 16963, 16193, array([ 8336., -2032., -2576.]), array([-1010., -2937.,  1288.]), array([-367.,  265.,  402.]))
(1, 18949, 17972, 18739, array([ 8496., -1936., -2624.]), array([ -905., -2924.,  1257.]), array([-362.,  268.,  406.]))
(1, 19898, 19988, 18739, array([ 8544., -1936., -2672.]), array([ -700., -2925.,  1214.]), array([-362.,  268.,  406.]))
(1, 20847, 20996, 18739, array([ 8544., -1968., -2672.]), array([ -484., -2955.,  1125.]), array([-362.,  268.,  406.]))
(1, 22271, 22004, 21286, array([ 8352., -2064., -2784.]), array([ -335., -2983.,  1052.]), array([-355.,  268.,  407.]))
(1, 23220, 23012, 21286, array([ 8192., -2128., -2832.]), array([ -173., -3098.,  1024.]), array([-355.,  268.,  407.]))
(1, 24169, 24021, 23832, array([ 7984., -2160., -2896.]), array([  -16., -3159.,   923.]), array([-354.,  266.,  414.]))
(1, 25593, 25029, 23832, array([ 7616., -2192., -2960.]), array([  147., -3174.,   895.]), array([-354.,  266.,  414.]))
(1, 26542, 26037, 26379, array([ 7408., -2224., -2992.]), array([  244., -3234.,   894.]), array([-346.,  269.,  418.]))
(1, 27492, 27045, 26379, array([ 7248., -2208., -2976.]), array([  285., -3242.,   898.]), array([-346.,  269.,  418.]))
(1, 28915, 29062, 28927, array([ 7088., -2256., -2848.]), array([  423., -3270.,   960.]), array([-337.,  270.,  428.]))
(1, 29865, 30070, 28927, array([ 7024., -2288., -2784.]), array([  461., -3261.,  1024.]), array([-337.,  270.,  428.]))
(1, 31289, 31078, 28927, array([ 7024., -2208., -2672.]), array([  537., -3246.,  1101.]), array([-337.,  270.,  428.]))
(1, 32238, 32086, 31472, array([ 7072., -2272., -2624.]), array([  568., -3230.,  1188.]), array([-337.,  273.,  428.]))
(1, 33187, 33094, 31472, array([ 7088., -2272., -2576.]), array([  662., -3162.,  1282.]), array([-337.,  273.,  428.]))
(1, 34611, 34102, 34019, array([ 7104., -2304., -2560.]), array([  685., -3080.,  1391.]), array([-331.,  271.,  432.]))
(1, 35560, 35111, 34019, array([ 7152., -2352., -2592.]), array([  652., -3030.,  1513.]), array([-331.,  271.,  432.]))
(1, 36509, 36119, 36567, array([ 7184., -2288., -2640.]), array([  638., -2996.,  1620.]), array([-328.,  277.,  441.]))
(1, 37933, 37127, 36567, array([ 7104., -2304., -2640.]), array([  620., -2952.,  1732.]), array([-328.,  277.,  441.]))
(1, 38882, 39143, 39114, array([ 7072., -2288., -2560.]), array([  515., -2891.,  1967.]), array([-320.,  278.,  441.]))
(1, 40306, 40151, 39114, array([ 6976., -2304., -2496.]), array([  484., -2905.,  2087.]), array([-320.,  278.,  441.]))
(1, 41255, 41160, 39114, array([ 6960., -2320., -2432.]), array([  354., -2915.,  2183.]), array([-320.,  278.,  441.]))
(1, 42205, 42168, 41661, array([ 6864., -2304., -2352.]), array([  221., -2857.,  2278.]), array([-309.,  276.,  439.]))
(1, 43629, 43176, 41661, array([ 6784., -2304., -2384.]), array([  163., -2856.,  2371.]), array([-309.,  276.,  439.]))
(1, 44578, 44184, 44209, array([ 6752., -2256., -2400.]), array([   84., -2845.,  2407.]), array([-310.,  283.,  448.]))
(1, 45528, 45192, 44209, array([ 6752., -2240., -2400.]), array([   13., -2777.,  2464.]), array([-310.,  283.,  448.]))
(1, 46951, 46201, 46756, array([ 6640., -2240., -2368.]), array([  -65., -2735.,  2513.]), array([-298.,  284.,  448.]))
(1, 47901, 47209, 46756, array([ 6720., -2128., -2384.]), array([ -167., -2707.,  2569.]), array([-298.,  284.,  448.]))
(1, 48851, 49225, 49304, array([ 6736., -2144., -2384.]), array([ -322., -2602.,  2655.]), array([-293.,  287.,  448.]))
(1, 50275, 50233, 49304, array([ 6768., -2096., -2544.]), array([ -335., -2539.,  2651.]), array([-293.,  287.,  448.]))
(1, 51224, 51241, 49304, array([ 6800., -2112., -2528.]), array([ -431., -2447.,  2660.]), array([-293.,  287.,  448.]))
(1, 52648, 52250, 51851, array([ 6752., -2096., -2688.]), array([ -519., -2402.,  2668.]), array([-289.,  289.,  453.]))
