(1, 30052, 29159, 28458, array([ 7648.,   480., -2368.]), array([ 457.,  140.,   28.]), array([-510.,   23.,  104.]))
(1, 31002, 31175, 31004, array([ 7600.,   464., -2400.]), array([ 470.,  107.,   22.]), array([-512.,   27.,   98.]))
(1, 31952, 32183, 31004, array([ 7600.,   464., -2432.]), array([ 532.,   78.,   22.]), array([-512.,   27.,   98.]))
(1, 33375, 33191, 31004, array([ 7568.,   512., -2480.]), array([ 539.,   39.,  -11.]), array([-512.,   27.,   98.]))
(1, 34325, 34200, 33549, array([ 7552.,   512., -2400.]), array([ 579.,   27.,   18.]), array([-512.,   25.,   98.]))
(1, 35274, 35208, 33549, array([ 7488.,   480., -2448.]), array([ 644.,  -18.,   17.]), array([-512.,   25.,   98.]))
(1, 36699, 36216, 36093, array([ 7456.,   480., -2432.]), array([ 672.,  -37.,    4.]), array([-511.,   26.,   97.]))
(1, 37648, 37224, 36093, array([ 7440.,   496., -2448.]), array([ 736.,  -56.,    4.]), array([-511.,   26.,   97.]))
(1, 39073, 38233, 38639, array([ 7504.,   416., -2560.]), array([ 720.,  -70.,   13.]), array([-513.,   26.,  100.]))
(1, 40022, 39241, 38639, array([ 7536.,   464., -2640.]), array([ 713.,  -87.,   15.]), array([-513.,   26.,  100.]))
(1, 40971, 41257, 41185, array([ 7648.,   528., -2672.]), array([ 729., -136.,   -6.]), array([-513.,   26.,  100.]))
(1, 42395, 42265, 41185, array([ 7568.,   592., -2768.]), array([ 804., -140.,  -16.]), array([-513.,   26.,  100.]))
(1, 43345, 43274, 41185, array([ 7488.,   608., -2752.]), array([ 897., -168.,  -21.]), array([-513.,   26.,  100.]))
(1, 44294, 44282, 43731, array([ 7456.,   624., -2704.]), array([ 1039.,  -189.,   -21.]), array([-508.,   24.,  102.]))
(1, 45718, 45290, 43731, array([ 7504.,   720., -2704.]), array([ 1272.,  -217.,   -44.]), array([-508.,   24.,  102.]))
(1, 46667, 46298, 46277, array([ 7536.,   704., -2800.]), array([ 1458.,  -188.,   -58.]), array([-510.,   22.,  102.]))
(1, 47617, 47307, 46277, array([ 7584.,   592., -2784.]), array([ 1570.,  -229.,   -86.]), array([-510.,   22.,  102.]))
(1, 49041, 48315, 48822, array([ 7648.,   448., -2736.]), array([ 1735.,  -263.,   -92.]), array([-512.,   30.,  103.]))
(1, 49990, 50331, 48822, array([ 7600.,   352., -2736.]), array([ 1806.,  -303.,   -85.]), array([-512.,   30.,  103.]))
(1, 51415, 51339, 51367, array([ 7584.,   544., -2736.]), array([ 1856.,  -331.,   -73.]), array([-512.,   25.,  105.]))
(1, 52364, 52348, 51367, array([ 7584.,   656., -2816.]), array([ 2025.,  -368.,   -69.]), array([-512.,   25.,  105.]))
(1, 53314, 53356, 51367, array([ 7552.,   688., -2848.]), array([ 2133.,  -429.,  -109.]), array([-512.,   25.,  105.]))
(1, 54737, 54364, 53912, array([ 7568.,   592., -2864.]), array([ 2284.,  -445.,   -78.]), array([-512.,   26.,  106.]))
(1, 55686, 55372, 53912, array([ 7568.,   448., -2768.]), array([ 2430.,  -497.,   -70.]), array([-512.,   26.,  106.]))
(1, 56636, 56380, 56457, array([ 7504.,   272., -2704.]), array([ 2464.,  -541.,   -45.]), array([-514.,   28.,  109.]))
(1, 58060, 57389, 56457, array([ 7488.,   160., -2768.]), array([ 2443.,  -614.,   -58.]), array([-514.,   28.,  109.]))
(1, 59009, 58397, 59002, array([ 7504.,   256., -2784.]), array([ 2348.,  -614.,   -54.]), array([-510.,   26.,  111.]))
(1, 60433, 60413, 59002, array([ 7600.,   304., -2848.]), array([ 2037.,  -679.,  -101.]), array([-510.,   26.,  111.]))
(1, 61382, 61422, 61547, array([ 7632.,   240., -2736.]), array([ 1945.,  -701.,  -106.]), array([-511.,   25.,  112.]))
(1, 62331, 62430, 61547, array([ 7600.,   240., -2688.]), array([ 1870.,  -752.,  -111.]), array([-511.,   25.,  112.]))
(1, 63755, 63438, 61547, array([ 7616.,   208., -2800.]), array([ 1705.,  -803.,  -150.]), array([-511.,   25.,  112.]))
(1, 64704, 64446, 64093, array([ 7632.,   240., -2848.]), array([ 1605.,  -856.,  -163.]), array([-509.,   29.,  111.]))
