(1, 3796, 3679, 3459, array([ 7648.,  -592., -1808.]), array([ -57., -639.,  692.]), array([-488.,  -38.,  123.]))
(1, 5220, 4687, 3459, array([ 7632.,  -576., -1840.]), array([ -82., -660.,  758.]), array([-488.,  -38.,  123.]))
(1, 6169, 5696, 6005, array([ 7616.,  -672., -1904.]), array([-163., -645.,  772.]), array([-488.,  -38.,  124.]))
(1, 7592, 6704, 6005, array([ 7664.,  -640., -1968.]), array([-232., -644.,  733.]), array([-488.,  -38.,  124.]))
(1, 8542, 8720, 8549, array([ 7712.,  -640., -2000.]), array([-316., -695.,  753.]), array([-488.,  -36.,  129.]))
(1, 10915, 10737, 8549, array([ 7712.,  -608., -2128.]), array([-437., -702.,  785.]), array([-488.,  -36.,  129.]))
(1, 11864, 11745, 11095, array([ 7728.,  -640., -2176.]), array([-474., -768.,  805.]), array([-488.,  -34.,  129.]))
(1, 12813, 12753, 11095, array([ 7728.,  -640., -2256.]), array([-499., -802.,  792.]), array([-488.,  -34.,  129.]))
(1, 14236, 13761, 13641, array([ 7760.,  -704., -2224.]), array([-564., -857.,  808.]), array([-488.,  -33.,  128.]))
(1, 15185, 14770, 13641, array([ 7760.,  -656., -2208.]), array([-564., -882.,  825.]), array([-488.,  -33.,  128.]))
(1, 16609, 15778, 16186, array([ 7872.,  -672., -2320.]), array([-621., -920.,  797.]), array([-491.,  -37.,  131.]))
(1, 17558, 16786, 16186, array([ 7920.,  -656., -2336.]), array([-611., -969.,  794.]), array([-491.,  -37.,  131.]))
(1, 18507, 18802, 18731, array([ 7920.,  -720., -2432.]), array([ -618., -1097.,   820.]), array([-486.,  -32.,  131.]))
(1, 19931, 19811, 18731, array([ 7952.,  -768., -2400.]), array([ -588., -1110.,   861.]), array([-486.,  -32.,  131.]))
(1, 20880, 20819, 18731, array([ 7968.,  -752., -2432.]), array([ -606., -1176.,   865.]), array([-486.,  -32.,  131.]))
(1, 23254, 22835, 21277, array([ 7968.,  -784., -2432.]), array([ -531., -1309.,   972.]), array([-487.,  -32.,  133.]))
(1, 24203, 23844, 23823, array([ 8000.,  -768., -2416.]), array([ -533., -1365.,  1024.]), array([-488.,  -30.,  139.]))
(1, 25627, 24852, 23823, array([ 8032.,  -816., -2448.]), array([ -481., -1411.,  1066.]), array([-488.,  -30.,  139.]))
(1, 26576, 25860, 26369, array([ 8016.,  -784., -2368.]), array([ -422., -1489.,  1124.]), array([-488.,  -29.,  140.]))
(1, 27525, 27876, 26369, array([ 7952.,  -752., -2304.]), array([ -304., -1542.,  1172.]), array([-488.,  -29.,  140.]))
(1, 28948, 28885, 28915, array([ 7936.,  -736., -2304.]), array([ -274., -1581.,  1223.]), array([-489.,  -25.,  141.]))
(1, 29897, 29893, 28915, array([ 7920.,  -768., -2304.]), array([ -183., -1637.,  1278.]), array([-489.,  -25.,  141.]))
(1, 30847, 30901, 28915, array([ 7952.,  -752., -2320.]), array([ -154., -1667.,  1307.]), array([-489.,  -25.,  141.]))
(1, 32270, 31909, 31460, array([ 7920.,  -832., -2240.]), array([ -125., -1659.,  1318.]), array([-487.,  -26.,  146.]))
(1, 33220, 32918, 31460, array([ 7856.,  -800., -2256.]), array([ -103., -1708.,  1312.]), array([-487.,  -26.,  146.]))
(1, 34169, 33926, 34005, array([ 7824.,  -720., -2240.]), array([ -125., -1759.,  1334.]), array([-489.,  -24.,  150.]))
(1, 35593, 34934, 34005, array([ 7808.,  -656., -2272.]), array([  -85., -1770.,  1332.]), array([-489.,  -24.,  150.]))
(1, 36542, 35942, 36549, array([ 7744.,  -720., -2192.]), array([  -85., -1782.,  1329.]), array([-488.,  -18.,  159.]))
(1, 37965, 37959, 36549, array([ 7728.,  -704., -2160.]), array([  -92., -1816.,  1349.]), array([-488.,  -18.,  159.]))
(1, 38915, 38967, 39094, array([ 7760.,  -672., -2176.]), array([ -122., -1845.,  1318.]), array([-488.,  -19.,  159.]))
(1, 39864, 39975, 39094, array([ 7728.,  -752., -2224.]), array([  -83., -1832.,  1321.]), array([-488.,  -19.,  159.]))
(1, 41287, 40983, 39094, array([ 7664.,  -720., -2224.]), array([ -106., -1836.,  1315.]), array([-488.,  -19.,  159.]))
(1, 42236, 41992, 41639, array([ 7680.,  -688., -2224.]), array([ -102., -1844.,  1351.]), array([-487.,  -17.,  163.]))
(1, 43186, 43000, 41639, array([ 7696.,  -656., -2128.]), array([  -91., -1872.,  1334.]), array([-487.,  -17.,  163.]))
(1, 44609, 44008, 44184, array([ 7696.,  -640., -2176.]), array([ -135., -1888.,  1322.]), array([-486.,  -12.,  169.]))
(1, 45559, 45016, 44184, array([ 7680.,  -624., -2160.]), array([ -103., -1892.,  1327.]), array([-486.,  -12.,  169.]))
(1, 46983, 46025, 46730, array([ 7728.,  -624., -2192.]), array([  -65., -1873.,  1298.]), array([-486.,  -13.,  169.]))
(1, 47932, 48041, 46730, array([ 7696.,  -624., -2224.]), array([ -1.00000000e+00,  -1.86900000e+03,   1.30300000e+03]), array([-486.,  -13.,  169.]))
(1, 48881, 49049, 46730, array([ 7744.,  -624., -2240.]), array([   -7., -1874.,  1306.]), array([-486.,  -13.,  169.]))
(1, 50306, 50057, 49275, array([ 7680.,  -576., -2176.]), array([   35., -1889.,  1308.]), array([-484.,  -11.,  173.]))
(1, 51255, 51066, 49275, array([ 7712.,  -592., -2224.]), array([   29., -1909.,  1255.]), array([-484.,  -11.,  173.]))
(1, 52204, 52074, 51820, array([ 7680.,  -656., -2112.]), array([   21., -1897.,  1234.]), array([-485.,   -8.,  174.]))
(1, 53628, 53082, 51820, array([ 7696.,  -656., -2112.]), array([   21., -1898.,  1248.]), array([-485.,   -8.,  174.]))
(1, 54577, 54090, 54368, array([ 7728.,  -656., -2144.]), array([   28., -1854.,  1264.]), array([-487.,   -5.,  185.]))
(1, 55527, 55099, 54368, array([ 7712.,  -640., -2240.]), array([   48., -1882.,  1254.]), array([-487.,   -5.,  185.]))
(1, 56951, 57115, 56913, array([ 7648.,  -640., -2208.]), array([   30., -1845.,  1188.]), array([-486.,   -6.,  184.]))
(1, 57900, 58123, 56913, array([ 7664.,  -624., -2192.]), array([   35., -1830.,  1216.]), array([-486.,   -6.,  184.]))
(1, 59325, 59132, 56913, array([ 7664.,  -624., -2224.]), array([    2., -1825.,  1232.]), array([-486.,   -6.,  184.]))
(1, 60274, 60140, 59459, array([ 7584.,  -672., -2176.]), array([    4., -1806.,  1249.]), array([-482.,   -3.,  187.]))
